============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-10
Execution Time: 2026-01-09 21:42:54
Input File: Inference_Inputs\Input_2026-01-10.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 474
Missing Values (NaNs) found in key features (before zero-fill):
 - wilson_score: 173
 - jt_wins: 474

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
Barney's Bay              | 0          | 0.0398     | Fallback  
Catherine Chroi           | 0          | 0.0443     | Fallback  
Crownthorpe               | 0          | 0.0331     | Fallback  
Eagles Whistle            | 0          | 0.0422     | Fallback  
Galileo's Compass         | 0          | 0.0387     | Fallback  
Miss Raincloud            | 0          | 0.0372     | Fallback  
One More Bottle           | 0          | 0.0314     | Fallback  
Relevant Range            | 0          | 0.0359     | Fallback  
Wheres The Crumpet        | 0          | 0.0344     | Fallback  
Yorkstone                 | 0          | 0.0485     | Fallback  
Al Baahy                  | 0          | 0.0357     | Fallback  
Anificas Beauty           | 0          | 0.0388     | Fallback  
Aye Up Tom                | 0          | 0.0373     | Fallback  
Freak Encounter           | 0          | 0.0383     | Fallback  
Lady Sonata               | 0          | 0.0373     | Fallback  
Madame Plaintiff          | 0          | 0.0430     | Fallback  
Pink Socks                | 0          | 0.0442     | Fallback  
Pop Favorite              | 0          | 0.0378     | Fallback  
That Lucas Fella          | 0          | 0.0318     | Fallback  
Top Gun Tina              | 0          | 0.0476     | Fallback  
Inspired                  | 0          | 0.0199     | Fallback  
Al Muddy                  | 0          | 0.0364     | Fallback  
Multaneighttothree        | 0          | 0.0353     | Fallback  
Rajstar                   | 0          | 0.0342     | Fallback  
Ted Le Saux               | 0          | 0.0201     | Fallback  
Storm The Dug             | 0          | 0.0243     | Fallback  
Beelzebub                 | 0          | 0.0320     | Fallback  
Goldmoyne                 | 0          | 0.0345     | Fallback  
Concert Boy               | 0          | 0.0357     | Fallback  
Front Gunner              | 0          | 0.0233     | Fallback  
Angel Of England          | 0          | 0.0335     | Fallback  
Bonito Cavalo             | 0          | 0.0447     | Fallback  
Siviez                    | 0          | 0.0370     | Fallback  
Trais Fluors              | 0          | 0.0292     | Fallback  
Lord Capulet              | 0          | 0.0212     | Fallback  
Carida                    | 0          | 0.0250     | Fallback  
Ridgemaster               | 0          | 0.0294     | Fallback  
King Of Chaos             | 0          | 0.0185     | Fallback  
Justmyluck                | 0          | 0.0180     | Fallback  
Sound And Vision          | 0          | 0.0162     | Fallback  
See That Spark            | 0          | 0.0287     | Fallback  
Mereside Spark            | 0          | 0.0277     | Fallback  
Mad Unicorn               | 0          | 0.0221     | Fallback  
Penny Mountain            | 0          | 0.0308     | Fallback  
Court Of Session          | 0          | 0.0379     | Fallback  
Flash The Dash            | 0          | 0.0373     | Fallback  
Yorkshire Glory           | 0          | 0.0308     | Fallback  
Spartan Fighter           | 0          | 0.0344     | Fallback  
Pinpoint                  | 0          | 0.0335     | Fallback  
Fircombe Hall             | 0          | 0.0339     | Fallback  
She'sashambles            | 0          | 0.0331     | Fallback  
Asadjumeirah              | 0          | 0.0527     | Fallback  
Instant Bond              | 0          | 0.0306     | Fallback  
Ramon Di Loria            | 0          | 0.0373     | Fallback  
Bella Love                | 0          | 0.0426     | Fallback  
Superior Council          | 0          | 0.0353     | Fallback  
Athollblair Boy           | 0          | 0.0559     | Fallback  
Queen For Adaay           | 0          | 0.0356     | Fallback  
Poet                      | 0          | 0.0615     | Fallback  
Reet Petite               | 0          | 0.0127     | Fallback  
Keukenhof                 | 0          | 0.0146     | Fallback  
Give Me Everything        | 0          | 0.0281     | Fallback  
Rainbow Lorikeet          | 0          | 0.0169     | Fallback  
Double Grand Slam         | 0          | 0.0168     | Fallback  
Minogue                   | 0          | 0.0168     | Fallback  
Sukhumvit                 | 0          | 0.0286     | Fallback  
Wish List                 | 0          | 0.0145     | Fallback  
Little Suzie              | 0          | 0.0167     | Fallback  
Red Palace                | 0          | 0.0173     | Fallback  
Tenango                   | 0          | 0.0255     | Fallback  
I Am Giant                | 0          | 0.0210     | Fallback  
Lucky Lad                 | 0          | 0.0189     | Fallback  
O'Tenikwa                 | 0          | 0.0163     | Fallback  
Asiye Phambili            | 0          | 0.0257     | Fallback  
Cafe Culture              | 0          | 0.0257     | Fallback  
Surjay                    | 0          | 0.0296     | Fallback  
Truth                     | 0          | 0.0257     | Fallback  
Direct Hit                | 0          | 0.0199     | Fallback  
Constellation             | 0          | 0.0268     | Fallback  
Quantum Theory            | 0          | 0.0270     | Fallback  
Outlaw King               | 0          | 0.0349     | Fallback  
Buffalo Storm Cody        | 0          | 0.0229     | Fallback  
Snow Pilot                | 0          | 0.0245     | Fallback  
Kingdundee                | 0          | 0.0324     | Fallback  
Dance Variety             | 0          | 0.0382     | Fallback  
Meu Capitano              | 0          | 0.0318     | Fallback  
Arctic Wizard             | 0          | 0.0296     | Fallback  
Dave The King             | 0          | 0.0223     | Fallback  
Jan Van Goyen             | 0          | 0.0199     | Fallback  
Sugar Mountain            | 0          | 0.0285     | Fallback  
Questioning               | 0          | 0.0206     | Fallback  
Sail The Seas             | 0          | 0.0200     | Fallback  
The Real Prince           | 0          | 0.0288     | Fallback  
Eight On Eighteen         | 0          | 0.0259     | Fallback  
Garrix                    | 0          | 0.0202     | Fallback  
Gladatorian               | 0          | 0.0228     | Fallback  
See It Again              | 0          | 0.0299     | Fallback  
Legal Counsel             | 0          | 0.0316     | Fallback  
Jet Force                 | 0          | 0.0316     | Fallback  
Fire Attack               | 0          | 0.0202     | Fallback  
Cosmic Speed              | 0          | 0.0202     | Fallback  
Secret State              | 0          | 0.0282     | Fallback  
