track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,The Other Mozzie,60,Charlie Tucker,Patrick Chamings,10- 2,4,7,True,0,0.02395156,0,False,16/1,14/1,16/1,18/1,20/1,drifting,15.0,17.0,19.0,21.0,17.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,17.0,1.657270980140935,38.11251760049673,0.26844771193661204,0.10357943625880844,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m2f,Standard,8:30,Drumgill,87,Jason Hart,Hugo Palmer,9- 7,5,0,True,0,0.02373325,0,False,18/1,16/1,14/1,12/1,11/1,shortening,17.0,15.0,13.0,12.0,19.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,19.0,1.9698910954516329,47.60767769473813,0.28549842616903126,0.10943839419175738,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Midnight It Is,18,Rob Hornby,Jamie Osborne,8 -10,3,0,True,0,0.022966674,0,False,25/1,28/1,33/1,28/1,22/1,shortening,29.0,34.0,29.0,23.0,26.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,26.0,3.0640614990390773,89.14900310704425,0.32451832989322155,0.12256245996156309,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,The King Of Prs,66,Luke Morris,Jim & Suzi Best,9- 9,4,0,True,0,0.022754602,0,False,14/1,12/1,11/1,12/1,11/1,shortening,13.0,12.0,13.0,12.0,15.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,15.0,1.3446508648302364,29.672375294504373,0.24685014057554763,0.09604649034501689,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,St Faz,77,Sean Levey,Michael Attwater,9- 9,5,0,True,0,0.022618467,0,False,22/1,20/1,22/1,20/1,22/1,stable,21.0,23.0,21.0,23.0,23.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,23.0,2.5951313260730293,69.76305124796806,0.3107038298169554,0.11796051482150133,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,More Coko,80,Jack Dace,Stuart Williams,9- 0,4,5,True,0,0.022211686,0,False,12/1,14/1,16/1,18/1,16/1,drifting,15.0,17.0,19.0,17.0,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,13.0,1.0320307495195387,22.287250776761063,0.21860716264184818,0.08600256245996156,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,Dr Eggman,81,Finley Marsh,Richard Hughes,9- 9,4,0,True,0,0.02182348,0,False,11/1,10/1,11/1,10/1,11/1,stable,11.0,12.0,11.0,12.0,12.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,12.0,0.8757206918641893,18.990320188482798,0.20095530143328588,0.07961097198765357,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Jinxs Link,77,Rob Hornby,James Tate,9- 8,4,0,True,0,0.021340646,0,False,125/1,150/1,100/1,,,shortening,151.0,101.0,,,126.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,126.0,18.69506726457399,2093.6828007802283,0.408574811838756,0.14956053811659192,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m2f,Standard,8:30,Koori Star,88,Thomas Greatrex,Mark Pattinson,9 -13,5,0,True,0,0.019814713,0,False,8/1,17/2,9/1,10/1,9/1,drifting,9.5,10.0,11.0,10.0,9.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,9.0,0.406790518898142,10.682055106021576,0.12446390286284956,0.05084881486226775,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Park Of Kings,78,Hollie Doyle,David Loughnane,9- 9,4,0,True,0,0.01952064,0,False,28/1,25/1,28/1,33/1,35/1,drifting,26.0,29.0,34.0,36.0,29.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,29.0,3.5329916720051244,110.9087449896808,0.3354746575399153,0.12617827400018303,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m2f,Standard,8:30,Reliable Prince,86,Hector Crouch,Michael Bell,9 -10,5,0,True,0,0.01907775,0,False,125/1,100/1,,,,shortening,101.0,,,,126.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,126.0,18.69506726457399,2093.6828007802283,0.408574811838756,0.14956053811659192,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m2f,Standard,8:30,Stuntman Steve,88,Harry Davies,Jane Chapple-Hyam,9- 6,4,0,True,0,0.01874205,0,False,20/1,18/1,20/1,18/1,14/1,shortening,19.0,21.0,19.0,15.0,21.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,21.0,2.2825112107623315,58.157855577228574,0.2993013853095612,0.11412556053811658,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Choccabloc,-,Jason Hart,Charlie Johnston,8 -10,3,0,True,0,0.017635101,0,False,12/1,14/1,16/1,14/1,12/1,stable,15.0,17.0,15.0,13.0,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,13.0,1.0320307495195387,22.287250776761063,0.21860716264184818,0.08600256245996156,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m2f,Standard,8:30,Jacovec Cavern,93,Lewis Edmunds,Julie Camacho,9- 9,4,0,True,0,0.016744295,0,False,15/2,7/1,15/2,7/1,13/2,shortening,8.0,8.5,8.0,7.5,8.5,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,8.5,0.32863549007046755,9.528129400124183,0.10646592672862927,0.04381806534272901,0.04381806534272901,4.381806534272901,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m½f,Soft,11:53,Miss Pronunciation,-,Darragh O'Keeffe,Henry De Bromhead,11 -12,6,0,True,0,0.5035468,2,True,4/1,9/2,5/1,11/2,6/1,drifting,5.5,6.0,6.5,7.0,5.0,0.5000000000000001,0.3382789317507418,0.067938021454112,,,0.3382789317507418,5.0,0.691394658753709,5.596157402107969,0.2922678598947622,0.17284866468842724,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m4f,Soft,3:52,Castle Field Boy,104,Conor Stone-Walsh,Noel C Kelly,11- 6,11,0,True,0,0.18111916,7,True,16/1,18/1,16/1,18/1,20/1,drifting,19.0,17.0,19.0,21.0,17.0,0.15,0.181509754028838,0.5101311084624554,,,0.181509754028838,17.0,2.0856658184902463,42.93498537093511,0.31830177760658573,0.1303541136556404,0.05,5.0,STRONG_BET_SINGLE
Fairyhouse,15 Jan 2026,2m½f,Soft,11:53,Darcy's Friend,-,Paul Townend,W P Mullins,11 -12,7,0,True,0,0.1641115,0,False,5/1,9/2,5/1,9/2,5/1,stable,5.5,6.0,5.5,6.0,6.0,0.15,0.181509754028838,0.5101311084624554,,,0.181509754028838,6.0,0.08905852417302818,5.348302675964235,0.03850946679054877,0.017811704834605636,0.017811704834605636,1.7811704834605635,STRONG_BET_SINGLE
