horse_name_odds,track_name,time,odds_live,win_probability,edge,ev,kelly_stake,action,jockey,trainer,rating
henry tudor,lingfield (aw),2:50,22/1,0.055793867,0.02236722519596969,0.5144461795073028,2.3383917250331945,STRONG BET,Charles Bishop,Mark Hoad,51
reel power,lingfield (aw),2:20,28/1,0.054691035,0.030370178644845258,0.8807351807005124,3.1454827882161154,STRONG BET,Jason Watson,Paddy Butler,58
havana's dream,lingfield (aw),2:20,50/1,0.048768844,0.03991512222828002,2.035671233642281,4.071342467284562,STRONG BET,Rob Hornby,Ronald Harris,57
annexation,lingfield (aw),3:20,20/1,0.043648604,0.007295701746487304,0.15320973667623328,0.7660486833811664,STRONG BET,Jack Doughty,Tony Carroll,78
saturday again,lingfield (aw),3:50,50/1,0.043417893,0.03509926632828002,1.790062582742281,3.5801251654845623,STRONG BET,Paddy Bradley,Simon Dow,51
honour your dreams,lingfield (aw),1:20,20/1,0.04181067,0.005641561146487298,0.11847278407623318,0.5923639203811659,STRONG BET,Paddy Bradley,Michael Attwater,73
world of darcy,lingfield (aw),2:20,20/1,0.040250935,0.004237799646487295,0.08899379257623319,0.44496896288116594,STRONG BET,Luke Morris,John Ryan,59
stapleford park,lingfield (aw),4:20,22/1,0.03426831,0.0029942238959697054,0.06886714960730322,0.31303249821501467,STRONG BET,Joe Leavy,Michael Attwater,74
resilient lady,lingfield (aw),2:20,33/1,0.03265242,0.015606419059652564,0.5306182480281871,1.6079340849339003,STRONG BET,Charles Bishop,Gary Brown,62
penfolds grange,lingfield (aw),3:20,28/1,0.02318427,0.002014090144845257,0.058408614200512465,0.20860219357325882,STRONG BET,William Carson,Mark Pattinson,82
pookie holler,thurles,4:25,4/1,0.22014855,0.019238705295126945,0.09619352647563484,2.404838161890871,STRONG BET,Darragh O'Keeffe,Henry De Bromhead,119
michonne,thurles,2:25,12/1,0.12821645,0.054102733842458006,0.7033355399519541,5.0,STRONG BET,Donagh Meyler,Mrs John Harrington,105
fighting fit,thurles,4:25,10/1,0.1258243,0.037963784856444,0.4176016334208841,4.176016334208841,STRONG BET,Mark Walsh,J P Dempsey,120
john dixen,thurles,2:25,200/1,0.07726914,0.08019810738742546,16.119819584872516,5.0,STRONG BET,Tiernan Power Roche,P J Rothwell,51
real empire,thurles,3:25,50/1,0.04903689,0.04015636362828001,2.0479745450422806,4.095949090084561,STRONG BET,Dylan O'Connor,John Joseph Hanlon,99
crest of light,thurles,2:25,100/1,0.04033871,0.042034854666525005,4.245520321319026,4.245520321319026,STRONG BET,Danny Gilligan,Cian Collins,59
ballingurteen,thurles,3:55,25/1,0.038344517,0.011679532603996456,0.30366784770390787,1.2146713908156315,STRONG BET,John Shinnick,Terence O'Brien,71
danalii,thurles,3:55,40/1,0.034145445,0.021971662363095897,0.9008381568869317,2.2520953922173295,STRONG BET,Jack G Gilligan,Paul John Gilligan,-
supreme axel,thurles,3:55,100/1,0.03349155,0.035872410666525016,3.623113477319027,3.6231134773190266,STRONG BET,Josh Younge,James Andrew Fahey,68
ode to joy,thurles,2:55,200/1,0.029677548,0.037365674587425464,7.510500592072518,3.755250296036259,STRONG BET,Gavin Brouder,William J McLernon,56
private policy,thurles,3:55,40/1,0.02966041,0.017935130863095887,0.7353403653869315,1.8383509134673286,STRONG BET,Paddy Cleary,Nigel Thomas Slevin,-
sacramental,thurles,3:55,40/1,0.028145865,0.01657204036309589,0.6794536548869314,1.6986341372173288,STRONG BET,Thomas O'Connor,J R Finn,71
shuil swift,thurles,3:55,40/1,0.027789444,0.01625126146309589,0.6663017199869317,1.6657542999673294,STRONG BET,Mr A D Bustin,C Byrnes,82
teagarden jazz,thurles,3:25,50/1,0.027200114,0.020503265228280013,1.0456665266422807,2.0913330532845613,STRONG BET,Philip Donovan,Charlie Keegan,102
ferdia,thurles,4:25,50/1,0.026330838,0.019720916828280012,1.0057667582422805,2.011533516484561,STRONG BET,Brian Barry,John Patrick Ryan,-
not leaving yet,thurles,3:55,66/1,0.025144145,0.023335363131206557,1.5634693297908395,2.3688929239255145,STRONG BET,Dylan Whelan,Robert Murphy,76
bee bright,thurles,3:25,40/1,0.022245856,0.01126203226309589,0.46174332278693164,1.154358306967329,STRONG BET,Ryan Treacy,Timothy Doyle,-
venturi effect,thurles,3:25,40/1,0.022165943,0.011190110563095886,0.4587945330869314,1.1469863327173284,STRONG BET,Cian Quirke,Timothy Doyle,-
masons apron,thurles,2:55,150/1,0.021919228,0.028735794409243523,4.339104955795772,2.8927366371971814,STRONG BET,Brian Hayes,Liam P Cusack,71
two can plan,thurles,2:55,200/1,0.021504734,0.030010141987425465,6.032038539472518,3.016019269736259,STRONG BET,Cian Quirke,Andrew Slattery,-
o'grady cracker,thurles,2:25,50/1,0.019418662,0.013499958428280015,0.6884978798422807,1.3769957596845614,STRONG BET,Cian Quirke,Andrew Slattery,97
ehteyat,thurles,2:55,100/1,0.018196676,0.02210702406652501,2.2328094307190263,2.2328094307190263,STRONG BET,Danny Mullins,M K Flannery,-
thisain'tthat,thurles,2:55,150/1,0.017733864,0.02496896680924352,3.7703139881957712,2.513542658797181,STRONG BET,,M A Molloy,-
thelittlevillager,thurles,2:25,150/1,0.017484056,0.024744139609243522,3.736365080995772,2.4909100539971814,STRONG BET,Dylan Robinson,P J Rothwell,-
padre bay,thurles,2:25,125/1,0.017087664,0.023073395429026977,2.907247824057399,2.325798259245919,STRONG BET,Ricky Doyle,Thomas Cleary,68
zolpharine,thurles,3:25,50/1,0.016600719,0.01096380972828001,0.5591542961422806,1.1183085922845613,STRONG BET,Daniel King,John Patrick Ryan,107
thetwocharlies,thurles,2:55,150/1,0.016543197,0.023897366509243522,3.608502342895772,2.405668228597181,STRONG BET,Josh Younge,James Andrew Fahey,-
ballindenisk,thurles,2:55,150/1,0.015649797,0.023093306509243523,3.487089282895772,2.324726188597181,STRONG BET,E Walsh,John Joseph Murphy,74
bloomhill,thurles,1:55,40/1,0.01538947,0.005091284863095888,0.20874267938693136,0.5218566984673284,STRONG BET,Mr D Doyle,Thomas Cleary,-
glory sky,thurles,3:25,50/1,0.014955639,0.009483237728280011,0.48364512414228056,0.9672902482845611,STRONG BET,Liam Quinlan,Ray Hackett,100
smooth talker,thurles,2:55,150/1,0.013409254,0.021076817809243524,3.1825994891957716,2.121732992797181,STRONG BET,,Patrick Griffin,-
max meridius,thurles,2:55,150/1,0.012718708,0.020455326409243524,3.088754287795772,2.059169525197181,STRONG BET,Simon Torrens,Thomas Mullins,72
bajan excell,thurles,1:25,100/1,0.012472491,0.01695525756652501,1.7124810142190259,1.712481014219026,STRONG BET,Patrick M O'Brien,Ms Claire O'Connell,88
ballyhasty,thurles,2:55,200/1,0.011655921,0.021146210287425464,4.250388267772518,2.125194133886259,STRONG BET,Eoin Staples,W J Austin,-
max time,thurles,3:25,50/1,0.010552893,0.005520766328280011,0.2815590827422805,0.563118165484561,STRONG BET,Paddy Cleary,I Madden,98
poppycon,thurles,2:55,66/1,0.009174359,0.008962555731206556,0.6004912339908393,0.9098352030164231,STRONG BET,Phillip Enright,Eoin Doyle,101
quietrunsthedon,thurles,2:55,200/1,0.008930549,0.01869337548742546,3.7573684729725176,1.878684236486259,STRONG BET,John Shinnick,Liam P Cusack,82
mister loolah,thurles,1:55,50/1,0.008607748,0.0037701358282800114,0.19227692724228063,0.38455385448456125,STRONG BET,Mr Andrew Burke-Ott,Alexander Ott,90
mister rockefeller,thurles,3:25,66/1,0.007902965,0.007818301131206554,0.5238261757908391,0.7936760239255137,STRONG BET,Josh Williamson,F Costello,98
cold old fire,thurles,1:55,50/1,0.007824884,0.0030655582282800124,0.15634346964228052,0.31268693928456104,STRONG BET,Mr D Allen,Raymond Hurley,95
deise crystal,thurles,2:55,200/1,0.0075289975,0.01743197913742546,3.5038278066225175,1.751913903311259,STRONG BET,Sean O'Keeffe,Sean Aherne,101
concert party,thurles,2:25,66/1,0.0074733053,0.007431607401206556,0.4979176958808391,0.7544207513346047,STRONG BET,Philip Donovan,Denis Gerard Hogan,100
dream angel,thurles,2:25,150/1,0.007445007,0.015708995509243522,2.372058321895772,1.5813722145971814,STRONG BET,Jordan Gainford,Cian Collins,82
shallow bowles,thurles,2:55,66/1,0.0070925085,0.007088890281206553,0.4749556488408391,0.7196297709709684,STRONG BET,Niall Moore,Denis Leahy,111
ballinaboola gold,thurles,2:55,200/1,0.006620568,0.01661439258742546,3.3394929100725177,1.6697464550362588,STRONG BET,,R Donohoe,85
dalcassian girl,wincanton,1:33,125/1,0.045756884,0.04887569342902698,6.1583373720573995,4.92666989764592,STRONG BET,Bryan Carver,Chris Honour,-
miss jaffa cake,wincanton,1:33,125/1,0.045756884,0.04887569342902698,6.1583373720573995,4.92666989764592,STRONG BET,Ben Poste,Polly Gundry,-
moonlight stride,wincanton,1:33,200/1,0.045756884,0.051837076987425464,10.419252474472518,5.0,STRONG BET,Sean Houlihan,Philip Hobbs & Johnson White,-
ballynorth,wincanton,1:33,25/1,0.04543218,0.018058429303996454,0.46951916190390786,1.8780766476156314,STRONG BET,Ben Jones,Ben Pauling,92
poet's muse,wincanton,1:33,20/1,0.038033973,0.002242533846487302,0.047093210776233185,0.2354660538811659,STRONG BET,Lorcan Williams,I Chanin,-
svelte silhouette,wincanton,1:33,28/1,0.036760937,0.014233090444845262,0.4127596229005126,1.4741415103589737,STRONG BET,Daniel Sansom,Seamus Mullins,-
forest hills,wincanton,2:33,150/1,0.036127314,0.04152307180924352,6.269983843195772,4.179989228797181,STRONG BET,James Davies,Carroll Gray,48
italian spirit,wincanton,2:03,50/1,0.034759182,0.027306426428280017,1.392627747842281,2.785255495684562,STRONG BET,James Best,Harriet Dickin,-
wassailing along,wincanton,1:33,33/1,0.027236236,0.010731853459652559,0.364883017628187,1.105706114024809,STRONG BET,Brendan Powell,Joe Tizzard,95
anthracite,wincanton,2:33,100/1,0.026957469,0.029991737766525008,3.0291655144190264,3.0291655144190264,STRONG BET,James Best,Neil Mulholland,62
mistress fox,wincanton,2:33,100/1,0.02318792,0.026599143666525014,2.6865135103190267,2.6865135103190267,STRONG BET,Bradley Harris,Neil Mulholland,-
lord chamberlain,wincanton,2:33,50/1,0.019055057,0.013172713928280011,0.6718084103422806,1.3436168206845611,STRONG BET,Robert Dunne,Dominic Elsworth,-
viva vincente,wincanton,2:33,33/1,0.018628195,0.002984616559652563,0.1014769630281871,0.3075059485702639,STRONG BET,Conor Ring,Evan Williams,-
galactic princess,wincanton,2:33,100/1,0.01740057,0.021390528666525015,2.1604433953190267,2.1604433953190267,STRONG BET,Robbie David,Daisy Hitchins,70
rob's spirit,wincanton,4:33,80/1,0.014876396,0.016674083153189235,1.350600735408328,1.68825091926041,STRONG BET,Mr Eddie Edge,Nick Scholfield,65
marhaba million,wincanton,2:33,150/1,0.014443467,0.022007609509243523,3.3231490358957716,2.215432690597181,STRONG BET,Rex Dingle,Syd Hosie,78
pink perjury,wincanton,4:33,40/1,0.013732829,0.0036003079630958883,0.14761262648693152,0.3690315662173288,STRONG BET,Ben Poste,Polly Gundry,-
richforadaay,wincanton,2:33,100/1,0.012365492,0.016858958466525013,1.7027548051190267,1.7027548051190267,STRONG BET,Ciaran Gethings,I Chanin,83
stopherandgo,wincanton,3:03,40/1,0.012043868,0.002080243063095885,0.08528996558693125,0.21322491396732812,STRONG BET,Ben Poste,Kevin Pickard,87
spring serenade,wincanton,2:33,66/1,0.011462668,0.011022033831206557,0.7384762666908393,1.1189034343800597,STRONG BET,Luke Scott,Kevin Bishop,84
for old times sake,wincanton,2:33,50/1,0.011257392,0.00615481542828001,0.3138955868422806,0.6277911736845612,STRONG BET,Conor O'Farrell,Neil Mulholland,96
tobi kanobee,wincanton,2:33,50/1,0.010946864,0.005875340228280013,0.2996423516422806,0.5992847032845612,STRONG BET,Ben Godfrey,Claire Hitch,96
dreamfyre dancer,wincanton,4:33,50/1,0.010883534,0.00581834322828001,0.2967355046422804,0.5934710092845608,STRONG BET,Ciaran Gethings,Alastair Ralph,76
stone cold,wincanton,2:33,100/1,0.010126262,0.014843651466525014,1.4992087981190263,1.4992087981190263,STRONG BET,Stan Sheppard,Matt Sheppard,97
