track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,13:55,Yielding To Soft,2m 57y,It'sallabouteve (IRE),A. M. McCurtin,3,Brendan Maurice Walsh,6th,8 1/2 l,6,11-5,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Fascinating Shadow (IRE),Jordan Colin Gainford,0,John Joseph Hanlon,5th,1 1/4 l,4,11-9,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Hiaou (FR),J. W. Kennedy,0,Gordon Elliott,4th,12 l,5,11-12,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Rowdy Romeo (IRE),J. J. Slevin,0,Mrs Caroline McCaldin,3rd,8 1/2 l,5,11-3,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Falcon Eight (IRE),D. J. O'Keeffe,0,D. K. Weld,2nd,7 1/2 l,7,11-9v,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Tax For Max (GER),P. Townend,0,W. P. Mullins,1st,N/A,5,11-9t1,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,It'sallabouteve (IRE),A. M. McCurtin,3,Brendan Maurice Walsh,6th,8 1/2 l,6,11-5,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Fascinating Shadow (IRE),Jordan Colin Gainford,0,John Joseph Hanlon,5th,1 1/4 l,4,11-9,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Hiaou (FR),J. W. Kennedy,0,Gordon Elliott,4th,12 l,5,11-12,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Rowdy Romeo (IRE),J. J. Slevin,0,Mrs Caroline McCaldin,3rd,8 1/2 l,5,11-3,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Falcon Eight (IRE),D. J. O'Keeffe,0,D. K. Weld,2nd,7 1/2 l,7,11-9v,-,True,33,11
N/A,N/A,13:55,Yielding To Soft,2m 57y,Tax For Max (GER),P. Townend,0,W. P. Mullins,1st,N/A,5,11-9t1,-,True,33,11
N/A,N/A,14:25,Yielding To Soft,2m 57y,Coolnacritta (IRE),R. A. Doyle,0,Mark Fahey,PU,N/A,7,11-6,108,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Grand Cru Chatho (FR),Phillip Enright,0,Edward Cawley,17th,18 l,6,10-6t,94,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Cafe Con Leche (IRE),P. Byrnes,5,Noel C. Kelly,16th,2 3/4 l,6,12-0,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Forrard Away (IRE),Keith Donoghue,0,J. T. R. Dreaper,15th,3 l,7,11-11b1,113,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Future Proof (IRE),D. J. O'Keeffe,0,P. J. Rothwell,14th,1 3/4 l,7,11-0p,102,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Serpolette (IRE),Jordan Colin Gainford,0,E. D. Delany,13th,3 3/4 l,7,10-9t,97,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Ricky Langford (IRE),C. Owens,7,P. J. Rothwell,12th,1/2 l,8,10-10,98,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Justicialism (IRE),S. Fitzgerald,3,B. R. Hamilton,11th,3 3/4 l,4,11-12b,114,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pidoyne (IRE),Rachael Blackmore,0,Henry de Bromhead,10th,4 1/4 l,4,10-3,91,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Strange Notions (IRE),E. Walsh,5,Charles O'Brien,9th,1/2 l,8,12-0t,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pats Choice (IRE),Davy Russell,0,Gordon Elliott,8th,4 3/4 l,5,12-0b,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pythion (FR),Miss A. L. Fitzgibbon,7,Michael Winters,7th,2 l,6,11-8p,110,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,The Truant (IRE),E. A. Fitzgerald,7,Peter Fahey,6th,3 3/4 l,5,10-12h,100,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Harvey's Quay (IRE),M. P. Walsh,0,E. J. O'Grady,5th,Head,6,12-0h1,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,The Connector (IRE),S. D. Torrens,0,M. Hourigan,4th,3 1/2 l,4,10-4,92,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Look Dont Touch (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,3rd,3 l,7,11-6t,108,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Halsafari (IRE),C. M. Quirke,7,Michael J. Bowe,2nd,Nose,9,11-13p,115,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pike County (IRE),C. G. O'Dwyer,7,Mrs Denise Foster,1st,N/A,9,11-11p,113,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Coolnacritta (IRE),R. A. Doyle,0,Mark Fahey,PU,N/A,7,11-6,108,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Grand Cru Chatho (FR),Phillip Enright,0,Edward Cawley,17th,18 l,6,10-6t,94,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Cafe Con Leche (IRE),P. Byrnes,5,Noel C. Kelly,16th,2 3/4 l,6,12-0,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Forrard Away (IRE),Keith Donoghue,0,J. T. R. Dreaper,15th,3 l,7,11-11b1,113,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Future Proof (IRE),D. J. O'Keeffe,0,P. J. Rothwell,14th,1 3/4 l,7,11-0p,102,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Serpolette (IRE),Jordan Colin Gainford,0,E. D. Delany,13th,3 3/4 l,7,10-9t,97,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Ricky Langford (IRE),C. Owens,7,P. J. Rothwell,12th,1/2 l,8,10-10,98,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Justicialism (IRE),S. Fitzgerald,3,B. R. Hamilton,11th,3 3/4 l,4,11-12b,114,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pidoyne (IRE),Rachael Blackmore,0,Henry de Bromhead,10th,4 1/4 l,4,10-3,91,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Strange Notions (IRE),E. Walsh,5,Charles O'Brien,9th,1/2 l,8,12-0t,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pats Choice (IRE),Davy Russell,0,Gordon Elliott,8th,4 3/4 l,5,12-0b,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pythion (FR),Miss A. L. Fitzgibbon,7,Michael Winters,7th,2 l,6,11-8p,110,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,The Truant (IRE),E. A. Fitzgerald,7,Peter Fahey,6th,3 3/4 l,5,10-12h,100,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Harvey's Quay (IRE),M. P. Walsh,0,E. J. O'Grady,5th,Head,6,12-0h1,116,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,The Connector (IRE),S. D. Torrens,0,M. Hourigan,4th,3 1/2 l,4,10-4,92,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Look Dont Touch (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,3rd,3 l,7,11-6t,108,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Halsafari (IRE),C. M. Quirke,7,Michael J. Bowe,2nd,Nose,9,11-13p,115,True,33,12
N/A,N/A,14:25,Yielding To Soft,2m 57y,Pike County (IRE),C. G. O'Dwyer,7,Mrs Denise Foster,1st,N/A,9,11-11p,113,True,33,12
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,No Risk No Story (IRE),Peter Carberry,0,Brian M. McMahon,14th,12 l,4,11-0,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Finding Freedom (IRE),Jordan Colin Gainford,0,John Joseph Hanlon,13th,13 l,4,11-7,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Just Another Day (IRE),E. Walsh,5,Ciaran Murphy,12th,13 l,4,11-9,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Gigantamax Eevee (IRE),L. A. McKenna,7,Matthew J. Smith,11th,11 l,4,11-0,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Broken Bond (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,10th,3 1/4 l,6,11-8,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Aide De Camp (IRE),D. King,5,Denis Hogan,9th,7 l,4,11-9,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Maria's Serpent (IRE),D. J. O'Keeffe,0,E. J. O'Grady,8th,1 3/4 l,6,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Champ De Gane (FR),J. J. Slevin,0,Stuart Crawford,7th,10 l,5,11-12t,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Green Glory (IRE),P. Byrnes,5,Charles Byrnes,6th,1/2 l,5,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Sam's Choice (IRE),J. W. Kennedy,0,Gordon Elliott,5th,2 1/4 l,6,11-12b,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Demandrivingdouvan (IRE),Davy Russell,0,Gordon Elliott,4th,1 3/4 l,5,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Silver King (IRE),R. J. Condon,5,Oliver McKiernan,3rd,Head,6,11-10ht,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Bleu D'enfer (FR),Sam Ewing,0,Stuart Crawford,2nd,12 l,4,11-9t,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Sandor Clegane (IRE),S. F. O'Keeffe,0,Paul Nolan,1st,N/A,5,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,No Risk No Story (IRE),Peter Carberry,0,Brian M. McMahon,14th,12 l,4,11-0,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Finding Freedom (IRE),Jordan Colin Gainford,0,John Joseph Hanlon,13th,13 l,4,11-7,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Just Another Day (IRE),E. Walsh,5,Ciaran Murphy,12th,13 l,4,11-9,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Gigantamax Eevee (IRE),L. A. McKenna,7,Matthew J. Smith,11th,11 l,4,11-0,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Broken Bond (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,10th,3 1/4 l,6,11-8,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Aide De Camp (IRE),D. King,5,Denis Hogan,9th,7 l,4,11-9,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Maria's Serpent (IRE),D. J. O'Keeffe,0,E. J. O'Grady,8th,1 3/4 l,6,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Champ De Gane (FR),J. J. Slevin,0,Stuart Crawford,7th,10 l,5,11-12t,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Green Glory (IRE),P. Byrnes,5,Charles Byrnes,6th,1/2 l,5,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Sam's Choice (IRE),J. W. Kennedy,0,Gordon Elliott,5th,2 1/4 l,6,11-12b,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Demandrivingdouvan (IRE),Davy Russell,0,Gordon Elliott,4th,1 3/4 l,5,11-10,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Silver King (IRE),R. J. Condon,5,Oliver McKiernan,3rd,Head,6,11-10ht,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Bleu D'enfer (FR),Sam Ewing,0,Stuart Crawford,2nd,12 l,4,11-9t,-,True,33,13
N/A,N/A,14:55,Yielding To Soft,2m 5f 150y,Sandor Clegane (IRE),S. F. O'Keeffe,0,Paul Nolan,1st,N/A,5,11-10,-,True,33,13
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Danny The Fence (IRE),Donagh Meyler,0,Karl Thornton,22nd,3 1/2 l,5,11-2,90,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Reserve Judgement (IRE),S. D. Torrens,0,John McConnell,21st,12 l,6,11-4,92,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Memory of Youth (IRE),E. Walsh,0,Mrs Denise Foster,20th,Neck,8,12-0b,102,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Siberian Star,C. Owens,7,P. J. Rothwell,19th,1/2 l,7,11-9,97,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Imperial Kate (IRE),P. T. Smithers,0,Jarlath P. Fahey,18th,Short Head,7,11-9,97,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Son of Mahler (IRE),C. A. Landers,0,Mark McNiff,17th,2 l,6,11-5,93,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Touch of Oscar (IRE),D. J. O'Keeffe,0,M. Hourigan,16th,1 3/4 l,8,11-11b,99,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Tango Theatre (IRE),B. Hayes,0,John McConnell,15th,1 1/4 l,7,11-8tp,96,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Anyonecanhaveitall,M. J. M. O'Sullivan,5,Eoin Doyle,14th,Short Head,6,11-12p,100,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Breezy Bell (GER),L. A. McKenna,7,Edward Cawley,13th,1 1/2 l,7,11-10t,98,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Sean Says (IRE),Phillip Enright,0,Rodger Sweeney,12th,Short Head,6,12-0p,102,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Glenabo Bridge (IRE),J. I. Duggan,7,Oliver McKiernan,11th,2 3/4 l,11,11-2tp,90,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Mrs Paisley (IRE),P. Byrnes,5,Patrick Eugene Turley,10th,Short Head,4,11-4,93,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Crossgaleschicflic (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,9th,5 1/2 l,5,11-2,90,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Ceanndana (IRE),S. O'Callaghan,7,Ross O'Sullivan,8th,Neck,5,11-1p,89,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Bentham (IRE),K. E. Buckley,5,Gavin Patrick Cromwell,7th,1 3/4 l,8,11-8,96,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Alfieri (IRE),Mr J. W. Reilly,7,Ross O'Sullivan,6th,1 3/4 l,5,12-0,102,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Cher Why Not (IRE),C. M. Quirke,7,Timothy Doyle,5th,1 l,10,11-3,91,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Iridescent (USA),M. P. Fogarty,0,Jonathan Fogarty,4th,1/2 l,8,11-9,97,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Verdant Place (IRE),M. P. Walsh,0,Patrick T. Foley,3rd,1 1/4 l,4,11-10,99,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Clear The Clouds (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,2nd,3/4 l,4,11-4,93,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Penny Jar (IRE),C. P. McNamara,0,Patrick Downey,1st,N/A,6,11-8tp,96,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Danny The Fence (IRE),Donagh Meyler,0,Karl Thornton,22nd,3 1/2 l,5,11-2,90,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Reserve Judgement (IRE),S. D. Torrens,0,John McConnell,21st,12 l,6,11-4,92,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Memory of Youth (IRE),E. Walsh,0,Mrs Denise Foster,20th,Neck,8,12-0b,102,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Siberian Star,C. Owens,7,P. J. Rothwell,19th,1/2 l,7,11-9,97,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Imperial Kate (IRE),P. T. Smithers,0,Jarlath P. Fahey,18th,Short Head,7,11-9,97,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Son of Mahler (IRE),C. A. Landers,0,Mark McNiff,17th,2 l,6,11-5,93,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Touch of Oscar (IRE),D. J. O'Keeffe,0,M. Hourigan,16th,1 3/4 l,8,11-11b,99,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Tango Theatre (IRE),B. Hayes,0,John McConnell,15th,1 1/4 l,7,11-8tp,96,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Anyonecanhaveitall,M. J. M. O'Sullivan,5,Eoin Doyle,14th,Short Head,6,11-12p,100,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Breezy Bell (GER),L. A. McKenna,7,Edward Cawley,13th,1 1/2 l,7,11-10t,98,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Sean Says (IRE),Phillip Enright,0,Rodger Sweeney,12th,Short Head,6,12-0p,102,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Glenabo Bridge (IRE),J. I. Duggan,7,Oliver McKiernan,11th,2 3/4 l,11,11-2tp,90,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Mrs Paisley (IRE),P. Byrnes,5,Patrick Eugene Turley,10th,Short Head,4,11-4,93,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Crossgaleschicflic (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,9th,5 1/2 l,5,11-2,90,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Ceanndana (IRE),S. O'Callaghan,7,Ross O'Sullivan,8th,Neck,5,11-1p,89,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Bentham (IRE),K. E. Buckley,5,Gavin Patrick Cromwell,7th,1 3/4 l,8,11-8,96,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Alfieri (IRE),Mr J. W. Reilly,7,Ross O'Sullivan,6th,1 3/4 l,5,12-0,102,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Cher Why Not (IRE),C. M. Quirke,7,Timothy Doyle,5th,1 l,10,11-3,91,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Iridescent (USA),M. P. Fogarty,0,Jonathan Fogarty,4th,1/2 l,8,11-9,97,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Verdant Place (IRE),M. P. Walsh,0,Patrick T. Foley,3rd,1 1/4 l,4,11-10,99,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Clear The Clouds (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,2nd,3/4 l,4,11-4,93,True,33,14
N/A,N/A,15:25,Yielding To Soft,2m 5f 150y,Penny Jar (IRE),C. P. McNamara,0,Patrick Downey,1st,N/A,6,11-8tp,96,True,33,14
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Do Little (IRE),G. M. Ryan,0,Michael J. Browne,14th,4 1/2 l,2,8-13b1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Via Del Bacio (IRE),Siobhan Rutledge,0,John Andrew Kinsella,13th,3 1/2 l,2,8-8t1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Spring Collection,W. M. Lordan,0,David Harry Kelly,12th,2 3/4 l,2,8-10,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Market House (IRE),Seamie Heffernan,0,Barry Connell,11th,3 l,2,9-9,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Quick Blessing (IRE),R. Whearty,7,Gavin Patrick Cromwell,10th,3/4 l,2,9-5,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Zentopia (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,9th,1 1/4 l,2,8-13,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Dromantine (IRE),R. P. Whelan,0,M. Halford,8th,Neck,2,9-4,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,La Tulipe Noire (IRE),Shane Foley,0,Ciaran Murphy,7th,Head,2,8-8b1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Ledger (IRE),C. D. Hayes,0,Paul Traynor,6th,Neck,2,9-1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Seven Hills (IRE),R. P. Cleary,0,C. W. J. Farrell,5th,1/2 l,2,9-1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Tabuk (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,4th,1/2 l,2,9-3,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Bitacora (IRE),N. M. Crosse,0,Joe Conlon,3rd,Head,2,8-8,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Den Of Iniquity,M. P. Sheehy,0,Joseph Patrick O'Brien,2nd,Neck,2,9-2,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Shangrilama (IRE),L. F. Roche,0,Noel Meade,1st,N/A,2,8-10,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Do Little (IRE),G. M. Ryan,0,Michael J. Browne,14th,4 1/2 l,2,8-13b1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Via Del Bacio (IRE),Siobhan Rutledge,0,John Andrew Kinsella,13th,3 1/2 l,2,8-8t1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Spring Collection,W. M. Lordan,0,David Harry Kelly,12th,2 3/4 l,2,8-10,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Market House (IRE),Seamie Heffernan,0,Barry Connell,11th,3 l,2,9-9,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Quick Blessing (IRE),R. Whearty,7,Gavin Patrick Cromwell,10th,3/4 l,2,9-5,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Zentopia (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,9th,1 1/4 l,2,8-13,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Dromantine (IRE),R. P. Whelan,0,M. Halford,8th,Neck,2,9-4,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,La Tulipe Noire (IRE),Shane Foley,0,Ciaran Murphy,7th,Head,2,8-8b1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Ledger (IRE),C. D. Hayes,0,Paul Traynor,6th,Neck,2,9-1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Seven Hills (IRE),R. P. Cleary,0,C. W. J. Farrell,5th,1/2 l,2,9-1,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Tabuk (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,4th,1/2 l,2,9-3,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Bitacora (IRE),N. M. Crosse,0,Joe Conlon,3rd,Head,2,8-8,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Den Of Iniquity,M. P. Sheehy,0,Joseph Patrick O'Brien,2nd,Neck,2,9-2,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:00,N/A,14:00,Standard,7f,Shangrilama (IRE),L. F. Roche,0,Noel Meade,1st,N/A,2,8-10,-,True,33,15
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Patrick Street,M. P. Sheehy,0,Patrick Martin,14th,Neck,3,9-10tp,60,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,War Hero (IRE),Shane Foley,0,James McAuley,13th,6 1/2 l,7,9-4tv,53,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Breakfast Club,J. J. G. Ryan,7,James McAuley,12th,Neck,5,8-12tb,47,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Chica Power (IRE),C. T. Keane,0,Ciaran Murphy,11th,1 1/4 l,4,9-10b,59,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Drummond Warrior (IRE),K. J. Leonard,0,R. K. Watson,10th,1 1/2 l,6,8-12b,47,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Feature This (IRE),L. T. McAteer,3,Paul W. Flynn,9th,1 l,3,9-4,54,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Leabaland (IRE),Seamie Heffernan,0,M. M. Lynch,8th,3/4 l,5,9-12p,61,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Sadiqaa (IRE),J. M. Sheridan,3,Denis Hogan,7th,Head,4,9-11b1,60,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Flag High (IRE),D. W. O'Connor,0,John McConnell,6th,1/2 l,3,9-4h,54,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Woodrow (IRE),M. A. Enright,0,Leanne Breen,5th,Neck,5,9-9,58,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Airgead (IRE),L. F. Roche,0,Mrs Prunella Dobbs,4th,1/2 l,6,8-12v,47,True,33,16
Dundalk Racing Results | 30th November 2022 14:30,N/A,14:30,Standard,7f,Delta Romeo (IRE),William James Lee,0,G. O'Leary,3rd,3/4 l,4,9-10tb,59,True,33,16
