track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,You Played Well (IRE),Mr P J Cody,7,K Purcell,7th,4 1/4 l,3,11-0,-,True,154,24
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,You Done Well (IRE),D Meyler,0,K Purcell,6th,4 1/2 l,3,11-0,-,True,154,24
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,Castleheath (IRE),E Walsh,0,Ciaran Murphy,5th,Head,3,11-0,-,True,154,24
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,Carried With Love (IRE),S D Torrens,0,J P O'Brien,4th,2 l,3,10-7,-,True,154,24
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,Lakota Blue (FR),Sam Ewing,0,G Elliott,3rd,7 l,3,11-0,-,True,154,24
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,Turn And Finish (IRE),R Deegan,0,J P O'Brien,2nd,1 1/4 l,3,11-0,-,True,154,24
Cork Racing Results | 8th December 2024 12:03,N/A,12:03,Soft (Yielding To Soft In Places),1m 7f 145y,Puturhandstogether (IRE),M P Walsh,0,J P O'Brien,1st,N/A,3,11-0,-,True,154,24
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Simpson's Paradox (IRE),A M King,7,J A Kinsella,NR,N/A,4,11-12t,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Wakey Wakey Man (IRE),R Deegan,0,J Dullea,NR,N/A,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Teds Corner (IRE),Non Runner,0,A J Martin,NR,N/A,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Presenting Max (IRE),Non Runner,0,A J Martin,NR,N/A,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Famous Sonnet (IRE),E M O'Sullivan,7,Ms M Flynn,UR,N/A,7,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Park That (IRE),S D Torrens,0,E Bolger,F,N/A,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Spring Evening (IRE),J P O'Sullivan,0,Yvonne Latta,18th,17 l,4,11-12h1,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Hitthehayson (IRE),T Power Roche,7,P J Rothwell,17th,48 l,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Notimelikedpresent (IRE),J S McGarvey,0,R Tyner,16th,4 3/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Mujeres Isla (IRE),R P Treacy,0,R Tyner,15th,1 3/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Kilcrea Castle (IRE),M P O'Connor,0,J J Mangan,14th,Neck,4,11-12h1,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Lost Features (IRE),J G Gilligan,5,D Collins,13th,3 3/4 l,4,11-5,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Aclass (IRE),C M Quirke,5,J P Flavin,12th,3 1/4 l,6,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,A Family Affair (IRE),J P Shinnick,5,T O'Brien,11th,2 1/4 l,4,11-5,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Comanche Moon (IRE),S F O'Keeffe,0,C Byrnes,10th,11 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Rocky Rock On (IRE),K M Donoghue,0,E Cawley,9th,7 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Big Dispute (IRE),P T Enright,0,Con McSweeney,8th,3 1/4 l,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,James The Brave (IRE),B Hayes,0,Padraig Butler,7th,1 1/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Shadow Paddy (IRE),G B Noonan,5,E McCarthy,6th,24 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Titanium (FR),E Walsh,0,Ciaran Murphy,5th,3/4 l,5,11-12t,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Pure Steel (IRE),M P Walsh,0,J J Mangan,4th,10 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Icare D'aubrelle (FR),D Meyler,0,T Cooper,3rd,3 1/4 l,6,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Kappa Jy Pyke (FR),P Townend,0,W P Mullins,2nd,4 1/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Sky Lord,D J O'Keeffe,0,H De Bromhead,1st,N/A,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Simpson's Paradox (IRE),A M King,7,J A Kinsella,NR,N/A,4,11-12t,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Wakey Wakey Man (IRE),R Deegan,0,J Dullea,NR,N/A,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Teds Corner (IRE),Non Runner,0,A J Martin,NR,N/A,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Presenting Max (IRE),Non Runner,0,A J Martin,NR,N/A,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Famous Sonnet (IRE),E M O'Sullivan,7,Ms M Flynn,UR,N/A,7,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Park That (IRE),S D Torrens,0,E Bolger,F,N/A,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Spring Evening (IRE),J P O'Sullivan,0,Yvonne Latta,18th,17 l,4,11-12h1,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Hitthehayson (IRE),T Power Roche,7,P J Rothwell,17th,48 l,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Notimelikedpresent (IRE),J S McGarvey,0,R Tyner,16th,4 3/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Mujeres Isla (IRE),R P Treacy,0,R Tyner,15th,1 3/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Kilcrea Castle (IRE),M P O'Connor,0,J J Mangan,14th,Neck,4,11-12h1,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Lost Features (IRE),J G Gilligan,5,D Collins,13th,3 3/4 l,4,11-5,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Aclass (IRE),C M Quirke,5,J P Flavin,12th,3 1/4 l,6,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,A Family Affair (IRE),J P Shinnick,5,T O'Brien,11th,2 1/4 l,4,11-5,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Comanche Moon (IRE),S F O'Keeffe,0,C Byrnes,10th,11 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Rocky Rock On (IRE),K M Donoghue,0,E Cawley,9th,7 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Big Dispute (IRE),P T Enright,0,Con McSweeney,8th,3 1/4 l,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,James The Brave (IRE),B Hayes,0,Padraig Butler,7th,1 1/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Shadow Paddy (IRE),G B Noonan,5,E McCarthy,6th,24 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Titanium (FR),E Walsh,0,Ciaran Murphy,5th,3/4 l,5,11-12t,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Pure Steel (IRE),M P Walsh,0,J J Mangan,4th,10 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Icare D'aubrelle (FR),D Meyler,0,T Cooper,3rd,3 1/4 l,6,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Kappa Jy Pyke (FR),P Townend,0,W P Mullins,2nd,4 1/4 l,4,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 12:33,N/A,12:33,Soft (Yielding To Soft In Places),1m 7f 145y,Sky Lord,D J O'Keeffe,0,H De Bromhead,1st,N/A,5,11-12,-,True,154,25
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Luckinthecity,P Townend,0,W P Mullins,F,N/A,5,11-3,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Churchroad Prince (IRE),M J M O'Sullivan,0,Jonathan Sweeney,5th,3 1/4 l,6,11-0,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Therellbguddaysyet (IRE),D J O'Keeffe,0,M J O'Connor,4th,16 l,8,11-0,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Just For Love (IRE),D E Mullins,0,W P Mullins,3rd,2 1/4 l,5,10-10,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Minella Sixo (IRE),Sam Ewing,0,G Elliott,2nd,2 1/2 l,5,11-3,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Pray Tell (IRE),J P Shinnick,0,D Kenneally,1st,N/A,8,11-0,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Luckinthecity,P Townend,0,W P Mullins,F,N/A,5,11-3,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Churchroad Prince (IRE),M J M O'Sullivan,0,Jonathan Sweeney,5th,3 1/4 l,6,11-0,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Therellbguddaysyet (IRE),D J O'Keeffe,0,M J O'Connor,4th,16 l,8,11-0,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Just For Love (IRE),D E Mullins,0,W P Mullins,3rd,2 1/4 l,5,10-10,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Minella Sixo (IRE),Sam Ewing,0,G Elliott,2nd,2 1/2 l,5,11-3,-,True,154,26
Cork Racing Results | 8th December 2024 13:05,N/A,13:05,Soft (Yielding To Soft In Places),3m 80y,Pray Tell (IRE),J P Shinnick,0,D Kenneally,1st,N/A,8,11-0,-,True,154,26
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Air Drop (IRE),Sam Ewing,0,G Elliott,UR,N/A,6,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Zenta (FR),P Townend,0,W P Mullins,PU,N/A,5,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Must Be Dreaming (IRE),J P Shinnick,0,G Ahern,6th,4 1/4 l,7,10-13tp,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,A Law Of Her Own (IRE),D E Mullins,0,Peter Fahey,5th,8 1/2 l,7,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Kilbarry Saint (FR),D J O'Keeffe,0,C O'Keeffe,4th,4 1/4 l,5,10-13t,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Karia Des Blaises (FR),B Hayes,0,W P Mullins,3rd,4 1/4 l,4,10-7,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Nara (FR),M P Walsh,0,H De Bromhead,2nd,3 3/4 l,4,10-7h,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Only By Night (IRE),S W Flanagan,0,G P Cromwell,1st,N/A,6,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Air Drop (IRE),Sam Ewing,0,G Elliott,UR,N/A,6,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Zenta (FR),P Townend,0,W P Mullins,PU,N/A,5,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Must Be Dreaming (IRE),J P Shinnick,0,G Ahern,6th,4 1/4 l,7,10-13tp,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,A Law Of Her Own (IRE),D E Mullins,0,Peter Fahey,5th,8 1/2 l,7,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Kilbarry Saint (FR),D J O'Keeffe,0,C O'Keeffe,4th,4 1/4 l,5,10-13t,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Karia Des Blaises (FR),B Hayes,0,W P Mullins,3rd,4 1/4 l,4,10-7,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Nara (FR),M P Walsh,0,H De Bromhead,2nd,3 3/4 l,4,10-7h,-,True,154,27
Cork Racing Results | 8th December 2024 13:40,N/A,13:40,Yielding (Yielding To Soft In Places),2m 160y,Only By Night (IRE),S W Flanagan,0,G P Cromwell,1st,N/A,6,10-13,-,True,154,27
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Banbridge (IRE),R Deegan,0,J P O'Brien,UR,N/A,8,12-0,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Ferny Hollow (IRE),Mr P W Mullins,0,W P Mullins,F,N/A,9,11-7h,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Hunters Yarn (IRE),B Hayes,0,W P Mullins,6th,21 l,7,11-4,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,The Banger Doyle (IRE),M J M O'Sullivan,0,J Queally,5th,5 1/2 l,8,11-4,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Blue Lord (FR),D E Mullins,0,W P Mullins,4th,12 l,9,11-4t,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Appreciate It (IRE),S F O'Keeffe,0,W P Mullins,3rd,6 l,10,11-4t,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Dinoblue (FR),M P Walsh,0,W P Mullins,2nd,10 l,7,11-7,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Energumene (FR),P Townend,0,W P Mullins,1st,N/A,10,11-4,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Banbridge (IRE),R Deegan,0,J P O'Brien,UR,N/A,8,12-0,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Ferny Hollow (IRE),Mr P W Mullins,0,W P Mullins,F,N/A,9,11-7h,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Hunters Yarn (IRE),B Hayes,0,W P Mullins,6th,21 l,7,11-4,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,The Banger Doyle (IRE),M J M O'Sullivan,0,J Queally,5th,5 1/2 l,8,11-4,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Blue Lord (FR),D E Mullins,0,W P Mullins,4th,12 l,9,11-4t,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Appreciate It (IRE),S F O'Keeffe,0,W P Mullins,3rd,6 l,10,11-4t,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Dinoblue (FR),M P Walsh,0,W P Mullins,2nd,10 l,7,11-7,-,True,154,28
Cork Racing Results | 8th December 2024 14:15,N/A,14:15,Yielding (Yielding To Soft In Places),2m 160y,Energumene (FR),P Townend,0,W P Mullins,1st,N/A,10,11-4,-,True,154,28
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Aine's Lad (IRE),B W Harvey,0,M J Smith,NR,N/A,5,11-4ht,106,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Whatsafellatodo (IRE),D Meyler,0,Richard Daniels,NR,N/A,11,11-5,107,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Voice Of Reason (IRE),Sam Ewing,0,G Elliott,18th,2 l,4,11-4tp1,106,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,From The Ashes (IRE),R P Treacy,0,C Byrnes,17th,6 1/2 l,7,11-8,110,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Storm Mahler (IRE),C P McNamara,0,E McNamara,16th,4 3/4 l,6,11-3,105,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Walk Away Harry (IRE),S W Flanagan,0,Ian O'Connor,15th,13 l,6,11-8p,110,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Tomjackwilliam (IRE),G B Noonan,5,E McCarthy,14th,Head,7,11-1,103,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Lucky Viv (IRE),J P Shinnick,5,Michael Barry,13th,2 1/4 l,6,11-3,105,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Buck Rogers (IRE),C M Quirke,5,D H Kelly,12th,Neck,9,11-0,102,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Crowsatedappletart (IRE),G Brouder,5,M Winters,11th,3 l,7,10-7,95,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Toor Khov (IRE),L Quinlan,3,Ms M Flynn,10th,1 1/2 l,6,12-0,116,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Another Ocana (IRE),E Walsh,0,L J Archdeacon,9th,Short Head,7,10-9,97,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Glorytogod Tom (IRE),S F O'Keeffe,0,M P Fitzgerald,8th,1 1/2 l,7,11-2h,104,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Killaney King (IRE),D J O'Keeffe,0,H De Bromhead,7th,4 l,6,12-0,116,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,King Ferdinand (IRE),M J M O'Sullivan,0,E M O'Sullivan,6th,3 3/4 l,8,11-2t,104,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Young Lucy (IRE),D King,0,A J Martin,5th,1 3/4 l,5,11-2,104,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Johnny Blue (IRE),P Townend,0,W P Mullins,4th,2 1/4 l,5,11-9,111,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Mercury Mission,T Power Roche,7,P J Rothwell,3rd,1 1/2 l,5,10-13p1,101,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Junior Rattler (IRE),P T Enright,0,O McKiernan,2nd,2 l,9,11-9tp,111,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,One Big Boum (IRE),B Hayes,0,P Fenton,1st,N/A,5,11-5,107,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Aine's Lad (IRE),B W Harvey,0,M J Smith,NR,N/A,5,11-4ht,106,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Whatsafellatodo (IRE),D Meyler,0,Richard Daniels,NR,N/A,11,11-5,107,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Voice Of Reason (IRE),Sam Ewing,0,G Elliott,18th,2 l,4,11-4tp1,106,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,From The Ashes (IRE),R P Treacy,0,C Byrnes,17th,6 1/2 l,7,11-8,110,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Storm Mahler (IRE),C P McNamara,0,E McNamara,16th,4 3/4 l,6,11-3,105,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Walk Away Harry (IRE),S W Flanagan,0,Ian O'Connor,15th,13 l,6,11-8p,110,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Tomjackwilliam (IRE),G B Noonan,5,E McCarthy,14th,Head,7,11-1,103,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Lucky Viv (IRE),J P Shinnick,5,Michael Barry,13th,2 1/4 l,6,11-3,105,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Buck Rogers (IRE),C M Quirke,5,D H Kelly,12th,Neck,9,11-0,102,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Crowsatedappletart (IRE),G Brouder,5,M Winters,11th,3 l,7,10-7,95,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Toor Khov (IRE),L Quinlan,3,Ms M Flynn,10th,1 1/2 l,6,12-0,116,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Another Ocana (IRE),E Walsh,0,L J Archdeacon,9th,Short Head,7,10-9,97,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Glorytogod Tom (IRE),S F O'Keeffe,0,M P Fitzgerald,8th,1 1/2 l,7,11-2h,104,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,Killaney King (IRE),D J O'Keeffe,0,H De Bromhead,7th,4 l,6,12-0,116,True,154,29
Cork Racing Results | 8th December 2024 14:50,N/A,14:50,Soft (Yielding To Soft In Places),2m 4f,King Ferdinand (IRE),M J M O'Sullivan,0,E M O'Sullivan,6th,3 3/4 l,8,11-2t,104,True,154,29
