track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Happy Me (IRE),D J O'Keeffe,0,W J Burke,7th,3/4 l,4,11-7,-,True,113,13
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Katakana (FR),Rachael Blackmore,0,H De Bromhead,6th,1 1/4 l,4,11-0ht,-,True,113,13
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Duchamps Art (IRE),Maite Sarah Laubies,7,Ms M Mullins,5th,7 l,4,11-0,-,True,113,13
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Voice Of Reason (IRE),J C Gainford,0,G Elliott,4th,24 l,4,11-7,-,True,113,13
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Dutch Gold (IRE),D Meyler,0,N Meade,3rd,3 1/4 l,4,11-7,-,True,113,13
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Trustyourinstinct (IRE),S D Torrens,0,J P O'Brien,2nd,1 3/4 l,4,11-7,-,True,113,13
Cork Racing Results | 11th May 2024 14:15,N/A,14:15,Good (Good To Yielding In Places),2m 1f 65y,Palamon (IRE),S W Flanagan,0,P Nolan,1st,N/A,4,11-7t,-,True,113,13
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Star Harbour (IRE),D J O'Keeffe,0,A McGuinness,NR,N/A,6,11-7,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Do The Math (IRE),K E Buckley,0,S Crawley,NR,N/A,5,11-4,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Topothelane (IRE),S F O'Keeffe,0,J P O'Keeffe,9th,13 l,7,11-4,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Lispendense (IRE),S D Torrens,0,D Cullen,8th,6 l,9,11-4,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Ossie's Lodge (IRE),P T Enright,0,A J Martin,7th,1 1/4 l,5,11-8t,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Boom Boom Boom,P Byrnes,3,C Byrnes,6th,Head,7,11-4p,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Barrier (FR),D J Gilligan,3,G Elliott,5th,Neck,4,11-3,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Walmix (FR),Conor Clarke,7,A Mullins,4th,2 l,6,11-7h,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Realism (IRE),M P Walsh,0,J P O'Brien,3rd,2 1/2 l,5,11-5,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Sequoiaspirit (IRE),L Quinlan,5,R Hackett,2nd,3 l,7,11-11,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Master Otis (IRE),S W Flanagan,0,T Mullins,1st,N/A,5,11-5,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Star Harbour (IRE),D J O'Keeffe,0,A McGuinness,NR,N/A,6,11-7,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Do The Math (IRE),K E Buckley,0,S Crawley,NR,N/A,5,11-4,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Topothelane (IRE),S F O'Keeffe,0,J P O'Keeffe,9th,13 l,7,11-4,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Lispendense (IRE),S D Torrens,0,D Cullen,8th,6 l,9,11-4,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Ossie's Lodge (IRE),P T Enright,0,A J Martin,7th,1 1/4 l,5,11-8t,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Boom Boom Boom,P Byrnes,3,C Byrnes,6th,Head,7,11-4p,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Barrier (FR),D J Gilligan,3,G Elliott,5th,Neck,4,11-3,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Walmix (FR),Conor Clarke,7,A Mullins,4th,2 l,6,11-7h,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Realism (IRE),M P Walsh,0,J P O'Brien,3rd,2 1/2 l,5,11-5,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Sequoiaspirit (IRE),L Quinlan,5,R Hackett,2nd,3 l,7,11-11,-,True,113,14
Cork Racing Results | 11th May 2024 14:50,N/A,14:50,Good,2m 1f 65y,Master Otis (IRE),S W Flanagan,0,T Mullins,1st,N/A,5,11-5,-,True,113,14
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Intertwine (FR),S Fitzgerald,0,D Queally,NR,N/A,6,11-7h1,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Thebeautifulgame,E Walsh,0,C Collins,NR,N/A,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Broomfield Gale (IRE),D J O'Keeffe,0,R Murphy,UR,N/A,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Getawiggleon (FR),J P Shinnick,7,M Hourigan,F,N/A,7,11-7h,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Cathedral Rocks (IRE),K E Buckley,0,G P Cromwell,15th,6 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Stone Rosie (IRE),S D Torrens,0,P J Rothwell,14th,10 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lothbeg (IRE),S W Flanagan,0,S R B Crawford,13th,49 l,6,11-7t,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lucy Prunella (IRE),G Brouder,5,M F Morris,12th,Neck,9,11-7t,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lazy Bones (IRE),D J Gilligan,3,G Elliott,11th,2 1/2 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,So Fortunate (IRE),S F O'Keeffe,0,J P O'Keeffe,10th,14 l,7,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Dear Ryta (IRE),Mr L Burke-Ott,7,A Ott,9th,1 1/4 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Daly Pursuit (IRE),G B Noonan,5,Patrick J Hassett,8th,1 1/2 l,7,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lucky Viv (IRE),A McCurtin,0,Michael Barry,7th,6 1/2 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Michal (IRE),B Hayes,0,Colm Murphy,6th,3/4 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Field A Thistles (IRE),R Deegan,0,Ms M Mullins,5th,1/2 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Nells Choice (IRE),C P Millar,7,C Collins,4th,5 1/2 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Rosalys (IRE),Rachael Blackmore,0,H De Bromhead,3rd,1 3/4 l,5,11-7t,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Cast A Spell (IRE),D Meyler,0,T Hogan,2nd,2 1/2 l,6,11-7v,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Jolie Jewel (FR),P T Enright,0,B McMahon,1st,N/A,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Intertwine (FR),S Fitzgerald,0,D Queally,NR,N/A,6,11-7h1,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Thebeautifulgame,E Walsh,0,C Collins,NR,N/A,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Broomfield Gale (IRE),D J O'Keeffe,0,R Murphy,UR,N/A,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Getawiggleon (FR),J P Shinnick,7,M Hourigan,F,N/A,7,11-7h,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Cathedral Rocks (IRE),K E Buckley,0,G P Cromwell,15th,6 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Stone Rosie (IRE),S D Torrens,0,P J Rothwell,14th,10 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lothbeg (IRE),S W Flanagan,0,S R B Crawford,13th,49 l,6,11-7t,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lucy Prunella (IRE),G Brouder,5,M F Morris,12th,Neck,9,11-7t,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lazy Bones (IRE),D J Gilligan,3,G Elliott,11th,2 1/2 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,So Fortunate (IRE),S F O'Keeffe,0,J P O'Keeffe,10th,14 l,7,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Dear Ryta (IRE),Mr L Burke-Ott,7,A Ott,9th,1 1/4 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Daly Pursuit (IRE),G B Noonan,5,Patrick J Hassett,8th,1 1/2 l,7,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Lucky Viv (IRE),A McCurtin,0,Michael Barry,7th,6 1/2 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Michal (IRE),B Hayes,0,Colm Murphy,6th,3/4 l,6,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Field A Thistles (IRE),R Deegan,0,Ms M Mullins,5th,1/2 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Nells Choice (IRE),C P Millar,7,C Collins,4th,5 1/2 l,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Rosalys (IRE),Rachael Blackmore,0,H De Bromhead,3rd,1 3/4 l,5,11-7t,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Cast A Spell (IRE),D Meyler,0,T Hogan,2nd,2 1/2 l,6,11-7v,-,True,113,15
Cork Racing Results | 11th May 2024 15:25,N/A,15:25,Good,2m 3f 50y,Jolie Jewel (FR),P T Enright,0,B McMahon,1st,N/A,5,11-7,-,True,113,15
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Reve Inoui (IRE),D J O'Keeffe,0,J P Flavin,NR,N/A,6,11-8,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Mister Twist (IRE),B Hayes,0,P Fenton,17th,32 l,6,11-8,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Rebel Rose (IRE),A P Kelly,5,M Fahey,16th,1 1/4 l,8,12-0b1,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Benny The Duke (IRE),O R Brown,5,R P Cody,15th,1 1/4 l,7,12-0,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Carrig Rock (IRE),J C Gainford,0,P Croke,14th,Neck,9,11-12t1,111,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Cotteemcavennigoal (IRE),S F O'Keeffe,0,S Crawley,13th,17 l,9,11-10t,109,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Gordons Aura (IRE),D J Gilligan,3,G Elliott,12th,5 1/2 l,5,12-0p,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Hammersmith (IRE),M J M O'Sullivan,0,T O'Brien,11th,1/2 l,8,11-11tb,110,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Golden Sandbanks,S W Flanagan,0,P W Flynn,10th,3 3/4 l,7,11-8tp,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,All About Lucy (IRE),G B Noonan,5,E McCarthy,9th,3/4 l,7,11-11t,110,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Dubeyeracingcraic (IRE),P Byrnes,3,C Byrnes,8th,1 1/2 l,5,11-10,109,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Simpletwistoffaith (IRE),D Meyler,0,Patrick J Hassett,7th,3 l,7,11-8,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,For Fear Of Frost (IRE),R A Doyle,0,M F Morris,6th,2 1/4 l,6,11-7,106,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Penny Jar (IRE),P M O'Brien,7,P Downey,5th,1 1/4 l,8,11-10tp,109,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Downtherefordancin,K M Donoghue,0,G P Cromwell,4th,3/4 l,5,11-9p,108,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Joyeux Vivo (FR),M P Walsh,0,John E & Kiely,3rd,1/2 l,5,11-12,111,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Ring O Roses,Rachael Blackmore,0,H De Bromhead,2nd,2 l,6,12-0h,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Anyway (GER),C P Millar,7,D Budds,1st,N/A,6,11-9p,108,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Reve Inoui (IRE),D J O'Keeffe,0,J P Flavin,NR,N/A,6,11-8,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Mister Twist (IRE),B Hayes,0,P Fenton,17th,32 l,6,11-8,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Rebel Rose (IRE),A P Kelly,5,M Fahey,16th,1 1/4 l,8,12-0b1,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Benny The Duke (IRE),O R Brown,5,R P Cody,15th,1 1/4 l,7,12-0,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Carrig Rock (IRE),J C Gainford,0,P Croke,14th,Neck,9,11-12t1,111,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Cotteemcavennigoal (IRE),S F O'Keeffe,0,S Crawley,13th,17 l,9,11-10t,109,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Gordons Aura (IRE),D J Gilligan,3,G Elliott,12th,5 1/2 l,5,12-0p,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Hammersmith (IRE),M J M O'Sullivan,0,T O'Brien,11th,1/2 l,8,11-11tb,110,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Golden Sandbanks,S W Flanagan,0,P W Flynn,10th,3 3/4 l,7,11-8tp,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,All About Lucy (IRE),G B Noonan,5,E McCarthy,9th,3/4 l,7,11-11t,110,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Dubeyeracingcraic (IRE),P Byrnes,3,C Byrnes,8th,1 1/2 l,5,11-10,109,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Simpletwistoffaith (IRE),D Meyler,0,Patrick J Hassett,7th,3 l,7,11-8,107,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,For Fear Of Frost (IRE),R A Doyle,0,M F Morris,6th,2 1/4 l,6,11-7,106,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Penny Jar (IRE),P M O'Brien,7,P Downey,5th,1 1/4 l,8,11-10tp,109,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Downtherefordancin,K M Donoghue,0,G P Cromwell,4th,3/4 l,5,11-9p,108,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Joyeux Vivo (FR),M P Walsh,0,John E & Kiely,3rd,1/2 l,5,11-12,111,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Ring O Roses,Rachael Blackmore,0,H De Bromhead,2nd,2 l,6,12-0h,113,True,113,16
Cork Racing Results | 11th May 2024 15:55,N/A,15:55,Good,2m 4f,Anyway (GER),C P Millar,7,D Budds,1st,N/A,6,11-9p,108,True,113,16
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Walk Away Harry (IRE),P Byrnes,3,C Byrnes,NR,N/A,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Toor Khov (IRE),L Quinlan,5,Ms M Flynn,NR,N/A,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Leinster King (IRE),E M O'Sullivan,7,Ms M Flynn,NR,N/A,9,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Island Mccoo (IRE),R P Geoghegan,7,B T Murphy,13th,1/2 l,7,11-12h1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Shanghai Rooster (IRE),E Walsh,0,C Collins,12th,1 l,5,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Just Jack (IRE),Mr C J Shine,7,Brendan Walsh,11th,12 l,6,11-12t1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Manatee Du Brizais (FR),S Fitzgerald,0,D Queally,10th,3/4 l,5,11-12t,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Foxy Rock (IRE),R A Doyle,0,M F Morris,9th,5 1/2 l,6,11-12p1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,La Vega Moon (IRE),J S McGarvey,0,J J Hanlon,8th,2 1/2 l,6,11-12p,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Lummi Island (IRE),S F O'Keeffe,0,D Deacon,7th,Short Head,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Diamond Duke (IRE),D J O'Keeffe,0,M F Morris,6th,6 1/2 l,5,11-12tp1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Graigue Corner (IRE),Mr D Doyle,7,N Stokes,5th,4 1/4 l,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Georgian Quarter (IRE),M P Walsh,0,John E & Kiely,4th,3 3/4 l,5,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Now So Jake (IRE),P T Enright,0,D H Kelly,3rd,5 1/2 l,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Find A Fortune (IRE),J C Gainford,0,G Elliott,2nd,2 1/4 l,7,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Maxi Mac Gold (FR),S W Flanagan,0,P Nolan,1st,N/A,5,11-12t1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Walk Away Harry (IRE),P Byrnes,3,C Byrnes,NR,N/A,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Toor Khov (IRE),L Quinlan,5,Ms M Flynn,NR,N/A,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Leinster King (IRE),E M O'Sullivan,7,Ms M Flynn,NR,N/A,9,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Island Mccoo (IRE),R P Geoghegan,7,B T Murphy,13th,1/2 l,7,11-12h1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Shanghai Rooster (IRE),E Walsh,0,C Collins,12th,1 l,5,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Just Jack (IRE),Mr C J Shine,7,Brendan Walsh,11th,12 l,6,11-12t1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Manatee Du Brizais (FR),S Fitzgerald,0,D Queally,10th,3/4 l,5,11-12t,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Foxy Rock (IRE),R A Doyle,0,M F Morris,9th,5 1/2 l,6,11-12p1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,La Vega Moon (IRE),J S McGarvey,0,J J Hanlon,8th,2 1/2 l,6,11-12p,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Lummi Island (IRE),S F O'Keeffe,0,D Deacon,7th,Short Head,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Diamond Duke (IRE),D J O'Keeffe,0,M F Morris,6th,6 1/2 l,5,11-12tp1,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Graigue Corner (IRE),Mr D Doyle,7,N Stokes,5th,4 1/4 l,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Georgian Quarter (IRE),M P Walsh,0,John E & Kiely,4th,3 3/4 l,5,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Now So Jake (IRE),P T Enright,0,D H Kelly,3rd,5 1/2 l,6,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Find A Fortune (IRE),J C Gainford,0,G Elliott,2nd,2 1/4 l,7,11-12,-,True,113,17
Cork Racing Results | 11th May 2024 16:30,N/A,16:30,Good,3m 120y,Maxi Mac Gold (FR),S W Flanagan,0,P Nolan,1st,N/A,5,11-12t1,-,True,113,17
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Walk In Time (IRE),R A Doyle,0,D H Kelly,NR,N/A,7,11-11,92,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Ella Rose (IRE),N T Prendergast,7,D E Prendergast,PU,N/A,7,11-5,86,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Red Coral House (IRE),C P McNamara,0,L P Cusack,PU,N/A,6,11-6tp1,87,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Ma Hoey (IRE),G B Noonan,5,E McCarthy,16th,55 l,8,11-11tp,92,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Ladyeze Man (IRE),D J O'Keeffe,0,J P Flavin,15th,19 l,6,11-11,92,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Aghmorough Bridge (IRE),Miss M M McElligott,7,William P Murphy,14th,1/2 l,8,11-12,93,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Khewilltu (IRE),R Deegan,0,John F O'Neill,13th,1 1/4 l,5,11-5,86,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Araglen Star (IRE),J P Shinnick,7,S M O'Donoghue,12th,11 l,7,10-13,80,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Toor Moon (IRE),L Quinlan,5,Ms M Flynn,11th,8 1/2 l,7,11-13h,94,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Ask And Answer (IRE),Mr S Tobin,7,S Aherne,10th,3 1/4 l,11,10-13,80,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Tramps Like Us (IRE),A P Kelly,5,D H Kelly,9th,2 l,5,12-0tb,95,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Rewrite The Script (IRE),P Byrnes,3,M A Daly,8th,4 1/2 l,7,11-2,83,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Miss D Hunter (IRE),Rachael Blackmore,0,L Fowler,7th,4 3/4 l,6,11-11,92,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Forgetthesurprise (IRE),Mr Shane O'Callaghan,5,N Madden,6th,Neck,10,11-12t,93,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Cloughroe (IRE),D J Gilligan,3,P J Gilligan,5th,1 l,6,12-0t,95,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Steps Match (IRE),K E Buckley,0,M Butler,4th,1/2 l,9,11-12,93,True,113,18
Cork Racing Results | 11th May 2024 17:05,N/A,17:05,Good,3m 120y,Twoplustwo Equals (IRE),S W Flanagan,0,Paul Tobin,3rd,7 l,7,11-11h1,92,True,113,18
