track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Menas Miracle (IRE),C Stone-Walsh,3,Brendan Walsh,8th,12 l,6,11-7,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Ellies Rock (IRE),J P Shinnick,5,Olivia Hegarty,7th,4 1/4 l,7,11-7h,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Long Gone (IRE),Mr D L Queally,0,D Queally,6th,2 1/2 l,7,11-7h,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Miss Corby (IRE),Mr H C Swan,0,M F Morris,5th,15 l,5,11-7,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,She's Got Gears (IRE),C M Quirke,3,M Magnussen,4th,1 3/4 l,5,11-7,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Tiffiny's Girl (IRE),D Meyler,0,W J Burke,3rd,3 1/4 l,5,11-7,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Innatendue (FR),Rachael Blackmore,0,H De Bromhead,2nd,21 l,7,11-7,-,True,164,13
Gowran Park Racing Results | 8th March 2025 14:40,N/A,14:40,Soft To Heavy,2m 30y,Whimsy,O R Brown,5,A McCann,1st,N/A,6,11-7,-,True,164,13
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,El Phenomeno (FR),C M Quirke,3,M J McDonagh,PU,N/A,6,10-0h,84,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Mattie's Mountain (IRE),Mr J Mulvihill,7,T P O'Connor,PU,N/A,10,11-3,101,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Paul's Dream (IRE),D E Mullins,0,A Mullins,PU,N/A,6,10-9,93,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Princess Fiadh (IRE),P K Donovan,5,K A Heffernan,PU,N/A,6,10-0ht,84,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Ballycallan King (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,PU,N/A,8,12-0,112,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Bynx (IRE),R A Berry,7,M Hassett,PU,N/A,7,11-8,106,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Love Me (FR),D J O'Keeffe,0,H De Bromhead,PU,N/A,5,11-7,105,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Bal Kauto (FR),S F O'Keeffe,0,D Queally,F,N/A,8,10-8ht,92,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Lynchy Boy (IRE),Niall Moore,5,P Fenton,F,N/A,6,11-6,104,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Vilja Song (IRE),L Quinlan,3,R Hackett,11th,85 l,6,10-5h1,89,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Glorytogod Tom (IRE),J P Shinnick,5,M P Fitzgerald,10th,22 l,8,11-4h,102,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Southgate Avenue (IRE),B Hayes,0,P Fenton,9th,Short Head,5,10-12,96,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Cozone,B W Harvey,0,M J Smith,8th,2 3/4 l,8,10-11t,95,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Aboy Joey (IRE),D King,0,E McCarthy,7th,1 l,6,11-0p,98,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Kalanisi Dubh (IRE),K C Sexton,0,S Fahey,6th,7 l,9,11-1,99,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Mi Lucky Cailin (IRE),J S McGarvey,0,W J McLernon,5th,1 1/2 l,7,11-9,107,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Give Him A Chance (IRE),S D Torrens,0,P J Rothwell,4th,2 l,6,10-3,87,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Love Like This (IRE),Conor Clarke,7,J P Ryan,3rd,4 1/2 l,7,10-7,91,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Brilliant Question (IRE),P T Enright,0,K A Heffernan,2nd,9 l,8,10-2t,86,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Battle Of Ridgeway (IRE),L A McKenna,5,M Hassett,1st,N/A,7,11-0t,98,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,El Phenomeno (FR),C M Quirke,3,M J McDonagh,PU,N/A,6,10-0h,84,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Mattie's Mountain (IRE),Mr J Mulvihill,7,T P O'Connor,PU,N/A,10,11-3,101,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Paul's Dream (IRE),D E Mullins,0,A Mullins,PU,N/A,6,10-9,93,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Princess Fiadh (IRE),P K Donovan,5,K A Heffernan,PU,N/A,6,10-0ht,84,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Ballycallan King (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,PU,N/A,8,12-0,112,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Bynx (IRE),R A Berry,7,M Hassett,PU,N/A,7,11-8,106,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Love Me (FR),D J O'Keeffe,0,H De Bromhead,PU,N/A,5,11-7,105,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Bal Kauto (FR),S F O'Keeffe,0,D Queally,F,N/A,8,10-8ht,92,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Lynchy Boy (IRE),Niall Moore,5,P Fenton,F,N/A,6,11-6,104,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Vilja Song (IRE),L Quinlan,3,R Hackett,11th,85 l,6,10-5h1,89,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Glorytogod Tom (IRE),J P Shinnick,5,M P Fitzgerald,10th,22 l,8,11-4h,102,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Southgate Avenue (IRE),B Hayes,0,P Fenton,9th,Short Head,5,10-12,96,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Cozone,B W Harvey,0,M J Smith,8th,2 3/4 l,8,10-11t,95,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Aboy Joey (IRE),D King,0,E McCarthy,7th,1 l,6,11-0p,98,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Kalanisi Dubh (IRE),K C Sexton,0,S Fahey,6th,7 l,9,11-1,99,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Mi Lucky Cailin (IRE),J S McGarvey,0,W J McLernon,5th,1 1/2 l,7,11-9,107,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Give Him A Chance (IRE),S D Torrens,0,P J Rothwell,4th,2 l,6,10-3,87,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Love Like This (IRE),Conor Clarke,7,J P Ryan,3rd,4 1/2 l,7,10-7,91,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Brilliant Question (IRE),P T Enright,0,K A Heffernan,2nd,9 l,8,10-2t,86,True,164,14
Gowran Park Racing Results | 8th March 2025 15:15,N/A,15:15,Soft To Heavy,2m 30y,Battle Of Ridgeway (IRE),L A McKenna,5,M Hassett,1st,N/A,7,11-0t,98,True,164,14
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Scotch Street (IRE),D J Gilligan,0,C Collins,NR,N/A,6,10-4,88,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Fanoir (IRE),C G O'Dwyer,5,C O'Dwyer,NR,N/A,10,10-0,84,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Washington Parks (IRE),Non Runner,5,Bernard Crowley,NR,N/A,6,11-12,110,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Iamagetaway (IRE),K C Sexton,0,A A Howard,NR,N/A,6,11-13t,111,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Ballycashin (IRE),D E Mullins,0,A Mullins,NR,N/A,8,11-10,108,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Midleton Rare (IRE),P M O'Brien,7,D A McLoughlin,PU,N/A,7,10-5p,89,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Fancy Prospect (IRE),S O'Callaghan,5,E Doyle,PU,N/A,6,10-0p,84,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Knockbrack Rambler (IRE),Mr C J Shine,7,Brendan Walsh,PU,N/A,8,11-4,102,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Queen Of Seduction (IRE),Miss A Hourigan,7,G T Hourigan,PU,N/A,6,10-8p,92,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Ballinoe Blaze (IRE),G B Noonan,5,E McCarthy,12th,31 l,5,11-2,100,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Van Demon (IRE),C P Millar,5,W J O'Doherty,11th,43 l,5,11-8,106,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Cosmo Renfro (IRE),D Meyler,0,S Nolan,10th,4 3/4 l,8,11-5p,103,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Kiln Time (IRE),C M Quirke,3,D H Kelly,9th,4 1/4 l,9,10-3tb,87,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Doyen Flyer (IRE),K Callaghan,5,J Barcoe,8th,1 3/4 l,7,10-3,87,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Dragon's Pass (IRE),J C Gainford,0,Mrs D Foster,7th,20 l,9,10-7t,91,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Joya Del Mar (IRE),L A McKenna,5,D A McLoughlin,6th,17 l,7,11-4,102,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Drop The Anchor (IRE),H E Sexton,7,P A Fahy,5th,5 l,11,11-12v,110,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Kingkong Ciergues (FR),T Power Roche,5,P J Rothwell,4th,5 1/2 l,5,10-7,91,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Roc My Haarth (IRE),L Quinlan,3,R Hackett,3rd,5 l,6,10-7,91,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Smackwater Jack (IRE),R A Doyle,0,Mrs D Foster,2nd,Neck,11,10-5,89,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,John The Diva (FR),P T Enright,0,M A Cahill,1st,N/A,8,11-0,98,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Scotch Street (IRE),D J Gilligan,0,C Collins,NR,N/A,6,10-4,88,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Fanoir (IRE),C G O'Dwyer,5,C O'Dwyer,NR,N/A,10,10-0,84,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Washington Parks (IRE),Non Runner,5,Bernard Crowley,NR,N/A,6,11-12,110,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Iamagetaway (IRE),K C Sexton,0,A A Howard,NR,N/A,6,11-13t,111,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Ballycashin (IRE),D E Mullins,0,A Mullins,NR,N/A,8,11-10,108,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Midleton Rare (IRE),P M O'Brien,7,D A McLoughlin,PU,N/A,7,10-5p,89,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Fancy Prospect (IRE),S O'Callaghan,5,E Doyle,PU,N/A,6,10-0p,84,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Knockbrack Rambler (IRE),Mr C J Shine,7,Brendan Walsh,PU,N/A,8,11-4,102,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Queen Of Seduction (IRE),Miss A Hourigan,7,G T Hourigan,PU,N/A,6,10-8p,92,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Ballinoe Blaze (IRE),G B Noonan,5,E McCarthy,12th,31 l,5,11-2,100,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Van Demon (IRE),C P Millar,5,W J O'Doherty,11th,43 l,5,11-8,106,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Cosmo Renfro (IRE),D Meyler,0,S Nolan,10th,4 3/4 l,8,11-5p,103,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Kiln Time (IRE),C M Quirke,3,D H Kelly,9th,4 1/4 l,9,10-3tb,87,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Doyen Flyer (IRE),K Callaghan,5,J Barcoe,8th,1 3/4 l,7,10-3,87,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Dragon's Pass (IRE),J C Gainford,0,Mrs D Foster,7th,20 l,9,10-7t,91,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Joya Del Mar (IRE),L A McKenna,5,D A McLoughlin,6th,17 l,7,11-4,102,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Drop The Anchor (IRE),H E Sexton,7,P A Fahy,5th,5 l,11,11-12v,110,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Kingkong Ciergues (FR),T Power Roche,5,P J Rothwell,4th,5 1/2 l,5,10-7,91,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Roc My Haarth (IRE),L Quinlan,3,R Hackett,3rd,5 l,6,10-7,91,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,Smackwater Jack (IRE),R A Doyle,0,Mrs D Foster,2nd,Neck,11,10-5,89,True,164,15
Gowran Park Racing Results | 8th March 2025 15:50,N/A,15:50,Soft To Heavy,2m 4f,John The Diva (FR),P T Enright,0,M A Cahill,1st,N/A,8,11-0,98,True,164,15
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,One Last Tango (IRE),M P Walsh,0,E Griffin,PU,N/A,8,10-3,116,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Hgranca De Thaix (FR),Mr F Maguire,0,B Connell,PU,N/A,8,11-12b1,139,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Whiskeywealth (IRE),J P Shinnick,5,T O'Brien,PU,N/A,9,11-4p1,131,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Hands Of Gold (IRE),S D Torrens,0,A L T Moore,PU,N/A,7,10-1,114,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Willywampus (IRE),R A Doyle,0,Eamon Courtney,7th,1 1/2 l,8,10-5,118,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Grange Walk (IRE),D King,0,J P Ryan,6th,13 l,10,10-13b,126,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Dutch Schultz,C Stone-Walsh,3,G P Cromwell,5th,11 l,8,11-1,128,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Lazer Wolf (IRE),S W Flanagan,0,G P Cromwell,4th,12 l,7,11-1,128,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Miss Pronunciation (IRE),A P Kelly,5,P Roche,3rd,5 1/2 l,8,10-9ht,122,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Rebel Gold (IRE),A Harvey,5,P T Foley,2nd,8 l,12,11-12t,139,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Champagne Mahler (IRE),D J O'Keeffe,0,H De Bromhead,1st,N/A,7,10-1,114,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,One Last Tango (IRE),M P Walsh,0,E Griffin,PU,N/A,8,10-3,116,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Hgranca De Thaix (FR),Mr F Maguire,0,B Connell,PU,N/A,8,11-12b1,139,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Whiskeywealth (IRE),J P Shinnick,5,T O'Brien,PU,N/A,9,11-4p1,131,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Hands Of Gold (IRE),S D Torrens,0,A L T Moore,PU,N/A,7,10-1,114,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Willywampus (IRE),R A Doyle,0,Eamon Courtney,7th,1 1/2 l,8,10-5,118,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Grange Walk (IRE),D King,0,J P Ryan,6th,13 l,10,10-13b,126,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Dutch Schultz,C Stone-Walsh,3,G P Cromwell,5th,11 l,8,11-1,128,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Lazer Wolf (IRE),S W Flanagan,0,G P Cromwell,4th,12 l,7,11-1,128,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Miss Pronunciation (IRE),A P Kelly,5,P Roche,3rd,5 1/2 l,8,10-9ht,122,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Rebel Gold (IRE),A Harvey,5,P T Foley,2nd,8 l,12,11-12t,139,True,164,16
Gowran Park Racing Results | 8th March 2025 16:25,N/A,16:25,Soft,2m,Champagne Mahler (IRE),D J O'Keeffe,0,H De Bromhead,1st,N/A,7,10-1,114,True,164,16
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Early Doors (FR),Mr D O'Connor,0,E Bolger,PU,N/A,12,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Boss Robin (IRE),Mr P W Gleeson,7,J F Gleeson,PU,N/A,9,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Ramillies (IRE),Mr S Cotter,7,D M Christie,PU,N/A,10,12-0p,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Big Interest (IRE),Mr J W Hendrick,7,D M Christie,PU,N/A,6,12-0t,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Balkito (FR),Mr P J O'Neill,7,John F O'Neill,9th,12 l,10,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Bigbraveboy (IRE),Mr J G Murphy,7,James Hannon,8th,3/4 l,7,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Annamix (FR),Mr P W Mullins,0,W P Mullins,7th,4 1/4 l,12,12-0t,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Tornado Flyer (IRE),Mr C Mullins,7,P Hennessy,6th,7 1/2 l,12,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Hollow Games (IRE),Mr H C Swan,0,G Elliott,5th,5 l,9,12-0tb,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Lonesome Boatman (FR),Mr D Allen,0,Sean Allen,4th,Head,9,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Dorking Cock (IRE),Mr E Mahon,7,S R B Crawford,3rd,12 l,11,12-0t,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Step Up Son (IRE),Mr B T Stone,7,D K Walsh,2nd,6 1/2 l,9,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,My Best Valentine (IRE),Mr S Tobin,7,Daniel O'brien,1st,N/A,7,11-7t1,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Early Doors (FR),Mr D O'Connor,0,E Bolger,PU,N/A,12,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Boss Robin (IRE),Mr P W Gleeson,7,J F Gleeson,PU,N/A,9,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Ramillies (IRE),Mr S Cotter,7,D M Christie,PU,N/A,10,12-0p,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Big Interest (IRE),Mr J W Hendrick,7,D M Christie,PU,N/A,6,12-0t,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Balkito (FR),Mr P J O'Neill,7,John F O'Neill,9th,12 l,10,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Bigbraveboy (IRE),Mr J G Murphy,7,James Hannon,8th,3/4 l,7,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Annamix (FR),Mr P W Mullins,0,W P Mullins,7th,4 1/4 l,12,12-0t,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Tornado Flyer (IRE),Mr C Mullins,7,P Hennessy,6th,7 1/2 l,12,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Hollow Games (IRE),Mr H C Swan,0,G Elliott,5th,5 l,9,12-0tb,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Lonesome Boatman (FR),Mr D Allen,0,Sean Allen,4th,Head,9,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Dorking Cock (IRE),Mr E Mahon,7,S R B Crawford,3rd,12 l,11,12-0t,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,Step Up Son (IRE),Mr B T Stone,7,D K Walsh,2nd,6 1/2 l,9,12-0,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:00,N/A,17:00,Soft,3m 1f,My Best Valentine (IRE),Mr S Tobin,7,Daniel O'brien,1st,N/A,7,11-7t1,-,True,164,17
Gowran Park Racing Results | 8th March 2025 17:35,N/A,17:35,Soft To Heavy,2m 2f,Artsncrafts (IRE),Mr J R Martin,7,G P Cromwell,NR,N/A,6,12-0t1,-,True,164,18
Gowran Park Racing Results | 8th March 2025 17:35,N/A,17:35,Soft To Heavy,2m 2f,Chasing Blues (IRE),Mr D O'Connor,0,G P Cromwell,NR,N/A,5,12-0h1,-,True,164,18
Gowran Park Racing Results | 8th March 2025 17:35,N/A,17:35,Soft To Heavy,2m 2f,Kalgoorlie Gold (IRE),Mr Alan O'Sullivan,7,James Andrew Fahey,PU,N/A,5,12-0,-,True,164,18
Gowran Park Racing Results | 8th March 2025 17:35,N/A,17:35,Soft To Heavy,2m 2f,The Burrow (IRE),Mr A P Ryan,7,E J O'Grady,9th,2 l,6,12-0,-,True,164,18
Gowran Park Racing Results | 8th March 2025 17:35,N/A,17:35,Soft To Heavy,2m 2f,Morissette (IRE),Mr L T Turner,7,Barry J Fitzgerald,8th,5 1/2 l,5,11-7,-,True,164,18
Gowran Park Racing Results | 8th March 2025 17:35,N/A,17:35,Soft To Heavy,2m 2f,King Song (FR),Mr B T Stone,7,Mark J Scallan,7th,59 l,5,12-0,-,True,164,18
