track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 10th March 2024 14:17,N/A,14:17,Soft,1m 7f 116y,Hillsdale (IRE),K M Donoghue,0,J P Dempsey,1st,N/A,5,11-6h1,94,True,104,23
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Inchiquin Maid (IRE),B W Harvey,0,D Budds,19th,13 l,5,11-6,94,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,City Limits,G Brouder,5,J Nash,18th,4 l,10,11-0,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Lucky Two (IRE),M P O'Connor,3,T Gibney,17th,Head,8,10-11,85,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,You Make Me Smile (IRE),M J M O'Sullivan,0,P A Fahy,16th,3 3/4 l,6,10-12,86,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,The Lucky Lobster,S Fitzgerald,0,D Queally,15th,5 1/2 l,5,11-3t,91,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Irish Impulse (IRE),P T Enright,0,R Tyner,14th,2 l,6,11-4,92,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,No Big Deal (IRE),J S McGarvey,0,C O'Brien,13th,Short Head,4,10-11,95,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Rusheen (IRE),J J Slevin,0,J Dullea,12th,1 3/4 l,6,11-13,101,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,The Big Cloud (IRE),S F O'Keeffe,0,S Crawley,11th,3/4 l,6,11-6,94,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Del Girl (IRE),S W Flanagan,0,S Crawley,10th,Head,5,11-0,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Morepowertoya (FR),L Quinlan,5,Paul Power,9th,2 1/2 l,6,11-3,91,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Dylan Oak (IRE),Sam Ewing,0,F Oakes,8th,1 1/2 l,9,11-7,95,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Premier Queen (IRE),Sarah Kavanagh,7,Mrs P Dobbs,7th,4 3/4 l,8,11-6,94,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Simply Shabra (IRE),C Brassil,5,A McCann,6th,2 1/4 l,9,11-4b,92,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Cramers Valley (IRE),P J O'Hanlon,3,P J Rothwell,5th,2 3/4 l,5,11-0p,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Warmer Days Ahead (FR),J I Duggan,7,O McKiernan,4th,10 l,5,11-0,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Three In A Row (IRE),D Meyler,0,A L T Moore,3rd,3 l,6,11-7,95,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Chosen Shant (IRE),E Walsh,0,Ciaran Murphy,2nd,6 1/2 l,8,10-11t,85,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Quornofamonday (IRE),K M Donoghue,0,J P Dempsey,1st,N/A,6,11-4,92,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Inchiquin Maid (IRE),B W Harvey,0,D Budds,19th,13 l,5,11-6,94,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,City Limits,G Brouder,5,J Nash,18th,4 l,10,11-0,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Lucky Two (IRE),M P O'Connor,3,T Gibney,17th,Head,8,10-11,85,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,You Make Me Smile (IRE),M J M O'Sullivan,0,P A Fahy,16th,3 3/4 l,6,10-12,86,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,The Lucky Lobster,S Fitzgerald,0,D Queally,15th,5 1/2 l,5,11-3t,91,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Irish Impulse (IRE),P T Enright,0,R Tyner,14th,2 l,6,11-4,92,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,No Big Deal (IRE),J S McGarvey,0,C O'Brien,13th,Short Head,4,10-11,95,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Rusheen (IRE),J J Slevin,0,J Dullea,12th,1 3/4 l,6,11-13,101,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,The Big Cloud (IRE),S F O'Keeffe,0,S Crawley,11th,3/4 l,6,11-6,94,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Del Girl (IRE),S W Flanagan,0,S Crawley,10th,Head,5,11-0,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Morepowertoya (FR),L Quinlan,5,Paul Power,9th,2 1/2 l,6,11-3,91,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Dylan Oak (IRE),Sam Ewing,0,F Oakes,8th,1 1/2 l,9,11-7,95,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Premier Queen (IRE),Sarah Kavanagh,7,Mrs P Dobbs,7th,4 3/4 l,8,11-6,94,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Simply Shabra (IRE),C Brassil,5,A McCann,6th,2 1/4 l,9,11-4b,92,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Cramers Valley (IRE),P J O'Hanlon,3,P J Rothwell,5th,2 3/4 l,5,11-0p,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Warmer Days Ahead (FR),J I Duggan,7,O McKiernan,4th,10 l,5,11-0,88,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Three In A Row (IRE),D Meyler,0,A L T Moore,3rd,3 l,6,11-7,95,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Chosen Shant (IRE),E Walsh,0,Ciaran Murphy,2nd,6 1/2 l,8,10-11t,85,True,104,24
Naas Racing Results | 10th March 2024 14:52,N/A,14:52,Soft,1m 7f 116y,Quornofamonday (IRE),K M Donoghue,0,J P Dempsey,1st,N/A,6,11-4,92,True,104,24
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Pakens Rock (IRE),C M Quirke,5,B T Murphy,10th,2 l,11,11-3t,122,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Kashi (FR),D Meyler,0,K Thornton,9th,54 l,7,10-8,113,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Heliko Conti (FR),S F O'Keeffe,0,P Nolan,8th,12 l,7,10-13b1,118,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Any Second Now (IRE),M P Walsh,0,T M Walsh,7th,5 1/2 l,12,11-12b,131,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Fortunedefortunata (IRE),D J Gilligan,5,G Elliott,6th,1 l,7,11-11,130,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Whatcouldhavebeen (IRE),A P Kelly,5,J P Fahey,5th,1/2 l,6,11-9,128,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Petit King (FR),J J Slevin,0,E Cawley,4th,4 1/2 l,8,10-8p,113,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Howdoyalikeherhome (IRE),M J M O'Sullivan,0,P T Foley,3rd,7 1/2 l,5,10-2,107,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Kilbree Warrior (IRE),P T Enright,0,O McKiernan,2nd,1/2 l,9,10-13tb,118,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Raglan Road (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,6,11-0,119,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Pakens Rock (IRE),C M Quirke,5,B T Murphy,10th,2 l,11,11-3t,122,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Kashi (FR),D Meyler,0,K Thornton,9th,54 l,7,10-8,113,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Heliko Conti (FR),S F O'Keeffe,0,P Nolan,8th,12 l,7,10-13b1,118,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Any Second Now (IRE),M P Walsh,0,T M Walsh,7th,5 1/2 l,12,11-12b,131,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Fortunedefortunata (IRE),D J Gilligan,5,G Elliott,6th,1 l,7,11-11,130,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Whatcouldhavebeen (IRE),A P Kelly,5,J P Fahey,5th,1/2 l,6,11-9,128,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Petit King (FR),J J Slevin,0,E Cawley,4th,4 1/2 l,8,10-8p,113,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Howdoyalikeherhome (IRE),M J M O'Sullivan,0,P T Foley,3rd,7 1/2 l,5,10-2,107,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Kilbree Warrior (IRE),P T Enright,0,O McKiernan,2nd,1/2 l,9,10-13tb,118,True,104,25
Naas Racing Results | 10th March 2024 15:27,N/A,15:27,Soft,2m 3f,Raglan Road (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,6,11-0,119,True,104,25
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Flanking Maneuver (IRE),J W Kennedy,0,N Meade,F,N/A,9,11-0,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Jacksons Gold (IRE),A McCurtin,0,Ms Alice Curran,3rd,13 l,10,11-0,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Jumping Jet (IRE),D J Gilligan,0,G Elliott,2nd,3 l,8,10-7,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Tactical Move (IRE),P Townend,0,W P Mullins,1st,N/A,10,11-0,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Flanking Maneuver (IRE),J W Kennedy,0,N Meade,F,N/A,9,11-0,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Jacksons Gold (IRE),A McCurtin,0,Ms Alice Curran,3rd,13 l,10,11-0,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Jumping Jet (IRE),D J Gilligan,0,G Elliott,2nd,3 l,8,10-7,-,True,104,26
Naas Racing Results | 10th March 2024 16:02,N/A,16:02,Soft (Soft To Heavy In Places),2m 4f,Tactical Move (IRE),P Townend,0,W P Mullins,1st,N/A,10,11-0,-,True,104,26
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Velvet Elvis (IRE),K M Donoghue,0,G P Cromwell,NR,N/A,8,11-6,145,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Espanito Bello (FR),M J M O'Sullivan,0,B Connell,UR,N/A,10,11-9v,148,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Bronn (IRE),K Callaghan,5,W P Mullins,PU,N/A,7,11-12,151,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Diol Ker (FR),D J Gilligan,5,G Elliott,10th,18 l,10,11-3b,142,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Stormy Judge (IRE),J J Slevin,0,P A Fahy,9th,4 1/4 l,9,10-7,132,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,History Of Fashion (IRE),P T Enright,0,P A Fahy,8th,Nose,10,10-0p,125,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Ontheropes (IRE),S F O'Keeffe,0,W P Mullins,7th,6 1/2 l,10,11-3t1,142,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Minella Cocooner (IRE),P Townend,0,W P Mullins,6th,3/4 l,8,11-9,148,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Macs Charm (IRE),Rachael Blackmore,0,Colm Murphy,5th,2 1/2 l,9,11-2,141,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Frontal Assault (IRE),Sam Ewing,0,G Elliott,4th,3 3/4 l,9,10-11b,136,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Fakiera (FR),C Stone-Walsh,5,E Griffin,3rd,6 1/2 l,9,10-0tb,125,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Positive Thinker (IRE),C M Quirke,5,M J McDonagh,2nd,1 1/2 l,7,10-0p1,125,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Hartur D'arc (FR),S W Flanagan,0,G P Cromwell,1st,N/A,7,10-3,128,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Velvet Elvis (IRE),K M Donoghue,0,G P Cromwell,NR,N/A,8,11-6,145,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Espanito Bello (FR),M J M O'Sullivan,0,B Connell,UR,N/A,10,11-9v,148,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Bronn (IRE),K Callaghan,5,W P Mullins,PU,N/A,7,11-12,151,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Diol Ker (FR),D J Gilligan,5,G Elliott,10th,18 l,10,11-3b,142,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Stormy Judge (IRE),J J Slevin,0,P A Fahy,9th,4 1/4 l,9,10-7,132,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,History Of Fashion (IRE),P T Enright,0,P A Fahy,8th,Nose,10,10-0p,125,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Ontheropes (IRE),S F O'Keeffe,0,W P Mullins,7th,6 1/2 l,10,11-3t1,142,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Minella Cocooner (IRE),P Townend,0,W P Mullins,6th,3/4 l,8,11-9,148,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Macs Charm (IRE),Rachael Blackmore,0,Colm Murphy,5th,2 1/2 l,9,11-2,141,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Frontal Assault (IRE),Sam Ewing,0,G Elliott,4th,3 3/4 l,9,10-11b,136,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Fakiera (FR),C Stone-Walsh,5,E Griffin,3rd,6 1/2 l,9,10-0tb,125,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Positive Thinker (IRE),C M Quirke,5,M J McDonagh,2nd,1 1/2 l,7,10-0p1,125,True,104,27
Naas Racing Results | 10th March 2024 16:37,N/A,16:37,Soft (Soft To Heavy In Places),3m 174y,Hartur D'arc (FR),S W Flanagan,0,G P Cromwell,1st,N/A,7,10-3,128,True,104,27
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Spread The Faith (IRE),J I Duggan,7,O McKiernan,9th,34 l,4,10-8,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Voodoo Angel (IRE),Ms A Egan,7,E & P Harty,8th,13 l,5,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Cappacurry Ealu (IRE),P T Smithers,7,L Young,7th,7 l,6,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Holly Brook (IRE),Mr H C Swan,5,G Elliott,6th,1 1/4 l,5,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Femme Magnifique (IRE),Mr P W Mullins,0,W P Mullins,5th,3 3/4 l,6,11-11t,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Ma Belle Etoile (IRE),Miss M O'Sullivan,5,John E & Kiely,4th,4 1/2 l,5,11-11,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Sansrisk (FR),Mr D G Lavery,0,J P Dempsey,3rd,3 3/4 l,5,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Sixandahalf (IRE),P M O'Brien,7,G P Cromwell,2nd,3 1/2 l,4,10-8,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Familiar Dreams,Miss A B O'Connor,3,A McCann,1st,N/A,5,11-11,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Spread The Faith (IRE),J I Duggan,7,O McKiernan,9th,34 l,4,10-8,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Voodoo Angel (IRE),Ms A Egan,7,E & P Harty,8th,13 l,5,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Cappacurry Ealu (IRE),P T Smithers,7,L Young,7th,7 l,6,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Holly Brook (IRE),Mr H C Swan,5,G Elliott,6th,1 1/4 l,5,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Femme Magnifique (IRE),Mr P W Mullins,0,W P Mullins,5th,3 3/4 l,6,11-11t,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Ma Belle Etoile (IRE),Miss M O'Sullivan,5,John E & Kiely,4th,4 1/2 l,5,11-11,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Sansrisk (FR),Mr D G Lavery,0,J P Dempsey,3rd,3 3/4 l,5,11-4,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Sixandahalf (IRE),P M O'Brien,7,G P Cromwell,2nd,3 1/2 l,4,10-8,-,True,104,28
Naas Racing Results | 10th March 2024 17:07,N/A,17:07,Soft  Flat (Turf),1m 7f 116y,Familiar Dreams,Miss A B O'Connor,3,A McCann,1st,N/A,5,11-11,-,True,104,28
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Tranquil Sea (IRE),J C Gainford,0,P Nolan,NR,N/A,4,11-0,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Kellys Grove (IRE),S O'Callaghan,5,M Butler,4th,41 l,4,11-0,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,San Guido (IRE),D J O'Keeffe,0,H De Bromhead,3rd,3/4 l,4,11-7tb,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Karl Des Tourelles (FR),Niall Moore,7,P Fenton,2nd,2 1/2 l,4,11-7,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Intellotto (IRE),D A Jacob,0,J P O'Brien,1st,N/A,4,11-7t,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Tranquil Sea (IRE),J C Gainford,0,P Nolan,NR,N/A,4,11-0,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Kellys Grove (IRE),S O'Callaghan,5,M Butler,4th,41 l,4,11-0,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,San Guido (IRE),D J O'Keeffe,0,H De Bromhead,3rd,3/4 l,4,11-7tb,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Karl Des Tourelles (FR),Niall Moore,7,P Fenton,2nd,2 1/2 l,4,11-7,-,True,104,29
Limerick Racing Results | 10th March 2024 14:00,N/A,14:00,Heavy,2m,Intellotto (IRE),D A Jacob,0,J P O'Brien,1st,N/A,4,11-7t,-,True,104,29
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Saddle Her Up (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,8th,3 1/4 l,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Annalecka (IRE),R A Doyle,0,M Fahey,7th,4 l,7,10-9t1,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Karacole (FR),D J O'Keeffe,0,J Barcoe,6th,Neck,8,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,A Penny A Hundred (FR),D E Mullins,0,W P Mullins,5th,3 3/4 l,5,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Judicieuse Allen (FR),A P Heskin,0,W P Mullins,4th,1 1/4 l,5,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Sarah Beara (IRE),R Deegan,0,S Curling,3rd,1/2 l,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Millstream Lady (IRE),C P McNamara,0,E McNamara,2nd,3 1/4 l,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Bioluminescence (IRE),S D Torrens,0,G P Cromwell,1st,N/A,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Saddle Her Up (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,8th,3 1/4 l,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Annalecka (IRE),R A Doyle,0,M Fahey,7th,4 l,7,10-9t1,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Karacole (FR),D J O'Keeffe,0,J Barcoe,6th,Neck,8,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,A Penny A Hundred (FR),D E Mullins,0,W P Mullins,5th,3 3/4 l,5,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Judicieuse Allen (FR),A P Heskin,0,W P Mullins,4th,1 1/4 l,5,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Sarah Beara (IRE),R Deegan,0,S Curling,3rd,1/2 l,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Millstream Lady (IRE),C P McNamara,0,E McNamara,2nd,3 1/4 l,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 14:35,N/A,14:35,Heavy,2m 6f 60y,Bioluminescence (IRE),S D Torrens,0,G P Cromwell,1st,N/A,6,10-9,-,True,104,30
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Eddies Pride (IRE),G B Noonan,5,N Lee,NR,N/A,10,10-13ht,80,True,104,31
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Joe's Turn (IRE),M M McDonagh,3,R P Rath,PU,N/A,8,11-1p,82,True,104,31
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Shesabreeze (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-7t,88,True,104,31
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Thegoaheadman (IRE),S D Torrens,0,J Barcoe,PU,N/A,10,11-2,83,True,104,31
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Oneforgonzo (IRE),Mr S Tobin,7,S Aherne,F,N/A,6,11-6,87,True,104,31
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Courting Vickie (IRE),P Byrnes,5,J Barcoe,14th,6 l,10,10-13tp1,80,True,104,31
Limerick Racing Results | 10th March 2024 15:10,N/A,15:10,Heavy,2m 6f 60y,Le Fanu (IRE),D J O'Keeffe,0,Brendan Walsh,13th,6 l,8,11-12,93,True,104,31
