track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Macadam's Rock (IRE),C D Hayes,0,Miss H McLoughlin,10th,Nose,6,10-2p,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Chica Power (IRE),D McMonagle,0,C Collins,9th,Neck,6,9-7p,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Storm Eric (IRE),J J G Ryan,5,Jamie Flynn,8th,1 l,5,9-13tp1,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,The Stray Sod (IRE),Siobhan Rutledge,3,J C McConnell,7th,Head,4,9-5,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Miqdaad (IRE),C D Fahy,10,J C McConnell,6th,1 l,4,9-8v,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Cordouan (FR),C J MacRedmond,5,A McGuinness,5th,1 l,6,9-11,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Dynamic Force (IRE),D S O'Sullivan,10,J A Stack,4th,1 1/4 l,5,9-11,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Chestnutter (IRE),C T Keane,0,N Meade,3rd,1 1/4 l,5,9-7p,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Bucaneer's Spirit (IRE),A J Slattery,0,A Oliver,2nd,1 1/2 l,3,8-12t1,-,True,127,16
Dundalk Racing Results | 12th July 2024 13:57,N/A,13:57,Standard,7f,Rough Diamond (IRE),B M Coen,0,E Lynam,1st,N/A,7,9-13,-,True,127,16
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,She's Smart (IRE),Adam Caffrey,3,A McGuinness,14th,2 1/2 l,3,9-7,68,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Exceeding (IRE),C Horgan,7,A Slattery,13th,Neck,3,9-7,68,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Rebelsontherun (IRE),C T Keane,0,M O'Callaghan,12th,4 3/4 l,3,9-12p,73,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Bruce Lightning (IRE),J Kearney,5,P Martin,11th,1 1/4 l,3,9-9h,70,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Luxury Island (IRE),D McMonagle,0,A Oliver,10th,Short Head,3,9-2,63,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Ateenosix (IRE),Mr J M Halford,7,M Halford & T Collins,9th,Neck,3,9-9h1,70,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,De Janeiro (IRE),C D Hayes,0,D K Weld,8th,Neck,3,9-11v1,72,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Hoover Dam (IRE),N M Crosse,0,L Comer,7th,3/4 l,3,9-3b1,64,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Hemight (IRE),J M Sheridan,0,J A Stack,6th,1 1/4 l,3,9-10p,71,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Sobriety Blue (IRE),A J Slattery,0,A Slattery,5th,Short Head,3,9-7,68,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Barley Cove (IRE),J J G Ryan,5,E Lynam,4th,1/2 l,3,9-4,65,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Jack Spriggins (IRE),B M Coen,0,J P Murtagh,3rd,1 3/4 l,3,9-13t1,74,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Elegant Madame (IRE),R Whearty,5,A Murray,2nd,1 l,3,9-8,69,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Tokenomics (FR),L T McAteer,0,D Marnane,1st,N/A,3,10-0,75,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,She's Smart (IRE),Adam Caffrey,3,A McGuinness,14th,2 1/2 l,3,9-7,68,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Exceeding (IRE),C Horgan,7,A Slattery,13th,Neck,3,9-7,68,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Rebelsontherun (IRE),C T Keane,0,M O'Callaghan,12th,4 3/4 l,3,9-12p,73,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Bruce Lightning (IRE),J Kearney,5,P Martin,11th,1 1/4 l,3,9-9h,70,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Luxury Island (IRE),D McMonagle,0,A Oliver,10th,Short Head,3,9-2,63,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Ateenosix (IRE),Mr J M Halford,7,M Halford & T Collins,9th,Neck,3,9-9h1,70,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,De Janeiro (IRE),C D Hayes,0,D K Weld,8th,Neck,3,9-11v1,72,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Hoover Dam (IRE),N M Crosse,0,L Comer,7th,3/4 l,3,9-3b1,64,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Hemight (IRE),J M Sheridan,0,J A Stack,6th,1 1/4 l,3,9-10p,71,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Sobriety Blue (IRE),A J Slattery,0,A Slattery,5th,Short Head,3,9-7,68,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Barley Cove (IRE),J J G Ryan,5,E Lynam,4th,1/2 l,3,9-4,65,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Jack Spriggins (IRE),B M Coen,0,J P Murtagh,3rd,1 3/4 l,3,9-13t1,74,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Elegant Madame (IRE),R Whearty,5,A Murray,2nd,1 l,3,9-8,69,True,127,17
Dundalk Racing Results | 12th July 2024 14:32,N/A,14:32,Standard,7f,Tokenomics (FR),L T McAteer,0,D Marnane,1st,N/A,3,10-0,75,True,127,17
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Together With You (IRE),Non Runner,0,L Comer,NR,N/A,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Kellys Art (IRE),M De Souza-Wearen,10,P Cluskey,14th,2 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Mighty Special,R M Mulligan,7,Paul Mulligan,13th,1/2 l,3,9-3t1,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Cayo Pirata (IRE),J Cleary,7,A Murray,12th,1 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,My Teofilo (IRE),Amy Jo Hayes,7,D Hogan,11th,4 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Frontier Heroine (IRE),C D Hayes,0,L Comer,10th,2 l,3,9-3,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Take Profit (IRE),N M Crosse,0,L Comer,9th,3 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Il Sovrano (IRE),D McMonagle,0,J P O'Brien,8th,1/2 l,3,9-8tp1,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Rayzhanka (IRE),S B Kelly,0,J P Murtagh,7th,Head,3,9-3,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Dahab (IRE),J M Sheridan,0,D Hogan,6th,1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Prince Of Eyeries (IRE),R P Whelan,0,K J Condon,5th,3 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Polaris Dancer (IRE),J A Heffernan,0,W P Browne,4th,Head,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Princess Aurea (IRE),A J Slattery,0,A Slattery,3rd,1 1/2 l,3,9-3,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Genoah (IRE),C T Keane,0,M O'Callaghan,2nd,2 3/4 l,3,9-8t1,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Shamsuddin (IRE),B M Coen,0,J P Murtagh,1st,N/A,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Together With You (IRE),Non Runner,0,L Comer,NR,N/A,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Kellys Art (IRE),M De Souza-Wearen,10,P Cluskey,14th,2 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Mighty Special,R M Mulligan,7,Paul Mulligan,13th,1/2 l,3,9-3t1,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Cayo Pirata (IRE),J Cleary,7,A Murray,12th,1 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,My Teofilo (IRE),Amy Jo Hayes,7,D Hogan,11th,4 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Frontier Heroine (IRE),C D Hayes,0,L Comer,10th,2 l,3,9-3,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Take Profit (IRE),N M Crosse,0,L Comer,9th,3 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Il Sovrano (IRE),D McMonagle,0,J P O'Brien,8th,1/2 l,3,9-8tp1,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Rayzhanka (IRE),S B Kelly,0,J P Murtagh,7th,Head,3,9-3,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Dahab (IRE),J M Sheridan,0,D Hogan,6th,1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Prince Of Eyeries (IRE),R P Whelan,0,K J Condon,5th,3 1/2 l,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Polaris Dancer (IRE),J A Heffernan,0,W P Browne,4th,Head,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Princess Aurea (IRE),A J Slattery,0,A Slattery,3rd,1 1/2 l,3,9-3,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Genoah (IRE),C T Keane,0,M O'Callaghan,2nd,2 3/4 l,3,9-8t1,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:07,N/A,15:07,Standard,1m,Shamsuddin (IRE),B M Coen,0,J P Murtagh,1st,N/A,3,9-8,-,True,127,18
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Venetian (IRE),S P Davis,0,Sean Davis,NR,N/A,4,9-10v,59,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Hi Sur Multi,J A Heffernan,0,H Smyth,13th,4 1/2 l,7,9-4t,53,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Wayne R Walker,R C Colgan,0,D Kinsella,12th,2 3/4 l,5,9-7tb,56,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Wonder Spirit,Siobhan Rutledge,3,G A Kingston,11th,3 1/2 l,6,9-2b1,51,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Roderick,J M Sheridan,0,H D McGuigan,10th,1 1/4 l,8,9-11tp,60,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Lauroline,K G Kennedy,7,P W Flynn,9th,Nose,5,10-0t,63,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Amemri,L T McAteer,0,D Marnane,8th,Head,4,9-2,51,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Jalo (IRE),R Whearty,5,T G McCourt,7th,Neck,4,9-11t,60,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Ten To Ten (IRE),J Cleary,7,L Comer,6th,3 l,6,8-13p,48,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Feature This (IRE),D McMonagle,0,P W Flynn,5th,3/4 l,5,10-0tp,63,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Say You're Sorry (IRE),C T Keane,0,E O'Connell,4th,1 1/4 l,6,9-5ht,54,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,The Bog Bank (IRE),J J G Ryan,5,T G McCourt,3rd,1/2 l,7,9-13tp,62,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Stop On Red (IRE),R P Whelan,0,Miss K Brown,2nd,Short Head,6,9-0p,49,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Sirjack Thomas (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,9,9-13,62,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Venetian (IRE),S P Davis,0,Sean Davis,NR,N/A,4,9-10v,59,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Hi Sur Multi,J A Heffernan,0,H Smyth,13th,4 1/2 l,7,9-4t,53,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Wayne R Walker,R C Colgan,0,D Kinsella,12th,2 3/4 l,5,9-7tb,56,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Wonder Spirit,Siobhan Rutledge,3,G A Kingston,11th,3 1/2 l,6,9-2b1,51,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Roderick,J M Sheridan,0,H D McGuigan,10th,1 1/4 l,8,9-11tp,60,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Lauroline,K G Kennedy,7,P W Flynn,9th,Nose,5,10-0t,63,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Amemri,L T McAteer,0,D Marnane,8th,Head,4,9-2,51,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Jalo (IRE),R Whearty,5,T G McCourt,7th,Neck,4,9-11t,60,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Ten To Ten (IRE),J Cleary,7,L Comer,6th,3 l,6,8-13p,48,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Feature This (IRE),D McMonagle,0,P W Flynn,5th,3/4 l,5,10-0tp,63,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Say You're Sorry (IRE),C T Keane,0,E O'Connell,4th,1 1/4 l,6,9-5ht,54,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,The Bog Bank (IRE),J J G Ryan,5,T G McCourt,3rd,1/2 l,7,9-13tp,62,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Stop On Red (IRE),R P Whelan,0,Miss K Brown,2nd,Short Head,6,9-0p,49,True,127,19
Dundalk Racing Results | 12th July 2024 15:42,N/A,15:42,Standard,1m,Sirjack Thomas (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,9,9-13,62,True,127,19
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Monzoon,S T McCullagh,3,H D McGuigan,NR,N/A,7,10-2,65,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Tynamite (IRE),L T McAteer,0,D Marnane,13th,1 1/2 l,10,9-4,53,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Nibras Rainbow (IRE),S Foley,0,P W Flynn,12th,1 3/4 l,4,9-10p,59,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Small Bucks (IRE),R P Cleary,0,P W Flynn,11th,Head,3,8-7,47,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Leabaland (IRE),J A Heffernan,0,M M Lynch,10th,1 1/4 l,7,9-6b,55,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Shining Aitch,J J G Ryan,5,T G McCourt,9th,Neck,7,10-0tv,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Shamrock Sprig (IRE),D McMonagle,0,Daniel Murphy,8th,Head,6,9-1,50,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Pascalia (IRE),B M Coen,0,J P Murtagh,7th,Head,4,9-10p,59,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Lohengrin,C T Keane,0,E O'Connell,6th,Head,4,10-0t,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Hope And Innocence (IRE),R Whearty,5,T G McCourt,5th,1 l,4,8-13v1,48,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Hurricane Helen,M W Hassett,5,C Timmons,4th,Neck,6,10-0,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,The Dazzer (IRE),J M Sheridan,0,G Keane,3rd,Head,5,8-12t,47,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Daonethatgotaway,G M Ryan,0,M Fahey,2nd,3/4 l,4,9-13tb,62,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Comfort Line (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,7,10-0v,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Monzoon,S T McCullagh,3,H D McGuigan,NR,N/A,7,10-2,65,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Tynamite (IRE),L T McAteer,0,D Marnane,13th,1 1/2 l,10,9-4,53,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Nibras Rainbow (IRE),S Foley,0,P W Flynn,12th,1 3/4 l,4,9-10p,59,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Small Bucks (IRE),R P Cleary,0,P W Flynn,11th,Head,3,8-7,47,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Leabaland (IRE),J A Heffernan,0,M M Lynch,10th,1 1/4 l,7,9-6b,55,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Shining Aitch,J J G Ryan,5,T G McCourt,9th,Neck,7,10-0tv,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Shamrock Sprig (IRE),D McMonagle,0,Daniel Murphy,8th,Head,6,9-1,50,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Pascalia (IRE),B M Coen,0,J P Murtagh,7th,Head,4,9-10p,59,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Lohengrin,C T Keane,0,E O'Connell,6th,Head,4,10-0t,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Hope And Innocence (IRE),R Whearty,5,T G McCourt,5th,1 l,4,8-13v1,48,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Hurricane Helen,M W Hassett,5,C Timmons,4th,Neck,6,10-0,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,The Dazzer (IRE),J M Sheridan,0,G Keane,3rd,Head,5,8-12t,47,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Daonethatgotaway,G M Ryan,0,M Fahey,2nd,3/4 l,4,9-13tb,62,True,127,20
Dundalk Racing Results | 12th July 2024 16:15,N/A,16:15,Standard,1m,Comfort Line (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,7,10-0v,63,True,127,20
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Boxing Star (IRE),S T McCullagh,3,L Comer,NR,N/A,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Eddie Munkins (IRE),M De Souza-Wearen,10,P Cluskey,13th,34 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Caballo Fatastico (IRE),N M Crosse,0,L Comer,12th,1 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Edella (IRE),J J G Ryan,5,L McAteer,11th,21 l,3,9-3,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Man Shing (IRE),L T McAteer,0,P T Foley,10th,3 1/4 l,5,10-4h,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Cyprus Springs (IRE),J A Heffernan,0,L Comer,9th,13 l,4,10-4,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Rubies From Burma (USA),S Foley,0,H De Bromhead,8th,4 1/4 l,3,9-3t1,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Tiding,C D Hayes,0,D K Weld,7th,Neck,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Timurshah (IRE),R P Whelan,0,M Halford & T Collins,6th,2 1/4 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Ozark Daze,C T Keane,0,A Oliver,5th,1 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Boxing Great (IRE),R C Colgan,0,L Comer,4th,Head,4,10-4,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Psalm (IRE),J Cleary,7,A P O'Brien,3rd,1 1/2 l,3,9-8tp,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Raydamann (FR),B M Coen,0,J P Murtagh,2nd,Head,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Aeronautic (IRE),D McMonagle,0,J P O'Brien,1st,N/A,3,9-8t,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Boxing Star (IRE),S T McCullagh,3,L Comer,NR,N/A,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Eddie Munkins (IRE),M De Souza-Wearen,10,P Cluskey,13th,34 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Caballo Fatastico (IRE),N M Crosse,0,L Comer,12th,1 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Edella (IRE),J J G Ryan,5,L McAteer,11th,21 l,3,9-3,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Man Shing (IRE),L T McAteer,0,P T Foley,10th,3 1/4 l,5,10-4h,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Cyprus Springs (IRE),J A Heffernan,0,L Comer,9th,13 l,4,10-4,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Rubies From Burma (USA),S Foley,0,H De Bromhead,8th,4 1/4 l,3,9-3t1,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Tiding,C D Hayes,0,D K Weld,7th,Neck,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Timurshah (IRE),R P Whelan,0,M Halford & T Collins,6th,2 1/4 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Ozark Daze,C T Keane,0,A Oliver,5th,1 l,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Boxing Great (IRE),R C Colgan,0,L Comer,4th,Head,4,10-4,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Psalm (IRE),J Cleary,7,A P O'Brien,3rd,1 1/2 l,3,9-8tp,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Raydamann (FR),B M Coen,0,J P Murtagh,2nd,Head,3,9-8,-,True,127,21
Dundalk Racing Results | 12th July 2024 16:50,N/A,16:50,Standard,1m 2f 150y,Aeronautic (IRE),D McMonagle,0,J P O'Brien,1st,N/A,3,9-8t,-,True,127,21
Dundalk Racing Results | 12th July 2024 17:25,N/A,17:25,Standard,1m 4f,Brave Thought (IRE),R C Colgan,0,L Comer,14th,3 l,4,9-2,61,True,127,22
Dundalk Racing Results | 12th July 2024 17:25,N/A,17:25,Standard,1m 4f,Apache War (IRE),N M Crosse,0,L Comer,13th,1/2 l,3,9-1,72,True,127,22
Dundalk Racing Results | 12th July 2024 17:25,N/A,17:25,Standard,1m 4f,Wajaaha (IRE),J M Sheridan,0,A McCann,12th,Head,9,9-1b1,60,True,127,22
Dundalk Racing Results | 12th July 2024 17:25,N/A,17:25,Standard,1m 4f,True Statesman (IRE),R P Whelan,0,A McGuinness,11th,Neck,4,9-11,70,True,127,22
