track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Blue Mosque (IRE),Mr Finn Tegetmeier,7,N Meade,1st,N/A,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Strategic Power (IRE),Mr D Doyle,7,A Leahy,8th,32 l,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Dee's Getaway (IRE),Mr F Maguire,0,J P Dempsey,7th,2 3/4 l,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Dream On Baby (IRE),Mr R W Barron,5,C Motherway,6th,3 1/4 l,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Miss Lia (IRE),Mr H C Swan,5,P J Rothwell,5th,Head,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Kilbarry Ace (IRE),Mr J L Gleeson,5,C O'Keeffe,4th,3 3/4 l,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Leloopa (IRE),Mr D O'Connor,0,J Barcoe,3rd,1 1/4 l,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Crescent Moon (FR),Mr D G Lavery,0,G P Cromwell,2nd,1 1/2 l,4,11-2,-,True,108,25
Naas Racing Results | 16th April 2024 17:00,N/A,17:00,Soft (Yielding To Soft In Places),2m 119y,Blue Mosque (IRE),Mr Finn Tegetmeier,7,N Meade,1st,N/A,4,11-2,-,True,108,25
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Boothen Boy (IRE),E Walsh,0,C Collins,PU,N/A,7,11-4,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Glenmorefiftyfour (IRE),L Quinlan,5,R Hackett,9th,5 1/2 l,8,10-12t,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Little Hero (IRE),B W Harvey,0,Paul Mulligan,8th,2 3/4 l,5,12-0,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Cloudy Tuesday (IRE),Mr T O'Connor,7,T O'Connor,7th,Short Head,9,11-8,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Action Motion (IRE),D King,0,D Hogan,6th,1/2 l,5,11-4,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Intersky Sunset (IRE),Mr J M Fennell,7,D Queally,5th,1 l,7,11-8t,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Cerberus,C P McNamara,0,A Leahy,4th,3/4 l,8,11-4p,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Dromineer Smurphy (IRE),C P Millar,7,C Collins,3rd,9 l,4,10-10t1,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Jupiter Rock (IRE),P K Donovan,5,D Hogan,2nd,5 1/2 l,4,10-6,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,It Could Be You (IRE),S W Flanagan,0,T Mullins,1st,N/A,10,11-0tb,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Boothen Boy (IRE),E Walsh,0,C Collins,PU,N/A,7,11-4,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Glenmorefiftyfour (IRE),L Quinlan,5,R Hackett,9th,5 1/2 l,8,10-12t,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Little Hero (IRE),B W Harvey,0,Paul Mulligan,8th,2 3/4 l,5,12-0,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Cloudy Tuesday (IRE),Mr T O'Connor,7,T O'Connor,7th,Short Head,9,11-8,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Action Motion (IRE),D King,0,D Hogan,6th,1/2 l,5,11-4,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Intersky Sunset (IRE),Mr J M Fennell,7,D Queally,5th,1 l,7,11-8t,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Cerberus,C P McNamara,0,A Leahy,4th,3/4 l,8,11-4p,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Dromineer Smurphy (IRE),C P Millar,7,C Collins,3rd,9 l,4,10-10t1,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,Jupiter Rock (IRE),P K Donovan,5,D Hogan,2nd,5 1/2 l,4,10-6,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:00,N/A,16:00,Soft To Heavy,2m 2f 152y,It Could Be You (IRE),S W Flanagan,0,T Mullins,1st,N/A,10,11-0tb,-,True,108,26
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Brennus Lescribaa (FR),J W Kennedy,0,G Elliott,7th,11 l,5,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Volez Vous (IRE),S F O'Keeffe,0,D Deacon,6th,2 l,5,11-5,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Granco Rof (IRE),L A McKenna,5,C Collins,5th,5 1/2 l,6,11-12p1,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Andyourbirdcansing (IRE),P K Donovan,5,J P Ryan,4th,1 1/2 l,6,11-5,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Splendid Choice (IRE),S D Torrens,0,P J Rothwell,3rd,2 1/4 l,5,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Midweek Voices (IRE),D Meyler,0,E Doyle,2nd,3 3/4 l,5,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Whateys Quest (IRE),P Byrnes,5,C Byrnes,1st,N/A,6,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Brennus Lescribaa (FR),J W Kennedy,0,G Elliott,7th,11 l,5,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Volez Vous (IRE),S F O'Keeffe,0,D Deacon,6th,2 l,5,11-5,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Granco Rof (IRE),L A McKenna,5,C Collins,5th,5 1/2 l,6,11-12p1,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Andyourbirdcansing (IRE),P K Donovan,5,J P Ryan,4th,1 1/2 l,6,11-5,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Splendid Choice (IRE),S D Torrens,0,P J Rothwell,3rd,2 1/4 l,5,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Midweek Voices (IRE),D Meyler,0,E Doyle,2nd,3 3/4 l,5,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 16:35,N/A,16:35,Soft To Heavy,2m 2f 152y,Whateys Quest (IRE),P Byrnes,5,C Byrnes,1st,N/A,6,11-12,-,True,108,27
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Harveyshonor (IRE),C Owens,7,R Donohoe,18th,54 l,6,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Bondi Boy Blue (IRE),Maite Sarah Laubies,7,Ms M Mullins,17th,18 l,6,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Princess Felicia (IRE),R P Treacy,0,M J Tynan,16th,1 1/4 l,5,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Strawberry Diamond (IRE),S W Flanagan,0,L Casey,15th,Neck,5,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Lacken Run (IRE),P K Donovan,5,G M Doyle,14th,1/2 l,6,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Red Night Sky (IRE),J P Shinnick,7,L J Archdeacon,13th,2 3/4 l,6,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Deise Bhoy (IRE),C G O'Dwyer,5,K Purcell,12th,7 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Springboard (IRE),C M Quirke,5,M J McDonagh,11th,4 1/4 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Jassur Des Brosses (FR),D Meyler,0,Ms M Mullins,10th,2 1/4 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Darcy's Friend (IRE),J S McGarvey,0,S M Duffy,9th,9 1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,A Okay (IRE),Mr J P Berry,7,J A Berry,8th,5 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Glasgow Dan (IRE),A McCurtin,0,P Kiely,7th,1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Walmix (FR),Conor Clarke,7,A Mullins,6th,1/2 l,6,11-12h,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Slip Jig (IRE),P T Enright,0,C Motherway,5th,8 l,6,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Lynchy Boy (IRE),Niall Moore,7,P Fenton,4th,2 1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Zulu Mike (IRE),J J Slevin,0,P J Rothwell,3rd,4 1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Maroto (IRE),P Townend,0,W P Mullins,2nd,3/4 l,7,11-4t1,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Lady Bresil (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,6,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Harveyshonor (IRE),C Owens,7,R Donohoe,18th,54 l,6,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Bondi Boy Blue (IRE),Maite Sarah Laubies,7,Ms M Mullins,17th,18 l,6,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Princess Felicia (IRE),R P Treacy,0,M J Tynan,16th,1 1/4 l,5,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Strawberry Diamond (IRE),S W Flanagan,0,L Casey,15th,Neck,5,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Lacken Run (IRE),P K Donovan,5,G M Doyle,14th,1/2 l,6,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Red Night Sky (IRE),J P Shinnick,7,L J Archdeacon,13th,2 3/4 l,6,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Deise Bhoy (IRE),C G O'Dwyer,5,K Purcell,12th,7 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Springboard (IRE),C M Quirke,5,M J McDonagh,11th,4 1/4 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Jassur Des Brosses (FR),D Meyler,0,Ms M Mullins,10th,2 1/4 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Darcy's Friend (IRE),J S McGarvey,0,S M Duffy,9th,9 1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,A Okay (IRE),Mr J P Berry,7,J A Berry,8th,5 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Glasgow Dan (IRE),A McCurtin,0,P Kiely,7th,1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Walmix (FR),Conor Clarke,7,A Mullins,6th,1/2 l,6,11-12h,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Slip Jig (IRE),P T Enright,0,C Motherway,5th,8 l,6,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Lynchy Boy (IRE),Niall Moore,7,P Fenton,4th,2 1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Zulu Mike (IRE),J J Slevin,0,P J Rothwell,3rd,4 1/2 l,5,11-4,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Maroto (IRE),P Townend,0,W P Mullins,2nd,3/4 l,7,11-4t1,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:10,N/A,17:10,Soft To Heavy,2m 76y,Lady Bresil (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,6,10-11,-,True,108,28
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Bellachamps (IRE),J P Shinnick,7,D Ahern,10th,5 l,6,11-4,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Robindevidastar (IRE),S D Torrens,0,P J Rothwell,9th,11 l,9,11-4b,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Jeje Plessis (FR),Niall Moore,7,P Fenton,8th,13 l,5,11-5t1,86,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,C'est Rien (IRE),P Townend,0,T Mullins,7th,1 3/4 l,7,11-4t,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Shean Glory (IRE),Mr S Tobin,7,S Aherne,6th,4 1/2 l,8,10-13,80,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Grand Rouge (IRE),C M Quirke,5,J Barcoe,5th,1 1/2 l,8,11-4,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Falcon Park (IRE),N T Prendergast,7,P Hennessy,4th,2 1/4 l,8,10-13,80,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Go Gill Go (IRE),J W Kennedy,0,J Grace,3rd,1/2 l,9,11-6t,87,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,The Niffler (IRE),A McCurtin,0,E O'Connell,2nd,3/4 l,7,12-5ht,100,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Tingarran Express (IRE),B Hayes,0,Miss D O'Shea,1st,N/A,7,11-1,82,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Bellachamps (IRE),J P Shinnick,7,D Ahern,10th,5 l,6,11-4,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Robindevidastar (IRE),S D Torrens,0,P J Rothwell,9th,11 l,9,11-4b,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Jeje Plessis (FR),Niall Moore,7,P Fenton,8th,13 l,5,11-5t1,86,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,C'est Rien (IRE),P Townend,0,T Mullins,7th,1 3/4 l,7,11-4t,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Shean Glory (IRE),Mr S Tobin,7,S Aherne,6th,4 1/2 l,8,10-13,80,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Grand Rouge (IRE),C M Quirke,5,J Barcoe,5th,1 1/2 l,8,11-4,85,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Falcon Park (IRE),N T Prendergast,7,P Hennessy,4th,2 1/4 l,8,10-13,80,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Go Gill Go (IRE),J W Kennedy,0,J Grace,3rd,1/2 l,9,11-6t,87,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,The Niffler (IRE),A McCurtin,0,E O'Connell,2nd,3/4 l,7,12-5ht,100,True,108,29
Clonmel Racing Results | 18th April 2024 17:45,N/A,17:45,Soft To Heavy,2m 76y,Tingarran Express (IRE),B Hayes,0,Miss D O'Shea,1st,N/A,7,11-1,82,True,108,29
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Street Value (IRE),J J Slevin,0,J P Flavin,5th,1/2 l,9,11-2t,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Some Joy (IRE),P T Enright,0,J P O'Keeffe,4th,23 l,6,10-9,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Hollow Games (IRE),J W Kennedy,0,G Elliott,3rd,Head,8,11-8tb,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Gaelic Arc (IRE),D King,0,J P Ryan,2nd,6 1/2 l,8,11-2,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Horantzau D'airy (FR),P Townend,0,W P Mullins,1st,N/A,7,11-8t,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Street Value (IRE),J J Slevin,0,J P Flavin,5th,1/2 l,9,11-2t,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Some Joy (IRE),P T Enright,0,J P O'Keeffe,4th,23 l,6,10-9,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Hollow Games (IRE),J W Kennedy,0,G Elliott,3rd,Head,8,11-8tb,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Gaelic Arc (IRE),D King,0,J P Ryan,2nd,6 1/2 l,8,11-2,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:15,N/A,18:15,Soft To Heavy,2m 4f,Horantzau D'airy (FR),P Townend,0,W P Mullins,1st,N/A,7,11-8t,-,True,108,30
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Bella Bliss (IRE),B Hayes,0,J C McConnell,NR,N/A,7,12-0t,113,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Rule Of June (IRE),P T Enright,0,L Casey,PU,N/A,10,10-2,87,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Kilashee (IRE),D King,0,J P Ryan,5th,22 l,9,10-0,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Lilian Bland (IRE),R Deegan,0,N P Hennessy,4th,37 l,8,11-0h,99,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Barbaha Queen (IRE),C M Quirke,5,J P Ryan,3rd,9 l,8,10-0,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Seangoell (IRE),J J Slevin,0,N Lee,2nd,4 l,10,10-0tb,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Eddies Pride (IRE),G B Noonan,5,N Lee,1st,N/A,10,10-0ht,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Bella Bliss (IRE),B Hayes,0,J C McConnell,NR,N/A,7,12-0t,113,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Rule Of June (IRE),P T Enright,0,L Casey,PU,N/A,10,10-2,87,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Kilashee (IRE),D King,0,J P Ryan,5th,22 l,9,10-0,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Lilian Bland (IRE),R Deegan,0,N P Hennessy,4th,37 l,8,11-0h,99,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Barbaha Queen (IRE),C M Quirke,5,J P Ryan,3rd,9 l,8,10-0,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Seangoell (IRE),J J Slevin,0,N Lee,2nd,4 l,10,10-0tb,85,True,108,31
Clonmel Racing Results | 18th April 2024 18:45,N/A,18:45,Soft To Heavy,2m 7f,Eddies Pride (IRE),G B Noonan,5,N Lee,1st,N/A,10,10-0ht,85,True,108,31
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Black Heather (IRE),Mr J L Gleeson,5,D H Kelly,8th,26 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Major Barry (IRE),Mr D Kiely,7,John E & Kiely,7th,13 l,6,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Inn At The Park (IRE),Mr P W Mullins,0,W P Mullins,6th,1/2 l,6,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Getamotive (IRE),Mr F Maguire,0,T J Nagle-Jr,5th,1 1/2 l,6,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Remember'hesmine (IRE),Mr A P Fahey,7,P G Fahey,4th,6 1/2 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,His Nibs (IRE),Mr A Jones,7,G P Cromwell,3rd,3/4 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Champagne Kid (IRE),Mr A Harvey,7,P E Collins,2nd,7 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Bleu De Vassy (FR),Mr H C Swan,5,G Elliott,1st,N/A,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Black Heather (IRE),Mr J L Gleeson,5,D H Kelly,8th,26 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Major Barry (IRE),Mr D Kiely,7,John E & Kiely,7th,13 l,6,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Inn At The Park (IRE),Mr P W Mullins,0,W P Mullins,6th,1/2 l,6,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Getamotive (IRE),Mr F Maguire,0,T J Nagle-Jr,5th,1 1/2 l,6,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Remember'hesmine (IRE),Mr A P Fahey,7,P G Fahey,4th,6 1/2 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,His Nibs (IRE),Mr A Jones,7,G P Cromwell,3rd,3/4 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Champagne Kid (IRE),Mr A Harvey,7,P E Collins,2nd,7 l,5,12-0,-,True,108,32
Clonmel Racing Results | 18th April 2024 19:15,N/A,19:15,Soft To Heavy,2m 2f 152y,Bleu De Vassy (FR),Mr H C Swan,5,G Elliott,1st,N/A,5,12-0,-,True,108,32
Limerick Racing Results | 19th April 2024 16:45,N/A,16:45,Soft To Heavy (Heavy In Places),2m 190y,Dylan's Chance (IRE),T Joseph Kelly,7,E McCarthy,16th,2 1/2 l,4,11-7,-,True,108,33
