track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Irish Lullaby,R. P. Whelan,0,Mrs J. Harrington,15th,23 l,4,9-7p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Dame Kiri (USA),K. K. Hennessy,0,Aidan O'Brien,14th,Neck,3,9-2p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Astar (IRE),L. F. Roche,0,D. K. Weld,13th,22 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Blazing Skies (IRE),William James Lee,0,W. McCreery,12th,2 3/4 l,4,9-7v,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Kerkiyra (IRE),Ben Martin Coen,0,John Patrick Murtagh,11th,Neck,4,9-7p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Snowcapped (IRE),N. M. Crosse,0,Mrs J. Harrington,10th,2 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Grecian Slipper (IRE),S. McCullagh,0,Joseph Patrick O'Brien,9th,1/2 l,4,9-7tb1,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Redressed,C. T. Keane,0,G. M. Lyons,8th,3/4 l,4,9-7,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Fratas (IRE),J. A. Powell,0,Michael Mulvany,7th,1/2 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Goodie Two Shoes (IRE),N. G. McCullagh,0,Joseph Patrick O'Brien,6th,Head,4,9-7tp1,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Zola Sakura (IRE),G. F. Carroll,0,G. M. Lyons,5th,5 l,5,9-7,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Gather Ye Rosebuds,Seamie Heffernan,0,Jack Channon,4th,4 1/4 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Perfect Portrait,M. P. Sheehy,0,Joseph Patrick O'Brien,3rd,1 3/4 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Azazat (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 1/4 l,3,9-2p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Dancing Tango (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,4,9-7,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Irish Lullaby,R. P. Whelan,0,Mrs J. Harrington,15th,23 l,4,9-7p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Dame Kiri (USA),K. K. Hennessy,0,Aidan O'Brien,14th,Neck,3,9-2p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Astar (IRE),L. F. Roche,0,D. K. Weld,13th,22 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Blazing Skies (IRE),William James Lee,0,W. McCreery,12th,2 3/4 l,4,9-7v,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Kerkiyra (IRE),Ben Martin Coen,0,John Patrick Murtagh,11th,Neck,4,9-7p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Snowcapped (IRE),N. M. Crosse,0,Mrs J. Harrington,10th,2 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Grecian Slipper (IRE),S. McCullagh,0,Joseph Patrick O'Brien,9th,1/2 l,4,9-7tb1,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Redressed,C. T. Keane,0,G. M. Lyons,8th,3/4 l,4,9-7,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Fratas (IRE),J. A. Powell,0,Michael Mulvany,7th,1/2 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Goodie Two Shoes (IRE),N. G. McCullagh,0,Joseph Patrick O'Brien,6th,Head,4,9-7tp1,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Zola Sakura (IRE),G. F. Carroll,0,G. M. Lyons,5th,5 l,5,9-7,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Gather Ye Rosebuds,Seamie Heffernan,0,Jack Channon,4th,4 1/4 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Perfect Portrait,M. P. Sheehy,0,Joseph Patrick O'Brien,3rd,1 3/4 l,3,9-2,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Azazat (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 1/4 l,3,9-2p,-,True,86,13
Naas Racing Results | 15th October 2023 15:25,N/A,15:25,Soft (Soft To Heavy In Places),1m 3f 202y,Dancing Tango (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,4,9-7,-,True,86,13
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Yamalia Star (IRE),R. P. Whelan,0,Jack W. Davison,7th,30 l,3,9-6,78,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Skyquake (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,6th,2 l,3,8-13,71,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Mr King (IRE),C. T. Keane,0,G. M. Lyons,5th,6 1/2 l,3,10-0,86,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Dutch Gold (IRE),N. J. Ryan,7,Noel Meade,4th,3 3/4 l,3,10-7,93,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Eastern Legend (IRE),L. T. McAteer,0,J. S. Bolger,3rd,1 1/2 l,3,9-13tp,85,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Immutable (IRE),G. F. Carroll,0,Joseph G. Murphy,2nd,1 1/4 l,3,9-13,85,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Bottler'secret (IRE),Ben Martin Coen,0,Ciaran Murphy,1st,N/A,3,9-9b1,81,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Yamalia Star (IRE),R. P. Whelan,0,Jack W. Davison,7th,30 l,3,9-6,78,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Skyquake (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,6th,2 l,3,8-13,71,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Mr King (IRE),C. T. Keane,0,G. M. Lyons,5th,6 1/2 l,3,10-0,86,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Dutch Gold (IRE),N. J. Ryan,7,Noel Meade,4th,3 3/4 l,3,10-7,93,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Eastern Legend (IRE),L. T. McAteer,0,J. S. Bolger,3rd,1 1/2 l,3,9-13tp,85,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Immutable (IRE),G. F. Carroll,0,Joseph G. Murphy,2nd,1 1/4 l,3,9-13,85,True,86,14
Naas Racing Results | 15th October 2023 16:00,N/A,16:00,Soft (Soft To Heavy In Places),1m 2f 110y,Bottler'secret (IRE),Ben Martin Coen,0,Ciaran Murphy,1st,N/A,3,9-9b1,81,True,86,14
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Fools Glory (IRE),Cillian McConnell,0,P. F. McEnery,11th,7 l,4,10-1tp,71,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Cannes Do (IRE),Sorcha Woods,0,Philip Michael Byrne,10th,2 3/4 l,4,8-7p,49,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Red Trail (IRE),C. M. Hogan,2,Andrew McNamara,9th,2 1/2 l,4,9-13h1,69,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Rhythm And Tyne (IRE),R. M. Mulligan,4,Charles Byrnes,8th,6 l,3,8-11,57,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Believe In Science (IRE),Gabriella Adela Hill,4,J. S. Bolger,7th,1 1/4 l,4,9-12,68,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Team Of Firsts,R. Donaghue-Leahy,4,Patrick J. Flynn,6th,3/4 l,5,10-0b,70,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Eloquent Arthur,Neve Bennett,0,Philip Michael Byrne,5th,Neck,5,10-2b,72,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Bridge Of Dawn (IRE),C. Geerdharry,0,J. S. Bolger,4th,5 l,4,9-13p,69,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Alfalfa (IRE),K. G. Kennedy,2,Timothy Doyle,3rd,Nose,5,9-11,67,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,La Dame Blanche (IRE),S. P. Bird,0,Michael Mulvany,2nd,3 l,4,9-9h1,65,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Teddy O'neill (IRE),T. Kiely-Marshall,0,Donal Kinsella,1st,N/A,4,9-3,59,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Fools Glory (IRE),Cillian McConnell,0,P. F. McEnery,11th,7 l,4,10-1tp,71,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Cannes Do (IRE),Sorcha Woods,0,Philip Michael Byrne,10th,2 3/4 l,4,8-7p,49,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Red Trail (IRE),C. M. Hogan,2,Andrew McNamara,9th,2 1/2 l,4,9-13h1,69,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Rhythm And Tyne (IRE),R. M. Mulligan,4,Charles Byrnes,8th,6 l,3,8-11,57,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Believe In Science (IRE),Gabriella Adela Hill,4,J. S. Bolger,7th,1 1/4 l,4,9-12,68,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Team Of Firsts,R. Donaghue-Leahy,4,Patrick J. Flynn,6th,3/4 l,5,10-0b,70,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Eloquent Arthur,Neve Bennett,0,Philip Michael Byrne,5th,Neck,5,10-2b,72,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Bridge Of Dawn (IRE),C. Geerdharry,0,J. S. Bolger,4th,5 l,4,9-13p,69,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Alfalfa (IRE),K. G. Kennedy,2,Timothy Doyle,3rd,Nose,5,9-11,67,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,La Dame Blanche (IRE),S. P. Bird,0,Michael Mulvany,2nd,3 l,4,9-9h1,65,True,86,15
Naas Racing Results | 15th October 2023 16:35,N/A,16:35,Soft (Soft To Heavy In Places),1m 2f 110y,Teddy O'neill (IRE),T. Kiely-Marshall,0,Donal Kinsella,1st,N/A,4,9-3,59,True,86,15
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Powerful Aggie (FR),C. Stone-Walsh,7,Joseph Patrick O'Brien,16th,1 l,5,9-12b,96,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Whiskey Sour (IRE),William James Lee,0,W. P. Mullins,15th,2 l,10,9-1t,85,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Raving Royal (IRE),C. T. Keane,0,W. P. Mullins,14th,2 1/4 l,4,8-13,83,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Immelmann (USA),Seamie Heffernan,0,W. P. Mullins,13th,2 l,5,8-10,80,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Drop The Anchor (IRE),N. G. McCullagh,0,P. A. Fahy,12th,4 1/4 l,9,9-8,92,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Teed Up (IRE),Ben Martin Coen,0,Emmet Mullins,11th,2 3/4 l,6,10-0,98,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Belgoprince (FR),J. J. G. Ryan,5,A. J. Martin,10th,1 l,6,8-10t,80,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Lord Erskine (IRE),Siobhan Rutledge,3,Harry Rogers,9th,1/2 l,10,9-3b,87,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Lunar Power (IRE),C. J. MacRedmond,5,Noel Meade,8th,Head,5,9-6b,90,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Crassus (IRE),R. Whearty,5,Noel Meade,7th,Neck,6,8-10,80,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Brogue,C. D. Hayes,0,D. K. Weld,6th,Neck,7,9-5,89,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Mon Coeur (IRE),G. F. Carroll,0,Joseph G. Murphy,5th,1 1/4 l,7,9-4,88,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Filey Bay (IRE),J. A. Powell,5,Emmet Mullins,4th,1/2 l,7,9-3ht,87,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Flamborough,Andrew Joseph Slattery,0,T. Gibney,3rd,1/2 l,4,8-9,79,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Stoke The Fire (IRE),D. E. Sheehy,3,W. P. Mullins,2nd,Head,4,8-7p1,77,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Prairie Dancer (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,5,8-13b,83,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Powerful Aggie (FR),C. Stone-Walsh,7,Joseph Patrick O'Brien,16th,1 l,5,9-12b,96,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Whiskey Sour (IRE),William James Lee,0,W. P. Mullins,15th,2 l,10,9-1t,85,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Raving Royal (IRE),C. T. Keane,0,W. P. Mullins,14th,2 1/4 l,4,8-13,83,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Immelmann (USA),Seamie Heffernan,0,W. P. Mullins,13th,2 l,5,8-10,80,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Drop The Anchor (IRE),N. G. McCullagh,0,P. A. Fahy,12th,4 1/4 l,9,9-8,92,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Teed Up (IRE),Ben Martin Coen,0,Emmet Mullins,11th,2 3/4 l,6,10-0,98,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Belgoprince (FR),J. J. G. Ryan,5,A. J. Martin,10th,1 l,6,8-10t,80,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Lord Erskine (IRE),Siobhan Rutledge,3,Harry Rogers,9th,1/2 l,10,9-3b,87,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Lunar Power (IRE),C. J. MacRedmond,5,Noel Meade,8th,Head,5,9-6b,90,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Crassus (IRE),R. Whearty,5,Noel Meade,7th,Neck,6,8-10,80,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Brogue,C. D. Hayes,0,D. K. Weld,6th,Neck,7,9-5,89,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Mon Coeur (IRE),G. F. Carroll,0,Joseph G. Murphy,5th,1 1/4 l,7,9-4,88,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Filey Bay (IRE),J. A. Powell,5,Emmet Mullins,4th,1/2 l,7,9-3ht,87,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Flamborough,Andrew Joseph Slattery,0,T. Gibney,3rd,1/2 l,4,8-9,79,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Stoke The Fire (IRE),D. E. Sheehy,3,W. P. Mullins,2nd,Head,4,8-7p1,77,True,86,16
Naas Racing Results | 15th October 2023 17:10,N/A,17:10,Soft (Soft To Heavy In Places),2m 31y,Prairie Dancer (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,5,8-13b,83,True,86,16
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Bitacora (IRE),A. P. Kelly,5,Joe Conlon,10th,3 1/4 l,3,10-7h1,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Ifitwasme (IRE),R. P. Treacy,0,Eric McNamara,9th,7 1/2 l,3,11-0h,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Macinamillion (IRE),R. A. Doyle,0,Gavin Patrick Cromwell,8th,Neck,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Eagles Reign (IRE),T. P. Harney,7,Ross O'Sullivan,7th,2 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Right Now (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,6th,2 1/2 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Kirkuila (IRE),Phillip Enright,0,James M. Barrett,5th,1 1/2 l,3,10-7,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Kaleosun (FR),J. W. Kennedy,0,Gordon Elliott,4th,3 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Union Flag (IRE),Sean Flanagan,0,Noel Meade,3rd,Head,3,11-0t,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Eagle Fang (IRE),D. E. Mullins,0,William Durkan,2nd,1/2 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Hands On (IRE),M. P. Walsh,0,Enda Bolger,1st,N/A,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Bitacora (IRE),A. P. Kelly,5,Joe Conlon,10th,3 1/4 l,3,10-7h1,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Ifitwasme (IRE),R. P. Treacy,0,Eric McNamara,9th,7 1/2 l,3,11-0h,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Macinamillion (IRE),R. A. Doyle,0,Gavin Patrick Cromwell,8th,Neck,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Eagles Reign (IRE),T. P. Harney,7,Ross O'Sullivan,7th,2 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Right Now (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,6th,2 1/2 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Kirkuila (IRE),Phillip Enright,0,James M. Barrett,5th,1 1/2 l,3,10-7,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Kaleosun (FR),J. W. Kennedy,0,Gordon Elliott,4th,3 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Union Flag (IRE),Sean Flanagan,0,Noel Meade,3rd,Head,3,11-0t,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Eagle Fang (IRE),D. E. Mullins,0,William Durkan,2nd,1/2 l,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 13:25,N/A,13:25,Yielding To Soft,2m 20y,Hands On (IRE),M. P. Walsh,0,Enda Bolger,1st,N/A,3,11-0,-,True,86,17
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Sharetheknowledge (IRE),D. J. O'Keeffe,0,P. Tobin,14th,30 l,4,11-6,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Bridie Whittle (IRE),Phillip Enright,0,Robert Tyner,13th,4 1/4 l,5,11-1,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Rohirrim Lad (IRE),M. M. McDonagh,5,James Andrew Fahey,12th,2 1/4 l,6,11-8,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Metalor (IRE),Richard Deegan,0,Liam P. Cusack,11th,7 1/2 l,6,11-12,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Arthor (IRE),M. P. O'Connor,3,James Joseph Mangan,10th,1 1/4 l,6,11-10t,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Mount Frisco (IRE),Liam Quinlan,5,John Patrick Ryan,9th,8 1/2 l,4,11-8,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Coillte Aris (IRE),A. M. McCurtin,0,Ms Debbie Hartnett,8th,3/4 l,5,11-1,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Our Girl Sal (IRE),Gavin Peter Brouder,5,Peter Fahey,7th,1 1/2 l,5,11-1,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Ivy Hall (IRE),D. E. Mullins,0,John Patrick Ryan,6th,1/2 l,5,11-1,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Stickman (IRE),J. P. Shinnick,7,Terence O'Brien,5th,6 l,5,11-10,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Purse Price,J. W. Kennedy,0,Gordon Elliott,4th,17 l,6,11-1tp,-,True,86,18
Cork Racing Results | 15th October 2023 14:00,N/A,14:00,Yielding To Soft,2m 4f 100y,Iceberg Theory (IRE),Sean Flanagan,0,Paul Nolan,3rd,3/4 l,4,11-10,-,True,86,18
