track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Battle Of Ridgeway (IRE),S W Flanagan,0,M Hassett,7th,19 l,6,10-13t,101,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Camino Mission (IRE),P T Enright,0,S Fahey,6th,5 1/2 l,6,10-0,88,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Must Be Dreaming (IRE),M J M O'Sullivan,0,G Ahern,5th,1 l,7,10-5p,93,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Johngus (IRE),Mr S Tobin,7,S Aherne,4th,1 1/2 l,10,11-8,110,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,A Great Buzz (IRE),S D Torrens,0,R Tyner,3rd,3 1/4 l,5,10-4,92,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Cheerful Chap (IRE),J P O'Sullivan,3,P J Rothwell,2nd,2 1/2 l,7,10-13p,101,True,105,20
Cork Racing Results | 21st March 2024 15:58,N/A,15:58,Soft To Heavy,2m 4f,Clonbury Bridge (IRE),D Meyler,0,J P Dempsey,1st,N/A,8,10-12tb,100,True,105,20
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Will Do (IRE),J W Kennedy,0,G Elliott,NR,N/A,7,11-12,127,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Emancipator (IRE),J P Shinnick,7,T O'Brien,PU,N/A,8,11-2b,117,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Capilano Bridge (IRE),C G O'Dwyer,5,C O'Dwyer,PU,N/A,9,11-9p,124,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Regina Dracones (IRE),D J O'Keeffe,0,T Gibney,PU,N/A,9,10-8,109,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Chance The Robin (IRE),B W Harvey,0,J C McConnell,F,N/A,7,10-6,107,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Champagne Platinum (IRE),L Donnelly,7,E Bolger,7th,5 1/2 l,10,11-11,126,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Shotgun Jack (IRE),P K Donovan,5,P G Kelly,6th,18 l,6,10-10,111,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Cerberus,C P McNamara,0,A Leahy,5th,4 l,8,10-8,109,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Waittillitellyou (IRE),D J Gilligan,5,E Cawley,4th,14 l,10,11-0tp,115,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Jeriko De Baune (FR),B Hayes,0,P Fenton,3rd,1/2 l,5,10-8,109,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Aodhan May (IRE),P Byrnes,5,C Byrnes,2nd,1 1/2 l,8,10-9,110,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Sir Bob (IRE),M P Walsh,0,R Tyner,1st,N/A,12,10-10b,111,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Will Do (IRE),J W Kennedy,0,G Elliott,NR,N/A,7,11-12,127,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Emancipator (IRE),J P Shinnick,7,T O'Brien,PU,N/A,8,11-2b,117,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Capilano Bridge (IRE),C G O'Dwyer,5,C O'Dwyer,PU,N/A,9,11-9p,124,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Regina Dracones (IRE),D J O'Keeffe,0,T Gibney,PU,N/A,9,10-8,109,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Chance The Robin (IRE),B W Harvey,0,J C McConnell,F,N/A,7,10-6,107,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Champagne Platinum (IRE),L Donnelly,7,E Bolger,7th,5 1/2 l,10,11-11,126,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Shotgun Jack (IRE),P K Donovan,5,P G Kelly,6th,18 l,6,10-10,111,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Cerberus,C P McNamara,0,A Leahy,5th,4 l,8,10-8,109,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Waittillitellyou (IRE),D J Gilligan,5,E Cawley,4th,14 l,10,11-0tp,115,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Jeriko De Baune (FR),B Hayes,0,P Fenton,3rd,1/2 l,5,10-8,109,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Aodhan May (IRE),P Byrnes,5,C Byrnes,2nd,1 1/2 l,8,10-9,110,True,105,21
Cork Racing Results | 21st March 2024 16:33,N/A,16:33,Soft To Heavy,3m 70y,Sir Bob (IRE),M P Walsh,0,R Tyner,1st,N/A,12,10-10b,111,True,105,21
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,One For Daisy (IRE),H Sourbe,7,S Curling,NR,N/A,6,11-11,95,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Trackman Tommy (IRE),Charlotta Ericsson,5,P G Kelly,UR,N/A,6,11-12,96,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Stradbally Village (IRE),Miss M O'Sullivan,5,Ms M Flynn,PU,N/A,7,10-10,80,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Scarbrook (IRE),Mr P Barlow,7,P Nolan,PU,N/A,5,12-1,99,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Majestic Design (IRE),Mr R W Barron,5,D Queally,PU,N/A,7,11-9t,93,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Colline Fleurie (IRE),Mr C J Shine,7,Brendan Walsh,PU,N/A,6,10-13t,83,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Imperial Fox (IRE),Mr Alan O'Sullivan,7,Padraig Butler,PU,N/A,6,11-5p1,89,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Coulrophobia (IRE),Ms J I Stokes,7,N Stokes,8th,6 1/2 l,5,11-2,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Sarah's Soldier (IRE),Ms C A Walsh,7,P A Fahy,7th,Short Head,6,11-2,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Not May (IRE),Mr Finn Tegetmeier,7,H P Finegan,6th,45 l,10,11-2t,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Danny The Fence (IRE),Mr E Staples,7,K Thornton,5th,10 l,7,12-0t,98,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Balkito (FR),Mr E Ohgren,5,G Ahern,4th,2 1/4 l,9,12-4,102,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Likable Chancer (IRE),Mr E P O'Brien,5,D Howard,3rd,1 3/4 l,10,10-10tb,80,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Ivane (FR),Ms C Skerry,7,Ciaran Murphy,2nd,1 3/4 l,6,11-2p,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Thedancingfarrier (IRE),Ms A Power,7,P Kiely,1st,N/A,12,11-3,87,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,One For Daisy (IRE),H Sourbe,7,S Curling,NR,N/A,6,11-11,95,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Trackman Tommy (IRE),Charlotta Ericsson,5,P G Kelly,UR,N/A,6,11-12,96,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Stradbally Village (IRE),Miss M O'Sullivan,5,Ms M Flynn,PU,N/A,7,10-10,80,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Scarbrook (IRE),Mr P Barlow,7,P Nolan,PU,N/A,5,12-1,99,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Majestic Design (IRE),Mr R W Barron,5,D Queally,PU,N/A,7,11-9t,93,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Colline Fleurie (IRE),Mr C J Shine,7,Brendan Walsh,PU,N/A,6,10-13t,83,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Imperial Fox (IRE),Mr Alan O'Sullivan,7,Padraig Butler,PU,N/A,6,11-5p1,89,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Coulrophobia (IRE),Ms J I Stokes,7,N Stokes,8th,6 1/2 l,5,11-2,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Sarah's Soldier (IRE),Ms C A Walsh,7,P A Fahy,7th,Short Head,6,11-2,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Not May (IRE),Mr Finn Tegetmeier,7,H P Finegan,6th,45 l,10,11-2t,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Danny The Fence (IRE),Mr E Staples,7,K Thornton,5th,10 l,7,12-0t,98,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Balkito (FR),Mr E Ohgren,5,G Ahern,4th,2 1/4 l,9,12-4,102,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Likable Chancer (IRE),Mr E P O'Brien,5,D Howard,3rd,1 3/4 l,10,10-10tb,80,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Ivane (FR),Ms C Skerry,7,Ciaran Murphy,2nd,1 3/4 l,6,11-2p,86,True,105,22
Cork Racing Results | 21st March 2024 17:08,N/A,17:08,Soft To Heavy ap Hurdle (Turf),3m 70y,Thedancingfarrier (IRE),Ms A Power,7,P Kiely,1st,N/A,12,11-3,87,True,105,22
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Snowshaan (IRE),Sarah Kavanagh,7,P T Foley,7th,48 l,5,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Walk In The Shadow (IRE),Ms C Skerry,7,Ciaran Murphy,6th,4 3/4 l,5,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Erindale (FR),Miss T Quail,7,G M Doyle,5th,2 3/4 l,6,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Mother Ship (IRE),Miss E Cody,7,J J Hanlon,4th,5 l,4,11-1,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Slip Jig (IRE),Miss J Townend,0,C Motherway,3rd,1 1/2 l,6,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Lep Around (IRE),Miss J Walton,5,Miss M Harding,2nd,14 l,6,11-11h,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Mozzies Sister (IRE),Miss M O'Sullivan,5,D Queally,1st,N/A,5,11-11t1,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Snowshaan (IRE),Sarah Kavanagh,7,P T Foley,7th,48 l,5,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Walk In The Shadow (IRE),Ms C Skerry,7,Ciaran Murphy,6th,4 3/4 l,5,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Erindale (FR),Miss T Quail,7,G M Doyle,5th,2 3/4 l,6,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Mother Ship (IRE),Miss E Cody,7,J J Hanlon,4th,5 l,4,11-1,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Slip Jig (IRE),Miss J Townend,0,C Motherway,3rd,1 1/2 l,6,11-11,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Lep Around (IRE),Miss J Walton,5,Miss M Harding,2nd,14 l,6,11-11h,-,True,105,23
Cork Racing Results | 21st March 2024 17:40,N/A,17:40,Soft To Heavy  Flat (Turf),2m,Mozzies Sister (IRE),Miss M O'Sullivan,5,D Queally,1st,N/A,5,11-11t1,-,True,105,23
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Maggie Thunder (IRE),D P McDonogh,0,G Hassett,NR,N/A,8,9-2p,47,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Astral Beat (IRE),Siobhan Rutledge,3,L Smyth,12th,1 3/4 l,5,9-7v1,52,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Reinforce (IRE),D Butler,10,Miss K Brown,11th,3 1/4 l,4,9-11,56,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Kuwait Direction (IRE),R M Mulligan,10,K H Clarke,10th,Nose,7,9-2p1,47,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Havana Notion,R Whearty,5,J Feane,9th,1/2 l,4,9-12,57,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Sam's Xpress (IRE),J J G Ryan,5,K P Cotter,8th,Neck,4,10-2,61,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Coolcalmncollected,D McMonagle,0,Ciaran Murphy,7th,1/2 l,4,10-2,61,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Hezahunk (IRE),R P Whelan,0,A McGuinness,6th,1 1/4 l,5,9-7b,52,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Below Deck (IRE),G F Carroll,0,L Comer,5th,Short Head,4,9-5,50,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Bonny Power (IRE),W J Lee,0,E Lynam,4th,Nose,4,9-6,51,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,My Girl Sioux (IRE),A J Slattery,0,A Slattery,3rd,Head,4,9-6,51,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Phil's Dream (IRE),D W O'Connor,0,J C McConnell,2nd,4 3/4 l,4,9-9tv,54,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Pro Bono Alexander (IRE),M W Hassett,7,W P Browne,1st,N/A,4,9-11b1,56,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Maggie Thunder (IRE),D P McDonogh,0,G Hassett,NR,N/A,8,9-2p,47,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Astral Beat (IRE),Siobhan Rutledge,3,L Smyth,12th,1 3/4 l,5,9-7v1,52,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Reinforce (IRE),D Butler,10,Miss K Brown,11th,3 1/4 l,4,9-11,56,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Kuwait Direction (IRE),R M Mulligan,10,K H Clarke,10th,Nose,7,9-2p1,47,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Havana Notion,R Whearty,5,J Feane,9th,1/2 l,4,9-12,57,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Sam's Xpress (IRE),J J G Ryan,5,K P Cotter,8th,Neck,4,10-2,61,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Coolcalmncollected,D McMonagle,0,Ciaran Murphy,7th,1/2 l,4,10-2,61,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Hezahunk (IRE),R P Whelan,0,A McGuinness,6th,1 1/4 l,5,9-7b,52,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Below Deck (IRE),G F Carroll,0,L Comer,5th,Short Head,4,9-5,50,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Bonny Power (IRE),W J Lee,0,E Lynam,4th,Nose,4,9-6,51,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,My Girl Sioux (IRE),A J Slattery,0,A Slattery,3rd,Head,4,9-6,51,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Phil's Dream (IRE),D W O'Connor,0,J C McConnell,2nd,4 3/4 l,4,9-9tv,54,True,105,24
Dundalk Racing Results | 22nd March 2024 17:00,N/A,17:00,Standard,5f,Pro Bono Alexander (IRE),M W Hassett,7,W P Browne,1st,N/A,4,9-11b1,56,True,105,24
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Secret Magician (IRE),M W Hassett,7,M Hassett,NR,N/A,5,9-0b,71,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Tai Sing Yeh (IRE),J M Sheridan,0,D Hogan,NR,N/A,10,9-2tb,73,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Rumbled Again (IRE),D McMonagle,0,D J Bunyan,10th,4 1/2 l,4,9-3b,74,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Jered Maddox,L T McAteer,0,D Marnane,9th,1/2 l,8,9-5,76,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,8th,3/4 l,8,9-7p,78,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Musical Tribute,R Whearty,5,K H Clarke,7th,1/2 l,4,9-9p1,80,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Macadam's Rock (IRE),B M Coen,0,Miss H McLoughlin,6th,Short Head,6,8-13,70,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Theriverrunsdeep (IRE),L F Roche,0,S G O'Donnell,5th,Head,8,8-7p,65,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Mount Ruapehu (IRE),A J Slattery,0,A Slattery,4th,Head,4,9-4,75,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Collective Power (IRE),Sorcha Woods,7,E Lynam,3rd,1/2 l,6,9-13,84,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,2nd,1/2 l,6,10-4v,89,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Apache Outlaw (IRE),Adam Caffrey,5,A McGuinness,1st,N/A,4,10-4,89,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Secret Magician (IRE),M W Hassett,7,M Hassett,NR,N/A,5,9-0b,71,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Tai Sing Yeh (IRE),J M Sheridan,0,D Hogan,NR,N/A,10,9-2tb,73,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Rumbled Again (IRE),D McMonagle,0,D J Bunyan,10th,4 1/2 l,4,9-3b,74,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Jered Maddox,L T McAteer,0,D Marnane,9th,1/2 l,8,9-5,76,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,8th,3/4 l,8,9-7p,78,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Musical Tribute,R Whearty,5,K H Clarke,7th,1/2 l,4,9-9p1,80,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Macadam's Rock (IRE),B M Coen,0,Miss H McLoughlin,6th,Short Head,6,8-13,70,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Theriverrunsdeep (IRE),L F Roche,0,S G O'Donnell,5th,Head,8,8-7p,65,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Mount Ruapehu (IRE),A J Slattery,0,A Slattery,4th,Head,4,9-4,75,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Collective Power (IRE),Sorcha Woods,7,E Lynam,3rd,1/2 l,6,9-13,84,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,2nd,1/2 l,6,10-4v,89,True,105,25
Dundalk Racing Results | 22nd March 2024 17:30,N/A,17:30,Standard,6f,Apache Outlaw (IRE),Adam Caffrey,5,A McGuinness,1st,N/A,4,10-4,89,True,105,25
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Clarinbridge (IRE),J M Sheridan,0,L Breen,NR,N/A,5,8-13,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Saoirses Lulaby (IRE),G M Ryan,0,P J F Murphy,14th,12 l,4,8-13,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Princess Rajj (IRE),L F Roche,0,P Roche,13th,2 l,5,8-13t,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,The Bog Bank (IRE),Alyse Jane Clarke,10,T G McCourt,12th,1/2 l,7,9-12tp,60,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Thirtysecondstreet (IRE),R C Colgan,0,L Comer,11th,Head,4,8-13,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Maestro Stick,R Whearty,5,K H Clarke,10th,1 l,7,9-4t,52,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Allo Arry (IRE),D W O'Connor,0,J C McConnell,9th,3/4 l,5,9-11v,59,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Chica Power (IRE),C T Keane,0,C Collins,8th,Nose,6,9-12p,60,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Sunset Nova (IRE),A J Slattery,0,A Slattery,7th,Head,8,9-1v,49,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Hero Of The Hour,B M Coen,0,G A Kingston,6th,1 1/4 l,7,9-5v1,53,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,The Cola Brasil,J J G Ryan,5,M J Browne,5th,1/2 l,8,10-0tp,62,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,River Derwent,Adam Caffrey,5,Thomas Coyle,4th,3/4 l,6,10-0tb,62,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Tynamite (IRE),L T McAteer,0,D Marnane,3rd,1/2 l,10,9-5,53,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Bungle Inthedesert (IRE),Siobhan Rutledge,3,J C McConnell,2nd,1 1/4 l,5,9-11,59,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Ferrybank,W J Lee,0,T M Walsh,1st,N/A,6,9-11t,59,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Clarinbridge (IRE),J M Sheridan,0,L Breen,NR,N/A,5,8-13,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Saoirses Lulaby (IRE),G M Ryan,0,P J F Murphy,14th,12 l,4,8-13,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Princess Rajj (IRE),L F Roche,0,P Roche,13th,2 l,5,8-13t,47,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,The Bog Bank (IRE),Alyse Jane Clarke,10,T G McCourt,12th,1/2 l,7,9-12tp,60,True,105,26
Dundalk Racing Results | 22nd March 2024 18:00,N/A,18:00,Standard,7f,Thirtysecondstreet (IRE),R C Colgan,0,L Comer,11th,Head,4,8-13,47,True,105,26
