track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Eden Valley (IRE),Mr D Doyle,7,T Doyle,PU,N/A,7,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Accustomed (IRE),D King,0,E D Delany,F,N/A,5,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Tamberian (IRE),K E Buckley,0,Conor Maxwell,13th,29 l,5,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Halo Halo (IRE),Mr L Burke-Ott,7,Miss J M Lee,12th,1 3/4 l,5,11-5t1,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Fourtwofour (IRE),B W Harvey,0,C Collins,11th,1 3/4 l,4,11-8,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Beau Coup (FR),J C Gainford,0,C Bowe,10th,19 l,5,11-12p1,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Gaoithe Glory (IRE),J Coen,3,E McNamara,9th,20 l,5,11-12t,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Krishna Bellevue (FR),D Meyler,0,R O'Sullivan,8th,2 l,5,11-12b1,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Noticebox,K M Donoghue,0,G P Cromwell,7th,5 1/2 l,5,11-12h,115,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,March On Dave (IRE),C M Quirke,0,M O Quigley,6th,13 l,8,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Jetaway Nana (IRE),D J Gilligan,0,C Collins,5th,1/2 l,5,11-5,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Tangara Bay (FR),D J O'Keeffe,0,H De Bromhead,4th,1 l,5,11-5,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Jazzy Rock (IRE),A Harvey,5,Francis Casey,3rd,8 l,6,11-5,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Following Orders (IRE),C M Hogan,7,P J Rothwell,2nd,1 1/4 l,5,11-12,106,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Power Of Words (IRE),J W Kennedy,0,G Elliott,1st,N/A,4,11-8h,110,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Eden Valley (IRE),Mr D Doyle,7,T Doyle,PU,N/A,7,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Accustomed (IRE),D King,0,E D Delany,F,N/A,5,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Tamberian (IRE),K E Buckley,0,Conor Maxwell,13th,29 l,5,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Halo Halo (IRE),Mr L Burke-Ott,7,Miss J M Lee,12th,1 3/4 l,5,11-5t1,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Fourtwofour (IRE),B W Harvey,0,C Collins,11th,1 3/4 l,4,11-8,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Beau Coup (FR),J C Gainford,0,C Bowe,10th,19 l,5,11-12p1,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Gaoithe Glory (IRE),J Coen,3,E McNamara,9th,20 l,5,11-12t,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Krishna Bellevue (FR),D Meyler,0,R O'Sullivan,8th,2 l,5,11-12b1,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Noticebox,K M Donoghue,0,G P Cromwell,7th,5 1/2 l,5,11-12h,115,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,March On Dave (IRE),C M Quirke,0,M O Quigley,6th,13 l,8,11-12,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Jetaway Nana (IRE),D J Gilligan,0,C Collins,5th,1/2 l,5,11-5,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Tangara Bay (FR),D J O'Keeffe,0,H De Bromhead,4th,1 l,5,11-5,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Jazzy Rock (IRE),A Harvey,5,Francis Casey,3rd,8 l,6,11-5,-,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Following Orders (IRE),C M Hogan,7,P J Rothwell,2nd,1 1/4 l,5,11-12,106,True,10,12
Roscommon Racing Results | 5th August 2025 16:38,2025-08-05,16:38,Good To Yielding (Good In Places),2m 4f 59y,Power Of Words (IRE),J W Kennedy,0,G Elliott,1st,N/A,4,11-8h,110,True,10,12
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Silk Degrees (IRE),Sam Ewing,0,S R B Crawford,15th,21 l,4,11-1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,River Derwent,A Harvey,5,Thomas Coyle,14th,6 1/2 l,7,11-12t,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Morning Mayhem,R A Doyle,0,P Flood,13th,7 l,4,11-1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Burlington House (FR),P T Enright,0,O McKiernan,12th,1 3/4 l,4,11-1h1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Keaner's Boy (IRE),Mr B M Coonan,7,V C Ward,11th,2 1/2 l,5,11-4,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Roman Harry (IRE),J Smith,5,C O'Connell,10th,7 l,5,11-12ht,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Bella Colombia (IRE),D J O'Keeffe,0,S K Ryder,9th,3 1/4 l,4,11-2,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Breezingwithdstars (IRE),S F O'Keeffe,0,M Flannery,8th,3 l,5,11-4,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Miss Bella Vista (IRE),P M O'Brien,5,D A McLoughlin,7th,3 1/4 l,4,10-8,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Rosie's Wings (IRE),P J O'Hanlon,0,L Fowler,6th,4 l,5,11-4,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Zaryagle (IRE),S D Torrens,0,P J Rothwell,5th,3 1/2 l,4,11-1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Scottish Reel (IRE),A M King,7,M M McNiff,4th,10 l,4,11-1t1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Cool Summer (IRE),D Meyler,0,Miss H McLoughlin,3rd,1 l,5,10-11h,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Firebrand (GER),D King,0,J Nallen,2nd,2 l,5,11-12tp,108,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Laurie Blue (IRE),J C Gainford,0,E D Delany,1st,N/A,7,10-11t,97,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Silk Degrees (IRE),Sam Ewing,0,S R B Crawford,15th,21 l,4,11-1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,River Derwent,A Harvey,5,Thomas Coyle,14th,6 1/2 l,7,11-12t,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Morning Mayhem,R A Doyle,0,P Flood,13th,7 l,4,11-1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Burlington House (FR),P T Enright,0,O McKiernan,12th,1 3/4 l,4,11-1h1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Keaner's Boy (IRE),Mr B M Coonan,7,V C Ward,11th,2 1/2 l,5,11-4,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Roman Harry (IRE),J Smith,5,C O'Connell,10th,7 l,5,11-12ht,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Bella Colombia (IRE),D J O'Keeffe,0,S K Ryder,9th,3 1/4 l,4,11-2,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Breezingwithdstars (IRE),S F O'Keeffe,0,M Flannery,8th,3 l,5,11-4,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Miss Bella Vista (IRE),P M O'Brien,5,D A McLoughlin,7th,3 1/4 l,4,10-8,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Rosie's Wings (IRE),P J O'Hanlon,0,L Fowler,6th,4 l,5,11-4,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Zaryagle (IRE),S D Torrens,0,P J Rothwell,5th,3 1/2 l,4,11-1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Scottish Reel (IRE),A M King,7,M M McNiff,4th,10 l,4,11-1t1,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Cool Summer (IRE),D Meyler,0,Miss H McLoughlin,3rd,1 l,5,10-11h,-,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Firebrand (GER),D King,0,J Nallen,2nd,2 l,5,11-12tp,108,True,10,13
Roscommon Racing Results | 5th August 2025 17:10,2025-08-05,17:10,Good To Yielding (Good In Places),1m 7f 110y,Laurie Blue (IRE),J C Gainford,0,E D Delany,1st,N/A,7,10-11t,97,True,10,13
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,San Franco (IRE),P M O'Brien,5,D A McLoughlin,PU,N/A,5,11-4p1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Timurshah (IRE),A P Kelly,3,P Byrne,14th,17 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Saviour Blu (IRE),C M Quirke,0,M Flannery,13th,1 1/2 l,6,11-4,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Youknowme (IRE),R A Doyle,0,P J Rothwell,12th,6 1/2 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Camlin Park (IRE),A Harvey,5,J C McConnell,11th,3/4 l,5,10-11t1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Big Dee (IRE),G B Noonan,5,E McCarthy,10th,2 l,6,11-12h,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,El Regalo (IRE),D King,0,S K Ryder,9th,9 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Bossy Bird (IRE),D J Gilligan,0,T Gibney,8th,17 l,5,10-11t,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Mon Sheriffe,C M Hogan,7,P J Rothwell,7th,Head,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,We're Back Again (IRE),D J O'Keeffe,0,P Griffin,6th,4 1/2 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Ned In The Park (IRE),Mr D Doyle,7,T Doyle,5th,Head,6,11-4h,107,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Oh Janey (IRE),Sam Ewing,0,S R B Crawford,4th,1/2 l,5,10-11t,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Chantilly Wings (IRE),J C Gainford,0,C Collins,3rd,2 1/2 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Bold Fury (IRE),Mr T C Kileff,7,S R B Crawford,2nd,1 3/4 l,6,11-4h,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Yosemite Gold,P T Enright,0,E Doyle,1st,N/A,4,11-1,109,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,San Franco (IRE),P M O'Brien,5,D A McLoughlin,PU,N/A,5,11-4p1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Timurshah (IRE),A P Kelly,3,P Byrne,14th,17 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Saviour Blu (IRE),C M Quirke,0,M Flannery,13th,1 1/2 l,6,11-4,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Youknowme (IRE),R A Doyle,0,P J Rothwell,12th,6 1/2 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Camlin Park (IRE),A Harvey,5,J C McConnell,11th,3/4 l,5,10-11t1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Big Dee (IRE),G B Noonan,5,E McCarthy,10th,2 l,6,11-12h,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,El Regalo (IRE),D King,0,S K Ryder,9th,9 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Bossy Bird (IRE),D J Gilligan,0,T Gibney,8th,17 l,5,10-11t,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Mon Sheriffe,C M Hogan,7,P J Rothwell,7th,Head,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,We're Back Again (IRE),D J O'Keeffe,0,P Griffin,6th,4 1/2 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Ned In The Park (IRE),Mr D Doyle,7,T Doyle,5th,Head,6,11-4h,107,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Oh Janey (IRE),Sam Ewing,0,S R B Crawford,4th,1/2 l,5,10-11t,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Chantilly Wings (IRE),J C Gainford,0,C Collins,3rd,2 1/2 l,4,11-1,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Bold Fury (IRE),Mr T C Kileff,7,S R B Crawford,2nd,1 3/4 l,6,11-4h,-,True,10,14
Roscommon Racing Results | 5th August 2025 17:45,2025-08-05,17:45,Good To Yielding (Good In Places),1m 7f 110y,Yosemite Gold,P T Enright,0,E Doyle,1st,N/A,4,11-1,109,True,10,14
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Emily's Choice (IRE),E Staples,7,C Bowe,16th,5 1/2 l,7,10-12b1,96,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Grace Faraday (IRE),E Finegan,7,A McCann,15th,19 l,7,10-9h,93,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Scottish Dancer (IRE),C M Quirke,0,E Doyle,14th,25 l,6,10-10tb,94,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Adaliz (GER),D J O'Keeffe,0,H De Bromhead,13th,1 3/4 l,5,11-5p,103,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Zefiro Dodville (FR),H E Sexton,7,A Sexton,12th,8 l,7,11-11p,109,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Ballyglass Beauty (IRE),R A Berry,7,L P Cusack,11th,1 1/4 l,9,11-5,103,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,John Storey (IRE),Mr P W Gleeson,7,L P Cusack,10th,Short Head,7,11-2,100,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Evening's Empire (IRE),D Meyler,0,J Barcoe,9th,2 l,5,10-10,94,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Mister Vic (IRE),Mr L T Turner,7,N C Kelly,8th,3 3/4 l,7,11-6t,104,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Hees Dynamite (IRE),C M Hogan,7,E McNamara,7th,1 3/4 l,7,11-3,101,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Its Not Over Yet (IRE),P T Enright,0,O McKiernan,6th,Head,6,11-4,102,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Themanintheboots (IRE),J W Kennedy,0,G Elliott,5th,1 1/4 l,7,11-5p,103,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Rebellious Gale (IRE),K C Sexton,0,A J Martin,4th,3 3/4 l,9,10-10t,94,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Smallcraftwarning (IRE),D King,0,J P Ryan,3rd,6 l,8,11-1t,99,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Inthenickoftime (IRE),S D Torrens,0,E Bolger,2nd,2 1/4 l,5,11-1,99,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Mags Nelson (IRE),D J Gilligan,0,R O'Sullivan,1st,N/A,6,11-4,102,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Emily's Choice (IRE),E Staples,7,C Bowe,16th,5 1/2 l,7,10-12b1,96,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Grace Faraday (IRE),E Finegan,7,A McCann,15th,19 l,7,10-9h,93,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Scottish Dancer (IRE),C M Quirke,0,E Doyle,14th,25 l,6,10-10tb,94,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Adaliz (GER),D J O'Keeffe,0,H De Bromhead,13th,1 3/4 l,5,11-5p,103,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Zefiro Dodville (FR),H E Sexton,7,A Sexton,12th,8 l,7,11-11p,109,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Ballyglass Beauty (IRE),R A Berry,7,L P Cusack,11th,1 1/4 l,9,11-5,103,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,John Storey (IRE),Mr P W Gleeson,7,L P Cusack,10th,Short Head,7,11-2,100,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Evening's Empire (IRE),D Meyler,0,J Barcoe,9th,2 l,5,10-10,94,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Mister Vic (IRE),Mr L T Turner,7,N C Kelly,8th,3 3/4 l,7,11-6t,104,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Hees Dynamite (IRE),C M Hogan,7,E McNamara,7th,1 3/4 l,7,11-3,101,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Its Not Over Yet (IRE),P T Enright,0,O McKiernan,6th,Head,6,11-4,102,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Themanintheboots (IRE),J W Kennedy,0,G Elliott,5th,1 1/4 l,7,11-5p,103,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Rebellious Gale (IRE),K C Sexton,0,A J Martin,4th,3 3/4 l,9,10-10t,94,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Smallcraftwarning (IRE),D King,0,J P Ryan,3rd,6 l,8,11-1t,99,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Inthenickoftime (IRE),S D Torrens,0,E Bolger,2nd,2 1/4 l,5,11-1,99,True,10,15
Roscommon Racing Results | 5th August 2025 18:20,2025-08-05,18:20,Good To Yielding (Good In Places),3m,Mags Nelson (IRE),D J Gilligan,0,R O'Sullivan,1st,N/A,6,11-4,102,True,10,15
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Fiveonefive (IRE),J C Gainford,0,C Collins,RO,N/A,7,11-12,-,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,St Cuthbert's Cave (IRE),J W Kennedy,0,G Elliott,F,N/A,7,11-12t,116,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Eve's Hope (IRE),C M Quirke,0,M O Quigley,4th,24 l,7,11-5t,-,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Maidenstreetprince (IRE),P Byrnes,0,C Byrnes,3rd,1 1/4 l,8,11-12,126,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Old Bill Barley (IRE),K Callaghan,5,W P Mullins,2nd,11 l,8,11-12,-,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Solsbury Hill (IRE),C G O'Dwyer,5,C O'Dwyer,1st,N/A,6,11-12,-,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Fiveonefive (IRE),J C Gainford,0,C Collins,RO,N/A,7,11-12,-,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,St Cuthbert's Cave (IRE),J W Kennedy,0,G Elliott,F,N/A,7,11-12t,116,True,10,16
Roscommon Racing Results | 5th August 2025 18:55,2025-08-05,18:55,Yielding (Good To Yielding In Places),2m 142y,Eve's Hope (IRE),C M Quirke,0,M O Quigley,4th,24 l,7,11-5t,-,True,10,16
