track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Blackjack Hills (IRE),R C Colgan,0,M J Smith,9th,1/2 l,3,9-4,60,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Wertpol (IRE),B M Coen,0,J P Murtagh,8th,1 l,3,10-1,71,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Amber Blossom,R M Mulligan,7,J P Murtagh,7th,1 l,3,9-9p1,65,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,You Are Mine (IRE),A J Slattery,0,J A Stack,6th,Short Head,3,9-12,68,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Tilani (IRE),C D Hayes,0,D K Weld,5th,1 3/4 l,3,9-5p1,61,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Rising Sky (IRE),J A Heffernan,0,A McCann,4th,1 1/2 l,3,9-6,62,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Vega's Muse,S Foley,0,Mrs J Harrington,3rd,1/2 l,3,9-6,62,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Faoladh (IRE),A Browne-Souza,10,A Slattery,2nd,Short Head,3,9-7t,63,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Refreshment (IRE),G M Ryan,0,M Fahey,1st,N/A,3,9-10b1,66,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Sheamus Seimhiu (IRE),R P Whelan,0,C Timmons,18th,1 1/4 l,3,9-12,68,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Weegeebear (IRE),J A Powell,3,A McGuinness,17th,1/2 l,3,9-1v,57,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Your Call (IRE),D McMonagle,0,N Meade,16th,2 1/2 l,3,9-6p,62,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,All Right By Me (IRE),C T Keane,0,G M Lyons,15th,Neck,3,10-0,70,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Moonhall Lass (IRE),W Joyce,3,Alan McIntyre,14th,3 1/4 l,3,9-9,65,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Amplitude (IRE),G F Carroll,0,J G Murphy,13th,Short Head,3,9-12,68,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,The Dark Baron (IRE),J M Sheridan,0,J J Murphy,12th,Short Head,3,9-5t,61,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Ballymagreehan,L T McAteer,0,D Marnane,11th,Neck,3,9-0,56,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Widely Acclaimed,Adam Caffrey,0,A McGuinness,10th,1 1/4 l,3,9-4,60,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Blackjack Hills (IRE),R C Colgan,0,M J Smith,9th,1/2 l,3,9-4,60,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Wertpol (IRE),B M Coen,0,J P Murtagh,8th,1 l,3,10-1,71,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Amber Blossom,R M Mulligan,7,J P Murtagh,7th,1 l,3,9-9p1,65,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,You Are Mine (IRE),A J Slattery,0,J A Stack,6th,Short Head,3,9-12,68,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Tilani (IRE),C D Hayes,0,D K Weld,5th,1 3/4 l,3,9-5p1,61,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Rising Sky (IRE),J A Heffernan,0,A McCann,4th,1 1/2 l,3,9-6,62,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Vega's Muse,S Foley,0,Mrs J Harrington,3rd,1/2 l,3,9-6,62,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Faoladh (IRE),A Browne-Souza,10,A Slattery,2nd,Short Head,3,9-7t,63,True,179,25
Leopardstown Racing Results | 5th June 2025 20:05,N/A,20:05,Good (Good To Yielding In Places),1m,Refreshment (IRE),G M Ryan,0,M Fahey,1st,N/A,3,9-10b1,66,True,179,25
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Dream Legend (IRE),J A Heffernan,0,E D Delany,11th,2 3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Second Line (IRE),S Foley,0,Mrs J Harrington,10th,5 1/2 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Gemical (IRE),J Kearney,3,Kevin Coleman,9th,Neck,2,9-2,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Equilux (IRE),G M Ryan,0,Donnacha O'Brien,8th,1 3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Piazza San Marco (USA),R P Whelan,0,A P O'Brien,7th,2 3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Andosky (IRE),W Joyce,3,M Mulvany,6th,1 1/2 l,2,9-2,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Clarity of Thought,M W Hassett,5,J P O'Brien,5th,3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Bobby Mcgee,C D Hayes,0,N Meade,4th,Neck,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Extravagant (IRE),J Cleary,5,A P O'Brien,3rd,4 1/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Frescobaldi (IRE),M Crehan,3,A P O'Brien,2nd,Head,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Green Soul (IRE),D P McDonogh,0,J P O'Brien,1st,N/A,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Dream Legend (IRE),J A Heffernan,0,E D Delany,11th,2 3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Second Line (IRE),S Foley,0,Mrs J Harrington,10th,5 1/2 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Gemical (IRE),J Kearney,3,Kevin Coleman,9th,Neck,2,9-2,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Equilux (IRE),G M Ryan,0,Donnacha O'Brien,8th,1 3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Piazza San Marco (USA),R P Whelan,0,A P O'Brien,7th,2 3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Andosky (IRE),W Joyce,3,M Mulvany,6th,1 1/2 l,2,9-2,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Clarity of Thought,M W Hassett,5,J P O'Brien,5th,3/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Bobby Mcgee,C D Hayes,0,N Meade,4th,Neck,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Extravagant (IRE),J Cleary,5,A P O'Brien,3rd,4 1/4 l,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Frescobaldi (IRE),M Crehan,3,A P O'Brien,2nd,Head,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:15,N/A,16:15,Good,7f,Green Soul (IRE),D P McDonogh,0,J P O'Brien,1st,N/A,2,9-7,-,True,179,26
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,She's A Gift,R Coakley,0,J C McConnell,16th,8 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Virgil Tibbs (IRE),D W O'Connor,0,J C McConnell,15th,12 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Immortal Jock (IRE),A J Slattery,0,A Oliver,14th,2 1/2 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Senior Situation,L F Roche,0,M G Quinn,13th,2 1/4 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Royal Belief (IRE),R P Whelan,0,John O'Donoghue,12th,Neck,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Grown Ups (IRE),J J G Ryan,3,C O'Connell,11th,1 1/2 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Hostility (IRE),D P McDonogh,0,J P O'Brien,10th,3 3/4 l,3,9-8p1,84,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Eastern Peace (IRE),R C Colgan,0,C Timmons,9th,2 3/4 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,No Such Thing (IRE),J Kearney,3,G M Lyons,8th,Neck,3,9-8b,74,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Sandi O Mali (IRE),L T McAteer,0,J M Barrett,7th,1 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,My Vonnie (IRE),W Joyce,3,M Rice,6th,3/4 l,4,9-13,60,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Scarlet Raider (USA),G M Ryan,0,E Mullins,5th,1 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Wegotogether (IRE),R Whearty,3,G P Cromwell,4th,3 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Poweracclaim (IRE),J A Heffernan,0,J P Murtagh,3rd,3 3/4 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Knockmark,G F Carroll,0,G M Lyons,2nd,1/2 l,3,9-8t,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Germanese (IRE),W J Lee,0,W McCreery,1st,N/A,4,9-13,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,She's A Gift,R Coakley,0,J C McConnell,16th,8 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Virgil Tibbs (IRE),D W O'Connor,0,J C McConnell,15th,12 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Immortal Jock (IRE),A J Slattery,0,A Oliver,14th,2 1/2 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Senior Situation,L F Roche,0,M G Quinn,13th,2 1/4 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Royal Belief (IRE),R P Whelan,0,John O'Donoghue,12th,Neck,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Grown Ups (IRE),J J G Ryan,3,C O'Connell,11th,1 1/2 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Hostility (IRE),D P McDonogh,0,J P O'Brien,10th,3 3/4 l,3,9-8p1,84,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Eastern Peace (IRE),R C Colgan,0,C Timmons,9th,2 3/4 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,No Such Thing (IRE),J Kearney,3,G M Lyons,8th,Neck,3,9-8b,74,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Sandi O Mali (IRE),L T McAteer,0,J M Barrett,7th,1 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,My Vonnie (IRE),W Joyce,3,M Rice,6th,3/4 l,4,9-13,60,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Scarlet Raider (USA),G M Ryan,0,E Mullins,5th,1 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Wegotogether (IRE),R Whearty,3,G P Cromwell,4th,3 l,3,9-3,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Poweracclaim (IRE),J A Heffernan,0,J P Murtagh,3rd,3 3/4 l,3,9-8,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Knockmark,G F Carroll,0,G M Lyons,2nd,1/2 l,3,9-8t,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 16:45,N/A,16:45,Good,7f,Germanese (IRE),W J Lee,0,W McCreery,1st,N/A,4,9-13,-,True,179,27
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Roosevelt,J Cleary,5,A P O'Brien,10th,1 l,3,10-2,92,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Boyne Valley (IRE),W Joyce,3,M Mulvany,9th,Head,3,8-7,67,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Va Va Vroom (IRE),K G Kennedy,5,Mrs J Harrington,8th,1 l,3,10-3t1,93,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Spycraft (FR),D P McDonogh,0,J P O'Brien,7th,1 1/2 l,3,9-1tp,77,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Powerful Lady (FR),L F Roche,0,N Lupini,6th,1 1/2 l,3,9-1t1,77,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Just Before (USA),J A Heffernan,0,W P Browne,5th,1 1/2 l,3,9-1,77,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Kilmood Susan (IRE),S Foley,0,Daniel Murphy,4th,2 1/4 l,3,8-10,72,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Glyndwr (IRE),G F Carroll,0,G M Lyons,3rd,1 l,3,9-7,83,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Sir Jeremy (IRE),J A Powell,3,A McGuinness,2nd,3/4 l,3,8-8,70,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Orchidaceae (IRE),W J Lee,0,A Oliver,1st,N/A,3,9-13,89,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Roosevelt,J Cleary,5,A P O'Brien,10th,1 l,3,10-2,92,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Boyne Valley (IRE),W Joyce,3,M Mulvany,9th,Head,3,8-7,67,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Va Va Vroom (IRE),K G Kennedy,5,Mrs J Harrington,8th,1 l,3,10-3t1,93,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Spycraft (FR),D P McDonogh,0,J P O'Brien,7th,1 1/2 l,3,9-1tp,77,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Powerful Lady (FR),L F Roche,0,N Lupini,6th,1 1/2 l,3,9-1t1,77,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Just Before (USA),J A Heffernan,0,W P Browne,5th,1 1/2 l,3,9-1,77,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Kilmood Susan (IRE),S Foley,0,Daniel Murphy,4th,2 1/4 l,3,8-10,72,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Glyndwr (IRE),G F Carroll,0,G M Lyons,3rd,1 l,3,9-7,83,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Sir Jeremy (IRE),J A Powell,3,A McGuinness,2nd,3/4 l,3,8-8,70,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:20,N/A,17:20,Good,7f,Orchidaceae (IRE),W J Lee,0,A Oliver,1st,N/A,3,9-13,89,True,179,28
Fairyhouse Racing Results | 6th June 2025 17:50,N/A,17:50,Good,6f,Rowdy Yeats (IRE),C D Hayes,0,N Meade,3rd,2 3/4 l,3,9-5,91,True,179,29
Fairyhouse Racing Results | 6th June 2025 17:50,N/A,17:50,Good,6f,Tango Flare (IRE),J A Heffernan,0,P T Foley,2nd,2 1/2 l,6,9-13t,97,True,179,29
Fairyhouse Racing Results | 6th June 2025 17:50,N/A,17:50,Good,6f,King Cuan,W J Lee,0,P Twomey,1st,N/A,4,9-13,96,True,179,29
Fairyhouse Racing Results | 6th June 2025 17:50,N/A,17:50,Good,6f,Rowdy Yeats (IRE),C D Hayes,0,N Meade,3rd,2 3/4 l,3,9-5,91,True,179,29
Fairyhouse Racing Results | 6th June 2025 17:50,N/A,17:50,Good,6f,Tango Flare (IRE),J A Heffernan,0,P T Foley,2nd,2 1/2 l,6,9-13t,97,True,179,29
Fairyhouse Racing Results | 6th June 2025 17:50,N/A,17:50,Good,6f,King Cuan,W J Lee,0,P Twomey,1st,N/A,4,9-13,96,True,179,29
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Magna Beauty (IRE),K J Leonard,0,E Buckley,18th,2 1/4 l,3,8-7t1,45,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Feature This (IRE),S Foley,0,Ian Donoghue,17th,5 1/2 l,6,8-12tb,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Jackie Brown (IRE),J A Heffernan,0,A J Martin,16th,1 1/4 l,5,9-7t,51,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Alex Belardo (IRE),D W O'Connor,0,J C McConnell,15th,1/2 l,4,10-1v,59,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Leni Mo (IRE),L T McAteer,0,A Kinirons,14th,1 l,4,8-12p1,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Circles (IRE),W J Lee,0,A McCann,13th,3/4 l,6,10-0tb,58,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,American In Paris (IRE),J M Sheridan,0,P W Flynn,12th,Head,5,8-11tb,41,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Hastily,Nicola Burns,7,Tom McGuinness,11th,1/2 l,6,9-3,47,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Amanirenas (IRE),J J G Ryan,3,M C Grassick,10th,3/4 l,6,9-11p,55,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Hezahunk (IRE),P McGettigan,7,P J McKenna,9th,1 l,6,8-12p,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Livingston Range (IRE),K G Kennedy,5,R Donohoe,8th,3/4 l,7,8-12t,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Rattletheonionbag (IRE),D P McDonogh,0,W P Browne,7th,Head,5,8-11p,41,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Step Back In Time (IRE),R C Colgan,0,C Timmons,6th,1/2 l,7,9-4p,48,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Shelbourne Flyer (IRE),R Coakley,0,J C McConnell,5th,Head,4,9-13t1,57,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Mark's One (IRE),J Cleary,5,Michael G Cleary,4th,1 3/4 l,4,9-11,55,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Distillate,Adam Caffrey,0,A McGuinness,3rd,2 1/4 l,5,9-12t,56,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Carrigans Grove (IRE),G F Carroll,0,P J Flynn,2nd,1 l,4,9-5,49,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,I Bid You Ajou (FR),J E Harnett,10,M Fahey,1st,N/A,4,10-8,66,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Magna Beauty (IRE),K J Leonard,0,E Buckley,18th,2 1/4 l,3,8-7t1,45,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Feature This (IRE),S Foley,0,Ian Donoghue,17th,5 1/2 l,6,8-12tb,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Jackie Brown (IRE),J A Heffernan,0,A J Martin,16th,1 1/4 l,5,9-7t,51,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Alex Belardo (IRE),D W O'Connor,0,J C McConnell,15th,1/2 l,4,10-1v,59,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Leni Mo (IRE),L T McAteer,0,A Kinirons,14th,1 l,4,8-12p1,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Circles (IRE),W J Lee,0,A McCann,13th,3/4 l,6,10-0tb,58,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,American In Paris (IRE),J M Sheridan,0,P W Flynn,12th,Head,5,8-11tb,41,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Hastily,Nicola Burns,7,Tom McGuinness,11th,1/2 l,6,9-3,47,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Amanirenas (IRE),J J G Ryan,3,M C Grassick,10th,3/4 l,6,9-11p,55,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Hezahunk (IRE),P McGettigan,7,P J McKenna,9th,1 l,6,8-12p,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Livingston Range (IRE),K G Kennedy,5,R Donohoe,8th,3/4 l,7,8-12t,42,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Rattletheonionbag (IRE),D P McDonogh,0,W P Browne,7th,Head,5,8-11p,41,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Step Back In Time (IRE),R C Colgan,0,C Timmons,6th,1/2 l,7,9-4p,48,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Shelbourne Flyer (IRE),R Coakley,0,J C McConnell,5th,Head,4,9-13t1,57,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Mark's One (IRE),J Cleary,5,Michael G Cleary,4th,1 3/4 l,4,9-11,55,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Distillate,Adam Caffrey,0,A McGuinness,3rd,2 1/4 l,5,9-12t,56,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,Carrigans Grove (IRE),G F Carroll,0,P J Flynn,2nd,1 l,4,9-5,49,True,179,30
Fairyhouse Racing Results | 6th June 2025 18:25,N/A,18:25,Good,6f,I Bid You Ajou (FR),J E Harnett,10,M Fahey,1st,N/A,4,10-8,66,True,179,30
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Blue Moon Boy (IRE),L T McAteer,0,A Kinirons,11th,15 l,3,9-8,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Diamond Cross (IRE),R P Cleary,0,K H Clarke,10th,3 l,3,9-8,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Eutropia,R C Colgan,0,Kevin Coleman,9th,1 3/4 l,3,9-3,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Rizal (FR),J A Powell,3,J P Murtagh,8th,5 l,3,9-8,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Elman (IRE),J A Heffernan,0,J P Murtagh,7th,1/2 l,3,9-8,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Matrice (IRE),D P McDonogh,0,J P O'Brien,6th,3 1/4 l,3,9-3p1,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Dun An Oir (IRE),S T McCullagh,0,Mrs J Harrington,5th,Short Head,3,9-8,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Happy Pharoah (IRE),G M Ryan,0,Donnacha O'Brien,4th,1 3/4 l,3,9-8,-,True,179,31
Fairyhouse Racing Results | 6th June 2025 19:00,N/A,19:00,Good,1m 2f,Local Lad (IRE),J M Sheridan,0,Gerard O'Leary,3rd,3 l,3,9-8,92,True,179,31
