track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,16:45,Yielding To Soft ap Chase (Turf),2m 7f 60y,Likable Chancer (IRE),Mr E. P. O'Brien,5,Daniel John Howard,5th,5 1/2 l,9,10-10tb,87,True,85,27
N/A,N/A,16:45,Yielding To Soft ap Chase (Turf),2m 7f 60y,Movie King (IRE),Mr B. M. Coonan,7,A. J. Martin,4th,Neck,6,10-12t,89,True,85,27
N/A,N/A,16:45,Yielding To Soft ap Chase (Turf),2m 7f 60y,Soloman Lane,Mr P. A. King,5,Martin Hassett,3rd,1/2 l,8,12-1,106,True,85,27
N/A,N/A,16:45,Yielding To Soft ap Chase (Turf),2m 7f 60y,He Fitz In (IRE),Mr R. W. Barron,5,D. E. Fitzgerald,2nd,4 3/4 l,7,11-2v,93,True,85,27
N/A,N/A,16:45,Yielding To Soft ap Chase (Turf),2m 7f 60y,Hardwired (IRE),Mr D. O'Connor,0,T. M. Walsh,1st,N/A,7,11-7tb,98,True,85,27
N/A,N/A,17:20,Yielding To Soft,2m 50y,Splendid Choice (IRE),Mr A. Harvey,7,Matthew J. Smith,11th,2 3/4 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Silent Dawn (IRE),Mr S. Cavanagh,7,Adrian Murray,10th,88 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Paymelater (IRE),Mr N. Gault,7,S. Michael Millar,9th,23 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Bigira (FR),Mr J. L. Gleeson,5,Mark Fahey,8th,13 l,4,10-10,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Power Factor (SAF),Mr E. P. O'Brien,5,Richard John O'Brien,7th,1/2 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Gold Fever (IRE),Mr F. D. Tegetmeier,7,Noel Meade,6th,3/4 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Beauforts Storm (IRE),Mr D. Doyle,7,Timothy Doyle,5th,3/4 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Spotthedifference (IRE),Mr T. A. Halford,7,M. Halford & T. Collins,4th,8 1/2 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Killultagh Fox (IRE),Mr P. J. Cody,7,R. P. Cody,3rd,3 1/2 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Fleur In The Park (IRE),Mr A. P. Ryan,7,A. Slattery,2nd,Head,4,11-10,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,My Great Mate (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,4,11-10,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Splendid Choice (IRE),Mr A. Harvey,7,Matthew J. Smith,11th,2 3/4 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Silent Dawn (IRE),Mr S. Cavanagh,7,Adrian Murray,10th,88 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Paymelater (IRE),Mr N. Gault,7,S. Michael Millar,9th,23 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Bigira (FR),Mr J. L. Gleeson,5,Mark Fahey,8th,13 l,4,10-10,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Power Factor (SAF),Mr E. P. O'Brien,5,Richard John O'Brien,7th,1/2 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Gold Fever (IRE),Mr F. D. Tegetmeier,7,Noel Meade,6th,3/4 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Beauforts Storm (IRE),Mr D. Doyle,7,Timothy Doyle,5th,3/4 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Spotthedifference (IRE),Mr T. A. Halford,7,M. Halford & T. Collins,4th,8 1/2 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Killultagh Fox (IRE),Mr P. J. Cody,7,R. P. Cody,3rd,3 1/2 l,4,11-3,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,Fleur In The Park (IRE),Mr A. P. Ryan,7,A. Slattery,2nd,Head,4,11-10,-,True,85,28
N/A,N/A,17:20,Yielding To Soft,2m 50y,My Great Mate (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,4,11-10,-,True,85,28
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Sofia Tesoro (IRE),J. J. G. Ryan,5,T. G. McCourt,16th,4 3/4 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Share The Treasure (IRE),Andrew Joseph Slattery,0,T. Hogan,15th,2 3/4 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Dream Ticket (FR),N. M. Crosse,0,W. McCreery,14th,Nose,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Saxon Land (IRE),Ben Martin Coen,0,Ciaran Murphy,13th,Nose,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Serialise (IRE),R. P. Whelan,0,Mrs J. Harrington,12th,2 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Victoria Kesia (IRE),G. F. Carroll,0,Joseph G. Murphy,11th,Neck,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Wing Glider (IRE),L. F. Roche,0,Richard Brabazon,10th,1 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Anvika (IRE),C. D. Hayes,0,Ms Sheila Lavery,9th,Neck,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Window Of Time (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,8th,1/2 l,2,9-2h1,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Everlasting (IRE),Ryan Moore,0,Aidan O'Brien,7th,2 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Wendla,C. T. Keane,0,G. M. Lyons,6th,Head,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Betula,Shane Foley,0,Mrs J. Harrington,5th,1 1/4 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Osprey (IRE),Jack Cleary,7,Aidan O'Brien,4th,Neck,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Evening Blossom (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,3rd,1/2 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Greenfinch (USA),Seamie Heffernan,0,Aidan O'Brien,2nd,4 l,2,9-2t1,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Porters Place (IRE),William James Lee,0,P. Twomey,1st,N/A,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Sofia Tesoro (IRE),J. J. G. Ryan,5,T. G. McCourt,16th,4 3/4 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Share The Treasure (IRE),Andrew Joseph Slattery,0,T. Hogan,15th,2 3/4 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Dream Ticket (FR),N. M. Crosse,0,W. McCreery,14th,Nose,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Saxon Land (IRE),Ben Martin Coen,0,Ciaran Murphy,13th,Nose,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Serialise (IRE),R. P. Whelan,0,Mrs J. Harrington,12th,2 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Victoria Kesia (IRE),G. F. Carroll,0,Joseph G. Murphy,11th,Neck,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Wing Glider (IRE),L. F. Roche,0,Richard Brabazon,10th,1 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Anvika (IRE),C. D. Hayes,0,Ms Sheila Lavery,9th,Neck,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Window Of Time (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,8th,1/2 l,2,9-2h1,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Everlasting (IRE),Ryan Moore,0,Aidan O'Brien,7th,2 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Wendla,C. T. Keane,0,G. M. Lyons,6th,Head,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Betula,Shane Foley,0,Mrs J. Harrington,5th,1 1/4 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Osprey (IRE),Jack Cleary,7,Aidan O'Brien,4th,Neck,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Evening Blossom (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,3rd,1/2 l,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Greenfinch (USA),Seamie Heffernan,0,Aidan O'Brien,2nd,4 l,2,9-2t1,-,True,85,29
Curragh Racing Results | 12th October 2023 13:15,N/A,13:15,Soft To Heavy,7f,Porters Place (IRE),William James Lee,0,P. Twomey,1st,N/A,2,9-2,-,True,85,29
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Pomham Rocks (IRE),Orla McKenna,10,Mark Fahey,17th,1/2 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Crest Of The Moon (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,16th,3 1/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Finito Bonito (IRE),J. J. G. Ryan,5,T. G. McCourt,15th,3 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Anyothername (IRE),L. F. Roche,0,Aidan Anthony Howard,14th,2 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Moutarde (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,13th,2 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Judicial Reward (IRE),C. D. Hayes,0,Gavin Patrick Cromwell,12th,Head,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Warrior Lord (IRE),N. M. Crosse,0,Joseph G. Murphy,11th,2 1/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Nakasero (IRE),Shane Foley,0,M. Halford & T. Collins,10th,Neck,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Lord Church (IRE),N. G. McCullagh,0,M. Halford & T. Collins,9th,Head,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Killeaney Bear (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,Neck,2,9-5t1,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Masoun (FR),Ben Martin Coen,0,John Patrick Murtagh,7th,2 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Sharinay,R. P. Whelan,0,M. Halford & T. Collins,6th,3 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Monasterboice (IRE),C. T. Keane,0,Noel Meade,5th,2 l,2,9-5t,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Kortez Bay (IRE),William James Lee,0,Ms Sheila Lavery,4th,1/2 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Agenda (IRE),K. K. Hennessy,5,Aidan O'Brien,3rd,Neck,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Psalm (IRE),Ryan Moore,0,Aidan O'Brien,2nd,3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Meriwether Lewis (USA),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,2,9-5b1,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Pomham Rocks (IRE),Orla McKenna,10,Mark Fahey,17th,1/2 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Crest Of The Moon (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,16th,3 1/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Finito Bonito (IRE),J. J. G. Ryan,5,T. G. McCourt,15th,3 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Anyothername (IRE),L. F. Roche,0,Aidan Anthony Howard,14th,2 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Moutarde (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,13th,2 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Judicial Reward (IRE),C. D. Hayes,0,Gavin Patrick Cromwell,12th,Head,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Warrior Lord (IRE),N. M. Crosse,0,Joseph G. Murphy,11th,2 1/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Nakasero (IRE),Shane Foley,0,M. Halford & T. Collins,10th,Neck,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Lord Church (IRE),N. G. McCullagh,0,M. Halford & T. Collins,9th,Head,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Killeaney Bear (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,Neck,2,9-5t1,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Masoun (FR),Ben Martin Coen,0,John Patrick Murtagh,7th,2 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Sharinay,R. P. Whelan,0,M. Halford & T. Collins,6th,3 3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Monasterboice (IRE),C. T. Keane,0,Noel Meade,5th,2 l,2,9-5t,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Kortez Bay (IRE),William James Lee,0,Ms Sheila Lavery,4th,1/2 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Agenda (IRE),K. K. Hennessy,5,Aidan O'Brien,3rd,Neck,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Psalm (IRE),Ryan Moore,0,Aidan O'Brien,2nd,3/4 l,2,9-5,-,True,85,30
Curragh Racing Results | 12th October 2023 13:50,N/A,13:50,Soft To Heavy  (Turf),7f,Meriwether Lewis (USA),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,2,9-5b1,-,True,85,30
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,London Palladium,R. Whearty,5,Peter Cluskey,19th,39 l,5,8-12b,47,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Samantha Maguire (IRE),Sorcha Woods,7,Ross O'Sullivan,18th,1/2 l,3,9-5t,56,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Sagittarius Rising (IRE),Siobhan Rutledge,3,John McConnell,17th,Head,8,8-12t,47,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Carlton Banks (IRE),D. W. O'Connor,0,J. F. Levins,16th,3 3/4 l,5,9-6v1,55,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Portmagee (IRE),C. T. Keane,0,Richard Brabazon,15th,Neck,3,9-2,53,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Von Krolock (IRE),G. M. Ryan,0,Timothy Doyle,14th,Nose,4,9-3,52,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Asisaid (IRE),J. A. Powell,5,P. J. F. Murphy,13th,1/2 l,4,10-0b,63,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Purring Along (IRE),N. M. Crosse,0,S. M. Duffy,12th,1 l,4,9-7,56,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Golden Days (IRE),C. J. MacRedmond,5,M. Halford & T. Collins,11th,3/4 l,6,9-6p,55,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Brown Eagle (IRE),J. Kearney,7,M. C. Grassick,10th,Neck,4,10-0p,63,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Adhuil (IRE),C. D. Hayes,0,Aidan Anthony Howard,9th,2 l,4,8-12b1,47,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Cnodian (IRE),Jessica Maye,10,W. McCreery,8th,1 l,5,10-0,63,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Singe Anglais (IRE),D. B. McMonagle,0,H. D. McGuigan,7th,Head,6,8-13tv,48,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Lisieux (IRE),Adam Caffrey,5,Adrian McGuinness,6th,1/2 l,3,9-0,51,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Stop On Red (IRE),D. M. Simmonson,7,Miss Katy Brown,5th,1 1/4 l,5,9-2,51,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Tall Story (IRE),T. Kiely-Marshall,7,Ross O'Sullivan,4th,1 l,5,9-1p,50,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Whatharm (IRE),C. P. Hoban,0,Patrick J. Flynn,3rd,1 3/4 l,8,10-2p,65,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Nituna (IRE),Ben Martin Coen,0,Ms Sheila Lavery,2nd,1/2 l,3,9-13,64,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Racing Royalty,William James Lee,0,Gillian Scott,1st,N/A,4,10-1b,64,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,London Palladium,R. Whearty,5,Peter Cluskey,19th,39 l,5,8-12b,47,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Samantha Maguire (IRE),Sorcha Woods,7,Ross O'Sullivan,18th,1/2 l,3,9-5t,56,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Sagittarius Rising (IRE),Siobhan Rutledge,3,John McConnell,17th,Head,8,8-12t,47,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Carlton Banks (IRE),D. W. O'Connor,0,J. F. Levins,16th,3 3/4 l,5,9-6v1,55,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Portmagee (IRE),C. T. Keane,0,Richard Brabazon,15th,Neck,3,9-2,53,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Von Krolock (IRE),G. M. Ryan,0,Timothy Doyle,14th,Nose,4,9-3,52,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Asisaid (IRE),J. A. Powell,5,P. J. F. Murphy,13th,1/2 l,4,10-0b,63,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Purring Along (IRE),N. M. Crosse,0,S. M. Duffy,12th,1 l,4,9-7,56,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Golden Days (IRE),C. J. MacRedmond,5,M. Halford & T. Collins,11th,3/4 l,6,9-6p,55,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Brown Eagle (IRE),J. Kearney,7,M. C. Grassick,10th,Neck,4,10-0p,63,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Adhuil (IRE),C. D. Hayes,0,Aidan Anthony Howard,9th,2 l,4,8-12b1,47,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Cnodian (IRE),Jessica Maye,10,W. McCreery,8th,1 l,5,10-0,63,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Singe Anglais (IRE),D. B. McMonagle,0,H. D. McGuigan,7th,Head,6,8-13tv,48,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Lisieux (IRE),Adam Caffrey,5,Adrian McGuinness,6th,1/2 l,3,9-0,51,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Stop On Red (IRE),D. M. Simmonson,7,Miss Katy Brown,5th,1 1/4 l,5,9-2,51,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Tall Story (IRE),T. Kiely-Marshall,7,Ross O'Sullivan,4th,1 l,5,9-1p,50,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Whatharm (IRE),C. P. Hoban,0,Patrick J. Flynn,3rd,1 3/4 l,8,10-2p,65,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Nituna (IRE),Ben Martin Coen,0,Ms Sheila Lavery,2nd,1/2 l,3,9-13,64,True,85,31
Curragh Racing Results | 12th October 2023 14:25,N/A,14:25,Soft To Heavy,7f,Racing Royalty,William James Lee,0,Gillian Scott,1st,N/A,4,10-1b,64,True,85,31
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Miss Molly T (IRE),Siobhan Rutledge,3,John McConnell,19th,1 1/4 l,6,8-12,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Coffeemeanscoffee (IRE),S. B. Kelly,0,Tom McGuinness,18th,1 l,8,9-1,50,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Swiss Army Officer (IRE),C. M. Hogan,10,Kevin Thomas Coleman,17th,2 1/2 l,8,9-4,53,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Kaydees Magic (IRE),J. J. G. Ryan,5,T. G. McCourt,16th,2 3/4 l,3,9-1v1,52,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Broken Silence (IRE),D. B. McMonagle,0,R. R. Roberts,15th,Neck,7,8-12b,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Ceres Ring,C. Horgan,7,A. Slattery,14th,Nose,3,8-10,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Vivezza (IRE),C. P. Hoban,0,Ross O'Sullivan,13th,2 l,3,8-10,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Lightupthesky (IRE),K. J. Leonard,0,V. C. Ward,12th,Neck,3,8-10,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Boomerang Bill (IRE),C. D. Hayes,0,Aidan Anthony Howard,11th,1 l,4,8-12p1,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Notforalongtime,C. Stone-Walsh,7,Laura Hourigan,10th,1 1/2 l,6,9-13,62,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Catherine Chroi (IRE),Seamie Heffernan,0,Ms Claire O'Connell,9th,1 1/4 l,5,8-12b,47,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Lasting Peace (IRE),Ben Martin Coen,0,Noel Meade,8th,1 3/4 l,3,9-8b,59,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,International Lady (IRE),Wesley Joyce,7,Kevin Michael Smith,7th,1 1/4 l,5,9-3,52,True,85,32
Curragh Racing Results | 12th October 2023 15:00,N/A,15:00,Soft To Heavy,7f,Zephron,L. F. Roche,0,Denis W. Cullen,6th,2 3/4 l,6,10-1p,64,True,85,32
