track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Walhaan (IRE),J M Sheridan,0,Ciaran Murphy,6th,1/2 l,8,8-9tv,81,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Squire Danagher,W M Lordan,0,A Oliver,5th,3 1/2 l,4,8-9p,81,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Ridhaz (IRE),K G Kennedy,7,M Halford & T Collins,4th,1 1/4 l,3,8-7,85,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Slieve Binnian (IRE),R P Whelan,0,M Halford & T Collins,3rd,1/2 l,4,9-2,88,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Star Harbour (IRE),Adam Caffrey,3,A McGuinness,2nd,3/4 l,6,10-5v,105,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Ameerat Jumaira,N G McCullagh,0,M Halford & T Collins,1st,N/A,4,8-7b,78,True,133,49
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Bofa (IRE),W Joyce,5,J Feane,14th,6 l,3,8-8,49,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Answer Me Nay (IRE),A C Persse,7,M A Cahill,13th,6 l,3,8-12,53,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,No Trouble (IRE),J A Heffernan,0,J C McConnell,12th,9 l,8,10-0t,61,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Designer Cailin (IRE),K G Kennedy,7,P Martin,11th,2 1/2 l,6,9-0,46,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Dark Blue Diamond (IRE),Siobhan Rutledge,3,J C McConnell,10th,3 1/4 l,3,8-7,48,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Kartayaz (IRE),G M Ryan,0,J C McConnell,9th,Head,7,9-0,47,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Tara Power (IRE),D P McDonogh,0,K H Clarke,8th,2 3/4 l,6,9-10,57,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Chopsticks (IRE),N M Crosse,0,S M Duffy,7th,3/4 l,4,9-8t,55,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Alex The Great (IRE),R Whearty,5,A Murray,6th,1 1/4 l,4,9-12,59,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,5th,2 1/2 l,4,9-4,51,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Stepdance (IRE),D McMonagle,0,H De Bromhead,4th,Nose,4,9-0,46,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Albion Princess,R C Colgan,0,D Kinsella,3rd,1/2 l,5,9-0ht,47,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Epaulawn (IRE),J J G Ryan,5,N G Hynds,2nd,2 l,6,9-4tp,51,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Gardone (IRE),C D Hayes,0,E McNamara,1st,N/A,4,9-0b,42,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Bofa (IRE),W Joyce,5,J Feane,14th,6 l,3,8-8,49,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Answer Me Nay (IRE),A C Persse,7,M A Cahill,13th,6 l,3,8-12,53,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,No Trouble (IRE),J A Heffernan,0,J C McConnell,12th,9 l,8,10-0t,61,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Designer Cailin (IRE),K G Kennedy,7,P Martin,11th,2 1/2 l,6,9-0,46,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Dark Blue Diamond (IRE),Siobhan Rutledge,3,J C McConnell,10th,3 1/4 l,3,8-7,48,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Kartayaz (IRE),G M Ryan,0,J C McConnell,9th,Head,7,9-0,47,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Tara Power (IRE),D P McDonogh,0,K H Clarke,8th,2 3/4 l,6,9-10,57,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Chopsticks (IRE),N M Crosse,0,S M Duffy,7th,3/4 l,4,9-8t,55,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Alex The Great (IRE),R Whearty,5,A Murray,6th,1 1/4 l,4,9-12,59,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,5th,2 1/2 l,4,9-4,51,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Stepdance (IRE),D McMonagle,0,H De Bromhead,4th,Nose,4,9-0,46,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Albion Princess,R C Colgan,0,D Kinsella,3rd,1/2 l,5,9-0ht,47,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Epaulawn (IRE),J J G Ryan,5,N G Hynds,2nd,2 l,6,9-4tp,51,True,133,50
Dundalk Racing Results | 15th August 2024 17:40,N/A,17:40,Standard,1m 2f 150y,Gardone (IRE),C D Hayes,0,E McNamara,1st,N/A,4,9-0b,42,True,133,50
