track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 6th May 2023 15:33,N/A,15:33,Yielding (Yielding To Soft In Places),2m 4f,Banks Boy (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,1/2 l,7,12-0,115,True,53,23
Cork Racing Results | 6th May 2023 15:33,N/A,15:33,Yielding (Yielding To Soft In Places),2m 4f,Ceroc (IRE),Phillip Enright,0,E. J. O'Grady,1st,N/A,5,11-1v1,102,True,53,23
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Knockbrack Rambler (IRE),S. F. O'Keeffe,0,Brendan Maurice Walsh,NR,N/A,6,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Western Warrior (IRE),Gavin Peter Brouder,5,James A. Nash,PU,N/A,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Ballysheedy (IRE),J. S. McGarvey,0,M. F. Morris,PU,N/A,5,11-12h1,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Sunset Cato (IRE),Jack G. Gilligan,7,Paul John Gilligan,PU,N/A,6,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Robin Flower (IRE),D. L. Queally,0,Declan Queally,13th,7 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Dream Jet (IRE),C. P. O'Shea,7,C. W. J. Farrell,12th,4 1/2 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Mon Loulou (FR),Mr J. Dunne,7,Ian Patrick Donoghue,11th,20 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Lickthestamp (IRE),S. A. Mulcahy,7,Miss Shauna Larkin,10th,17 l,6,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,For Fear Of Frost (IRE),J. J. Slevin,0,M. F. Morris,9th,2 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Barbary Master,B. W. Harvey,5,Noel Meade,8th,7 1/2 l,8,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Toppy's Boy (IRE),E. Dwan,7,Una Corcoran,7th,2 1/4 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Knockraha Lass (IRE),Phillip Enright,0,Brendan Maurice Walsh,6th,1 1/2 l,6,11-5,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Japers Jack (IRE),Niall Moore,7,Philip Fenton,5th,5 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Misty's Gift (IRE),Denis O'Regan,0,David Harry Kelly,4th,12 l,7,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Lisnagar Fortune (IRE),P. Townend,0,W. P. Mullins,3rd,11 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Pray Tell (IRE),A. M. McCurtin,0,Desmond Kenneally,2nd,1 1/2 l,7,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Gold Bullion (FR),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,7,11-12t,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Knockbrack Rambler (IRE),S. F. O'Keeffe,0,Brendan Maurice Walsh,NR,N/A,6,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Western Warrior (IRE),Gavin Peter Brouder,5,James A. Nash,PU,N/A,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Ballysheedy (IRE),J. S. McGarvey,0,M. F. Morris,PU,N/A,5,11-12h1,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Sunset Cato (IRE),Jack G. Gilligan,7,Paul John Gilligan,PU,N/A,6,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Robin Flower (IRE),D. L. Queally,0,Declan Queally,13th,7 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Dream Jet (IRE),C. P. O'Shea,7,C. W. J. Farrell,12th,4 1/2 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Mon Loulou (FR),Mr J. Dunne,7,Ian Patrick Donoghue,11th,20 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Lickthestamp (IRE),S. A. Mulcahy,7,Miss Shauna Larkin,10th,17 l,6,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,For Fear Of Frost (IRE),J. J. Slevin,0,M. F. Morris,9th,2 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Barbary Master,B. W. Harvey,5,Noel Meade,8th,7 1/2 l,8,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Toppy's Boy (IRE),E. Dwan,7,Una Corcoran,7th,2 1/4 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Knockraha Lass (IRE),Phillip Enright,0,Brendan Maurice Walsh,6th,1 1/2 l,6,11-5,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Japers Jack (IRE),Niall Moore,7,Philip Fenton,5th,5 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Misty's Gift (IRE),Denis O'Regan,0,David Harry Kelly,4th,12 l,7,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Lisnagar Fortune (IRE),P. Townend,0,W. P. Mullins,3rd,11 l,5,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Pray Tell (IRE),A. M. McCurtin,0,Desmond Kenneally,2nd,1 1/2 l,7,11-12,-,True,53,24
Cork Racing Results | 6th May 2023 16:10,N/A,16:10,Yielding (Yielding To Soft In Places),3m 180y,Gold Bullion (FR),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,7,11-12t,-,True,53,24
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Icee M B A (IRE),C. Smithers,7,M. Hourigan,PU,N/A,8,11-6,87,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Echo Gate (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,PU,N/A,5,11-8,89,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Shackleton Island (IRE),P. Byrnes,5,I. Madden,15th,36 l,9,10-13,80,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Mine Me Will He (IRE),Patrick O'Hanlon,5,P. J. Rothwell,14th,1/2 l,9,11-2t,83,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Victory Sign (IRE),S. D. Torrens,0,Liam Casey,13th,6 l,7,11-3,84,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Ask And Answer (IRE),S. F. O'Keeffe,0,Sean Aherne,12th,12 l,10,11-3tp,84,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Presenting Point (IRE),M. P. O'Connor,5,A. M. O'Grady,11th,36 l,9,12-0b,95,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Whip Whitaker (IRE),Liam Quinlan,5,John Patrick Ryan,10th,4 1/2 l,5,10-13,80,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Unheralded (IRE),D. E. Mullins,0,T. J. Nagle Jnr,9th,5 l,7,12-0,95,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,O Mio Babbino (IRE),B. Hayes,0,Patrick Cronin,8th,1 1/2 l,7,10-13,80,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Carroll's Pride (IRE),Donagh Meyler,0,Noel Brett,7th,2 1/2 l,7,11-4,85,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Female Approach (IRE),D. King,5,Denis Hogan,6th,3 1/2 l,5,11-8p,89,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Kalnoo (IRE),Phillip Enright,0,S. Curling,5th,5 1/2 l,6,11-8b1,89,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Duffys Getaway (IRE),Rachael Blackmore,0,P. J. Rothwell,4th,1/2 l,6,11-0p1,81,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Tennessee Titan (IRE),J. J. Slevin,0,Seamus Neville,3rd,4 l,7,11-11,92,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Kingston Kid (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,2nd,2 1/2 l,6,12-0tp,95,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Holiday In Kerry (IRE),C. P. McNamara,0,Eric McNamara,1st,N/A,7,11-10p,91,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Icee M B A (IRE),C. Smithers,7,M. Hourigan,PU,N/A,8,11-6,87,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Echo Gate (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,PU,N/A,5,11-8,89,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Shackleton Island (IRE),P. Byrnes,5,I. Madden,15th,36 l,9,10-13,80,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Mine Me Will He (IRE),Patrick O'Hanlon,5,P. J. Rothwell,14th,1/2 l,9,11-2t,83,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Victory Sign (IRE),S. D. Torrens,0,Liam Casey,13th,6 l,7,11-3,84,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Ask And Answer (IRE),S. F. O'Keeffe,0,Sean Aherne,12th,12 l,10,11-3tp,84,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Presenting Point (IRE),M. P. O'Connor,5,A. M. O'Grady,11th,36 l,9,12-0b,95,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Whip Whitaker (IRE),Liam Quinlan,5,John Patrick Ryan,10th,4 1/2 l,5,10-13,80,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Unheralded (IRE),D. E. Mullins,0,T. J. Nagle Jnr,9th,5 l,7,12-0,95,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,O Mio Babbino (IRE),B. Hayes,0,Patrick Cronin,8th,1 1/2 l,7,10-13,80,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Carroll's Pride (IRE),Donagh Meyler,0,Noel Brett,7th,2 1/2 l,7,11-4,85,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Female Approach (IRE),D. King,5,Denis Hogan,6th,3 1/2 l,5,11-8p,89,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Kalnoo (IRE),Phillip Enright,0,S. Curling,5th,5 1/2 l,6,11-8b1,89,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Duffys Getaway (IRE),Rachael Blackmore,0,P. J. Rothwell,4th,1/2 l,6,11-0p1,81,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Tennessee Titan (IRE),J. J. Slevin,0,Seamus Neville,3rd,4 l,7,11-11,92,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Kingston Kid (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,2nd,2 1/2 l,6,12-0tp,95,True,53,25
Cork Racing Results | 6th May 2023 16:50,N/A,16:50,Yielding (Yielding To Soft In Places),3m 180y,Holiday In Kerry (IRE),C. P. McNamara,0,Eric McNamara,1st,N/A,7,11-10p,91,True,53,25
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Which Sister (IRE),Mr J. Dunne,7,Ian Patrick Donoghue,18th,13 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Cronins Park (IRE),Mr J. Aherne,7,A. M. O'Grady,17th,1 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Silverfort Lady (IRE),Mr T. Hamilton,0,John Michael Burke,16th,11 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Alittlebitofrita (IRE),Mr D. M. Russell,7,M. Hourigan,15th,4 1/2 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Colleen Dawn (IRE),Miss E. Cody,7,Ms M. M. Gannon,14th,11 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Aisling's Court (IRE),Mr P. A. King,5,D. Hassett,13th,2 1/2 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Lovealot Bear (IRE),Mr Adam Feeney,7,Edmond Kent,12th,3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Hopkins (IRE),Mr D. Doyle,7,Timothy Doyle,11th,Head,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Farmhand Lily (IRE),Mr T. P. Harney,7,P. A. Fahy,10th,1 l,4,11-5t1,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Boxcar Molly (IRE),Mr B. Lawless,7,Eoin Christopher McCarthy,9th,2 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Cailin Aibrean (IRE),Mr Pat Taaffe,7,Peter Fahey,8th,1 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Eleanor Oliphant (IRE),Miss S. M. Doyle,7,P. M. J. Doyle,7th,4 1/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Make Sunshine (IRE),Mr J. W. Hendrick,7,Barry Fitzgerald,6th,1 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Miss Direct (IRE),Mr H. C. Swan,5,Peter Cluskey,5th,1 1/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Majestic Topaz (IRE),Mr A. P. Fahey,7,P. G. Fahey,4th,3 3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Sansrisk (FR),Mr J. L. Gleeson,5,J. P. Dempsey,3rd,2 3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Familiar Dreams,Mr J. J. Codd,0,Anthony McCann,2nd,4 3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Young Lucy (IRE),Mr D. O'Connor,0,A. J. Martin,1st,N/A,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Which Sister (IRE),Mr J. Dunne,7,Ian Patrick Donoghue,18th,13 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Cronins Park (IRE),Mr J. Aherne,7,A. M. O'Grady,17th,1 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Silverfort Lady (IRE),Mr T. Hamilton,0,John Michael Burke,16th,11 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Alittlebitofrita (IRE),Mr D. M. Russell,7,M. Hourigan,15th,4 1/2 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Colleen Dawn (IRE),Miss E. Cody,7,Ms M. M. Gannon,14th,11 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Aisling's Court (IRE),Mr P. A. King,5,D. Hassett,13th,2 1/2 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Lovealot Bear (IRE),Mr Adam Feeney,7,Edmond Kent,12th,3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Hopkins (IRE),Mr D. Doyle,7,Timothy Doyle,11th,Head,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Farmhand Lily (IRE),Mr T. P. Harney,7,P. A. Fahy,10th,1 l,4,11-5t1,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Boxcar Molly (IRE),Mr B. Lawless,7,Eoin Christopher McCarthy,9th,2 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Cailin Aibrean (IRE),Mr Pat Taaffe,7,Peter Fahey,8th,1 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Eleanor Oliphant (IRE),Miss S. M. Doyle,7,P. M. J. Doyle,7th,4 1/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Make Sunshine (IRE),Mr J. W. Hendrick,7,Barry Fitzgerald,6th,1 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Miss Direct (IRE),Mr H. C. Swan,5,Peter Cluskey,5th,1 1/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Majestic Topaz (IRE),Mr A. P. Fahey,7,P. G. Fahey,4th,3 3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Sansrisk (FR),Mr J. L. Gleeson,5,J. P. Dempsey,3rd,2 3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Familiar Dreams,Mr J. J. Codd,0,Anthony McCann,2nd,4 3/4 l,4,11-5,-,True,53,26
Cork Racing Results | 6th May 2023 17:25,N/A,17:25,Yielding (Yielding To Soft In Places),2m,Young Lucy (IRE),Mr D. O'Connor,0,A. J. Martin,1st,N/A,4,11-5,-,True,53,26
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Prove It,L. F. Roche,0,M. D. O'Callaghan,13th,1 3/4 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Famous Enough (IRE),M. A. Enright,0,Liam G. O'Brien,12th,1 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Cholita (IRE),D. B. McMonagle,0,Sarah Lynam,11th,1 1/4 l,3,9-3,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Surviving Murmansk (IRE),Adrian O'Shea,5,Mrs A. M. O'Shea,10th,8 1/2 l,5,10-6b,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,National Question (IRE),Kyanna Van Buuren,10,J. S. Bolger,9th,2 1/2 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Many Tears (IRE),C. T. Keane,0,G. M. Lyons,8th,2 1/2 l,3,9-3t1,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Mobilise,G. F. Carroll,0,G. M. Lyons,7th,3/4 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Trishuli River (IRE),G. M. Ryan,0,Shane Crawley,6th,3/4 l,3,9-3,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Torivega (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1/2 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Hero Blues,J. Kearney,7,G. M. Lyons,4th,Head,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Mimosa Park (IRE),William James Lee,0,M. C. Grassick,3rd,5 1/2 l,3,9-3,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Subzero (IRE),Seamie Heffernan,0,Aidan O'Brien,2nd,2 1/2 l,3,9-8b1,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Sharlouk (IRE),Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Prove It,L. F. Roche,0,M. D. O'Callaghan,13th,1 3/4 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Famous Enough (IRE),M. A. Enright,0,Liam G. O'Brien,12th,1 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Cholita (IRE),D. B. McMonagle,0,Sarah Lynam,11th,1 1/4 l,3,9-3,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Surviving Murmansk (IRE),Adrian O'Shea,5,Mrs A. M. O'Shea,10th,8 1/2 l,5,10-6b,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,National Question (IRE),Kyanna Van Buuren,10,J. S. Bolger,9th,2 1/2 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Many Tears (IRE),C. T. Keane,0,G. M. Lyons,8th,2 1/2 l,3,9-3t1,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Mobilise,G. F. Carroll,0,G. M. Lyons,7th,3/4 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Trishuli River (IRE),G. M. Ryan,0,Shane Crawley,6th,3/4 l,3,9-3,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Torivega (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1/2 l,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Hero Blues,J. Kearney,7,G. M. Lyons,4th,Head,3,9-8,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Mimosa Park (IRE),William James Lee,0,M. C. Grassick,3rd,5 1/2 l,3,9-3,-,True,53,27
Leopardstown Racing Results | 7th May 2023 13:05,N/A,13:05,Soft To Heavy,7f 50y,Subzero (IRE),Seamie Heffernan,0,Aidan O'Brien,2nd,2 1/2 l,3,9-8b1,-,True,53,27
