track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Markievicz (IRE),R. P. Cleary,0,Ms Sheila Lavery,14th,Nose,4,9-6,60,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Brave Troop (IRE),D. W. O'Connor,0,John McConnell,13th,1/2 l,3,9-4,64,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Aconcagua Mountain (IRE),James J. Doyle,0,D. Broad,12th,1/2 l,4,8-7p1,47,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Cleveleys,Ben Martin Coen,0,Richard John O'Brien,11th,3/4 l,4,9-11,65,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Arcanears (IRE),R. P. Whelan,0,M. Halford,10th,Short Head,7,9-12tp,66,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Bellick,Siobhan Rutledge,5,John McConnell,9th,2 l,7,8-8,48,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Eglish,J. Coen,7,James McAuley,8th,Neck,5,9-1b,55,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Fit for Function,Tom Kiely Marshall,7,Joseph G. Murphy,7th,Neck,9,8-7p,47,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Breakfast Club,M. P. Sheehy,3,James McAuley,6th,1 1/4 l,5,8-13tb,53,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Jupiter Express (IRE),J. M. Sheridan,3,K. J. Condon,5th,3/4 l,3,9-9t1,69,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Caesar's Comet (IRE),C. D. Hayes,0,James McAuley,4th,Nose,8,8-7b,47,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Cnodian (IRE),William James Lee,0,W. McCreery,3rd,2 3/4 l,4,9-8,62,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Secret Road (IRE),C. T. Keane,0,Gerard Keane,2nd,1/2 l,4,9-8,62,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Pretty Smart (IRE),D. B. McMonagle,0,Patrick Martin,1st,N/A,6,9-9,63,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:40,N/A,15:40,Good,6f,No Speed Limit (FR),C. D. Hayes,0,P. J. McKenna,9th,1 l,7,8-8v,66,True,8,5
