track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Amazing Athena (IRE),R M Mulligan,7,J P Murtagh,12th,1 1/4 l,2,8-13p,84,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Moonhall Church (IRE),A C Persse,7,Alan McIntyre,11th,1/2 l,2,8-7,78,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,South Shore Island (IRE),L F Roche,0,M O'Callaghan,10th,1 l,2,8-9b1,80,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,I'll Be Handy (IRE),W Joyce,5,M J Smith,9th,Neck,2,8-8,79,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,The Parthenon (IRE),J Cleary,7,A P O'Brien,8th,Nose,2,9-11b1,96,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,No Return (IRE),R P Whelan,0,A McGuinness,7th,Short Head,2,8-13,84,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Temperance (IRE),C D Hayes,0,Miss K McGivern,6th,1/2 l,2,8-7t1,78,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Kodilicious (IRE),S Foley,0,Mrs J Harrington,5th,Short Head,2,9-10,95,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Snapdragon (IRE),M Crehan,3,A P O'Brien,4th,Head,2,9-5b,90,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Manhattan Chute (IRE),C T Keane,0,M O'Callaghan,3rd,1 1/2 l,2,9-0p,85,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Smoke Them Out (IRE),J J G Ryan,3,T G McCourt,2nd,1/2 l,2,8-10,81,True,145,31
Naas Racing Results | 12th October 2024 15:10,N/A,15:10,Yielding,5f 205y,Last Encore (IRE),D McMonagle,0,J P O'Brien,1st,N/A,2,9-4,89,True,145,31
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Expressova (IRE),D McMonagle,0,J P O'Brien,NR,N/A,4,9-2,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Shandy (IRE),J M Sheridan,0,J A Stack,8th,Neck,3,9-7,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Twilight Jet (IRE),L F Roche,0,M O'Callaghan,7th,Neck,5,9-7tp,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Torivega (IRE),W J Lee,0,S Lavery,6th,1 l,4,9-7t,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Tango Flare (IRE),J A Heffernan,0,P T Foley,5th,2 l,5,9-7tv,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Ojw Legacy (IRE),A J Slattery,0,A Slattery,4th,2 l,3,9-2,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Big Gossey (IRE),G F Carroll,0,C O'Brien,3rd,Neck,7,9-7,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Thunderbear (IRE),R P Whelan,0,J Davison,2nd,3/4 l,4,9-7p,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,My Mate Alfie (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-12b,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Expressova (IRE),D McMonagle,0,J P O'Brien,NR,N/A,4,9-2,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Shandy (IRE),J M Sheridan,0,J A Stack,8th,Neck,3,9-7,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Twilight Jet (IRE),L F Roche,0,M O'Callaghan,7th,Neck,5,9-7tp,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Torivega (IRE),W J Lee,0,S Lavery,6th,1 l,4,9-7t,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Tango Flare (IRE),J A Heffernan,0,P T Foley,5th,2 l,5,9-7tv,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Ojw Legacy (IRE),A J Slattery,0,A Slattery,4th,2 l,3,9-2,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Big Gossey (IRE),G F Carroll,0,C O'Brien,3rd,Neck,7,9-7,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,Thunderbear (IRE),R P Whelan,0,J Davison,2nd,3/4 l,4,9-7p,-,True,145,32
Naas Racing Results | 12th October 2024 15:50,N/A,15:50,Yielding,5f 205y,My Mate Alfie (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-12b,-,True,145,32
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Mehmar (IRE),D McMonagle,0,M O'Callaghan,14th,2 l,4,9-10p,89,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Nouvel Espoir (IRE),M W Hassett,5,J Barcoe,13th,Neck,4,8-7,72,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Transcendental (FR),G F Carroll,0,G P Cromwell,12th,3/4 l,6,9-9,88,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Universally (IRE),C D Hayes,0,Eoghan O'Neill,11th,1 l,5,9-0b,79,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Laugh A Minute,R P Whelan,0,J Davison,10th,3/4 l,9,9-6,85,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Physique (IRE),D S O'Sullivan,7,M Fenton,9th,2 l,4,9-9h,88,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Staysound Susie (IRE),A J Slattery,0,A Slattery,8th,2 1/2 l,3,9-5,84,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Collective Power (IRE),C T Keane,0,E Lynam,7th,Neck,6,9-2,81,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Stag Night (IRE),D J Power,10,W McCreery,6th,1/2 l,6,10-0,93,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Jon Riggens (IRE),J J G Ryan,3,E Lynam,5th,Short Head,6,9-3tp,82,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Rathbranchurch (IRE),W Joyce,5,M Mulvany,4th,Short Head,4,8-7,72,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Apache Outlaw (IRE),Adam Caffrey,3,A McGuinness,3rd,Head,4,9-10,89,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Moltophino (IRE),J A Heffernan,0,J A Kinsella,2nd,1 3/4 l,3,8-11tv,76,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Heavenly Power (IRE),W J Lee,0,E Lynam,1st,N/A,6,9-11,90,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Mehmar (IRE),D McMonagle,0,M O'Callaghan,14th,2 l,4,9-10p,89,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Nouvel Espoir (IRE),M W Hassett,5,J Barcoe,13th,Neck,4,8-7,72,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Transcendental (FR),G F Carroll,0,G P Cromwell,12th,3/4 l,6,9-9,88,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Universally (IRE),C D Hayes,0,Eoghan O'Neill,11th,1 l,5,9-0b,79,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Laugh A Minute,R P Whelan,0,J Davison,10th,3/4 l,9,9-6,85,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Physique (IRE),D S O'Sullivan,7,M Fenton,9th,2 l,4,9-9h,88,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Staysound Susie (IRE),A J Slattery,0,A Slattery,8th,2 1/2 l,3,9-5,84,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Collective Power (IRE),C T Keane,0,E Lynam,7th,Neck,6,9-2,81,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Stag Night (IRE),D J Power,10,W McCreery,6th,1/2 l,6,10-0,93,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Jon Riggens (IRE),J J G Ryan,3,E Lynam,5th,Short Head,6,9-3tp,82,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Rathbranchurch (IRE),W Joyce,5,M Mulvany,4th,Short Head,4,8-7,72,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Apache Outlaw (IRE),Adam Caffrey,3,A McGuinness,3rd,Head,4,9-10,89,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Moltophino (IRE),J A Heffernan,0,J A Kinsella,2nd,1 3/4 l,3,8-11tv,76,True,145,33
Naas Racing Results | 12th October 2024 16:25,N/A,16:25,Yielding,5f 205y,Heavenly Power (IRE),W J Lee,0,E Lynam,1st,N/A,6,9-11,90,True,145,33
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Quar Shamar (GER),J A Heffernan,0,E Mullins,14th,2 3/4 l,4,9-4tp1,86,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Sara Valentina (IRE),C D Hayes,0,D K Weld,13th,1/2 l,3,9-1,85,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Ramiro (IRE),J M Sheridan,0,Miss H McLoughlin,12th,Neck,8,8-11h,79,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Earls (IRE),G F Carroll,0,G P Cromwell,11th,1/2 l,7,9-5tb,87,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Facethepuckout (IRE),C T Keane,0,M O'Callaghan,10th,1 1/4 l,8,9-0,82,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Gibbs Island,D P McDonogh,0,A Oliver,9th,Neck,3,8-12,82,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Emporio (IRE),D McMonagle,0,J P O'Brien,8th,Nose,6,9-3t,85,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,I Am Superman (IRE),L F Roche,0,M O'Callaghan,7th,Neck,8,10-0t,96,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Zephron,M W Hassett,5,D Cullen,6th,3/4 l,7,8-12p,80,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,No More Porter (IRE),Adam Caffrey,3,A McGuinness,5th,2 1/2 l,6,9-5t,87,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Bellaphina (IRE),J J G Ryan,3,J A Kinsella,4th,Neck,4,9-3t,85,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Bid For Chester (IRE),W Joyce,5,M Mulvany,3rd,1 1/2 l,3,8-11t,81,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Orandi (FR),S Foley,0,Mrs C O'Leary,2nd,2 1/2 l,6,9-1tp,83,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Rahmi (IRE),D E Sheehy,0,J P Murtagh,1st,N/A,5,9-12,94,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Quar Shamar (GER),J A Heffernan,0,E Mullins,14th,2 3/4 l,4,9-4tp1,86,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Sara Valentina (IRE),C D Hayes,0,D K Weld,13th,1/2 l,3,9-1,85,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Ramiro (IRE),J M Sheridan,0,Miss H McLoughlin,12th,Neck,8,8-11h,79,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Earls (IRE),G F Carroll,0,G P Cromwell,11th,1/2 l,7,9-5tb,87,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Facethepuckout (IRE),C T Keane,0,M O'Callaghan,10th,1 1/4 l,8,9-0,82,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Gibbs Island,D P McDonogh,0,A Oliver,9th,Neck,3,8-12,82,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Emporio (IRE),D McMonagle,0,J P O'Brien,8th,Nose,6,9-3t,85,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,I Am Superman (IRE),L F Roche,0,M O'Callaghan,7th,Neck,8,10-0t,96,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Zephron,M W Hassett,5,D Cullen,6th,3/4 l,7,8-12p,80,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,No More Porter (IRE),Adam Caffrey,3,A McGuinness,5th,2 1/2 l,6,9-5t,87,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Bellaphina (IRE),J J G Ryan,3,J A Kinsella,4th,Neck,4,9-3t,85,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Bid For Chester (IRE),W Joyce,5,M Mulvany,3rd,1 1/2 l,3,8-11t,81,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Orandi (FR),S Foley,0,Mrs C O'Leary,2nd,2 1/2 l,6,9-1tp,83,True,145,34
Naas Racing Results | 12th October 2024 17:00,N/A,17:00,Yielding,7f,Rahmi (IRE),D E Sheehy,0,J P Murtagh,1st,N/A,5,9-12,94,True,145,34
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Rose Of The Sea (IRE),M P Sheehy,0,E Sheehy,11th,11 l,3,9-3p1,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Life In A Day (IRE),J A Heffernan,0,W P Browne,10th,7 1/2 l,5,9-5,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Onemorestar (IRE),J M Sheridan,0,J Motherway,9th,1 1/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Miss Australie (IRE),C Horgan,7,P O'Rourke,8th,Neck,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Miss Glenville (IRE),J J G Ryan,3,S Crawley,7th,2 1/4 l,4,9-5,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Penny Mountain (IRE),L T McAteer,0,A Kinirons,6th,3/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Empress Xj (IRE),C T Keane,0,M O'Callaghan,5th,1 1/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Iseult Of Ireland (USA),J Cleary,7,A P O'Brien,4th,2 1/2 l,3,9-3p,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Final Curtain (IRE),W J Lee,0,J P Murtagh,3rd,3 3/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Finsceal Luas (IRE),D P McDonogh,0,J S Bolger,2nd,1/2 l,3,9-3t,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Whispersinthewind (IRE),G M Ryan,0,Donnacha O'Brien,1st,N/A,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Rose Of The Sea (IRE),M P Sheehy,0,E Sheehy,11th,11 l,3,9-3p1,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Life In A Day (IRE),J A Heffernan,0,W P Browne,10th,7 1/2 l,5,9-5,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Onemorestar (IRE),J M Sheridan,0,J Motherway,9th,1 1/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Miss Australie (IRE),C Horgan,7,P O'Rourke,8th,Neck,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Miss Glenville (IRE),J J G Ryan,3,S Crawley,7th,2 1/4 l,4,9-5,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Penny Mountain (IRE),L T McAteer,0,A Kinirons,6th,3/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Empress Xj (IRE),C T Keane,0,M O'Callaghan,5th,1 1/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Iseult Of Ireland (USA),J Cleary,7,A P O'Brien,4th,2 1/2 l,3,9-3p,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Final Curtain (IRE),W J Lee,0,J P Murtagh,3rd,3 3/4 l,3,9-3,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Finsceal Luas (IRE),D P McDonogh,0,J S Bolger,2nd,1/2 l,3,9-3t,-,True,145,35
Naas Racing Results | 12th October 2024 17:30,N/A,17:30,Yielding,7f,Whispersinthewind (IRE),G M Ryan,0,Donnacha O'Brien,1st,N/A,3,9-3,-,True,145,35
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Ballyneety Girl (IRE),J A Heffernan,0,S Crawley,12th,11 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Boherna Vista (IRE),J M Sheridan,0,D Hogan,11th,1 1/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Fiamma (IRE),R Whearty,3,A Murray,10th,5 1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Got My Boogie On (IRE),N M Crosse,0,D Marnane,9th,4 1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Brightest Star (IRE),W M Lordan,0,A P O'Brien,8th,1 1/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Smiling (IRE),J Cleary,7,A P O'Brien,7th,3/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Misappropriation (IRE),C T Keane,0,G M Lyons,6th,3/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Gold Daydream (FR),C D Hayes,0,D Dias,5th,3/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Never Not Lucky (IRE),G M Ryan,0,D Dias,4th,1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Pickersgill (IRE),R C Colgan,0,S Lavery,3rd,1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Cold Hearted (IRE),S Foley,0,Mrs J Harrington,2nd,1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Miracle Beauty (IRE),D McMonagle,0,J P O'Brien,1st,N/A,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Ballyneety Girl (IRE),J A Heffernan,0,S Crawley,12th,11 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Boherna Vista (IRE),J M Sheridan,0,D Hogan,11th,1 1/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Fiamma (IRE),R Whearty,3,A Murray,10th,5 1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Got My Boogie On (IRE),N M Crosse,0,D Marnane,9th,4 1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Brightest Star (IRE),W M Lordan,0,A P O'Brien,8th,1 1/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Smiling (IRE),J Cleary,7,A P O'Brien,7th,3/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Misappropriation (IRE),C T Keane,0,G M Lyons,6th,3/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Gold Daydream (FR),C D Hayes,0,D Dias,5th,3/4 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Never Not Lucky (IRE),G M Ryan,0,D Dias,4th,1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Pickersgill (IRE),R C Colgan,0,S Lavery,3rd,1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Cold Hearted (IRE),S Foley,0,Mrs J Harrington,2nd,1/2 l,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:05,N/A,13:05,Yielding (Good To Yielding In Places),5f 205y,Miracle Beauty (IRE),D McMonagle,0,J P O'Brien,1st,N/A,2,9-2,-,True,145,36
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Bandeja Sands,G M Ryan,0,J J Hanlon,11th,15 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Send Harry (IRE),J J G Ryan,3,Miss E McCutcheon,10th,1 1/2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Ohmali (IRE),W J Lee,0,N Lupini,9th,3 3/4 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Source Code (FR),D McMonagle,0,J P O'Brien,8th,1/2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Baila Conmigo (IRE),J Cleary,7,A Murray,7th,1 1/4 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,The Dark Baron (IRE),C T Keane,0,J J Murphy,6th,3/4 l,2,9-5tp1,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Brigadier Kakuru (IRE),J A Heffernan,0,Daniel Murphy,5th,2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Ze Do Asfalto (IRE),R Whearty,3,A Murray,4th,Short Head,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Tam Lin (IRE),R P Whelan,0,Daniel Murphy,3rd,3 1/2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Iceford (IRE),B M Coen,0,J P Murtagh,2nd,4 1/2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Bounty (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Bandeja Sands,G M Ryan,0,J J Hanlon,11th,15 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Send Harry (IRE),J J G Ryan,3,Miss E McCutcheon,10th,1 1/2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Ohmali (IRE),W J Lee,0,N Lupini,9th,3 3/4 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Source Code (FR),D McMonagle,0,J P O'Brien,8th,1/2 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,Baila Conmigo (IRE),J Cleary,7,A Murray,7th,1 1/4 l,2,9-5,-,True,145,37
Naas Racing Results | 13th October 2024 13:40,N/A,13:40,Yielding (Good To Yielding In Places)  (Turf),5f 205y,The Dark Baron (IRE),C T Keane,0,J J Murphy,6th,3/4 l,2,9-5tp1,-,True,145,37
