track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Alnayef (IRE),Joanna Mason,0,J S Goldie,8th,2 1/2 l,4,8-6p,71,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Letsbefrank (IRE),Amie Waugh,3,J S Goldie,7th,1 3/4 l,5,8-9,74,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,King's Scholar (IRE),C Lee,0,E Walker,6th,2 1/4 l,4,9-7,86,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Destinado,Warren Fentiman,5,James Owen,5th,3/4 l,7,8-7b,72,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Minstrel Knight,K Stott,0,E Bethell,4th,1 3/4 l,4,9-9,88,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Per Contra (IRE),D Allan,0,T D Easterby,3rd,1 1/2 l,4,9-6,85,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Savrola (IRE),Kaiya Fraser,0,Mrs Dianne Sayer,2nd,Neck,6,8-12,77,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Sam Hawkens (IRE),Harry Burns,3,W J Haggas,1st,N/A,4,9-9,88,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Tafsir (USA),Rhys Elliott,5,J S Goldie,11th,1/2 l,6,8-8p,73,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Steel Tiger (IRE),Callum Shepherd,0,S & E Crisford,10th,2 l,4,9-10,89,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Forza Orta (IRE),Rowan Scott,0,K A Ryan,9th,1 l,7,8-9tb1,74,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Alnayef (IRE),Joanna Mason,0,J S Goldie,8th,2 1/2 l,4,8-6p,71,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Letsbefrank (IRE),Amie Waugh,3,J S Goldie,7th,1 3/4 l,5,8-9,74,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,King's Scholar (IRE),C Lee,0,E Walker,6th,2 1/4 l,4,9-7,86,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Destinado,Warren Fentiman,5,James Owen,5th,3/4 l,7,8-7b,72,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Minstrel Knight,K Stott,0,E Bethell,4th,1 3/4 l,4,9-9,88,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Per Contra (IRE),D Allan,0,T D Easterby,3rd,1 1/2 l,4,9-6,85,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Savrola (IRE),Kaiya Fraser,0,Mrs Dianne Sayer,2nd,Neck,6,8-12,77,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Sam Hawkens (IRE),Harry Burns,3,W J Haggas,1st,N/A,4,9-9,88,True,1,18
N/A,N/A,17:15,Good To Soft,5f 7y,Never Dark,Billy Garritty,0,I Jardine,12th,1 3/4 l,8,9-2,79,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Oriental Prince,P Mulrennan,0,J S Goldie,11th,1 3/4 l,4,9-4,81,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Marching Mac (IRE),Grace McEntee,0,P S McEntee,10th,1 1/4 l,4,9-5t,82,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Curious Rover (IRE),Jason Hart,0,K Scott,9th,Short Head,4,9-6,83,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Reigning Profit (IRE),Warren Fentiman,5,Mrs R Carr,8th,1 1/2 l,6,9-6v,83,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Zarzyni (IRE),Joanna Mason,0,T D Barron,7th,Neck,8,9-3p,80,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Manila Scouse,D Allan,0,T D Easterby,6th,1 3/4 l,6,9-4t,81,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Blue Day,Callum Shepherd,0,Harry Charlton,5th,Neck,4,9-12,89,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Trilby,J Fanning,0,S England,4th,Neck,5,9-6,83,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Albegone,Amie Waugh,3,T D Easterby,3rd,1 1/4 l,7,8-12p,77,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Brooklyn Nine Nine (IRE),O J Orr,0,R A Fahey,2nd,3/4 l,5,9-0,77,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Bergerac (IRE),T Eaves,0,K A Ryan,1st,N/A,7,9-10b,87,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Never Dark,Billy Garritty,0,I Jardine,12th,1 3/4 l,8,9-2,79,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Oriental Prince,P Mulrennan,0,J S Goldie,11th,1 3/4 l,4,9-4,81,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Marching Mac (IRE),Grace McEntee,0,P S McEntee,10th,1 1/4 l,4,9-5t,82,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Curious Rover (IRE),Jason Hart,0,K Scott,9th,Short Head,4,9-6,83,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Reigning Profit (IRE),Warren Fentiman,5,Mrs R Carr,8th,1 1/2 l,6,9-6v,83,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Zarzyni (IRE),Joanna Mason,0,T D Barron,7th,Neck,8,9-3p,80,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Manila Scouse,D Allan,0,T D Easterby,6th,1 3/4 l,6,9-4t,81,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Blue Day,Callum Shepherd,0,Harry Charlton,5th,Neck,4,9-12,89,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Trilby,J Fanning,0,S England,4th,Neck,5,9-6,83,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Albegone,Amie Waugh,3,T D Easterby,3rd,1 1/4 l,7,8-12p,77,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Brooklyn Nine Nine (IRE),O J Orr,0,R A Fahey,2nd,3/4 l,5,9-0,77,True,1,19
N/A,N/A,17:15,Good To Soft,5f 7y,Bergerac (IRE),T Eaves,0,K A Ryan,1st,N/A,7,9-10b,87,True,1,19
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Surprised,K Stott,0,E Bethell,8th,2 3/4 l,3,9-1,80,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Typical Woman,Ryan Kavanagh,5,Ian Williams,7th,2 3/4 l,6,9-8p,75,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Hackney Diamonds,Warren Fentiman,5,Ian Williams,6th,1/2 l,3,8-6,71,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Penelope's Sister (IRE),Lauren Young,7,J S Goldie,5th,4 3/4 l,5,8-11,64,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Zapphire (IRE),Ryan Sexton,0,Miss J A Camacho,4th,1 1/4 l,5,10-2p,83,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Lunar Eclipse (IRE),T Eaves,0,K A Ryan,3rd,1 1/2 l,4,10-1,82,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Epidavros (IRE),Jason Hart,0,K Scott,2nd,Neck,4,9-5,72,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Roarin' Success,Callum Shepherd,0,Harry Charlton,1st,N/A,5,9-12,79,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Surprised,K Stott,0,E Bethell,8th,2 3/4 l,3,9-1,80,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Typical Woman,Ryan Kavanagh,5,Ian Williams,7th,2 3/4 l,6,9-8p,75,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Hackney Diamonds,Warren Fentiman,5,Ian Williams,6th,1/2 l,3,8-6,71,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Penelope's Sister (IRE),Lauren Young,7,J S Goldie,5th,4 3/4 l,5,8-11,64,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Zapphire (IRE),Ryan Sexton,0,Miss J A Camacho,4th,1 1/4 l,5,10-2p,83,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Lunar Eclipse (IRE),T Eaves,0,K A Ryan,3rd,1 1/2 l,4,10-1,82,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Epidavros (IRE),Jason Hart,0,K Scott,2nd,Neck,4,9-5,72,True,1,20
N/A,N/A,17:45,Good To Soft,1m 1f 35y,Roarin' Success,Callum Shepherd,0,Harry Charlton,1st,N/A,5,9-12,79,True,1,20
N/A,N/A,18:15,Good To Soft,6f 6y,Sweet Thing (IRE),Oliver Stammers,0,Grant Tuer,14th,3 1/4 l,4,9-7,77,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Mersea (FR),Tom Kiely-Marshall,5,Grant Tuer,13th,1 l,5,8-13,69,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Brazilian Rose (IRE),Kaiya Fraser,0,R Menzies,12th,1 3/4 l,4,9-6,76,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Rock Melody (IRE),P Mulrennan,0,J S Goldie,11th,3/4 l,6,9-4p,74,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Mr Wagyu (IRE),Harry Russell,0,J & S Quinn,10th,2 l,10,9-6v,76,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Hectic,Billy Garritty,0,L Bailey,9th,3/4 l,5,9-7p,77,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Only Spoofing (IRE),C Lee,0,Kevin Coleman,8th,Short Head,11,8-13,69,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Cargin Bhui (IRE),J Fanning,0,T D Barron,7th,3/4 l,4,9-4,74,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Sacred Falls (IRE),Joanna Mason,0,K Scott,6th,3/4 l,5,9-1p,71,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Hour By Hour,Mohammed Tabti,5,I Jardine,5th,1/2 l,5,9-8,78,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Rock Opera,Warren Fentiman,5,R A Fahey,4th,1 l,5,9-9v,79,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Monsieur Kodi (IRE),O J Orr,0,R A Fahey,3rd,1 l,6,9-4,74,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Sir Garfield (IRE),Jason Hart,0,J & S Quinn,2nd,Neck,4,9-2b,72,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Abduction (FR),S A Gray,0,J S Goldie,1st,N/A,7,9-6v,76,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Sweet Thing (IRE),Oliver Stammers,0,Grant Tuer,14th,3 1/4 l,4,9-7,77,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Mersea (FR),Tom Kiely-Marshall,5,Grant Tuer,13th,1 l,5,8-13,69,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Brazilian Rose (IRE),Kaiya Fraser,0,R Menzies,12th,1 3/4 l,4,9-6,76,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Rock Melody (IRE),P Mulrennan,0,J S Goldie,11th,3/4 l,6,9-4p,74,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Mr Wagyu (IRE),Harry Russell,0,J & S Quinn,10th,2 l,10,9-6v,76,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Hectic,Billy Garritty,0,L Bailey,9th,3/4 l,5,9-7p,77,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Only Spoofing (IRE),C Lee,0,Kevin Coleman,8th,Short Head,11,8-13,69,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Cargin Bhui (IRE),J Fanning,0,T D Barron,7th,3/4 l,4,9-4,74,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Sacred Falls (IRE),Joanna Mason,0,K Scott,6th,3/4 l,5,9-1p,71,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Hour By Hour,Mohammed Tabti,5,I Jardine,5th,1/2 l,5,9-8,78,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Rock Opera,Warren Fentiman,5,R A Fahey,4th,1 l,5,9-9v,79,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Monsieur Kodi (IRE),O J Orr,0,R A Fahey,3rd,1 l,6,9-4,74,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Sir Garfield (IRE),Jason Hart,0,J & S Quinn,2nd,Neck,4,9-2b,72,True,1,21
N/A,N/A,18:15,Good To Soft,6f 6y,Abduction (FR),S A Gray,0,J S Goldie,1st,N/A,7,9-6v,76,True,1,21
N/A,N/A,18:45,Good To Soft,1m 3f 15y,High Court Judge (USA),Mason Paetel,5,James Owen,14th,2 l,5,9-9,76,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Dandy's Angel (IRE),Tom Kiely-Marshall,3,J S Wainwright,13th,3/4 l,8,8-10,63,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Idyllic,Paula Muir,0,W Storey,12th,4 l,4,8-10,63,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Clansman,C Horgan,5,L Bailey,11th,3 1/2 l,7,9-3,70,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Cascade Hall (IRE),Amie Waugh,0,J S Goldie,10th,Head,6,8-11,64,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Cougar (JPN),Aiden Brookes,0,I Jardine,9th,3/4 l,6,8-10,63,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Glasses Up (USA),Rhys Elliott,5,R M Smith,8th,2 1/4 l,10,9-2,69,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Gallant Lion,Ryan Kavanagh,3,Ian Williams,7th,1 1/4 l,5,9-6b,73,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,King Chaos (IRE),Tommie Jakes,3,R Menzies,6th,1 1/2 l,4,9-7p,74,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Terrorise,Archie Young,3,B Ellison,5th,Head,4,9-4,71,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Whathappensinvegas (IRE),Warren Fentiman,3,Ian Williams,4th,Neck,4,9-9h,76,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Izzari (GER),Mohammed Tabti,3,I Jardine,3rd,Neck,4,9-3,70,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Golspie (IRE),Harry Burns,0,P Morris,2nd,1 1/4 l,5,9-0p,67,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Spanish Hustle,Kaiya Fraser,0,J S Goldie,1st,N/A,7,9-2,69,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,High Court Judge (USA),Mason Paetel,5,James Owen,14th,2 l,5,9-9,76,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Dandy's Angel (IRE),Tom Kiely-Marshall,3,J S Wainwright,13th,3/4 l,8,8-10,63,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Idyllic,Paula Muir,0,W Storey,12th,4 l,4,8-10,63,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Clansman,C Horgan,5,L Bailey,11th,3 1/2 l,7,9-3,70,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Cascade Hall (IRE),Amie Waugh,0,J S Goldie,10th,Head,6,8-11,64,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Cougar (JPN),Aiden Brookes,0,I Jardine,9th,3/4 l,6,8-10,63,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Glasses Up (USA),Rhys Elliott,5,R M Smith,8th,2 1/4 l,10,9-2,69,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Gallant Lion,Ryan Kavanagh,3,Ian Williams,7th,1 1/4 l,5,9-6b,73,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,King Chaos (IRE),Tommie Jakes,3,R Menzies,6th,1 1/2 l,4,9-7p,74,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Terrorise,Archie Young,3,B Ellison,5th,Head,4,9-4,71,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Whathappensinvegas (IRE),Warren Fentiman,3,Ian Williams,4th,Neck,4,9-9h,76,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Izzari (GER),Mohammed Tabti,3,I Jardine,3rd,Neck,4,9-3,70,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Golspie (IRE),Harry Burns,0,P Morris,2nd,1 1/4 l,5,9-0p,67,True,1,22
N/A,N/A,18:45,Good To Soft,1m 3f 15y,Spanish Hustle,Kaiya Fraser,0,J S Goldie,1st,N/A,7,9-2,69,True,1,22
