track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Pancake,Connor Beasley,0,M Dods,14th,8 l,3,9-6h1,62,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Yorkshire Myth,Lewis Chalkley,7,M & D Easterby,13th,2 l,3,8-12,54,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Triple Charged (IRE),L Morris,0,L Williamson,12th,1 l,3,9-1,57,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Cooramook (IRE),George Wood,0,Harry Eustace,11th,Head,3,9-8,64,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Rokuni (IRE),K T O'Neill,0,Mrs C A Dunnett,10th,1 l,3,9-51,61,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Bust A Moon,Charlie Bennett,0,I W McInnes,9th,1 l,3,9-9,65,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Spirited Dancer,Billy Loughnane,0,D & C Kubler,8th,1/2 l,3,9-9t1,65,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Memphisatmidnight (IRE),Sean Kirrane,0,T D Easterby,7th,2 3/4 l,3,9-4,60,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Vault Of Heaven (IRE),J Mitchell,0,K Frost,6th,3/4 l,3,9-3,59,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Captain Pickles (IRE),D C Costello,0,Mrs Stella Barclay,5th,Head,3,9-0,56,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Coeur Jaune (IRE),D Tudhope,0,D O'Meara,4th,1/2 l,3,9-8,64,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Atomic Mass (IRE),Nathan Evans,0,M & D Easterby,3rd,1/2 l,3,9-8,64,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Alashos (FR),A J Farragher,0,James Horton,2nd,1 1/2 l,3,9-7p,63,True,1,7
Doncaster Racing Results | 15th June 2025 17:05,N/A,17:05,Good To Firm,6f 2y,Promise Time,Alex Jary,5,N Tinkler,1st,N/A,3,9-3,59,True,1,7
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Step Along,Lewis Edmunds,0,W Muir & C Grassick,8th,2 l,3,9-9,58,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Novamay,Connor Beasley,0,M Dods,7th,Short Head,3,9-10p1,59,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Pure Artistry (IRE),Cieren Fallon,0,M L W Bell,6th,3/4 l,3,9-8t,57,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Sun Keeper,K T O'Neill,0,Alice Haynes,5th,1/2 l,3,9-8t,57,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Love Rock (IRE),Billy Loughnane,0,I Mohammed,4th,Head,3,9-7,56,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Master Zack,A J Farragher,0,Martin Dunne,3rd,1 1/4 l,3,9-3ht,52,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Wee Mary (IRE),D Tudhope,0,R Menzies,2nd,1/2 l,3,9-7h,56,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Solar Biricz (IRE),Ben Robinson,0,B Ellison,1st,N/A,3,9-9,58,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Step Along,Lewis Edmunds,0,W Muir & C Grassick,8th,2 l,3,9-9,58,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Novamay,Connor Beasley,0,M Dods,7th,Short Head,3,9-10p1,59,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Pure Artistry (IRE),Cieren Fallon,0,M L W Bell,6th,3/4 l,3,9-8t,57,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Sun Keeper,K T O'Neill,0,Alice Haynes,5th,1/2 l,3,9-8t,57,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Love Rock (IRE),Billy Loughnane,0,I Mohammed,4th,Head,3,9-7,56,True,1,8
