track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 1st August 2024 15:20,N/A,15:20,Yielding,1m 98y,Brave Troop (IRE),S T McCullagh,3,Alan McIntyre,6th,1/2 l,5,9-13,87,True,131,11
Galway Racing Results | 1st August 2024 15:20,N/A,15:20,Yielding,1m 98y,San Aer (IRE),W J Lee,0,T Mullins,5th,1 1/4 l,6,9-11t,85,True,131,11
Galway Racing Results | 1st August 2024 15:20,N/A,15:20,Yielding,1m 98y,Shigar (IRE),D P McDonogh,0,W Durkan,4th,1 1/4 l,5,9-8h,82,True,131,11
Galway Racing Results | 1st August 2024 15:20,N/A,15:20,Yielding,1m 98y,Facethepuckout (IRE),J J G Ryan,5,M O'Callaghan,3rd,2 3/4 l,8,9-11,85,True,131,11
Galway Racing Results | 1st August 2024 15:20,N/A,15:20,Yielding,1m 98y,Genuine Article,C T Keane,0,G Keane,2nd,1/2 l,4,9-8,82,True,131,11
Galway Racing Results | 1st August 2024 15:20,N/A,15:20,Yielding,1m 98y,Grey Leader (IRE),G F Carroll,0,J G Murphy,1st,N/A,4,9-11h,85,True,131,11
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Red Heel (IRE),W Joyce,0,M Mulvany,NR,N/A,7,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Fast Tara (IRE),M P Sheehy,0,J P O'Brien,NR,N/A,4,9-7t,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Flight Of Fancy (IRE),W M Lordan,0,A P O'Brien,PU,N/A,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Sluice (IRE),G P Halpin,0,J P O'Brien,11th,16 l,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Mexicali Rose,M P Sheehy,0,J P O'Brien,10th,1/2 l,4,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,One Look (IRE),W J Lee,0,P Twomey,9th,Head,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Letherfly (IRE),C T Keane,0,N Meade,8th,1 1/4 l,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Curvature (IRE),S Foley,0,Mrs J Harrington,7th,Head,4,9-10,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Kayhana (IRE),C D Hayes,0,D K Weld,6th,Neck,4,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Concluding Call (IRE),N M Crosse,0,W McCreery,5th,1 1/2 l,4,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,All Lies Ahead (IRE),R P Whelan,0,W McCreery,4th,1/2 l,6,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Ojw Legacy (IRE),A J Slattery,0,A Slattery,3rd,1 3/4 l,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Princess Child (FR),D P McDonogh,0,J P O'Brien,2nd,Neck,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Raknah (IRE),G F Carroll,0,Mrs J Harrington,1st,N/A,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Red Heel (IRE),W Joyce,0,M Mulvany,NR,N/A,7,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Fast Tara (IRE),M P Sheehy,0,J P O'Brien,NR,N/A,4,9-7t,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Flight Of Fancy (IRE),W M Lordan,0,A P O'Brien,PU,N/A,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Sluice (IRE),G P Halpin,0,J P O'Brien,11th,16 l,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Mexicali Rose,M P Sheehy,0,J P O'Brien,10th,1/2 l,4,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,One Look (IRE),W J Lee,0,P Twomey,9th,Head,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Letherfly (IRE),C T Keane,0,N Meade,8th,1 1/4 l,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Curvature (IRE),S Foley,0,Mrs J Harrington,7th,Head,4,9-10,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Kayhana (IRE),C D Hayes,0,D K Weld,6th,Neck,4,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Concluding Call (IRE),N M Crosse,0,W McCreery,5th,1 1/2 l,4,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,All Lies Ahead (IRE),R P Whelan,0,W McCreery,4th,1/2 l,6,9-7,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Ojw Legacy (IRE),A J Slattery,0,A Slattery,3rd,1 3/4 l,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Princess Child (FR),D P McDonogh,0,J P O'Brien,2nd,Neck,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 15:55,N/A,15:55,Yielding,7f,Raknah (IRE),G F Carroll,0,Mrs J Harrington,1st,N/A,3,9-1,-,True,131,12
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Irish Panther,J J Slevin,0,E J O'Grady,NR,N/A,7,11-0,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,On The Steel (IRE),C G O'Dwyer,5,C O'Dwyer,12th,1 l,5,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Now So Jake (IRE),P T Enright,0,D H Kelly,11th,5 1/2 l,6,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Person Of Interest (IRE),P Hanlon,7,J J Hanlon,10th,10 l,4,10-10,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Just For Love (IRE),S Cleary-Farrell,7,W P Mullins,9th,1 1/2 l,5,10-11,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Koori Star (IRE),Sam Ewing,0,Peter Fahey,8th,3/4 l,6,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Ollie La Ba Ba (IRE),G B Noonan,5,E McCarthy,7th,1/2 l,6,11-4tp,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Heroes Rise (IRE),J W Kennedy,0,G Elliott,6th,4 3/4 l,4,11-0,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Born Braver (IRE),K M Donoghue,0,G P Cromwell,5th,1 3/4 l,6,11-7p1,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Going Live (IRE),J C Gainford,0,G Elliott,4th,1 1/2 l,5,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Femme Magnifique (IRE),D E Mullins,0,W P Mullins,3rd,3 1/4 l,6,10-11t,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Ninth Titan (IRE),P Townend,0,W P Mullins,2nd,3/4 l,6,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Donnie Devito (IRE),T P Harney,7,R O'Sullivan,1st,N/A,5,11-4ht,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Irish Panther,J J Slevin,0,E J O'Grady,NR,N/A,7,11-0,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,On The Steel (IRE),C G O'Dwyer,5,C O'Dwyer,12th,1 l,5,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Now So Jake (IRE),P T Enright,0,D H Kelly,11th,5 1/2 l,6,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Person Of Interest (IRE),P Hanlon,7,J J Hanlon,10th,10 l,4,10-10,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Just For Love (IRE),S Cleary-Farrell,7,W P Mullins,9th,1 1/2 l,5,10-11,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Koori Star (IRE),Sam Ewing,0,Peter Fahey,8th,3/4 l,6,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Ollie La Ba Ba (IRE),G B Noonan,5,E McCarthy,7th,1/2 l,6,11-4tp,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Heroes Rise (IRE),J W Kennedy,0,G Elliott,6th,4 3/4 l,4,11-0,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Born Braver (IRE),K M Donoghue,0,G P Cromwell,5th,1 3/4 l,6,11-7p1,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Going Live (IRE),J C Gainford,0,G Elliott,4th,1 1/2 l,5,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Femme Magnifique (IRE),D E Mullins,0,W P Mullins,3rd,3 1/4 l,6,10-11t,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Ninth Titan (IRE),P Townend,0,W P Mullins,2nd,3/4 l,6,11-4,-,True,131,13
Galway Racing Results | 1st August 2024 16:30,N/A,16:30,Good (Good To Yielding In Places),2m 4f 156y,Donnie Devito (IRE),T P Harney,7,R O'Sullivan,1st,N/A,5,11-4ht,-,True,131,13
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Fiveonefive (IRE),Non Runner,0,C Collins,NR,N/A,6,10-6p,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Royal Eagle (IRE),Non Runner,0,G Elliott,NR,N/A,6,10-5,131,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Man O Work (IRE),Non Runner,0,P G Fahey,NR,N/A,6,10-6,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Petrol Head (IRE),D J Gilligan,3,Miss K Brown,NR,N/A,8,10-0,126,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Daddy Long Legs (FR),P Townend,0,W P Mullins,19th,Neck,5,11-10t,150,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,A Penny A Hundred (FR),K Callaghan,5,W P Mullins,18th,2 1/2 l,5,10-7,133,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Williamstowndancer (IRE),Rachael Blackmore,0,W P Mullins,17th,4 l,6,10-9,135,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Gorgeous Tom (IRE),D J O'Keeffe,0,H De Bromhead,16th,2 1/2 l,6,10-11,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Fascile Mode (IRE),J B Foley,0,T Mullins,15th,3 1/2 l,6,10-7,133,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Nusret,J J Burke,0,J P O'Brien,14th,4 1/2 l,5,10-13t,139,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Anotherway (FR),D E Mullins,0,W P Mullins,13th,Short Head,5,10-11,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Risk Belle (FR),M P Walsh,0,W P Mullins,12th,1 1/2 l,5,10-7,133,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Kings Hill (IRE),J G Gilligan,7,P J Gilligan,11th,Neck,5,10-8,134,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Arctic Fly (IRE),S Cleary-Farrell,7,W P Mullins,10th,3/4 l,6,10-6t1,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Shecouldbeanything (IRE),Sam Ewing,0,G Elliott,9th,2 l,7,10-11tp1,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Jesse Evans (IRE),C Stone-Walsh,5,N Meade,8th,2 l,8,11-10,150,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Icare Desbois (FR),M J M O'Sullivan,0,W P Mullins,7th,2 l,6,10-6,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Under Control (FR),N de Boinville,0,N J Henderson,6th,1/2 l,5,10-11t1,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Mighty Tom (IRE),J C Gainford,0,C Collins,5th,2 3/4 l,9,10-13,139,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Winter Fog (IRE),B Hayes,0,W P Mullins,4th,2 1/2 l,10,11-12,152,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,My Mate Mozzie (IRE),K M Donoghue,0,G P Cromwell,3rd,Short Head,8,11-4t,144,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Ndaawi,J W Kennedy,0,G Elliott,2nd,7 l,4,10-5,134,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Nurburgring (IRE),J J Slevin,0,J P O'Brien,1st,N/A,4,10-10t,139,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Fiveonefive (IRE),Non Runner,0,C Collins,NR,N/A,6,10-6p,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Royal Eagle (IRE),Non Runner,0,G Elliott,NR,N/A,6,10-5,131,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Man O Work (IRE),Non Runner,0,P G Fahey,NR,N/A,6,10-6,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Petrol Head (IRE),D J Gilligan,3,Miss K Brown,NR,N/A,8,10-0,126,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Daddy Long Legs (FR),P Townend,0,W P Mullins,19th,Neck,5,11-10t,150,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,A Penny A Hundred (FR),K Callaghan,5,W P Mullins,18th,2 1/2 l,5,10-7,133,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Williamstowndancer (IRE),Rachael Blackmore,0,W P Mullins,17th,4 l,6,10-9,135,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Gorgeous Tom (IRE),D J O'Keeffe,0,H De Bromhead,16th,2 1/2 l,6,10-11,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Fascile Mode (IRE),J B Foley,0,T Mullins,15th,3 1/2 l,6,10-7,133,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Nusret,J J Burke,0,J P O'Brien,14th,4 1/2 l,5,10-13t,139,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Anotherway (FR),D E Mullins,0,W P Mullins,13th,Short Head,5,10-11,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Risk Belle (FR),M P Walsh,0,W P Mullins,12th,1 1/2 l,5,10-7,133,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Kings Hill (IRE),J G Gilligan,7,P J Gilligan,11th,Neck,5,10-8,134,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Arctic Fly (IRE),S Cleary-Farrell,7,W P Mullins,10th,3/4 l,6,10-6t1,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Shecouldbeanything (IRE),Sam Ewing,0,G Elliott,9th,2 l,7,10-11tp1,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Jesse Evans (IRE),C Stone-Walsh,5,N Meade,8th,2 l,8,11-10,150,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Icare Desbois (FR),M J M O'Sullivan,0,W P Mullins,7th,2 l,6,10-6,132,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Under Control (FR),N de Boinville,0,N J Henderson,6th,1/2 l,5,10-11t1,137,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Mighty Tom (IRE),J C Gainford,0,C Collins,5th,2 3/4 l,9,10-13,139,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Winter Fog (IRE),B Hayes,0,W P Mullins,4th,2 1/2 l,10,11-12,152,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,My Mate Mozzie (IRE),K M Donoghue,0,G P Cromwell,3rd,Short Head,8,11-4t,144,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Ndaawi,J W Kennedy,0,G Elliott,2nd,7 l,4,10-5,134,True,131,14
Galway Racing Results | 1st August 2024 17:05,N/A,17:05,Good (Good To Yielding In Places),2m 11y,Nurburgring (IRE),J J Slevin,0,J P O'Brien,1st,N/A,4,10-10t,139,True,131,14
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Noble Crusade (USA),K G Kennedy,7,J C McConnell,NR,N/A,6,9-12,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,King Of The Bronx (IRE),G F Carroll,0,G P Cromwell,18th,6 l,3,9-4,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Question Of Class (IRE),R P Cleary,0,J S Bolger,17th,1 1/4 l,3,9-4b1,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,There's No Limit (IRE),D P McDonogh,0,C Collins,16th,1 1/4 l,3,9-2p,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Preparations (IRE),A J Slattery,0,A Slattery,15th,4 3/4 l,3,9-4,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,The Mpex Kid (IRE),D S O'Sullivan,10,Ciaran Murphy,14th,3/4 l,8,10-1,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Cafe Con Leche (IRE),S P Davis,0,C Byrnes,13th,3 1/2 l,8,9-12,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,True Statesman (IRE),R P Whelan,0,A McGuinness,12th,12 l,4,9-12p,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Secret Rock (IRE),D King,5,Mrs C O'Leary,11th,7 l,5,9-13ht,67,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Chatterbox (IRE),S Foley,0,J J Murphy,10th,3 3/4 l,5,10-0,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Bright N Shine (IRE),Adam Caffrey,3,T O'Brien,9th,Neck,4,9-13t,67,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Vidisha (FR),R M Mulligan,7,J P Murtagh,8th,1 l,4,10-2,70,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Desert Friend (IRE),J A Heffernan,0,Mrs D Foster,7th,3 1/4 l,8,10-2,70,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Best Law (IRE),C T Keane,0,G M Lyons,6th,1 3/4 l,3,9-6b,70,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Arch Enemy (IRE),R C Colgan,0,P Magee,5th,1/2 l,5,10-1,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Son Of Hypnos (IRE),W Joyce,5,K Smith,4th,2 1/2 l,7,10-1tb,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Diyaba (IRE),J J G Ryan,5,Ciaran Murphy,3rd,2 1/4 l,4,10-1,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Lady Christa (IRE),W J Lee,0,S Lavery,2nd,2 1/4 l,4,9-12,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Hidden Land (USA),L T McAteer,0,A Kinirons,1st,N/A,7,9-11,65,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Noble Crusade (USA),K G Kennedy,7,J C McConnell,NR,N/A,6,9-12,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,King Of The Bronx (IRE),G F Carroll,0,G P Cromwell,18th,6 l,3,9-4,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Question Of Class (IRE),R P Cleary,0,J S Bolger,17th,1 1/4 l,3,9-4b1,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,There's No Limit (IRE),D P McDonogh,0,C Collins,16th,1 1/4 l,3,9-2p,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Preparations (IRE),A J Slattery,0,A Slattery,15th,4 3/4 l,3,9-4,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,The Mpex Kid (IRE),D S O'Sullivan,10,Ciaran Murphy,14th,3/4 l,8,10-1,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Cafe Con Leche (IRE),S P Davis,0,C Byrnes,13th,3 1/2 l,8,9-12,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,True Statesman (IRE),R P Whelan,0,A McGuinness,12th,12 l,4,9-12p,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Secret Rock (IRE),D King,5,Mrs C O'Leary,11th,7 l,5,9-13ht,67,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Chatterbox (IRE),S Foley,0,J J Murphy,10th,3 3/4 l,5,10-0,68,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Bright N Shine (IRE),Adam Caffrey,3,T O'Brien,9th,Neck,4,9-13t,67,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Vidisha (FR),R M Mulligan,7,J P Murtagh,8th,1 l,4,10-2,70,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Desert Friend (IRE),J A Heffernan,0,Mrs D Foster,7th,3 1/4 l,8,10-2,70,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Best Law (IRE),C T Keane,0,G M Lyons,6th,1 3/4 l,3,9-6b,70,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Arch Enemy (IRE),R C Colgan,0,P Magee,5th,1/2 l,5,10-1,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Son Of Hypnos (IRE),W Joyce,5,K Smith,4th,2 1/2 l,7,10-1tb,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Diyaba (IRE),J J G Ryan,5,Ciaran Murphy,3rd,2 1/4 l,4,10-1,69,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Lady Christa (IRE),W J Lee,0,S Lavery,2nd,2 1/4 l,4,9-12,66,True,131,15
Galway Racing Results | 1st August 2024 17:40,N/A,17:40,Yielding,1m 4f,Hidden Land (USA),L T McAteer,0,A Kinirons,1st,N/A,7,9-11,65,True,131,15
Galway Racing Results | 1st August 2024 18:10,N/A,18:10,Good,2m 2f,El Toro Rocco (IRE),Mr F J Gillen,7,E Mullins,NR,N/A,5,12-0,-,True,131,16
Galway Racing Results | 1st August 2024 18:10,N/A,18:10,Good,2m 2f,Good Lies (IRE),Mr E Mahon,7,Miss H McLoughlin,13th,50 l,5,11-7t1,-,True,131,16
