track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Weir Lane (IRE),Sean Flanagan,0,David M. O'Brien,9th,4 1/2 l,5,10-13t1,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Close Enough (IRE),Patrick O'Hanlon,5,B. J. Hallahan,8th,8 l,7,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Lucky Viv (IRE),A. M. McCurtin,0,Michael Barry,7th,2 1/4 l,5,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Seventy Eight Team (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,6 1/2 l,5,10-13p1,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Parvos (IRE),R. J. Condon,5,Michael C. Griffin,5th,4 l,6,10-13tp1,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Roccos Inspiration (IRE),J. J. Slevin,0,Michael G. Kennedy,4th,2 1/4 l,6,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Bint Freya (IRE),Donagh Meyler,0,Thomas Cooper,3rd,2 1/4 l,6,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Knockanard Lady (IRE),Jack Doyle,0,P. M. J. Doyle,2nd,6 l,6,11-7t,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Mary Cassatt (FR),Mr A. Harvey,7,John McConnell,1st,N/A,4,10-13t,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Twolittlegirls (IRE),S. F. O'Keeffe,0,Garrett James Power,PU,N/A,6,10-13h,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Cooltubrid Hope (IRE),M. P. O'Connor,5,Diarmuid P. Ryan,PU,N/A,5,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Thatsjessie (IRE),R. A. Doyle,0,Thomas Cooper,PU,N/A,5,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Irish Artist (FR),D. J. O'Keeffe,0,T. Gibney,13th,43 l,4,10-5,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Kathy Choice (IRE),Phillip Enright,0,James Daniel Dullea,12th,29 l,5,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,C'est Rien (IRE),Jack Foley,0,Thomas Mullins,11th,17 l,6,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Amazing Amy (IRE),D. E. Mullins,0,Eugene M. O'Sullivan,10th,1 1/4 l,8,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Weir Lane (IRE),Sean Flanagan,0,David M. O'Brien,9th,4 1/2 l,5,10-13t1,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Close Enough (IRE),Patrick O'Hanlon,5,B. J. Hallahan,8th,8 l,7,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Lucky Viv (IRE),A. M. McCurtin,0,Michael Barry,7th,2 1/4 l,5,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Seventy Eight Team (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,6 1/2 l,5,10-13p1,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Parvos (IRE),R. J. Condon,5,Michael C. Griffin,5th,4 l,6,10-13tp1,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Roccos Inspiration (IRE),J. J. Slevin,0,Michael G. Kennedy,4th,2 1/4 l,6,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Bint Freya (IRE),Donagh Meyler,0,Thomas Cooper,3rd,2 1/4 l,6,10-13,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Knockanard Lady (IRE),Jack Doyle,0,P. M. J. Doyle,2nd,6 l,6,11-7t,-,True,54,23
Killarney Racing Results | 15th May 2023 16:55,N/A,16:55,Good To Yielding,2m 6f 50y,Mary Cassatt (FR),Mr A. Harvey,7,John McConnell,1st,N/A,4,10-13t,-,True,54,23
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Ebenezer Scrooge (IRE),Keith Donoghue,0,Gordon Elliott,UR,N/A,6,11-4t1,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Sunset Cato (IRE),Shane O'Callaghan,7,Paul John Gilligan,14th,14 l,6,11-4p1,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Didyouseethelight (IRE),D. King,5,Miss J. M. Lee,13th,19 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Le Sin Bin (IRE),J. J. Slevin,0,William O'Doherty,12th,Head,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Singing the Blues (IRE),C. P. McNamara,0,Eric McNamara,11th,14 l,8,11-12,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Policy Breaker (IRE),Jack G. Gilligan,7,Paul John Gilligan,10th,2 3/4 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Copper Coast (IRE),D. J. O'Keeffe,0,W. J. Burke,9th,4 3/4 l,5,10-11t,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Answer To Kayf,J. P. Shinnick,7,Terence O'Brien,8th,1 l,7,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,The Mass Path (IRE),P. Byrnes,5,Charles Byrnes,7th,1 1/2 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Sekakarma (IRE),Donagh Meyler,0,W. M. Roper,6th,4 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Thunder (IRE),D. E. Mullins,0,John Patrick Ryan,5th,Short Head,5,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Mousey Brown (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,4th,Nose,6,10-11t,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,3rd,6 1/2 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,All For Rachel (IRE),Phillip Enright,0,Oliver McKiernan,2nd,11 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,The Short Go (IRE),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,6,11-4h,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Ebenezer Scrooge (IRE),Keith Donoghue,0,Gordon Elliott,UR,N/A,6,11-4t1,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Sunset Cato (IRE),Shane O'Callaghan,7,Paul John Gilligan,14th,14 l,6,11-4p1,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Didyouseethelight (IRE),D. King,5,Miss J. M. Lee,13th,19 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Le Sin Bin (IRE),J. J. Slevin,0,William O'Doherty,12th,Head,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Singing the Blues (IRE),C. P. McNamara,0,Eric McNamara,11th,14 l,8,11-12,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Policy Breaker (IRE),Jack G. Gilligan,7,Paul John Gilligan,10th,2 3/4 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Copper Coast (IRE),D. J. O'Keeffe,0,W. J. Burke,9th,4 3/4 l,5,10-11t,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Answer To Kayf,J. P. Shinnick,7,Terence O'Brien,8th,1 l,7,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,The Mass Path (IRE),P. Byrnes,5,Charles Byrnes,7th,1 1/2 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Sekakarma (IRE),Donagh Meyler,0,W. M. Roper,6th,4 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Thunder (IRE),D. E. Mullins,0,John Patrick Ryan,5th,Short Head,5,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Mousey Brown (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,4th,Nose,6,10-11t,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,Pahlavi (IRE),J. S. McGarvey,0,John Joseph Hanlon,3rd,6 1/2 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,All For Rachel (IRE),Phillip Enright,0,Oliver McKiernan,2nd,11 l,6,11-4,-,True,54,24
Killarney Racing Results | 15th May 2023 17:25,N/A,17:25,Good To Yielding,2m 4f,The Short Go (IRE),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,6,11-4h,-,True,54,24
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,How Decc (IRE),Philip Donovan,5,E. Seymour,PU,N/A,5,11-4,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Connors Cross (IRE),M. P. O'Connor,5,James Andrew Fahey,6th,2 1/4 l,6,11-10h,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Ruby Jules,Phillip Enright,0,Paul John Gilligan,5th,46 l,4,10-3,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Privilege,Sean Flanagan,0,Peter Fahey,4th,15 l,5,11-4,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Winning Smut (IRE),D. J. O'Keeffe,0,M. Hourigan,3rd,4 3/4 l,4,10-10,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Emily Roebling (IRE),J. J. Slevin,0,Gerard Kelleher,2nd,3 1/4 l,9,11-3,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Absurde (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-4,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,How Decc (IRE),Philip Donovan,5,E. Seymour,PU,N/A,5,11-4,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Connors Cross (IRE),M. P. O'Connor,5,James Andrew Fahey,6th,2 1/4 l,6,11-10h,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Ruby Jules,Phillip Enright,0,Paul John Gilligan,5th,46 l,4,10-3,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Privilege,Sean Flanagan,0,Peter Fahey,4th,15 l,5,11-4,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Winning Smut (IRE),D. J. O'Keeffe,0,M. Hourigan,3rd,4 3/4 l,4,10-10,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Emily Roebling (IRE),J. J. Slevin,0,Gerard Kelleher,2nd,3 1/4 l,9,11-3,-,True,54,25
Killarney Racing Results | 15th May 2023 17:55,N/A,17:55,Good To Yielding,2m 4f,Absurde (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-4,-,True,54,25
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,The Priests Leap (IRE),J. S. McGarvey,0,Gordon Elliott,16th,24 l,9,10-12tp1,116,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Feigh (IRE),Shane Fenelon,7,John Joseph Hanlon,15th,1 l,5,10-11,115,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Tempo Chapter Two (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,14th,23 l,7,10-13,117,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Quirt Evans (IRE),Denis O'Regan,0,David M. O'Brien,13th,14 l,8,11-5t,123,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Britzka (IRE),C. P. Millar,7,Gordon Elliott,12th,2 1/2 l,5,12-0tb,132,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Story Rory (IRE),D. J. O'Keeffe,0,T. Gibney,11th,1 1/2 l,8,10-6t,110,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Popong (IRE),Rachael Blackmore,0,Henry de Bromhead,10th,1 l,9,11-5,123,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Flying Scotsman (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,9th,16 l,6,11-4b,122,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,The Gradual Slope (IRE),M. M. McDonagh,5,Sean O. O'Brien,8th,Nose,6,11-1,119,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Jeepydoff Meel (FR),R. A. Doyle,0,Gordon Elliott,7th,4 l,5,10-9p1,113,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Viceregent,P. Byrnes,5,Charles Byrnes,6th,2 1/2 l,6,10-12,116,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Winding River (IRE),R. J. Condon,5,Oliver McKiernan,5th,1 3/4 l,6,10-4t,108,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Garrybello (FR),Keith Donoghue,0,Thomas Cooper,4th,1 1/2 l,5,11-4ht,122,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,The Big Chap (IRE),Donagh Meyler,0,Paul W. Flynn,3rd,1 l,6,10-10t,114,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Optional Mix (IRE),Shane O'Callaghan,7,Eoin Doyle,2nd,Neck,7,11-1t,119,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Prince Zaltar (FR),Patrick O'Hanlon,5,P. J. Rothwell,1st,N/A,6,10-4t1,108,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,The Priests Leap (IRE),J. S. McGarvey,0,Gordon Elliott,16th,24 l,9,10-12tp1,116,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Feigh (IRE),Shane Fenelon,7,John Joseph Hanlon,15th,1 l,5,10-11,115,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Tempo Chapter Two (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,14th,23 l,7,10-13,117,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Quirt Evans (IRE),Denis O'Regan,0,David M. O'Brien,13th,14 l,8,11-5t,123,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Britzka (IRE),C. P. Millar,7,Gordon Elliott,12th,2 1/2 l,5,12-0tb,132,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Story Rory (IRE),D. J. O'Keeffe,0,T. Gibney,11th,1 1/2 l,8,10-6t,110,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Popong (IRE),Rachael Blackmore,0,Henry de Bromhead,10th,1 l,9,11-5,123,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Flying Scotsman (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,9th,16 l,6,11-4b,122,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,The Gradual Slope (IRE),M. M. McDonagh,5,Sean O. O'Brien,8th,Nose,6,11-1,119,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Jeepydoff Meel (FR),R. A. Doyle,0,Gordon Elliott,7th,4 l,5,10-9p1,113,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Viceregent,P. Byrnes,5,Charles Byrnes,6th,2 1/2 l,6,10-12,116,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Winding River (IRE),R. J. Condon,5,Oliver McKiernan,5th,1 3/4 l,6,10-4t,108,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Garrybello (FR),Keith Donoghue,0,Thomas Cooper,4th,1 1/2 l,5,11-4ht,122,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,The Big Chap (IRE),Donagh Meyler,0,Paul W. Flynn,3rd,1 l,6,10-10t,114,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Optional Mix (IRE),Shane O'Callaghan,7,Eoin Doyle,2nd,Neck,7,11-1t,119,True,54,26
Killarney Racing Results | 15th May 2023 18:25,N/A,18:25,Good To Yielding,2m 4f,Prince Zaltar (FR),Patrick O'Hanlon,5,P. J. Rothwell,1st,N/A,6,10-4t1,108,True,54,26
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Fils D'oudairies (FR),Donagh Meyler,0,Gordon Elliott,F,N/A,8,11-0,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Call Me Lyreen (IRE),K. E. Buckley,0,Gordon Elliott,6th,Neck,7,11-0p,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Busselton (FR),J. J. Slevin,0,Joseph Patrick O'Brien,5th,14 l,6,11-0b,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Minx Tiara (IRE),Sean Flanagan,0,David M. O'Brien,4th,4 1/2 l,8,10-7,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Telmesomethinggirl (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,19 l,8,10-4,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Effernock Fizz (IRE),D. J. O'Keeffe,0,Cian Michael Collins,2nd,4 1/4 l,8,10-4tp,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Saint Sam (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-3h,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Fils D'oudairies (FR),Donagh Meyler,0,Gordon Elliott,F,N/A,8,11-0,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Call Me Lyreen (IRE),K. E. Buckley,0,Gordon Elliott,6th,Neck,7,11-0p,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Busselton (FR),J. J. Slevin,0,Joseph Patrick O'Brien,5th,14 l,6,11-0b,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Minx Tiara (IRE),Sean Flanagan,0,David M. O'Brien,4th,4 1/2 l,8,10-7,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Telmesomethinggirl (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,19 l,8,10-4,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Effernock Fizz (IRE),D. J. O'Keeffe,0,Cian Michael Collins,2nd,4 1/4 l,8,10-4tp,-,True,54,27
Killarney Racing Results | 15th May 2023 18:55,N/A,18:55,Good To Yielding,2m 4f,Saint Sam (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-3h,-,True,54,27
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Icee M B A (IRE),C. Smithers,7,M. Hourigan,15th,18 l,8,11-7,102,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Norwigi (IRE),D. J. O'Keeffe,0,Enda Bolger,14th,1 l,8,11-10,105,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Magnium (IRE),D. E. Mullins,0,John Patrick Ryan,13th,9 1/2 l,10,11-9,104,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Avec Espoir,E. Dwan,7,V. T. O'Brien,12th,1 l,10,11-6,101,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Carnet De Stage (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,11th,6 1/2 l,8,11-7,102,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,An Fraoch Mor (IRE),Shane O'Callaghan,7,Ross O'Sullivan,10th,24 l,10,11-11,106,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Harvey's Quay (IRE),J. S. McGarvey,0,E. J. O'Grady,9th,2 l,7,11-12,107,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Silvertown (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,8th,3 3/4 l,6,11-11b,106,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,R'evelyn Pleasure (IRE),Donagh Meyler,0,Sean O. O'Brien,7th,2 1/2 l,11,12-0b,109,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Politicise (IRE),C. P. Millar,7,Nigel Slevin,6th,1 l,7,11-13p,108,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Donnrua Dream (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,1 l,6,11-6p1,101,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Clever Currency (IRE),Sean Flanagan,0,Paul W. Flynn,4th,1 3/4 l,6,11-8t,103,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Lake Chad (IRE),B. Hayes,0,Philip Fenton,3rd,2 1/2 l,8,11-10,105,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Broken Ice (IRE),Patrick Michael O'Brien,7,Gavin Patrick Cromwell,2nd,Nose,7,11-13p,108,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Stealthy Tom (IRE),S. D. Torrens,0,Enda Bolger,1st,N/A,8,11-9p,104,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Icee M B A (IRE),C. Smithers,7,M. Hourigan,15th,18 l,8,11-7,102,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Norwigi (IRE),D. J. O'Keeffe,0,Enda Bolger,14th,1 l,8,11-10,105,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Magnium (IRE),D. E. Mullins,0,John Patrick Ryan,13th,9 1/2 l,10,11-9,104,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Avec Espoir,E. Dwan,7,V. T. O'Brien,12th,1 l,10,11-6,101,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Carnet De Stage (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,11th,6 1/2 l,8,11-7,102,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,An Fraoch Mor (IRE),Shane O'Callaghan,7,Ross O'Sullivan,10th,24 l,10,11-11,106,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Harvey's Quay (IRE),J. S. McGarvey,0,E. J. O'Grady,9th,2 l,7,11-12,107,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,Silvertown (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,8th,3 3/4 l,6,11-11b,106,True,54,28
Killarney Racing Results | 15th May 2023 19:25,N/A,19:25,Good To Yielding,2m 4f,R'evelyn Pleasure (IRE),Donagh Meyler,0,Sean O. O'Brien,7th,2 1/2 l,11,12-0b,109,True,54,28
