track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Some Performance (USA),S Foley,0,Mrs J Harrington,4th,1 l,2,9-4,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Fivefortwo,R P Whelan,0,M Halford & T Collins,3rd,3/4 l,2,9-0,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Dakota Blue (FR),B M Coen,0,J P Murtagh,2nd,Head,2,9-6,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Glenderry,W J Lee,0,J Davison,1st,N/A,2,9-6,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Deep Vein (IRE),R Whearty,3,P Downey,14th,4 3/4 l,2,9-0,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Romantic War (IRE),Adam Caffrey,3,A McGuinness,13th,1 3/4 l,2,9-6v1,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Transfuse (IRE),D McMonagle,0,J P O'Brien,12th,1 1/2 l,2,9-6,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Berto Ramirez,L T McAteer,0,D Marnane,11th,1 l,2,9-8,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Felicity Smoak (IRE),R P Cleary,0,P Nolan,10th,2 l,2,8-13,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Carnivore (IRE),A J Slattery,0,J Halley,9th,1 l,2,9-2,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Georg Zhukov (IRE),G F Carroll,0,N Meade,8th,Neck,2,9-0,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Quiz Question,G M Ryan,0,Donnacha O'Brien,7th,Neck,2,9-6p1,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Heldtoransom (IRE),M W Hassett,5,J P O'Brien,6th,1 1/4 l,2,9-6p1,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Daler (IRE),C T Keane,0,G M Lyons,5th,1 1/2 l,2,9-8,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Some Performance (USA),S Foley,0,Mrs J Harrington,4th,1 l,2,9-4,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Fivefortwo,R P Whelan,0,M Halford & T Collins,3rd,3/4 l,2,9-0,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Dakota Blue (FR),B M Coen,0,J P Murtagh,2nd,Head,2,9-6,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:00,N/A,20:00,Standard,1m,Glenderry,W J Lee,0,J Davison,1st,N/A,2,9-6,-,True,148,12
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Tassarolo,J M Sheridan,0,D Hogan,NR,N/A,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Tuba,S T McCullagh,3,R O'Brien,NR,N/A,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Gift Of Life (IRE),L T McAteer,0,C Moore,14th,7 1/2 l,4,9-12,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Venting (IRE),R P Cleary,0,J S Bolger,13th,6 1/2 l,3,9-3t,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,San Franco (IRE),C D Maxwell,0,D A McLoughlin,12th,7 1/2 l,4,9-12,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Silk Degrees (IRE),S Foley,0,M G Quinn,11th,13 l,3,9-8tv1,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Collaborative (IRE),R P Whelan,0,O McKiernan,10th,3 1/2 l,4,9-12p1,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Stand Back,C T Keane,0,H De Bromhead,9th,4 1/4 l,5,9-12t,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Coul Dreamer (IRE),M W Hassett,5,W McCreery,8th,2 l,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Ms Messi (IRE),W Joyce,5,Thomas Dowling,7th,4 1/4 l,3,9-3,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Raydamann (FR),B M Coen,0,J P Murtagh,6th,1/2 l,3,9-8h1,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Pearl Jewel (IRE),G F Carroll,0,C Timmons,5th,Short Head,3,9-3,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Dr Waksman,R Whearty,3,A Oliver,4th,1 1/4 l,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Man Of Worth (IRE),C D Hayes,0,D K Weld,3rd,2 l,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Ozark Daze,W J Lee,0,A Oliver,2nd,1/2 l,3,9-8t,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Persian Bliss,D Egan,0,A Murray,1st,N/A,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Tassarolo,J M Sheridan,0,D Hogan,NR,N/A,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Tuba,S T McCullagh,3,R O'Brien,NR,N/A,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Gift Of Life (IRE),L T McAteer,0,C Moore,14th,7 1/2 l,4,9-12,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Venting (IRE),R P Cleary,0,J S Bolger,13th,6 1/2 l,3,9-3t,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,San Franco (IRE),C D Maxwell,0,D A McLoughlin,12th,7 1/2 l,4,9-12,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Silk Degrees (IRE),S Foley,0,M G Quinn,11th,13 l,3,9-8tv1,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Collaborative (IRE),R P Whelan,0,O McKiernan,10th,3 1/2 l,4,9-12p1,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Stand Back,C T Keane,0,H De Bromhead,9th,4 1/4 l,5,9-12t,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Coul Dreamer (IRE),M W Hassett,5,W McCreery,8th,2 l,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Ms Messi (IRE),W Joyce,5,Thomas Dowling,7th,4 1/4 l,3,9-3,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Raydamann (FR),B M Coen,0,J P Murtagh,6th,1/2 l,3,9-8h1,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Pearl Jewel (IRE),G F Carroll,0,C Timmons,5th,Short Head,3,9-3,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Dr Waksman,R Whearty,3,A Oliver,4th,1 1/4 l,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Man Of Worth (IRE),C D Hayes,0,D K Weld,3rd,2 l,3,9-8,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Ozark Daze,W J Lee,0,A Oliver,2nd,1/2 l,3,9-8t,-,True,148,13
Dundalk Racing Results | 25th October 2024 20:30,N/A,20:30,Standard,1m 2f 150y,Persian Bliss,D Egan,0,A Murray,1st,N/A,3,9-8,-,True,148,13
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Tir Og (IRE),P K Donovan,5,E Seymour,17th,1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Dahab (IRE),B Hayes,0,D Hogan,16th,2 1/2 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Timeonourside (IRE),P T Enright,0,Leonard Flynn,15th,3 1/4 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Drusilla,R A Doyle,0,C Collins,14th,4 3/4 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Magic Thunder (FR),Sam Ewing,0,G Elliott,13th,4 l,3,11-0t1,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Jaadil (IRE),G Brouder,5,D E Fitzgerald,12th,2 1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Maxios Prime (IRE),S D Torrens,0,P J Rothwell,11th,1 1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Ceol Draiochta (IRE),K E Buckley,0,E Buckley,10th,6 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Bay Brook (IRE),S F O'Keeffe,0,P Nolan,9th,3/4 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Robbies Rock,K C Sexton,0,G P Cromwell,8th,1/2 l,3,11-0t,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Bid Up (IRE),D J Gilligan,0,R O'Sullivan,7th,1 1/2 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Set The Tone (IRE),S W Flanagan,0,D M O'Brien,6th,4 1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Out For A Stroll (IRE),M P Walsh,0,J P O'Brien,5th,4 1/4 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Bacchanalian,S Fitzgerald,0,D Queally,4th,3/4 l,3,11-0h1,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Turn And Finish (IRE),R Deegan,0,J P O'Brien,3rd,2 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Moutarde (IRE),C Stone-Walsh,5,G P Cromwell,2nd,2 3/4 l,3,11-0h,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Messerschmitt (IRE),D Meyler,0,N Meade,1st,N/A,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Tir Og (IRE),P K Donovan,5,E Seymour,17th,1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Dahab (IRE),B Hayes,0,D Hogan,16th,2 1/2 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Timeonourside (IRE),P T Enright,0,Leonard Flynn,15th,3 1/4 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Drusilla,R A Doyle,0,C Collins,14th,4 3/4 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Magic Thunder (FR),Sam Ewing,0,G Elliott,13th,4 l,3,11-0t1,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Jaadil (IRE),G Brouder,5,D E Fitzgerald,12th,2 1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Maxios Prime (IRE),S D Torrens,0,P J Rothwell,11th,1 1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Ceol Draiochta (IRE),K E Buckley,0,E Buckley,10th,6 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Bay Brook (IRE),S F O'Keeffe,0,P Nolan,9th,3/4 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Robbies Rock,K C Sexton,0,G P Cromwell,8th,1/2 l,3,11-0t,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Bid Up (IRE),D J Gilligan,0,R O'Sullivan,7th,1 1/2 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Set The Tone (IRE),S W Flanagan,0,D M O'Brien,6th,4 1/2 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Out For A Stroll (IRE),M P Walsh,0,J P O'Brien,5th,4 1/4 l,3,10-7,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Bacchanalian,S Fitzgerald,0,D Queally,4th,3/4 l,3,11-0h1,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Turn And Finish (IRE),R Deegan,0,J P O'Brien,3rd,2 l,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Moutarde (IRE),C Stone-Walsh,5,G P Cromwell,2nd,2 3/4 l,3,11-0h,-,True,148,14
Galway Racing Results | 26th October 2024 13:53,N/A,13:53,Yielding To Soft,2m 90y,Messerschmitt (IRE),D Meyler,0,N Meade,1st,N/A,3,11-0,-,True,148,14
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Vroomvroomboo (IRE),K C Sexton,0,James Andrew Fahey,NR,N/A,6,10-13t,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Stuntman Steve (IRE),S W Flanagan,0,G P Cromwell,NR,N/A,5,11-6,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Danny By Boy (IRE),L A McKenna,5,D Queally,PU,N/A,4,11-11,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Famous Sonnet (IRE),E M O'Sullivan,7,Ms M Flynn,11th,2 3/4 l,7,11-10,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Jeel Des Mottes (FR),S F O'Keeffe,0,M J Tynan,10th,7 1/2 l,5,11-10,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Stily (FR),C M Quirke,5,M J McDonagh,9th,2 3/4 l,4,11-5,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,True Light (IRE),D J Gilligan,0,Mrs G O'Connor,8th,20 l,7,10-13t,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Ballinoe Blaze (IRE),G B Noonan,5,E McCarthy,7th,4 l,4,11-5,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Arctic Gale (IRE),D Meyler,0,E Mullins,6th,3/4 l,5,11-8p1,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Kish Bank (IRE),Sam Ewing,0,G Elliott,5th,13 l,5,11-8,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Mi Lucky Cailin (IRE),J S McGarvey,0,W J McLernon,4th,5 1/2 l,6,10-13,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Custom Taylor (IRE),S Fitzgerald,0,D Queally,3rd,3 1/2 l,5,11-6,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Downmexicoway (IRE),M P O'Connor,0,H De Bromhead,2nd,Head,5,11-8,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Scotcantou (IRE),C M Hogan,7,E McCarthy,1st,N/A,4,11-3,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Vroomvroomboo (IRE),K C Sexton,0,James Andrew Fahey,NR,N/A,6,10-13t,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Stuntman Steve (IRE),S W Flanagan,0,G P Cromwell,NR,N/A,5,11-6,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Danny By Boy (IRE),L A McKenna,5,D Queally,PU,N/A,4,11-11,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Famous Sonnet (IRE),E M O'Sullivan,7,Ms M Flynn,11th,2 3/4 l,7,11-10,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Jeel Des Mottes (FR),S F O'Keeffe,0,M J Tynan,10th,7 1/2 l,5,11-10,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Stily (FR),C M Quirke,5,M J McDonagh,9th,2 3/4 l,4,11-5,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,True Light (IRE),D J Gilligan,0,Mrs G O'Connor,8th,20 l,7,10-13t,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Ballinoe Blaze (IRE),G B Noonan,5,E McCarthy,7th,4 l,4,11-5,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Arctic Gale (IRE),D Meyler,0,E Mullins,6th,3/4 l,5,11-8p1,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Kish Bank (IRE),Sam Ewing,0,G Elliott,5th,13 l,5,11-8,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Mi Lucky Cailin (IRE),J S McGarvey,0,W J McLernon,4th,5 1/2 l,6,10-13,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Custom Taylor (IRE),S Fitzgerald,0,D Queally,3rd,3 1/2 l,5,11-6,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Downmexicoway (IRE),M P O'Connor,0,H De Bromhead,2nd,Head,5,11-8,-,True,148,15
Galway Racing Results | 26th October 2024 14:28,N/A,14:28,Yielding To Soft,2m 90y,Scotcantou (IRE),C M Hogan,7,E McCarthy,1st,N/A,4,11-3,-,True,148,15
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Tizonlyadream,J G Gilligan,7,D Collins,14th,66 l,7,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Theballflanagan (IRE),S Fitzgerald,0,Cian Hughes,13th,5 1/2 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Three Tribes (IRE),R Deegan,0,B T Murphy,12th,14 l,7,11-12h,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Princess Fiadh (IRE),R P Treacy,0,K A Heffernan,11th,1/2 l,5,11-5h1,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Beefeater (IRE),P T Enright,0,Eamon Courtney,10th,4 3/4 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Swing Time (IRE),G B Noonan,5,V T O'Brien,9th,6 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Bridie's Beau (IRE),C Stone-Walsh,5,G P Cromwell,8th,3/4 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Beauforts Storm (IRE),Mr D Doyle,7,T Doyle,7th,3/4 l,5,11-5,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Monroes Hollow (IRE),J Coen,3,Peter Fahey,6th,15 l,6,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Seskin Flash (IRE),C M Quirke,5,P Carey,5th,2 3/4 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Dream Shaper (IRE),R P Geoghegan,7,I Madden,4th,3 1/2 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,His Nibs (IRE),K E Buckley,0,G P Cromwell,3rd,26 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Addragoole (IRE),S W Flanagan,0,G P Cromwell,2nd,6 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Sporting Glory (IRE),Sam Ewing,0,G Elliott,1st,N/A,8,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Tizonlyadream,J G Gilligan,7,D Collins,14th,66 l,7,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Theballflanagan (IRE),S Fitzgerald,0,Cian Hughes,13th,5 1/2 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Three Tribes (IRE),R Deegan,0,B T Murphy,12th,14 l,7,11-12h,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Princess Fiadh (IRE),R P Treacy,0,K A Heffernan,11th,1/2 l,5,11-5h1,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Beefeater (IRE),P T Enright,0,Eamon Courtney,10th,4 3/4 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Swing Time (IRE),G B Noonan,5,V T O'Brien,9th,6 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Bridie's Beau (IRE),C Stone-Walsh,5,G P Cromwell,8th,3/4 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Beauforts Storm (IRE),Mr D Doyle,7,T Doyle,7th,3/4 l,5,11-5,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Monroes Hollow (IRE),J Coen,3,Peter Fahey,6th,15 l,6,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Seskin Flash (IRE),C M Quirke,5,P Carey,5th,2 3/4 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Dream Shaper (IRE),R P Geoghegan,7,I Madden,4th,3 1/2 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,His Nibs (IRE),K E Buckley,0,G P Cromwell,3rd,26 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Addragoole (IRE),S W Flanagan,0,G P Cromwell,2nd,6 l,5,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:03,N/A,15:03,Yielding To Soft,2m 90y,Sporting Glory (IRE),Sam Ewing,0,G Elliott,1st,N/A,8,11-12,-,True,148,16
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,Battle It Out (IRE),C G O'Dwyer,5,C O'Dwyer,UR,N/A,6,11-9h,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,The Other Mozzie (IRE),K E Buckley,0,G P Cromwell,UR,N/A,5,11-9,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,Little Mixup (IRE),M M McDonagh,0,D Hogan,RR,N/A,7,11-5,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,Metersandmasks (IRE),P T Enright,0,Padraig Butler,6th,2 3/4 l,8,11-5,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,Canal End (IRE),S D Torrens,0,Peter Fahey,5th,3 3/4 l,6,11-5,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,One Last Tango (IRE),M P Walsh,0,E Griffin,4th,9 l,7,11-5,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,Will Do (IRE),Sam Ewing,0,G Elliott,3rd,4 1/4 l,7,11-5,-,True,148,17
Galway Racing Results | 26th October 2024 15:38,N/A,15:38,Yielding To Soft,2m 2f 54y,Sea Music (IRE),D Meyler,0,E Mullins,2nd,8 1/2 l,6,11-9t,-,True,148,17
