track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Onlyamatteroftime (IRE),Shane O'Callaghan,7,N. Madden,RO,N/A,7,11-10,105,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Talk of the Town (IRE),K. C. Sexton,0,E. Sheehy,PU,N/A,8,11-10,105,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,New Ross (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,PU,N/A,7,12-0,109,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Benruben (IRE),T. Joseph Kelly,7,Leonard Paul Flynn,PU,N/A,10,11-6t,101,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Wojood,D. King,5,Denis Hogan,PU,N/A,7,12-0tp,109,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Ena Baie (FR),Gavin Peter Brouder,5,Conor O'Dwyer,BD,N/A,9,11-12,107,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Rebel Waltz (IRE),D. E. Mullins,0,T. J. Nagle Jnr,12th,41 l,9,11-4p,99,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Fox Fearless,R. A. Doyle,0,Oliver McKiernan,11th,24 l,7,11-5,100,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Eighty Eight (IRE),Keith Donoghue,0,Ross O'Sullivan,10th,2 1/4 l,4,11-6,104,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Golden Sandbanks,Sean Flanagan,0,Paul W. Flynn,9th,3 1/2 l,6,11-4tp,99,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Gekkota (FR),S. F. O'Keeffe,0,T. J. O'Mara,8th,1 l,7,11-8,103,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Vale Of Glory (IRE),Eoin G. Kelly,7,Adrian Murray,7th,1 3/4 l,8,11-11,106,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Garcon Doux (IRE),B. Hayes,0,Philip Fenton,6th,3 l,7,11-7,102,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Search for a Myth (IRE),Phillip Enright,0,Robert Tyner,5th,1/2 l,6,11-6h,101,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,4th,2 1/4 l,7,11-9,104,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Betty Dutton (IRE),D. J. O'Keeffe,0,E. J. O'Grady,3rd,Neck,5,11-8,103,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,King Ferdinand (IRE),E. Walsh,3,Eugene M. O'Sullivan,2nd,Head,7,11-8t,103,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Rathnaleen Kal (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,1st,N/A,6,11-7,102,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Onlyamatteroftime (IRE),Shane O'Callaghan,7,N. Madden,RO,N/A,7,11-10,105,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Talk of the Town (IRE),K. C. Sexton,0,E. Sheehy,PU,N/A,8,11-10,105,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,New Ross (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,PU,N/A,7,12-0,109,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Benruben (IRE),T. Joseph Kelly,7,Leonard Paul Flynn,PU,N/A,10,11-6t,101,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Wojood,D. King,5,Denis Hogan,PU,N/A,7,12-0tp,109,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Ena Baie (FR),Gavin Peter Brouder,5,Conor O'Dwyer,BD,N/A,9,11-12,107,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Rebel Waltz (IRE),D. E. Mullins,0,T. J. Nagle Jnr,12th,41 l,9,11-4p,99,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Fox Fearless,R. A. Doyle,0,Oliver McKiernan,11th,24 l,7,11-5,100,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Eighty Eight (IRE),Keith Donoghue,0,Ross O'Sullivan,10th,2 1/4 l,4,11-6,104,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Golden Sandbanks,Sean Flanagan,0,Paul W. Flynn,9th,3 1/2 l,6,11-4tp,99,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Gekkota (FR),S. F. O'Keeffe,0,T. J. O'Mara,8th,1 l,7,11-8,103,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Vale Of Glory (IRE),Eoin G. Kelly,7,Adrian Murray,7th,1 3/4 l,8,11-11,106,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Garcon Doux (IRE),B. Hayes,0,Philip Fenton,6th,3 l,7,11-7,102,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Search for a Myth (IRE),Phillip Enright,0,Robert Tyner,5th,1/2 l,6,11-6h,101,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,4th,2 1/4 l,7,11-9,104,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Betty Dutton (IRE),D. J. O'Keeffe,0,E. J. O'Grady,3rd,Neck,5,11-8,103,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,King Ferdinand (IRE),E. Walsh,3,Eugene M. O'Sullivan,2nd,Head,7,11-8t,103,True,72,13
Cork Racing Results | 7th August 2023 16:53,N/A,16:53,Good To Yielding (Good In Places),2m 2f 150y,Rathnaleen Kal (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,1st,N/A,6,11-7,102,True,72,13
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Two Mile House (IRE),Mr P. J. Cody,7,Kieran Purcell,17th,99 l,4,11-11t1,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Madhenry (IRE),Mr H. E. Sexton,7,Fintan Feeney,16th,4 l,5,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Magical Lass (IRE),Mr D. J. Walsh,7,Brendan Maurice Walsh,15th,20 l,6,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Cheerful Charlie (IRE),Mr A. P. Ryan,7,A. Slattery,14th,31 l,5,12-0t1,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Frisco Babe (IRE),Mr M. J. O'Connor,0,Michael John O'Connor,13th,20 l,5,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Run Molly Run (IRE),Mr R. W. Barron,7,Charles Byrnes,12th,28 l,5,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Watergrangedreamer (IRE),Mr D. A. McCarthy,7,Eoin Christopher McCarthy,11th,2 1/4 l,6,12-0p1,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Final Edgar (IRE),Mr D. Higgins,7,Roger McGrath,10th,2 3/4 l,5,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Answering (IRE),Mr D. Doyle,7,Timothy Doyle,9th,1/2 l,8,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Mr Dibbs (IRE),Mr D. G. Lavery,0,Adrian Murray,8th,3 1/4 l,4,11-11,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Silver King (IRE),Mr J. C. Barry,3,Oliver McKiernan,7th,4 1/2 l,7,12-0t,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Silas Marner (IRE),Mr Pat Taaffe,7,Charles O'Brien,6th,1 1/2 l,6,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,The Shantou King (IRE),Mr D. O'Connor,0,Aengus King,5th,1/2 l,6,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Menrva (IRE),Mr C. J. Shine,7,Maike Magnussen,4th,9 l,4,11-4,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Royal Moon (IRE),Ms R. M. O'Grady,7,E. J. O'Grady,3rd,1 l,5,12-0t,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Sonny Dont Go Away (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,1 1/4 l,7,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Youre A Derry Girl (IRE),Miss E. Cody,7,S. G. Walsh,1st,N/A,6,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Two Mile House (IRE),Mr P. J. Cody,7,Kieran Purcell,17th,99 l,4,11-11t1,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Madhenry (IRE),Mr H. E. Sexton,7,Fintan Feeney,16th,4 l,5,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Magical Lass (IRE),Mr D. J. Walsh,7,Brendan Maurice Walsh,15th,20 l,6,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Cheerful Charlie (IRE),Mr A. P. Ryan,7,A. Slattery,14th,31 l,5,12-0t1,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Frisco Babe (IRE),Mr M. J. O'Connor,0,Michael John O'Connor,13th,20 l,5,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Run Molly Run (IRE),Mr R. W. Barron,7,Charles Byrnes,12th,28 l,5,11-7,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Watergrangedreamer (IRE),Mr D. A. McCarthy,7,Eoin Christopher McCarthy,11th,2 1/4 l,6,12-0p1,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Final Edgar (IRE),Mr D. Higgins,7,Roger McGrath,10th,2 3/4 l,5,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Answering (IRE),Mr D. Doyle,7,Timothy Doyle,9th,1/2 l,8,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Mr Dibbs (IRE),Mr D. G. Lavery,0,Adrian Murray,8th,3 1/4 l,4,11-11,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Silver King (IRE),Mr J. C. Barry,3,Oliver McKiernan,7th,4 1/2 l,7,12-0t,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Silas Marner (IRE),Mr Pat Taaffe,7,Charles O'Brien,6th,1 1/2 l,6,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,The Shantou King (IRE),Mr D. O'Connor,0,Aengus King,5th,1/2 l,6,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Menrva (IRE),Mr C. J. Shine,7,Maike Magnussen,4th,9 l,4,11-4,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Royal Moon (IRE),Ms R. M. O'Grady,7,E. J. O'Grady,3rd,1 l,5,12-0t,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Sonny Dont Go Away (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,1 1/4 l,7,12-0,-,True,72,14
Cork Racing Results | 7th August 2023 17:28,N/A,17:28,Good To Yielding (Good In Places),2m 2f 150y,Youre A Derry Girl (IRE),Miss E. Cody,7,S. G. Walsh,1st,N/A,6,11-7,-,True,72,14
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,Bofa (IRE),L. F. Roche,0,J. J. Feane,4th,19 l,2,8-11,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,Launch (USA),G. P. Halpin,0,Adrian Murray,3rd,1/2 l,2,9-2,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,The Caribbean (IRE),Ryan Moore,0,Aidan O'Brien,2nd,3/4 l,2,9-1b,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,Rush Queen (IRE),C. J. MacRedmond,5,Adrian McGuinness,1st,N/A,2,9-2,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,Bofa (IRE),L. F. Roche,0,J. J. Feane,4th,19 l,2,8-11,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,Launch (USA),G. P. Halpin,0,Adrian Murray,3rd,1/2 l,2,9-2,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,The Caribbean (IRE),Ryan Moore,0,Aidan O'Brien,2nd,3/4 l,2,9-1b,-,True,72,15
Naas Racing Results | 7th August 2023 14:15,N/A,14:15,Soft (Yielding In Places),5f,Rush Queen (IRE),C. J. MacRedmond,5,Adrian McGuinness,1st,N/A,2,9-2,-,True,72,15
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Peerless (IRE),Wesley Joyce,4,Denis Hogan,24th,1 1/4 l,5,9-3tb,50,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Wild Eyed Girl (IRE),D. N. Curran,7,Brian Nolan,23rd,Neck,4,9-8,55,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Zig Zag Zyggy (IRE),Adam Caffrey,2,Adrian McGuinness,22nd,3/4 l,8,9-5,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Ledger (IRE),H. J. Horgan,4,Paul Traynor,21st,4 1/4 l,3,9-12,62,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Gidwa (IRE),Cillian McConnell,7,John McConnell,20th,1 1/4 l,4,9-7,54,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Pretty Boy Floyd (IRE),S. McCullagh,0,Mrs Sarah Dawson,19th,3/4 l,8,10-0b,61,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Forever Dreaming (USA),J. Coen,2,Muredach Kelly,18th,3/4 l,4,9-13v1,60,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Eruption (IRE),J. Kearney,4,Matthew J. Smith,17th,1 3/4 l,4,9-5b,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Catherine Chroi (IRE),R. M. Mulligan,7,Ms Claire O'Connell,16th,1 l,5,9-1b,48,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Hot Whispers (IRE),S. D. Bowen,4,Denis Hogan,15th,Head,4,9-0tp,47,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Zaghraf,P. A. Harnett,2,Leanne Breen,14th,Neck,4,9-2t1,49,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Conversant (IRE),K. S. McHugh,7,Denis Hogan,13th,Head,8,9-13tb,60,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Even Flow (IRE),C. Geerdharry,7,R. K. Watson,12th,1 1/2 l,5,9-7p1,54,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Sister Lola (IRE),R. Whearty,4,James McAuley,11th,Neck,6,9-1tp,48,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Stanhope (USA),Siobhan Rutledge,0,John McConnell,10th,Short Head,9,9-6,53,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Coco Hill (IRE),Amy Jo Hayes,0,Michael Fenton,9th,1 1/4 l,3,9-8p,58,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Alqabeela (IRE),D. E. Sheehy,0,M. C. Grassick,8th,1 1/4 l,5,9-0t,46,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Eriskay (IRE),C. Horgan,7,D. K. Weld,7th,3/4 l,4,9-4tb,51,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Navorrosse (IRE),M. W. Hassett,7,James McAuley,6th,1/2 l,6,9-0,47,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Sense Of Security,S. P. Bird,7,John Larkin,5th,3/4 l,4,9-5,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Step Back In Time (IRE),C. J. MacRedmond,0,Christopher David Timmons,4th,1 1/4 l,5,9-0p1,45,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,3rd,1/2 l,5,9-9tb,56,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,At Long Last (IRE),J. A. Powell,0,Andrew Oliver,2nd,1 1/4 l,4,9-9,56,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Teddy Boy (IRE),J. J. G. Ryan,4,Edward Lynam,1st,N/A,8,9-5,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Peerless (IRE),Wesley Joyce,4,Denis Hogan,24th,1 1/4 l,5,9-3tb,50,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Wild Eyed Girl (IRE),D. N. Curran,7,Brian Nolan,23rd,Neck,4,9-8,55,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Zig Zag Zyggy (IRE),Adam Caffrey,2,Adrian McGuinness,22nd,3/4 l,8,9-5,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Ledger (IRE),H. J. Horgan,4,Paul Traynor,21st,4 1/4 l,3,9-12,62,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Gidwa (IRE),Cillian McConnell,7,John McConnell,20th,1 1/4 l,4,9-7,54,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Pretty Boy Floyd (IRE),S. McCullagh,0,Mrs Sarah Dawson,19th,3/4 l,8,10-0b,61,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Forever Dreaming (USA),J. Coen,2,Muredach Kelly,18th,3/4 l,4,9-13v1,60,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Eruption (IRE),J. Kearney,4,Matthew J. Smith,17th,1 3/4 l,4,9-5b,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Catherine Chroi (IRE),R. M. Mulligan,7,Ms Claire O'Connell,16th,1 l,5,9-1b,48,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Hot Whispers (IRE),S. D. Bowen,4,Denis Hogan,15th,Head,4,9-0tp,47,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Zaghraf,P. A. Harnett,2,Leanne Breen,14th,Neck,4,9-2t1,49,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Conversant (IRE),K. S. McHugh,7,Denis Hogan,13th,Head,8,9-13tb,60,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Even Flow (IRE),C. Geerdharry,7,R. K. Watson,12th,1 1/2 l,5,9-7p1,54,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Sister Lola (IRE),R. Whearty,4,James McAuley,11th,Neck,6,9-1tp,48,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Stanhope (USA),Siobhan Rutledge,0,John McConnell,10th,Short Head,9,9-6,53,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Coco Hill (IRE),Amy Jo Hayes,0,Michael Fenton,9th,1 1/4 l,3,9-8p,58,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Alqabeela (IRE),D. E. Sheehy,0,M. C. Grassick,8th,1 1/4 l,5,9-0t,46,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Eriskay (IRE),C. Horgan,7,D. K. Weld,7th,3/4 l,4,9-4tb,51,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Navorrosse (IRE),M. W. Hassett,7,James McAuley,6th,1/2 l,6,9-0,47,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Sense Of Security,S. P. Bird,7,John Larkin,5th,3/4 l,4,9-5,52,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Step Back In Time (IRE),C. J. MacRedmond,0,Christopher David Timmons,4th,1 1/4 l,5,9-0p1,45,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,3rd,1/2 l,5,9-9tb,56,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,At Long Last (IRE),J. A. Powell,0,Andrew Oliver,2nd,1 1/4 l,4,9-9,56,True,72,16
Naas Racing Results | 7th August 2023 14:50,N/A,14:50,Soft (Yielding In Places),5f 205y,Teddy Boy (IRE),J. J. G. Ryan,4,Edward Lynam,1st,N/A,8,9-5,52,True,72,16
Naas Racing Results | 7th August 2023 15:25,N/A,15:25,Soft (Yielding In Places),5f 205y,Shimmerz (IRE),Siobhan Rutledge,3,Charles O'Brien,7th,1 1/2 l,5,8-7h1,61,True,72,17
Naas Racing Results | 7th August 2023 15:25,N/A,15:25,Soft (Yielding In Places),5f 205y,Arthur's Victory (IRE),Seamie Heffernan,0,James A. Nash,6th,3 1/4 l,5,8-13,70,True,72,17
Naas Racing Results | 7th August 2023 15:25,N/A,15:25,Soft (Yielding In Places),5f 205y,Ostraka (IRE),R. P. Whelan,0,M. Halford & T. Collins,5th,2 1/2 l,3,9-12,86,True,72,17
Naas Racing Results | 7th August 2023 15:25,N/A,15:25,Soft (Yielding In Places),5f 205y,Siesta Beach,L. F. Roche,0,M. D. O'Callaghan,4th,Short Head,4,9-1b,72,True,72,17
Naas Racing Results | 7th August 2023 15:25,N/A,15:25,Soft (Yielding In Places),5f 205y,Sioux Spirit (IRE),William James Lee,0,K. J. Condon,3rd,1/2 l,3,9-13v,87,True,72,17
Naas Racing Results | 7th August 2023 15:25,N/A,15:25,Soft (Yielding In Places),5f 205y,Wave Machine (FR),Wesley Joyce,7,John Patrick Murtagh,2nd,3 l,3,9-9p,83,True,72,17
