track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,All Those Years,J. S. McGarvey,0,Charles Byrnes,6th,4 1/2 l,9,11-6,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,One Last Tango (IRE),S. D. Torrens,0,Eoin Griffin,5th,3 3/4 l,6,11-7,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,Ifiwerearichman (IRE),S. F. O'Keeffe,0,Paul Nolan,4th,3/4 l,5,11-5h,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,Cask Mate (IRE),Sean Flanagan,0,Noel Meade,3rd,1 1/4 l,10,12-0t,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,I A Connect (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,Neck,8,11-12,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,As Tears Go by,Corey McGivern,7,Gordon Elliott,1st,N/A,5,11-4,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,Dark Voyager (IRE),Conor Orr,0,Anthony McCann,PU,N/A,6,11-4p,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,All Those Years,J. S. McGarvey,0,Charles Byrnes,6th,4 1/2 l,9,11-6,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,One Last Tango (IRE),S. D. Torrens,0,Eoin Griffin,5th,3 3/4 l,6,11-7,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,Ifiwerearichman (IRE),S. F. O'Keeffe,0,Paul Nolan,4th,3/4 l,5,11-5h,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,Cask Mate (IRE),Sean Flanagan,0,Noel Meade,3rd,1 1/4 l,10,12-0t,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,I A Connect (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,Neck,8,11-12,-,True,57,24
Wexford Racing Results | 31st May 2023 17:30,N/A,17:30,Good To Yielding,2m 1f 100y,As Tears Go by,Corey McGivern,7,Gordon Elliott,1st,N/A,5,11-4,-,True,57,24
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Wee Jerry (IRE),B. W. Harvey,5,Neill McCluskey,PU,N/A,7,11-0tb1,81,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Portarlington (IRE),D. J. O'Keeffe,0,David Kenneth Budds,F,N/A,4,11-8t,95,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Image Du Large (FR),J. J. Slevin,0,Colin Motherway,F,N/A,5,11-6,87,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Saddle In the Rain (IRE),R. J. Condon,5,D. J. Barry,11th,26 l,6,11-6tp,87,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Cathys Quest (IRE),J. P. Shinnick,7,Terence O'Brien,10th,7 1/2 l,6,11-4,85,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,The Cooleen (IRE),D. E. Mullins,0,J. P. Flavin,9th,5 l,4,11-5,92,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Katzoff (IRE),K. E. Buckley,3,J. Morrison,8th,1 1/4 l,6,10-13,80,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Anstand (GER),J. P. O'Sullivan,5,Paul Nolan,7th,3/4 l,6,11-7b,88,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Powerful Blue (IRE),Sean Flanagan,0,E. Sheehy,6th,3 1/4 l,6,10-13t,80,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Moyvilla Lass (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,5th,3/4 l,5,11-8,89,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Grizabella (IRE),J. S. McGarvey,0,John Joseph Hanlon,4th,Short Head,4,11-3,90,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Chapel Street (IRE),M. P. O'Connor,5,J. Hennessy,3rd,4 l,8,11-12,93,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Warm In Gorey (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,2 1/2 l,5,11-8,89,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Search for a Myth (IRE),Phillip Enright,0,Robert Tyner,1st,N/A,6,11-11h,92,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Wee Jerry (IRE),B. W. Harvey,5,Neill McCluskey,PU,N/A,7,11-0tb1,81,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Portarlington (IRE),D. J. O'Keeffe,0,David Kenneth Budds,F,N/A,4,11-8t,95,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Image Du Large (FR),J. J. Slevin,0,Colin Motherway,F,N/A,5,11-6,87,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Saddle In the Rain (IRE),R. J. Condon,5,D. J. Barry,11th,26 l,6,11-6tp,87,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Cathys Quest (IRE),J. P. Shinnick,7,Terence O'Brien,10th,7 1/2 l,6,11-4,85,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,The Cooleen (IRE),D. E. Mullins,0,J. P. Flavin,9th,5 l,4,11-5,92,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Katzoff (IRE),K. E. Buckley,3,J. Morrison,8th,1 1/4 l,6,10-13,80,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Anstand (GER),J. P. O'Sullivan,5,Paul Nolan,7th,3/4 l,6,11-7b,88,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Powerful Blue (IRE),Sean Flanagan,0,E. Sheehy,6th,3 1/4 l,6,10-13t,80,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Moyvilla Lass (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,5th,3/4 l,5,11-8,89,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Grizabella (IRE),J. S. McGarvey,0,John Joseph Hanlon,4th,Short Head,4,11-3,90,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Chapel Street (IRE),M. P. O'Connor,5,J. Hennessy,3rd,4 l,8,11-12,93,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Warm In Gorey (IRE),S. D. Torrens,0,P. J. Rothwell,2nd,2 1/2 l,5,11-8,89,True,57,25
Wexford Racing Results | 31st May 2023 18:00,N/A,18:00,Good To Yielding,2m 1f 100y,Search for a Myth (IRE),Phillip Enright,0,Robert Tyner,1st,N/A,6,11-11h,92,True,57,25
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,O Faolains Lass (IRE),Sean Flanagan,0,N. Dooly,PU,N/A,7,11-2p1,83,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Papa Barns (IRE),B. W. Harvey,5,J. T. R. Dreaper,PU,N/A,6,11-3,84,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Shining Aitch,C. D. Maxwell,0,T. G. McCourt,PU,N/A,6,11-5,86,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Thirsty Thursday (USA),J. J. Slevin,0,Colin Motherway,11th,32 l,6,11-2p1,83,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Lonracha (IRE),D. P. Maxwell,7,Andrew McNamara,10th,21 l,6,11-6,87,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Flashthelights (IRE),Denis O'Regan,0,S. McConville,9th,6 l,7,11-3tp1,84,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Monoxide,J. P. O'Sullivan,5,Neill McCluskey,8th,1 1/4 l,8,10-13tb,80,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Littel Flour (IRE),S. Fitzgerald,3,Declan Queally,7th,1 l,6,12-0ht,95,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Anyway (GER),D. J. O'Keeffe,0,David Kenneth Budds,6th,6 l,5,11-12,93,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Breagagh (IRE),M. Gault,7,S. Michael Millar,5th,7 l,5,11-10p,91,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Lakomet Of Saints (FR),D. E. Mullins,0,J. P. Flavin,4th,2 1/2 l,5,11-8,89,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Staging Post (IRE),Phillip Enright,0,Mark McNiff,3rd,Head,7,11-9tb,90,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Be My Hero (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,6 l,8,10-13,80,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Away To Milan (IRE),S. D. Torrens,0,P. J. Rothwell,1st,N/A,5,11-12,93,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,O Faolains Lass (IRE),Sean Flanagan,0,N. Dooly,PU,N/A,7,11-2p1,83,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Papa Barns (IRE),B. W. Harvey,5,J. T. R. Dreaper,PU,N/A,6,11-3,84,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Shining Aitch,C. D. Maxwell,0,T. G. McCourt,PU,N/A,6,11-5,86,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Thirsty Thursday (USA),J. J. Slevin,0,Colin Motherway,11th,32 l,6,11-2p1,83,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Lonracha (IRE),D. P. Maxwell,7,Andrew McNamara,10th,21 l,6,11-6,87,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Flashthelights (IRE),Denis O'Regan,0,S. McConville,9th,6 l,7,11-3tp1,84,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Monoxide,J. P. O'Sullivan,5,Neill McCluskey,8th,1 1/4 l,8,10-13tb,80,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Littel Flour (IRE),S. Fitzgerald,3,Declan Queally,7th,1 l,6,12-0ht,95,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Anyway (GER),D. J. O'Keeffe,0,David Kenneth Budds,6th,6 l,5,11-12,93,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Breagagh (IRE),M. Gault,7,S. Michael Millar,5th,7 l,5,11-10p,91,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Lakomet Of Saints (FR),D. E. Mullins,0,J. P. Flavin,4th,2 1/2 l,5,11-8,89,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Staging Post (IRE),Phillip Enright,0,Mark McNiff,3rd,Head,7,11-9tb,90,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Be My Hero (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,6 l,8,10-13,80,True,57,26
Wexford Racing Results | 31st May 2023 18:30,N/A,18:30,Good To Yielding,2m 1f 100y,Away To Milan (IRE),S. D. Torrens,0,P. J. Rothwell,1st,N/A,5,11-12,93,True,57,26
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Phils Choice (IRE),Patrick O'Hanlon,5,P. J. Rothwell,8th,1 l,5,11-5,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Conyers Hill (IRE),S. F. O'Keeffe,0,Paul Nolan,7th,1/2 l,5,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Gino Drummer Boy (IRE),Jamie Hayes,7,Gordon Elliott,6th,3/4 l,7,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Viceregent,Phillip Enright,0,Charles Byrnes,5th,1/2 l,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Attaboyarchie (IRE),Keith Donoghue,0,Dermot Anthony McLoughlin,4th,3/4 l,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Bob The Builder (IRE),Mr R. A. Berry,7,J. A. Berry,3rd,6 l,6,11-12p1,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,High City Roller (IRE),Sean Flanagan,0,Miss Elizabeth Doyle,2nd,Neck,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Hartur D'arc (FR),D. J. O'Keeffe,0,T. Gibney,1st,N/A,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Phils Choice (IRE),Patrick O'Hanlon,5,P. J. Rothwell,8th,1 l,5,11-5,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Conyers Hill (IRE),S. F. O'Keeffe,0,Paul Nolan,7th,1/2 l,5,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Gino Drummer Boy (IRE),Jamie Hayes,7,Gordon Elliott,6th,3/4 l,7,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Viceregent,Phillip Enright,0,Charles Byrnes,5th,1/2 l,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Attaboyarchie (IRE),Keith Donoghue,0,Dermot Anthony McLoughlin,4th,3/4 l,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Bob The Builder (IRE),Mr R. A. Berry,7,J. A. Berry,3rd,6 l,6,11-12p1,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,High City Roller (IRE),Sean Flanagan,0,Miss Elizabeth Doyle,2nd,Neck,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:00,N/A,19:00,Good To Yielding,2m 4f,Hartur D'arc (FR),D. J. O'Keeffe,0,T. Gibney,1st,N/A,6,11-12,-,True,57,27
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Ripplesinthesand (IRE),M. Laubies,7,Ms Margaret Mullins,UR,N/A,6,11-0,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Dragon Rock (IRE),Shane Fenelon,7,John Joseph Hanlon,4th,8 l,7,11-5,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Dovlator (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,3rd,12 l,7,11-5,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Jungle Prose (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,7 l,8,11-3p,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Joyeux Machin (FR),Sean Flanagan,0,Paul Nolan,1st,N/A,6,11-5t,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Ripplesinthesand (IRE),M. Laubies,7,Ms Margaret Mullins,UR,N/A,6,11-0,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Dragon Rock (IRE),Shane Fenelon,7,John Joseph Hanlon,4th,8 l,7,11-5,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Dovlator (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,3rd,12 l,7,11-5,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Jungle Prose (IRE),D. J. Gilligan,7,Gordon Elliott,2nd,7 l,8,11-3p,-,True,57,28
Wexford Racing Results | 31st May 2023 19:30,N/A,19:30,Good To Yielding,3m,Joyeux Machin (FR),Sean Flanagan,0,Paul Nolan,1st,N/A,6,11-5t,-,True,57,28
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Champagne Monarch (IRE),S. F. O'Keeffe,0,Sean Aherne,PU,N/A,8,11-7,95,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Southerner (IRE),Mr W. T. Cronin,7,William Cronin,PU,N/A,13,11-9h,97,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Townhill Penny (IRE),B. W. Harvey,5,Gordon Elliott,12th,10 l,7,11-9p,97,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Crimson Chief (IRE),K. E. Buckley,3,J. Morrison,11th,2 1/2 l,11,11-8,96,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Ballinclay Court (IRE),J. J. Slevin,0,N. Dooly,10th,Head,6,11-2p1,90,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Man After Midnight (IRE),Sarah Kavanagh,7,Louise G. Lyons,9th,1 1/2 l,6,10-12,86,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Aide De Camp (IRE),Mr E. M. O'Sullivan,7,Robert Widger,8th,2 1/2 l,5,11-11,99,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Twoplustwo Equals (IRE),Sean Flanagan,0,P. Tobin,7th,Neck,6,11-6,94,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Navigator Jack (IRE),Keith Donoghue,0,Eoin Griffin,6th,Neck,6,12-0t,102,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Complete Fantasy (IRE),Denis O'Regan,0,Miss Jennifer Anne Lynch,5th,7 l,6,11-7tb,95,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Cocoplum (IRE),Shane O'Callaghan,7,Colin A. McBratney,4th,6 1/2 l,6,11-13,101,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Dorans River (IRE),Patrick O'Hanlon,5,P. J. Rothwell,3rd,1 3/4 l,13,11-2,90,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Gotthenod (IRE),Mr T. P. Harney,7,Ross O'Sullivan,2nd,1/2 l,9,11-12,100,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Midnight Our Fred (IRE),H. Morgan,3,J. P. Flavin,1st,N/A,6,11-12,100,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Champagne Monarch (IRE),S. F. O'Keeffe,0,Sean Aherne,PU,N/A,8,11-7,95,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Southerner (IRE),Mr W. T. Cronin,7,William Cronin,PU,N/A,13,11-9h,97,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Townhill Penny (IRE),B. W. Harvey,5,Gordon Elliott,12th,10 l,7,11-9p,97,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Crimson Chief (IRE),K. E. Buckley,3,J. Morrison,11th,2 1/2 l,11,11-8,96,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Ballinclay Court (IRE),J. J. Slevin,0,N. Dooly,10th,Head,6,11-2p1,90,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Man After Midnight (IRE),Sarah Kavanagh,7,Louise G. Lyons,9th,1 1/2 l,6,10-12,86,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Aide De Camp (IRE),Mr E. M. O'Sullivan,7,Robert Widger,8th,2 1/2 l,5,11-11,99,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Twoplustwo Equals (IRE),Sean Flanagan,0,P. Tobin,7th,Neck,6,11-6,94,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Navigator Jack (IRE),Keith Donoghue,0,Eoin Griffin,6th,Neck,6,12-0t,102,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Complete Fantasy (IRE),Denis O'Regan,0,Miss Jennifer Anne Lynch,5th,7 l,6,11-7tb,95,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Cocoplum (IRE),Shane O'Callaghan,7,Colin A. McBratney,4th,6 1/2 l,6,11-13,101,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Dorans River (IRE),Patrick O'Hanlon,5,P. J. Rothwell,3rd,1 3/4 l,13,11-2,90,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Gotthenod (IRE),Mr T. P. Harney,7,Ross O'Sullivan,2nd,1/2 l,9,11-12,100,True,57,29
Wexford Racing Results | 31st May 2023 20:00,N/A,20:00,Good To Yielding,3m,Midnight Our Fred (IRE),H. Morgan,3,J. P. Flavin,1st,N/A,6,11-12,100,True,57,29
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Millers Road (IRE),Mr A. Harvey,7,T. R. Hughes,PU,N/A,6,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,The Tiger Tank (IRE),Mr Charlie Mullins,7,W. J. Lanigan,13th,14 l,6,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Cois Na Tine (IRE),Mr B. J. Walsh,7,Barry John Walsh,12th,18 l,5,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Pipers Boreen (IRE),Mr Finian Maguire,0,Shane Nolan,11th,1 3/4 l,5,11-7,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Robin Des Boston (IRE),Mr A. O. Harrington,7,Sabrina J. Harty,10th,7 1/2 l,5,11-7ht1,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Boblere (IRE),A. J. Roche,7,E. Sheehy,9th,21 l,5,11-7,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Grannys Yaris (IRE),Mr H. C. Swan,5,Nigel Slevin,8th,7 l,6,11-7,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,It's Not Ideal (IRE),Mr T. Hamilton,0,Anthony Mullins,7th,3 1/4 l,6,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Lummi Island (IRE),Mr R. Sugrue,7,D. Deacon,6th,3 3/4 l,5,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,The Derry Girl (IRE),Mr S. Cleary,7,Peter Croke,5th,6 l,7,11-7,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Full Metal Jacket,Mr B. O'Neill,0,Emmet Mullins,4th,8 1/2 l,5,12-0h,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Minella Mate (IRE),Mr J. C. Barry,3,John J. Nallen,3rd,2 1/2 l,5,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Down Around (IRE),Mr J. W. Hendrick,7,N. Dooly,2nd,Short Head,6,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Mousey Brown (IRE),Mr D. McGill,7,Dermot Anthony McLoughlin,1st,N/A,6,11-7t,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,Millers Road (IRE),Mr A. Harvey,7,T. R. Hughes,PU,N/A,6,12-0,-,True,57,30
Wexford Racing Results | 31st May 2023 20:30,N/A,20:30,Good To Yielding,2m 4f,The Tiger Tank (IRE),Mr Charlie Mullins,7,W. J. Lanigan,13th,14 l,6,12-0,-,True,57,30
