track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Star Of Mayo,G B Noonan,5,E McNamara,12th,11 l,4,11-7,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Shahbaz (IRE),K M Donoghue,0,G P Cromwell,11th,Neck,4,11-7,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Saidekelly (IRE),M P O'Connor,3,J J Mangan,10th,1 l,4,10-6,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Avandra (IRE),S D Torrens,0,P J Rothwell,9th,2 1/4 l,4,10-6,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Halla Paroiste (IRE),C P Millar,7,C Collins,8th,2 1/2 l,4,10-13,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Cape Bridgewater (IRE),J S McGarvey,0,Gerard O'Leary,7th,3/4 l,4,11-7,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Happy Me (IRE),D J O'Keeffe,0,W J Burke,6th,1 3/4 l,4,10-13,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Oh So Charming,S Fitzgerald,0,D Queally,5th,1 1/2 l,4,11-7ht1,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Dumb Love (IRE),Cian Cullinan,7,Gerard O'Leary,4th,3 3/4 l,4,11-0,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Grann's Boy (IRE),S W Flanagan,0,H Rogers,3rd,1 1/2 l,4,11-7,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Malbay Madness (IRE),D Meyler,0,E Mullins,2nd,2 1/4 l,4,11-7h,-,True,109,11
Tramore Racing Results | 21st April 2024 14:05,N/A,14:05,Yielding,2m 130y,Barrier (FR),J W Kennedy,0,G Elliott,1st,N/A,4,10-6,-,True,109,11
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Grooveykindoflove (FR),Rachael Blackmore,0,H De Bromhead,NR,N/A,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Shanlaylin (IRE),R J Condon,5,P A Fahy,15th,13 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Calypso Bluebird (IRE),G B Noonan,5,E McCarthy,14th,6 l,5,10-13t1,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Ar Nos Na Gaoithe (IRE),S D Torrens,0,P J Rothwell,13th,2 1/4 l,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,So Fortunate (IRE),S F O'Keeffe,0,J P O'Keeffe,12th,3 l,7,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Miss Aytan (IRE),Mr J L Gleeson,5,John E & Kiely,11th,4 1/4 l,7,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Dear Ryta (IRE),Mr L Burke-Ott,7,A Ott,10th,3/4 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Thequeenof Spikle (IRE),M P O'Connor,3,J J Mangan,9th,3 l,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Broomfield Gale (IRE),D J O'Keeffe,0,R Murphy,8th,Short Head,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Doyen Flyer (IRE),B Hayes,0,J Barcoe,7th,2 1/4 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Buttoned Up (IRE),Sam Ewing,0,Peter Fahey,6th,2 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Mazza's Mahler (IRE),D J Gilligan,5,Barry J Fitzgerald,5th,3 1/4 l,8,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Magic Dawn (IRE),J W Kennedy,0,G Elliott,4th,3/4 l,7,11-7,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Russellsbelle (IRE),P T Enright,0,Con McSweeney,3rd,3/4 l,7,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Pampar Lady (IRE),S W Flanagan,0,G P Cromwell,2nd,1/2 l,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Gaillimh A Run (IRE),A P Heskin,0,J Queally,1st,N/A,7,11-7,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Grooveykindoflove (FR),Rachael Blackmore,0,H De Bromhead,NR,N/A,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Shanlaylin (IRE),R J Condon,5,P A Fahy,15th,13 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Calypso Bluebird (IRE),G B Noonan,5,E McCarthy,14th,6 l,5,10-13t1,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Ar Nos Na Gaoithe (IRE),S D Torrens,0,P J Rothwell,13th,2 1/4 l,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,So Fortunate (IRE),S F O'Keeffe,0,J P O'Keeffe,12th,3 l,7,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Miss Aytan (IRE),Mr J L Gleeson,5,John E & Kiely,11th,4 1/4 l,7,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Dear Ryta (IRE),Mr L Burke-Ott,7,A Ott,10th,3/4 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Thequeenof Spikle (IRE),M P O'Connor,3,J J Mangan,9th,3 l,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Broomfield Gale (IRE),D J O'Keeffe,0,R Murphy,8th,Short Head,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Doyen Flyer (IRE),B Hayes,0,J Barcoe,7th,2 1/4 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Buttoned Up (IRE),Sam Ewing,0,Peter Fahey,6th,2 l,6,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Mazza's Mahler (IRE),D J Gilligan,5,Barry J Fitzgerald,5th,3 1/4 l,8,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Magic Dawn (IRE),J W Kennedy,0,G Elliott,4th,3/4 l,7,11-7,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Russellsbelle (IRE),P T Enright,0,Con McSweeney,3rd,3/4 l,7,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Pampar Lady (IRE),S W Flanagan,0,G P Cromwell,2nd,1/2 l,5,10-13,-,True,109,12
Tramore Racing Results | 21st April 2024 14:40,N/A,14:40,Yielding,2m 130y,Gaillimh A Run (IRE),A P Heskin,0,J Queally,1st,N/A,7,11-7,-,True,109,12
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Kings Prince,Shane Fenelon,4,E Sheehy,PU,N/A,6,11-12,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Pirate Island (IRE),Niall Moore,4,P Fenton,PU,N/A,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Pat The Carraig (IRE),E M O'Sullivan,4,Dermot P O'Brien,PU,N/A,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Diamond Duke (IRE),G Brouder,0,M F Morris,7th,29 l,5,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,On The Tide (IRE),C M Quirke,2,S Neville,6th,Head,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Rocco Boyo (IRE),Eoin G Kelly,4,A Murray,5th,16 l,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Wepushourlucksofar (IRE),D Moloney,4,N F Glynn,4th,3 3/4 l,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Crooked Tannie (IRE),C P Millar,4,C Collins,3rd,3 1/4 l,5,11-12t1,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Prince Palace (FR),R J Condon,2,P A Fahy,2nd,1/2 l,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Roxhill Roise (IRE),D J Gilligan,0,D M O'Brien,1st,N/A,6,10-11h,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Kings Prince,Shane Fenelon,4,E Sheehy,PU,N/A,6,11-12,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Pirate Island (IRE),Niall Moore,4,P Fenton,PU,N/A,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Pat The Carraig (IRE),E M O'Sullivan,4,Dermot P O'Brien,PU,N/A,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Diamond Duke (IRE),G Brouder,0,M F Morris,7th,29 l,5,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,On The Tide (IRE),C M Quirke,2,S Neville,6th,Head,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Rocco Boyo (IRE),Eoin G Kelly,4,A Murray,5th,16 l,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Wepushourlucksofar (IRE),D Moloney,4,N F Glynn,4th,3 3/4 l,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Crooked Tannie (IRE),C P Millar,4,C Collins,3rd,3 1/4 l,5,11-12t1,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Prince Palace (FR),R J Condon,2,P A Fahy,2nd,1/2 l,6,11-4,-,True,109,13
Tramore Racing Results | 21st April 2024 15:15,N/A,15:15,Yielding,2m 5f 80y,Roxhill Roise (IRE),D J Gilligan,0,D M O'Brien,1st,N/A,6,10-11h,-,True,109,13
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Farmix (FR),T P Harney,7,Liz Doyle,NR,N/A,9,12-1,117,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Onlyamatteroftime (IRE),B Hayes,0,W P Mullins,NR,N/A,8,11-7,109,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Doyenna (IRE),J J Slevin,0,L Fowler,11th,N/A,7,11-1,103,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Thunder (IRE),D E Mullins,0,J P Ryan,10th,51 l,6,11-7,109,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Carrig Rock (IRE),J C Gainford,0,P Croke,9th,1/2 l,9,11-11,113,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Gaspard Du Seuil (FR),P T Enright,0,R Sweeney,8th,21 l,8,11-7,109,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Good As Hell (IRE),Niall Moore,7,P Fenton,7th,3 3/4 l,9,11-3,105,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Epson Du Houx (FR),C P Millar,7,G Elliott,6th,3 3/4 l,10,11-10t,112,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Mighty Jeremy (IRE),A P Kelly,5,Liam G O'brien,5th,3 1/2 l,10,11-12ht,114,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Pat Coyne (IRE),P Townend,0,J Queally,4th,5 1/2 l,10,11-2,104,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Rebel Rose (IRE),J W Kennedy,0,M Fahey,3rd,1/2 l,8,11-10,112,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,West Away (IRE),B W Harvey,0,J C McConnell,2nd,3 1/4 l,6,11-10ht1,112,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Natural Breeze (IRE),C Owens,7,P J Rothwell,1st,N/A,9,10-2p,90,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Farmix (FR),T P Harney,7,Liz Doyle,NR,N/A,9,12-1,117,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Onlyamatteroftime (IRE),B Hayes,0,W P Mullins,NR,N/A,8,11-7,109,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Doyenna (IRE),J J Slevin,0,L Fowler,11th,N/A,7,11-1,103,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Thunder (IRE),D E Mullins,0,J P Ryan,10th,51 l,6,11-7,109,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Carrig Rock (IRE),J C Gainford,0,P Croke,9th,1/2 l,9,11-11,113,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Gaspard Du Seuil (FR),P T Enright,0,R Sweeney,8th,21 l,8,11-7,109,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Good As Hell (IRE),Niall Moore,7,P Fenton,7th,3 3/4 l,9,11-3,105,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Epson Du Houx (FR),C P Millar,7,G Elliott,6th,3 3/4 l,10,11-10t,112,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Mighty Jeremy (IRE),A P Kelly,5,Liam G O'brien,5th,3 1/2 l,10,11-12ht,114,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Pat Coyne (IRE),P Townend,0,J Queally,4th,5 1/2 l,10,11-2,104,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Rebel Rose (IRE),J W Kennedy,0,M Fahey,3rd,1/2 l,8,11-10,112,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,West Away (IRE),B W Harvey,0,J C McConnell,2nd,3 1/4 l,6,11-10ht1,112,True,109,14
Tramore Racing Results | 21st April 2024 15:50,N/A,15:50,Yielding,2m 5f 80y,Natural Breeze (IRE),C Owens,7,P J Rothwell,1st,N/A,9,10-2p,90,True,109,14
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Dundaniel (IRE),Sam Ewing,0,M Kennedy,NR,N/A,9,11-7p,113,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Gateau De Miel (FR),Rachael Blackmore,0,H De Bromhead,NR,N/A,8,11-8t,114,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Willywampus (IRE),B W Harvey,0,Eamon Courtney,9th,3 1/4 l,7,11-12t,118,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Time Marches On (IRE),D J Gilligan,5,J Motherway,8th,12 l,8,11-3p,109,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Lake Chad (IRE),Niall Moore,7,P Fenton,7th,1/2 l,9,10-12,104,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,C'Est Quelqu'un (FR),J W Kennedy,0,G Elliott,6th,4 l,7,11-2,108,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Broken Ice (IRE),K M Donoghue,0,G P Cromwell,5th,1/2 l,8,11-4,110,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Brucejack (IRE),P Townend,0,P A Fahy,4th,1 3/4 l,7,10-13,105,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Sweet Will (IRE),Conor Clarke,7,E Mullins,3rd,Short Head,7,11-8tp,114,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Invictus Machin (FR),K E Buckley,0,G P Cromwell,2nd,2 l,6,11-5h,111,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Rochestown (IRE),D J O'Keeffe,0,Brendan Walsh,1st,N/A,9,10-4,96,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Dundaniel (IRE),Sam Ewing,0,M Kennedy,NR,N/A,9,11-7p,113,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Gateau De Miel (FR),Rachael Blackmore,0,H De Bromhead,NR,N/A,8,11-8t,114,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Willywampus (IRE),B W Harvey,0,Eamon Courtney,9th,3 1/4 l,7,11-12t,118,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Time Marches On (IRE),D J Gilligan,5,J Motherway,8th,12 l,8,11-3p,109,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Lake Chad (IRE),Niall Moore,7,P Fenton,7th,1/2 l,9,10-12,104,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,C'Est Quelqu'un (FR),J W Kennedy,0,G Elliott,6th,4 l,7,11-2,108,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Broken Ice (IRE),K M Donoghue,0,G P Cromwell,5th,1/2 l,8,11-4,110,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Brucejack (IRE),P Townend,0,P A Fahy,4th,1 3/4 l,7,10-13,105,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Sweet Will (IRE),Conor Clarke,7,E Mullins,3rd,Short Head,7,11-8tp,114,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Invictus Machin (FR),K E Buckley,0,G P Cromwell,2nd,2 l,6,11-5h,111,True,109,15
Tramore Racing Results | 21st April 2024 16:20,N/A,16:20,Good To Yielding,2m 5f 160y,Rochestown (IRE),D J O'Keeffe,0,Brendan Walsh,1st,N/A,9,10-4,96,True,109,15
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Danesfort Mayfly (IRE),D E Mullins,0,W J Lanigan,13th,35 l,7,10-9t,82,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Carrolls Cottage (IRE),Niall Moore,7,P Fenton,12th,2 l,8,11-12tb1,99,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,It'sallabouteve (IRE),D J O'Keeffe,0,Brendan Walsh,11th,1 l,8,12-0,101,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,College Causeway (IRE),B W Harvey,0,J C McConnell,10th,1 1/4 l,6,11-0,87,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Depeche Mo (IRE),S W Flanagan,0,Eric Larkin,9th,Neck,6,10-11,84,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Dontdooddson (FR),J G Gilligan,7,D Collins,8th,1 l,11,11-6,93,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,The Declaimer (IRE),K M Donoghue,0,Tom Dreaper,7th,1 1/4 l,8,11-10,97,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Katherine (IRE),J J Slevin,0,A Sexton,6th,1 l,7,11-11,98,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Copper Coast (IRE),M J M O'Sullivan,0,Sarah Connell,5th,2 3/4 l,6,10-7t,80,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Lakomet Of Saints (FR),P T Enright,0,J P Flavin,4th,Neck,6,10-13t,86,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Erigmoor,J W Kennedy,0,G Elliott,3rd,1 1/2 l,6,11-4,91,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Mahlers Cove (IRE),M P O'Connor,3,J J Mangan,2nd,1 1/4 l,7,11-3,90,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Prince Of Air (FR),S D Torrens,0,P J Rothwell,1st,N/A,7,10-10p,83,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Danesfort Mayfly (IRE),D E Mullins,0,W J Lanigan,13th,35 l,7,10-9t,82,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Carrolls Cottage (IRE),Niall Moore,7,P Fenton,12th,2 l,8,11-12tb1,99,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,It'sallabouteve (IRE),D J O'Keeffe,0,Brendan Walsh,11th,1 l,8,12-0,101,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,College Causeway (IRE),B W Harvey,0,J C McConnell,10th,1 1/4 l,6,11-0,87,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Depeche Mo (IRE),S W Flanagan,0,Eric Larkin,9th,Neck,6,10-11,84,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Dontdooddson (FR),J G Gilligan,7,D Collins,8th,1 l,11,11-6,93,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,The Declaimer (IRE),K M Donoghue,0,Tom Dreaper,7th,1 1/4 l,8,11-10,97,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Katherine (IRE),J J Slevin,0,A Sexton,6th,1 l,7,11-11,98,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Copper Coast (IRE),M J M O'Sullivan,0,Sarah Connell,5th,2 3/4 l,6,10-7t,80,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Lakomet Of Saints (FR),P T Enright,0,J P Flavin,4th,Neck,6,10-13t,86,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Erigmoor,J W Kennedy,0,G Elliott,3rd,1 1/2 l,6,11-4,91,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Mahlers Cove (IRE),M P O'Connor,3,J J Mangan,2nd,1 1/4 l,7,11-3,90,True,109,16
Tramore Racing Results | 21st April 2024 16:50,N/A,16:50,Good To Yielding,1m 7f 110y,Prince Of Air (FR),S D Torrens,0,P J Rothwell,1st,N/A,7,10-10p,83,True,109,16
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Henn See (FR),P Townend,0,W P Mullins,PU,N/A,7,11-9t,-,True,109,17
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Doyen Ta Win (IRE),K C Sexton,0,D Queally,3rd,7 l,6,11-5ht,-,True,109,17
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Dutch Schultz,K M Donoghue,0,G P Cromwell,2nd,3/4 l,7,11-5,-,True,109,17
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Gua Du Large (FR),Rachael Blackmore,0,H De Bromhead,1st,N/A,8,11-5ht,-,True,109,17
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Henn See (FR),P Townend,0,W P Mullins,PU,N/A,7,11-9t,-,True,109,17
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Doyen Ta Win (IRE),K C Sexton,0,D Queally,3rd,7 l,6,11-5ht,-,True,109,17
Tramore Racing Results | 21st April 2024 17:20,N/A,17:20,Good To Yielding,1m 7f 110y,Dutch Schultz,K M Donoghue,0,G P Cromwell,2nd,3/4 l,7,11-5,-,True,109,17
