track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 1st July 2022 19:15,N/A,19:15,Soft,2m 4f,True Faith (IRE),D. J. O'Keeffe,0,Henry de Bromhead,3rd,3 3/4 l,6,11-12,-,True,6,12
Wexford Racing Results | 1st July 2022 19:15,N/A,19:15,Soft,2m 4f,Everglow,Denis O'Regan,0,Noel Meade,2nd,Neck,7,11-12tp,-,True,6,12
Wexford Racing Results | 1st July 2022 19:15,N/A,19:15,Soft,2m 4f,Champagne Gold (IRE),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,7,11-12tp,-,True,6,12
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Global Equity (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,PU,N/A,7,11-3,125,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Crazywork De Vassy (FR),M. M. McDonagh,0,Michael J. McDonagh,PU,N/A,10,10-1b,109,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Arahecan (IRE),Rachael Blackmore,0,Henry de Bromhead,PU,N/A,9,11-5,127,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Il Courra (IRE),Patrick O'Hanlon,5,C. W. J. Farrell,8th,16 l,7,11-3t,125,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,The West's Awake (IRE),Phillip Enright,0,E. J. O'Grady,7th,1 l,11,11-12tb,134,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Mister Bells (IRE),Kieran Callaghan,7,Paul Nolan,6th,14 l,8,10-4b,112,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Weihnachts (IRE),S. D. Torrens,0,P. J. Rothwell,5th,Neck,8,10-6tp,114,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Fest Deiz (FR),Donagh Meyler,0,Kieran Purcell,4th,1 1/2 l,7,11-5,127,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Na Caith Tobac (HOL),B. P. Kennedy,7,Paul W. Flynn,3rd,2 1/4 l,5,10-3p,111,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Optical Confusion (IRE),D. E. Mullins,0,Michael Butler,2nd,15 l,10,11-1t,123,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Bold Emperor (IRE),D. J. O'Keeffe,0,T. Gibney,1st,N/A,9,10-8,116,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Global Equity (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,PU,N/A,7,11-3,125,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Crazywork De Vassy (FR),M. M. McDonagh,0,Michael J. McDonagh,PU,N/A,10,10-1b,109,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Arahecan (IRE),Rachael Blackmore,0,Henry de Bromhead,PU,N/A,9,11-5,127,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Il Courra (IRE),Patrick O'Hanlon,5,C. W. J. Farrell,8th,16 l,7,11-3t,125,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,The West's Awake (IRE),Phillip Enright,0,E. J. O'Grady,7th,1 l,11,11-12tb,134,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Mister Bells (IRE),Kieran Callaghan,7,Paul Nolan,6th,14 l,8,10-4b,112,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Weihnachts (IRE),S. D. Torrens,0,P. J. Rothwell,5th,Neck,8,10-6tp,114,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Fest Deiz (FR),Donagh Meyler,0,Kieran Purcell,4th,1 1/2 l,7,11-5,127,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Na Caith Tobac (HOL),B. P. Kennedy,7,Paul W. Flynn,3rd,2 1/4 l,5,10-3p,111,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Optical Confusion (IRE),D. E. Mullins,0,Michael Butler,2nd,15 l,10,11-1t,123,True,6,13
Wexford Racing Results | 1st July 2022 19:45,N/A,19:45,Soft,2m 4f,Bold Emperor (IRE),D. J. O'Keeffe,0,T. Gibney,1st,N/A,9,10-8,116,True,6,13
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Carrig Mountain (IRE),Mr D. Kiely,7,Martin Paul Fitzgerald,PU,N/A,7,11-11b1,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Cnoc Na Si (IRE),Miss J. Townend,5,W. P. Mullins,PU,N/A,5,11-11h1,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Priscilla Rose (IRE),Mr S. Tobin,7,P. Tobin,PU,N/A,6,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Moon Rise Beauty (FR),Mr E. Ohgren,5,W. P. Mullins,6th,18 l,5,11-11t,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Princess Sophia (IRE),Mr T. Hamilton,0,Ms Margaret Mullins,5th,5 l,5,11-11p,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Kilbarry Lilac (IRE),Mr Pat Taaffe,7,Con O'Keeffe,4th,3/4 l,6,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Bridal Knot (IRE),Mr C. Mullins,7,Thomas Mullins,3rd,3 1/4 l,5,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Slate Gray (JPN),Mr T. Power Roche,7,N. Dooly,2nd,4 l,5,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Hazelhatch Lady (IRE),Mr D. O'Connor,0,James Andrew Fahey,1st,N/A,5,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Carrig Mountain (IRE),Mr D. Kiely,7,Martin Paul Fitzgerald,PU,N/A,7,11-11b1,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Cnoc Na Si (IRE),Miss J. Townend,5,W. P. Mullins,PU,N/A,5,11-11h1,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Priscilla Rose (IRE),Mr S. Tobin,7,P. Tobin,PU,N/A,6,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Moon Rise Beauty (FR),Mr E. Ohgren,5,W. P. Mullins,6th,18 l,5,11-11t,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Princess Sophia (IRE),Mr T. Hamilton,0,Ms Margaret Mullins,5th,5 l,5,11-11p,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Kilbarry Lilac (IRE),Mr Pat Taaffe,7,Con O'Keeffe,4th,3/4 l,6,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Bridal Knot (IRE),Mr C. Mullins,7,Thomas Mullins,3rd,3 1/4 l,5,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Slate Gray (JPN),Mr T. Power Roche,7,N. Dooly,2nd,4 l,5,11-11,-,True,6,14
Wexford Racing Results | 1st July 2022 20:15,N/A,20:15,Soft,2m 4f 150y,Hazelhatch Lady (IRE),Mr D. O'Connor,0,James Andrew Fahey,1st,N/A,5,11-11,-,True,6,14
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Sing Till Dawn (IRE),R. C. Colgan,0,Michael G. Cleary,15th,Neck,4,9-6,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Stickyourneckout (IRE),Seamie Heffernan,0,Gearoid Patrick Brouder,14th,2 1/2 l,3,8-12t,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Capla Knight (IRE),W. M. Lordan,0,P. J. McKenna,13th,1 l,4,9-13,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,War Hero (IRE),R. Whearty,7,Dermot Anthony McLoughlin,12th,1 l,7,9-11tv,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Cormac (IRE),Jack Cleary,7,Michael G. Cleary,11th,2 1/2 l,4,9-9,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Rosie Rock (IRE),C. J. MacRedmond,5,Adrian McGuinness,10th,1 l,4,9-11,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Cablegram,Kyanna Van Buuren,10,John McConnell,9th,1 1/4 l,4,9-6,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Aleksey Tolstoy (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,8th,Neck,4,9-5p,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Tammany Hall (IRE),C. Stone-Walsh,10,Joseph Patrick O'Brien,7th,3/4 l,4,9-8p,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Eastern Racer (IRE),S. P. Davis,0,Sean Byrne,6th,2 3/4 l,10,9-6b,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Talking Tough (IRE),Wesley Joyce,7,Michael Mulvany,5th,Short Head,5,9-9,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Guessthebill (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,Head,7,9-9p,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Tai Sing Yeh (IRE),C. T. Keane,0,James McAuley,3rd,1/2 l,8,10-2b,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Helen De Pourtales (IRE),William James Lee,0,James McAuley,2nd,Head,5,9-11tb,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,My Minervina (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,4,10-2p1,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Sing Till Dawn (IRE),R. C. Colgan,0,Michael G. Cleary,15th,Neck,4,9-6,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Stickyourneckout (IRE),Seamie Heffernan,0,Gearoid Patrick Brouder,14th,2 1/2 l,3,8-12t,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Capla Knight (IRE),W. M. Lordan,0,P. J. McKenna,13th,1 l,4,9-13,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,War Hero (IRE),R. Whearty,7,Dermot Anthony McLoughlin,12th,1 l,7,9-11tv,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Cormac (IRE),Jack Cleary,7,Michael G. Cleary,11th,2 1/2 l,4,9-9,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Rosie Rock (IRE),C. J. MacRedmond,5,Adrian McGuinness,10th,1 l,4,9-11,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Cablegram,Kyanna Van Buuren,10,John McConnell,9th,1 1/4 l,4,9-6,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Aleksey Tolstoy (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,8th,Neck,4,9-5p,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Tammany Hall (IRE),C. Stone-Walsh,10,Joseph Patrick O'Brien,7th,3/4 l,4,9-8p,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Eastern Racer (IRE),S. P. Davis,0,Sean Byrne,6th,2 3/4 l,10,9-6b,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Talking Tough (IRE),Wesley Joyce,7,Michael Mulvany,5th,Short Head,5,9-9,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Guessthebill (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,Head,7,9-9p,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Tai Sing Yeh (IRE),C. T. Keane,0,James McAuley,3rd,1/2 l,8,10-2b,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,Helen De Pourtales (IRE),William James Lee,0,James McAuley,2nd,Head,5,9-11tb,-,True,6,15
Bellewstown Racing Results | 1st July 2022 17:28,N/A,17:28,Yielding,7f 175y,My Minervina (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,4,10-2p1,-,True,6,15
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Harrison Meadows (IRE),D. W. O'Connor,0,John McConnell,11th,4 3/4 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Glyde Ranger (IRE),J. J. G. Ryan,7,T. G. McCourt,10th,3 3/4 l,2,9-4,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Master Garvey (IRE),James J. Doyle,0,Joseph Anthony Murray,9th,1 l,2,9-2t1,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Allesnick (IRE),C. D. Hayes,0,Eddie & Patrick Harty,8th,3/4 l,2,9-2,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,My Beautiful Boy (IRE),N. M. Crosse,3,Harry Rogers,7th,3 1/4 l,2,9-2,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Biggerthanbigtime (IRE),G. F. Carroll,0,Padraig Roche,6th,3 3/4 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Brazilian Song (IRE),D. N. Curran,7,J. G. Coogan,5th,1/2 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Pulse Light (IRE),C. T. Keane,0,Noel Meade,4th,1 1/4 l,2,9-2,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Thunderbear (IRE),R. P. Whelan,0,Jack W. Davison,3rd,1/2 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Roman Hands (IRE),Shane Foley,0,Mrs J. Harrington,2nd,2 1/2 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Lakota Seven (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,1st,N/A,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Harrison Meadows (IRE),D. W. O'Connor,0,John McConnell,11th,4 3/4 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Glyde Ranger (IRE),J. J. G. Ryan,7,T. G. McCourt,10th,3 3/4 l,2,9-4,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Master Garvey (IRE),James J. Doyle,0,Joseph Anthony Murray,9th,1 l,2,9-2t1,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Allesnick (IRE),C. D. Hayes,0,Eddie & Patrick Harty,8th,3/4 l,2,9-2,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,My Beautiful Boy (IRE),N. M. Crosse,3,Harry Rogers,7th,3 1/4 l,2,9-2,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Biggerthanbigtime (IRE),G. F. Carroll,0,Padraig Roche,6th,3 3/4 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Brazilian Song (IRE),D. N. Curran,7,J. G. Coogan,5th,1/2 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Pulse Light (IRE),C. T. Keane,0,Noel Meade,4th,1 1/4 l,2,9-2,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Thunderbear (IRE),R. P. Whelan,0,Jack W. Davison,3rd,1/2 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Roman Hands (IRE),Shane Foley,0,Mrs J. Harrington,2nd,2 1/2 l,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:00,N/A,18:00,Yielding  (Turf),7f 175y,Lakota Seven (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,1st,N/A,2,9-6,-,True,6,16
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Zerinda (IRE),D. B. McMonagle,0,Patrick Joseph Hayes,13th,9 1/2 l,4,9-13,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Yorkshire Pirlo (IRE),Ben Martin Coen,0,Gordon Elliott,12th,Short Head,4,10-0t,68,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Faithful Prince (IRE),R. P. Cleary,0,Peter Fahey,11th,1 3/4 l,4,9-13p1,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Zonik (IRE),D. W. O'Connor,0,John McConnell,10th,2 l,3,9-5t,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Wee Pablo (IRE),J. Coen,7,Patrick Martin,9th,Head,5,10-2t,70,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Inishmot Prince (IRE),J. J. G. Ryan,7,T. G. McCourt,8th,3 1/2 l,4,9-13p1,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Mr Rango (IRE),M. A. Gallagher,0,Ross O'Sullivan,7th,1 1/4 l,4,9-12,66,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Jaafel (IRE),C. T. Keane,0,Denis Hogan,6th,Short Head,4,10-2t,70,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Thaleeq,C. D. Hayes,0,D. K. Weld,5th,1/2 l,5,9-12,66,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Welcoming (FR),N. M. Crosse,3,Luke Comer,4th,2 1/2 l,6,9-7t1,61,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Ampeson,W. M. Lordan,0,P. J. McKenna,3rd,1 3/4 l,5,10-0p,68,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Tara Power (IRE),Shane Foley,0,Keith Henry Clarke,2nd,1/2 l,4,9-4,58,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Mary Salome (IRE),William James Lee,0,Andrew Kinirons,1st,N/A,6,10-1,69,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Zerinda (IRE),D. B. McMonagle,0,Patrick Joseph Hayes,13th,9 1/2 l,4,9-13,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Yorkshire Pirlo (IRE),Ben Martin Coen,0,Gordon Elliott,12th,Short Head,4,10-0t,68,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Faithful Prince (IRE),R. P. Cleary,0,Peter Fahey,11th,1 3/4 l,4,9-13p1,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Zonik (IRE),D. W. O'Connor,0,John McConnell,10th,2 l,3,9-5t,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Wee Pablo (IRE),J. Coen,7,Patrick Martin,9th,Head,5,10-2t,70,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Inishmot Prince (IRE),J. J. G. Ryan,7,T. G. McCourt,8th,3 1/2 l,4,9-13p1,67,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Mr Rango (IRE),M. A. Gallagher,0,Ross O'Sullivan,7th,1 1/4 l,4,9-12,66,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Jaafel (IRE),C. T. Keane,0,Denis Hogan,6th,Short Head,4,10-2t,70,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Thaleeq,C. D. Hayes,0,D. K. Weld,5th,1/2 l,5,9-12,66,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Welcoming (FR),N. M. Crosse,3,Luke Comer,4th,2 1/2 l,6,9-7t1,61,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Ampeson,W. M. Lordan,0,P. J. McKenna,3rd,1 3/4 l,5,10-0p,68,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Tara Power (IRE),Shane Foley,0,Keith Henry Clarke,2nd,1/2 l,4,9-4,58,True,6,17
Bellewstown Racing Results | 1st July 2022 18:30,N/A,18:30,Yielding,7f 175y,Mary Salome (IRE),William James Lee,0,Andrew Kinirons,1st,N/A,6,10-1,69,True,6,17
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Global Strike (IRE),J. Kearney,7,Liam McAteer,15th,7 l,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Jinglers Bridge (IRE),Cillian McConnell,7,S. Michael Millar,14th,2 1/4 l,4,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Vernotstoppen (IRE),S. B. Kelly,0,Eddie & Patrick Harty,13th,1/2 l,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Upward Curve,R. P. Whelan,0,Andrew Oliver,12th,Head,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Butterfly Stream (IRE),C. T. Keane,0,Adrian Murray,11th,Neck,3,9-3,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Mrs Shelby (IRE),D. B. McMonagle,0,Ciaran Murphy,10th,1 3/4 l,3,9-3,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Creative Power (IRE),C. D. Hayes,0,Edward Lynam,9th,3/4 l,3,9-3,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Lalechko,Ben Martin Coen,0,Padraig Roche,8th,Head,4,9-13,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Finke River,Shane Foley,0,James McAuley,7th,1 1/4 l,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Diamondsinthesand (IRE),Adrian O'Shea,5,Mrs A. M. O'Shea,6th,1 1/2 l,5,9-13,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Un Bacio Ancora (IRE),K. J. Manning,0,Eddie & Patrick Harty,5th,3/4 l,3,9-3,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,It Might Be You (IRE),G. F. Carroll,0,Michael Mulvany,4th,1/2 l,3,9-3,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Ballysax Lil' Mick (IRE),D. J. Gilligan,10,Miss Katy Brown,3rd,2 1/4 l,4,9-13,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Shoebox King (IRE),John Allen,0,Kevin Thomas Coleman,2nd,1 1/4 l,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Are We Dreaming (IRE),William James Lee,0,W. McCreery,1st,N/A,3,9-3v1,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Global Strike (IRE),J. Kearney,7,Liam McAteer,15th,7 l,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Jinglers Bridge (IRE),Cillian McConnell,7,S. Michael Millar,14th,2 1/4 l,4,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Vernotstoppen (IRE),S. B. Kelly,0,Eddie & Patrick Harty,13th,1/2 l,3,9-8,-,True,6,18
Bellewstown Racing Results | 1st July 2022 19:00,N/A,19:00,Yielding,5f 3y,Upward Curve,R. P. Whelan,0,Andrew Oliver,12th,Head,3,9-8,-,True,6,18
