track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Ohailbhic (IRE),C D Hayes,0,J Feane,4th,1 1/2 l,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Badda Bing (IRE),J A Heffernan,0,A Slattery,3rd,Neck,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Hemight (IRE),J M Sheridan,0,J A Stack,2nd,3/4 l,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Salah Belle (IRE),R C Colgan,0,S Lavery,1st,N/A,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Court Phoenix (IRE),L F Roche,0,J G Coogan,14th,7 l,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Pocket Paralysis (IRE),C D Maxwell,0,D A McLoughlin,13th,6 1/2 l,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Spirit Lady (IRE),N M Crosse,0,W McCreery,12th,3/4 l,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Rosato (IRE),N G McCullagh,0,Charles Weld,11th,1/2 l,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Oh So Bright (IRE),S Foley,0,Mrs J Harrington,10th,Neck,2,9-2t1,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Lorr's Girl (IRE),R P Cleary,0,R Sweeney,9th,Neck,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,The Poacher Daly (IRE),D P McDonogh,0,J P O'Brien,8th,Head,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Branding,C T Keane,0,M O'Callaghan,7th,Neck,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Cool Dan (IRE),S T McCullagh,3,L Breen,6th,Neck,2,9-7p,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Fair Taxes (IRE),D W O'Connor,0,R O'Sullivan,5th,Nose,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Ohailbhic (IRE),C D Hayes,0,J Feane,4th,1 1/2 l,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Badda Bing (IRE),J A Heffernan,0,A Slattery,3rd,Neck,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Hemight (IRE),J M Sheridan,0,J A Stack,2nd,3/4 l,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Salah Belle (IRE),R C Colgan,0,S Lavery,1st,N/A,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Marble Angel (IRE),C D Hayes,0,A Oliver,NR,N/A,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Loma Larnee,L F Roche,0,A Oliver,RR,N/A,3,9-3tp1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Jimmy T (IRE),S B Kelly,0,T O'Brien,13th,4 1/2 l,3,9-8,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Windsor Road (IRE),J Kearney,5,G Keane,12th,2 l,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Inverbrena (IRE),Siobhan Rutledge,3,D Harvey,11th,2 3/4 l,5,9-3t,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Miss Aytan (IRE),N G McCullagh,0,John E & Kiely,10th,2 l,6,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,9th,Neck,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Chopsticks (IRE),S Foley,0,S M Duffy,8th,2 l,3,9-8,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Gorila (IRE),C Martins,0,M J Browne,7th,1 3/4 l,3,9-8t1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Sailor's Warning (IRE),D P McDonogh,0,J P O'Brien,6th,3 1/2 l,4,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Beauty Bella (IRE),K W De Oliveira,10,A Murray,5th,Neck,3,9-3p1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Miqdaad (IRE),J M Sheridan,0,D Hogan,4th,1/2 l,3,9-8,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Cross Border,C T Keane,0,E Lynam,3rd,Neck,3,9-8b1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Gioiella (IRE),R P Whelan,0,J P Fahey,2nd,2 1/4 l,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Nahori,R Whearty,5,T Gibney,1st,N/A,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Marble Angel (IRE),C D Hayes,0,A Oliver,NR,N/A,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Loma Larnee,L F Roche,0,A Oliver,RR,N/A,3,9-3tp1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Jimmy T (IRE),S B Kelly,0,T O'Brien,13th,4 1/2 l,3,9-8,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Windsor Road (IRE),J Kearney,5,G Keane,12th,2 l,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Inverbrena (IRE),Siobhan Rutledge,3,D Harvey,11th,2 3/4 l,5,9-3t,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Miss Aytan (IRE),N G McCullagh,0,John E & Kiely,10th,2 l,6,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,9th,Neck,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Chopsticks (IRE),S Foley,0,S M Duffy,8th,2 l,3,9-8,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Gorila (IRE),C Martins,0,M J Browne,7th,1 3/4 l,3,9-8t1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Sailor's Warning (IRE),D P McDonogh,0,J P O'Brien,6th,3 1/2 l,4,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Beauty Bella (IRE),K W De Oliveira,10,A Murray,5th,Neck,3,9-3p1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Miqdaad (IRE),J M Sheridan,0,D Hogan,4th,1/2 l,3,9-8,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Cross Border,C T Keane,0,E Lynam,3rd,Neck,3,9-8b1,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Gioiella (IRE),R P Whelan,0,J P Fahey,2nd,2 1/4 l,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:00,N/A,17:00,Standard,7f,Nahori,R Whearty,5,T Gibney,1st,N/A,3,9-3,-,True,95,45
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Notforalongtime,O McSweeney,5,Laura Hourigan,NR,N/A,6,9-10p,69,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Penguin Island,R P Cleary,0,Robert Widger,13th,10 l,4,9-11,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Eighty Eight (IRE),L F Roche,0,J Feane,12th,2 1/4 l,4,9-111,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Belle Fourche (IRE),J A Heffernan,0,A McCann,11th,2 3/4 l,4,9-9tb1,68,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Superior Force,R Whearty,5,A Murray,10th,Neck,4,9-12,71,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Not Just Yet (IRE),C T Keane,0,N Meade,9th,Neck,3,9-9t1,68,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Allo Arry (IRE),S T McCullagh,3,A McGuinness,8th,1 1/2 l,4,9-11,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Marks Bear (IRE),D P McDonogh,0,W J Burke,7th,Neck,5,9-11p1,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,On Our Radar (IRE),C Horgan,7,A Slattery,6th,Short Head,3,9-11,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,El Bello,S D Bowen,5,D Hogan,5th,1/2 l,4,10-0p,73,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Ramiro (IRE),J M Sheridan,0,Miss H McLoughlin,4th,2 3/4 l,7,10-2h,75,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Winemaker (FR),D E Sheehy,3,D Dias,3rd,1 1/4 l,3,9-8,67,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Skontonovski,R P Whelan,0,A McGuinness,2nd,1/2 l,6,9-10v,69,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Little Keilee (IRE),S Foley,0,Ciaran Murphy,1st,N/A,3,9-10,69,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Notforalongtime,O McSweeney,5,Laura Hourigan,NR,N/A,6,9-10p,69,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Penguin Island,R P Cleary,0,Robert Widger,13th,10 l,4,9-11,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Eighty Eight (IRE),L F Roche,0,J Feane,12th,2 1/4 l,4,9-111,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Belle Fourche (IRE),J A Heffernan,0,A McCann,11th,2 3/4 l,4,9-9tb1,68,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Superior Force,R Whearty,5,A Murray,10th,Neck,4,9-12,71,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Not Just Yet (IRE),C T Keane,0,N Meade,9th,Neck,3,9-9t1,68,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Allo Arry (IRE),S T McCullagh,3,A McGuinness,8th,1 1/2 l,4,9-11,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Marks Bear (IRE),D P McDonogh,0,W J Burke,7th,Neck,5,9-11p1,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,On Our Radar (IRE),C Horgan,7,A Slattery,6th,Short Head,3,9-11,70,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,El Bello,S D Bowen,5,D Hogan,5th,1/2 l,4,10-0p,73,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Ramiro (IRE),J M Sheridan,0,Miss H McLoughlin,4th,2 3/4 l,7,10-2h,75,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Winemaker (FR),D E Sheehy,3,D Dias,3rd,1 1/4 l,3,9-8,67,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Skontonovski,R P Whelan,0,A McGuinness,2nd,1/2 l,6,9-10v,69,True,95,46
Dundalk Racing Results | 22nd December 2023 17:30,N/A,17:30,Standard,7f,Little Keilee (IRE),S Foley,0,Ciaran Murphy,1st,N/A,3,9-10,69,True,95,46
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,General Idea,C M Hogan,7,Ian Donoghue,NR,N/A,4,9-1tv1,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Helmet Star,S P Bird,7,J Larkin,12th,8 l,4,9-1t,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Pillar Of Hope,C Stone-Walsh,2,H D McGuigan,11th,1 3/4 l,5,9-12,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Brains (IRE),J J G Ryan,2,R Donohoe,10th,1/2 l,7,9-12tb,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Not Forgotten (IRE),S T McCullagh,0,M Halford & T Collins,9th,1/2 l,3,9-12t,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Dabana (IRE),D E Sheehy,0,M Fahey,8th,1/2 l,4,9-1b,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Chavajod,J Kearney,2,D P Coakley,7th,1 3/4 l,5,9-9v,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Exquisite Acclaim (IRE),H J Horgan,4,A McGuinness,6th,1/2 l,4,9-7p,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Sea Chariot,J Coen,0,J J Murphy,5th,1 l,3,9-10t,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Free Solo (IRE),S D Bowen,2,P J F Murphy,4th,Neck,6,9-8tp,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Pierre Lapin (IRE),R Whearty,0,A McGuinness,3rd,2 1/2 l,6,9-5p,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Barbapapa (IRE),J A Powell,0,H De Bromhead,2nd,1 1/4 l,4,9-8tp,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Cheers Again,J Cleary,4,P W Flynn,1st,N/A,4,9-8,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,General Idea,C M Hogan,7,Ian Donoghue,NR,N/A,4,9-1tv1,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Helmet Star,S P Bird,7,J Larkin,12th,8 l,4,9-1t,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Pillar Of Hope,C Stone-Walsh,2,H D McGuigan,11th,1 3/4 l,5,9-12,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Brains (IRE),J J G Ryan,2,R Donohoe,10th,1/2 l,7,9-12tb,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Not Forgotten (IRE),S T McCullagh,0,M Halford & T Collins,9th,1/2 l,3,9-12t,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Dabana (IRE),D E Sheehy,0,M Fahey,8th,1/2 l,4,9-1b,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Chavajod,J Kearney,2,D P Coakley,7th,1 3/4 l,5,9-9v,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Exquisite Acclaim (IRE),H J Horgan,4,A McGuinness,6th,1/2 l,4,9-7p,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Sea Chariot,J Coen,0,J J Murphy,5th,1 l,3,9-10t,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Free Solo (IRE),S D Bowen,2,P J F Murphy,4th,Neck,6,9-8tp,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Pierre Lapin (IRE),R Whearty,0,A McGuinness,3rd,2 1/2 l,6,9-5p,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Barbapapa (IRE),J A Powell,0,H De Bromhead,2nd,1 1/4 l,4,9-8tp,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:00,N/A,18:00,Standard,1m,Cheers Again,J Cleary,4,P W Flynn,1st,N/A,4,9-8,-,True,95,47
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Khadaash,D W O'Connor,0,J C McConnell,14th,2 l,6,9-13,72,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Deep Sigh (FR),S Foley,0,J C McConnell,13th,56 l,5,9-0t,59,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Chutzpal (IRE),J A Heffernan,0,E Doyle,12th,4 3/4 l,4,9-0b,59,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Free Flow (USA),L T McAteer,0,J M Barrett,11th,14 l,3,9-7,72,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Vultan (IRE),Siobhan Rutledge,3,A J Martin,10th,Neck,6,10-2t,75,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Franno (IRE),R Whearty,5,G Keane,9th,9 1/2 l,6,8-10v,55,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Zileo,R P Whelan,0,M Halford & T Collins,8th,1 3/4 l,5,9-5,64,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Jake Peter (IRE),A C Persse,7,M A Cahill,7th,1 1/4 l,9,9-6h1,65,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Red Secret (CAN),C T Keane,0,Kevin Smith,6th,1/2 l,7,9-6tb,65,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Mille Miglia,C D Maxwell,0,C A McBratney,5th,1 1/4 l,5,8-10p,55,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Palace Rock (IRE),Cillian McConnell,7,Francis Casey,4th,1 1/4 l,6,10-0,73,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Glyde Ranger (IRE),J J G Ryan,5,T G McCourt,3rd,5 l,3,8-9,60,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Folly Beach,S D Bowen,5,M A Molloy,2nd,1 l,5,9-0h,59,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Riyami (IRE),J M Sheridan,0,D Hogan,1st,N/A,4,9-5tp,64,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Khadaash,D W O'Connor,0,J C McConnell,14th,2 l,6,9-13,72,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Deep Sigh (FR),S Foley,0,J C McConnell,13th,56 l,5,9-0t,59,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Chutzpal (IRE),J A Heffernan,0,E Doyle,12th,4 3/4 l,4,9-0b,59,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Free Flow (USA),L T McAteer,0,J M Barrett,11th,14 l,3,9-7,72,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Vultan (IRE),Siobhan Rutledge,3,A J Martin,10th,Neck,6,10-2t,75,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Franno (IRE),R Whearty,5,G Keane,9th,9 1/2 l,6,8-10v,55,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Zileo,R P Whelan,0,M Halford & T Collins,8th,1 3/4 l,5,9-5,64,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Jake Peter (IRE),A C Persse,7,M A Cahill,7th,1 1/4 l,9,9-6h1,65,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Red Secret (CAN),C T Keane,0,Kevin Smith,6th,1/2 l,7,9-6tb,65,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Mille Miglia,C D Maxwell,0,C A McBratney,5th,1 1/4 l,5,8-10p,55,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Palace Rock (IRE),Cillian McConnell,7,Francis Casey,4th,1 1/4 l,6,10-0,73,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Glyde Ranger (IRE),J J G Ryan,5,T G McCourt,3rd,5 l,3,8-9,60,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Folly Beach,S D Bowen,5,M A Molloy,2nd,1 l,5,9-0h,59,True,95,48
Dundalk Racing Results | 22nd December 2023 18:30,N/A,18:30,Standard,2m,Riyami (IRE),J M Sheridan,0,D Hogan,1st,N/A,4,9-5tp,64,True,95,48
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Designer Cailin (IRE),J J G Ryan,5,P Martin,NR,N/A,5,8-12,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Indignation (FR),R Whearty,5,J C McConnell,13th,2 l,7,8-12p,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Curious Bride (IRE),Sam Ewing,0,E O'Connell,12th,1 1/4 l,6,10-0t,63,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Ciao Adios (IRE),J M Sheridan,0,D Hogan,11th,10 l,4,8-12p,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Oranmore (IRE),C Geerdharry,7,L Comer,10th,1 1/2 l,7,9-12,61,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Sand Castle (IRE),J A Heffernan,0,A Murray,9th,Short Head,7,9-8t,57,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Dinamine (IRE),Siobhan Rutledge,3,J C McConnell,8th,Nose,5,8-12h,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Say It So (IRE),L F Roche,0,E McNamara,7th,Nose,4,9-1tb1,50,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Nusra (IRE),S Foley,0,G Ahern,6th,1/2 l,6,9-7p,56,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Blackstone Cliff (IRE),C D Hayes,0,S Crawley,5th,1 3/4 l,7,8-12ht,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Cursory Exam,C T Keane,0,D Bunyan & G O'Leary,4th,2 l,5,9-11,60,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Pinball Wizard (IRE),S D Bowen,5,J Nallen,3rd,1 1/4 l,5,9-12,61,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Spinning Web (IRE),N G McCullagh,0,Ms M Mullins,2nd,1/2 l,3,9-2,55,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Unterberg (IRE),O McSweeney,5,Laura Hourigan,1st,N/A,4,9-12,61,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Designer Cailin (IRE),J J G Ryan,5,P Martin,NR,N/A,5,8-12,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Indignation (FR),R Whearty,5,J C McConnell,13th,2 l,7,8-12p,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Curious Bride (IRE),Sam Ewing,0,E O'Connell,12th,1 1/4 l,6,10-0t,63,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Ciao Adios (IRE),J M Sheridan,0,D Hogan,11th,10 l,4,8-12p,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Oranmore (IRE),C Geerdharry,7,L Comer,10th,1 1/2 l,7,9-12,61,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Sand Castle (IRE),J A Heffernan,0,A Murray,9th,Short Head,7,9-8t,57,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Dinamine (IRE),Siobhan Rutledge,3,J C McConnell,8th,Nose,5,8-12h,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Say It So (IRE),L F Roche,0,E McNamara,7th,Nose,4,9-1tb1,50,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Nusra (IRE),S Foley,0,G Ahern,6th,1/2 l,6,9-7p,56,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Blackstone Cliff (IRE),C D Hayes,0,S Crawley,5th,1 3/4 l,7,8-12ht,47,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Cursory Exam,C T Keane,0,D Bunyan & G O'Leary,4th,2 l,5,9-11,60,True,95,49
Dundalk Racing Results | 22nd December 2023 19:00,N/A,19:00,Standard,1m 4f,Pinball Wizard (IRE),S D Bowen,5,J Nallen,3rd,1 1/4 l,5,9-12,61,True,95,49
