track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Single Edition (IRE),Mr C. P. Millar,7,Nigel Slevin,6th,1 1/4 l,4,11-3h,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Big Island (IRE),D. E. Mullins,0,W. J. Lanigan,5th,8 1/2 l,5,11-6,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Itwasfate,Rachael Blackmore,0,Henry de Bromhead,4th,Nose,5,11-10,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Magheralin Mick (IRE),K. E. Buckley,5,Gavin Patrick Cromwell,3rd,3 1/4 l,5,11-9,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Rodney Bay (IRE),S. F. O'Keeffe,0,Joseph Anthony Murray,2nd,4 l,5,11-8,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,One Last Tango (IRE),M. P. Walsh,0,Eoin Griffin,1st,N/A,5,11-7,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Single Edition (IRE),Mr C. P. Millar,7,Nigel Slevin,6th,1 1/4 l,4,11-3h,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Big Island (IRE),D. E. Mullins,0,W. J. Lanigan,5th,8 1/2 l,5,11-6,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Itwasfate,Rachael Blackmore,0,Henry de Bromhead,4th,Nose,5,11-10,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Magheralin Mick (IRE),K. E. Buckley,5,Gavin Patrick Cromwell,3rd,3 1/4 l,5,11-9,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,Rodney Bay (IRE),S. F. O'Keeffe,0,Joseph Anthony Murray,2nd,4 l,5,11-8,-,True,29,12
Wexford Racing Results | 31st October 2022 13:30,N/A,13:30,Heavy,2m 100y,One Last Tango (IRE),M. P. Walsh,0,Eoin Griffin,1st,N/A,5,11-7,-,True,29,12
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Up And Out (IRE),Corey McGivern,4,Gordon Elliott,PU,N/A,4,10-11,93,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Ricky Bobby (IRE),A. M. McCurtin,0,John J. Walsh,PU,N/A,7,11-12,107,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Our Bobby (IRE),Niall Moore,0,John Michael Burke,F,N/A,5,11-4p,99,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Tincurra Lad (IRE),P. Byrnes,4,W. J. Martin,10th,52 l,5,10-11,92,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Iridescent (USA),C. G. O'Dwyer,4,Jonathan Fogarty,9th,9 1/2 l,8,11-3,98,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Caoimhes Pet (IRE),C. M. Quirke,4,Eoin Christopher McCarthy,8th,9 1/2 l,5,10-5,86,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Laser Focus (IRE),M. P. O'Connor,2,Henry de Bromhead,7th,1 l,4,11-6t,102,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Luimneach (IRE),A. P. Kelly,4,Desmond McDonogh,6th,1 3/4 l,5,11-2,97,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Mr Sundancer,Shane Fenelon,0,John Joseph Hanlon,5th,2 3/4 l,4,11-9,105,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Navigator Jack (IRE),M. M. McDonagh,2,Eoin Griffin,4th,1/2 l,5,11-8h,103,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Chacha Dancer (IRE),M. J. M. O'Sullivan,2,D. Hassett,3rd,6 1/2 l,4,11-6,102,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Capture the Action (IRE),C. Brassil,2,James Joseph Mangan,2nd,2 3/4 l,9,11-2b,97,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Missiee (IRE),G. B. Noonan,4,Eoin Christopher McCarthy,1st,N/A,6,11-0,95,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Up And Out (IRE),Corey McGivern,4,Gordon Elliott,PU,N/A,4,10-11,93,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Ricky Bobby (IRE),A. M. McCurtin,0,John J. Walsh,PU,N/A,7,11-12,107,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Our Bobby (IRE),Niall Moore,0,John Michael Burke,F,N/A,5,11-4p,99,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Tincurra Lad (IRE),P. Byrnes,4,W. J. Martin,10th,52 l,5,10-11,92,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Iridescent (USA),C. G. O'Dwyer,4,Jonathan Fogarty,9th,9 1/2 l,8,11-3,98,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Caoimhes Pet (IRE),C. M. Quirke,4,Eoin Christopher McCarthy,8th,9 1/2 l,5,10-5,86,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Laser Focus (IRE),M. P. O'Connor,2,Henry de Bromhead,7th,1 l,4,11-6t,102,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Luimneach (IRE),A. P. Kelly,4,Desmond McDonogh,6th,1 3/4 l,5,11-2,97,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Mr Sundancer,Shane Fenelon,0,John Joseph Hanlon,5th,2 3/4 l,4,11-9,105,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Navigator Jack (IRE),M. M. McDonagh,2,Eoin Griffin,4th,1/2 l,5,11-8h,103,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Chacha Dancer (IRE),M. J. M. O'Sullivan,2,D. Hassett,3rd,6 1/2 l,4,11-6,102,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Capture the Action (IRE),C. Brassil,2,James Joseph Mangan,2nd,2 3/4 l,9,11-2b,97,True,29,13
Wexford Racing Results | 31st October 2022 14:05,N/A,14:05,Heavy,2m 100y,Missiee (IRE),G. B. Noonan,4,Eoin Christopher McCarthy,1st,N/A,6,11-0,95,True,29,13
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Happy Victory (FR),J. W. Kennedy,0,Gordon Elliott,PU,N/A,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,No Bodder (IRE),D. E. Mullins,0,Anthony Mullins,PU,N/A,6,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Drop The Harrow (IRE),Jonathan Moore,0,Anthony McCann,PU,N/A,6,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Sir Daniel (USA),Gavin Peter Brouder,5,Michael G. Kennedy,PU,N/A,6,11-12p1,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,The Last Throw (IRE),R. A. Doyle,0,M. F. Morris,PU,N/A,6,11-12tp1,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Running Scared (IRE),D. J. O'Keeffe,0,W. J. Burke,PU,N/A,5,11-5,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Carols Wish (IRE),Denis O'Regan,0,Miss Jennifer Anne Lynch,PU,N/A,6,11-5p1,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Duhallow Rainbow (IRE),Phillip Enright,0,Eoghan O'Grady,PU,N/A,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Champagne Monarch (IRE),S. F. O'Keeffe,0,Sean Aherne,6th,10 l,7,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Simpletwistoffaith (IRE),Mr E. Mahon,7,Noel Glynn,5th,4 3/4 l,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Out Galavanting (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,4th,21 l,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Positive Thinker (IRE),C. A. Landers,0,Michael J. McDonagh,3rd,14 l,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Drumderry Harlem (IRE),Mr T. Power Roche,7,Mark John Scallan,2nd,4 l,6,11-5ht,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Harry Des Ongrais (FR),Davy Russell,0,Henry de Bromhead,1st,N/A,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Happy Victory (FR),J. W. Kennedy,0,Gordon Elliott,PU,N/A,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,No Bodder (IRE),D. E. Mullins,0,Anthony Mullins,PU,N/A,6,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Drop The Harrow (IRE),Jonathan Moore,0,Anthony McCann,PU,N/A,6,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Sir Daniel (USA),Gavin Peter Brouder,5,Michael G. Kennedy,PU,N/A,6,11-12p1,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,The Last Throw (IRE),R. A. Doyle,0,M. F. Morris,PU,N/A,6,11-12tp1,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Running Scared (IRE),D. J. O'Keeffe,0,W. J. Burke,PU,N/A,5,11-5,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Carols Wish (IRE),Denis O'Regan,0,Miss Jennifer Anne Lynch,PU,N/A,6,11-5p1,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Duhallow Rainbow (IRE),Phillip Enright,0,Eoghan O'Grady,PU,N/A,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Champagne Monarch (IRE),S. F. O'Keeffe,0,Sean Aherne,6th,10 l,7,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Simpletwistoffaith (IRE),Mr E. Mahon,7,Noel Glynn,5th,4 3/4 l,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Out Galavanting (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,4th,21 l,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Positive Thinker (IRE),C. A. Landers,0,Michael J. McDonagh,3rd,14 l,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Drumderry Harlem (IRE),Mr T. Power Roche,7,Mark John Scallan,2nd,4 l,6,11-5ht,-,True,29,14
Wexford Racing Results | 31st October 2022 14:40,N/A,14:40,Heavy,2m 4f,Harry Des Ongrais (FR),Davy Russell,0,Henry de Bromhead,1st,N/A,5,11-12,-,True,29,14
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Esthers Marvel (IRE),D. J. O'Keeffe,0,David Kenneth Budds,4th,51 l,9,10-2tp,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Run Wild Fred (IRE),J. W. Kennedy,0,Gordon Elliott,3rd,26 l,8,11-0b,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Hurricane Georgie (IRE),Sam Ewing,0,Gordon Elliott,2nd,4 3/4 l,5,10-7,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Noble Yeats (IRE),Sean Bowen,0,Emmet Mullins,1st,N/A,7,11-0,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Esthers Marvel (IRE),D. J. O'Keeffe,0,David Kenneth Budds,4th,51 l,9,10-2tp,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Run Wild Fred (IRE),J. W. Kennedy,0,Gordon Elliott,3rd,26 l,8,11-0b,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Hurricane Georgie (IRE),Sam Ewing,0,Gordon Elliott,2nd,4 3/4 l,5,10-7,-,True,29,15
Wexford Racing Results | 31st October 2022 15:15,N/A,15:15,Heavy,2m 7f,Noble Yeats (IRE),Sean Bowen,0,Emmet Mullins,1st,N/A,7,11-0,-,True,29,15
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Palace Rock (IRE),C. D. Maxwell,0,Francis Casey,PU,N/A,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Marvel De Cerisy (FR),Rachael Blackmore,0,Henry de Bromhead,F,N/A,5,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Au Fleuron (FR),J. W. Kennedy,0,Gordon Elliott,12th,3 l,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Francois (FR),Sarah Kavanagh,7,Mary E Doyle,11th,15 l,7,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Junior Rattler (IRE),R. J. Condon,5,Oliver McKiernan,10th,3 1/4 l,7,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Priory Park (IRE),S. D. Torrens,0,E. J. O'Grady,9th,9 l,6,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Peckham Springs (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,8th,2 l,5,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Stumptown (IRE),K. E. Buckley,5,Gavin Patrick Cromwell,7th,2 l,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Francin (FR),Mr R. A. Berry,7,J. A. Berry,6th,3 1/4 l,9,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Yeah Man (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,8 1/2 l,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,The Priests Leap (IRE),L. P. Dempsey,0,William Durkan,4th,3 3/4 l,8,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Aarons Day (IRE),Phillip Enright,0,Oliver McKiernan,3rd,13 l,8,11-12ht1,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Cayd Boy (FR),M. P. Walsh,0,Miss Elizabeth Doyle,2nd,2 1/2 l,7,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Impervious (IRE),B. Hayes,0,Colm A. Murphy,1st,N/A,6,11-5,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Palace Rock (IRE),C. D. Maxwell,0,Francis Casey,PU,N/A,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Marvel De Cerisy (FR),Rachael Blackmore,0,Henry de Bromhead,F,N/A,5,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Au Fleuron (FR),J. W. Kennedy,0,Gordon Elliott,12th,3 l,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Francois (FR),Sarah Kavanagh,7,Mary E Doyle,11th,15 l,7,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Junior Rattler (IRE),R. J. Condon,5,Oliver McKiernan,10th,3 1/4 l,7,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Priory Park (IRE),S. D. Torrens,0,E. J. O'Grady,9th,9 l,6,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Peckham Springs (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,8th,2 l,5,11-12t,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Stumptown (IRE),K. E. Buckley,5,Gavin Patrick Cromwell,7th,2 l,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Francin (FR),Mr R. A. Berry,7,J. A. Berry,6th,3 1/4 l,9,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Yeah Man (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,8 1/2 l,5,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,The Priests Leap (IRE),L. P. Dempsey,0,William Durkan,4th,3 3/4 l,8,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Aarons Day (IRE),Phillip Enright,0,Oliver McKiernan,3rd,13 l,8,11-12ht1,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Cayd Boy (FR),M. P. Walsh,0,Miss Elizabeth Doyle,2nd,2 1/2 l,7,11-12,-,True,29,16
Wexford Racing Results | 31st October 2022 15:50,N/A,15:50,Heavy,2m,Impervious (IRE),B. Hayes,0,Colm A. Murphy,1st,N/A,6,11-5,-,True,29,16
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,It's Not Ideal (IRE),Mr P. W. Mullins,0,Anthony Mullins,10th,48 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Mon Meilleur Ami (IRE),Mr J. Dunne,7,Alan Donoghue,9th,Short Head,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Ringsend John (IRE),Mr Pat Taaffe,7,Thomas Cooper,8th,1 1/4 l,6,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Master Player (IRE),Mr T. Hamilton,0,John Joseph Hanlon,7th,2 1/4 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Ask Bob (IRE),Mr B. W. Harvey,5,John McConnell,6th,2 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Toor Moon (IRE),Miss S. Ahern,7,Ms M. Flynn,5th,21 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Diamboy Des Carres (FR),Mr R. James,7,Sean Thomas Doyle,4th,Head,6,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Landrake,Mr J. J. Codd,0,Gordon Elliott,3rd,3/4 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Attaboyarchie (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,2nd,3 1/4 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Good Land (FR),Mr Finian Maguire,0,Barry Connell,1st,N/A,6,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,It's Not Ideal (IRE),Mr P. W. Mullins,0,Anthony Mullins,10th,48 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Mon Meilleur Ami (IRE),Mr J. Dunne,7,Alan Donoghue,9th,Short Head,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Ringsend John (IRE),Mr Pat Taaffe,7,Thomas Cooper,8th,1 1/4 l,6,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Master Player (IRE),Mr T. Hamilton,0,John Joseph Hanlon,7th,2 1/4 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Ask Bob (IRE),Mr B. W. Harvey,5,John McConnell,6th,2 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Toor Moon (IRE),Miss S. Ahern,7,Ms M. Flynn,5th,21 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Diamboy Des Carres (FR),Mr R. James,7,Sean Thomas Doyle,4th,Head,6,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Landrake,Mr J. J. Codd,0,Gordon Elliott,3rd,3/4 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Attaboyarchie (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,2nd,3 1/4 l,5,12-0,-,True,29,17
Wexford Racing Results | 31st October 2022 16:25,N/A,16:25,Heavy  Flat (Turf),2m 100y,Good Land (FR),Mr Finian Maguire,0,Barry Connell,1st,N/A,6,12-0,-,True,29,17
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Trampas,N. M. Crosse,0,Luke Comer,PU,N/A,4,9-11,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Stop On Red (IRE),Declan McDonogh,0,J. G. Coogan,8th,1 1/2 l,4,9-6tb,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Dodie Baby (IRE),Tom Kiely Marshall,7,Donal Commins,7th,2 1/4 l,3,9-4t1,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Dark Matter (IRE),Ben Martin Coen,0,A. J. Martin,6th,2 1/4 l,4,9-9,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Sweeping Statement (IRE),William James Lee,0,James McAuley,5th,1/2 l,4,9-11p,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Navorrosse (IRE),R. P. Cleary,0,P. A. Fahy,4th,Neck,5,9-4,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Majestic Colt (IRE),D. King,7,Denis Hogan,3rd,2 3/4 l,7,10-2b,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Prioritise (IRE),Shane Foley,0,James McAuley,2nd,4 1/2 l,4,10-2t,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Bucky Larson (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,7,10-2,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Trampas,N. M. Crosse,0,Luke Comer,PU,N/A,4,9-11,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Stop On Red (IRE),Declan McDonogh,0,J. G. Coogan,8th,1 1/2 l,4,9-6tb,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Dodie Baby (IRE),Tom Kiely Marshall,7,Donal Commins,7th,2 1/4 l,3,9-4t1,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Dark Matter (IRE),Ben Martin Coen,0,A. J. Martin,6th,2 1/4 l,4,9-9,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Sweeping Statement (IRE),William James Lee,0,James McAuley,5th,1/2 l,4,9-11p,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Navorrosse (IRE),R. P. Cleary,0,P. A. Fahy,4th,Neck,5,9-4,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Majestic Colt (IRE),D. King,7,Denis Hogan,3rd,2 3/4 l,7,10-2b,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Prioritise (IRE),Shane Foley,0,James McAuley,2nd,4 1/2 l,4,10-2t,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:00,N/A,14:00,Standard,1m,Bucky Larson (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,7,10-2,-,True,29,18
Dundalk Racing Results | 2nd November 2022 14:30,N/A,14:30,Standard,1m,Cisne (IRE),D. W. O'Connor,0,John McConnell,14th,1/2 l,4,9-8h,62,True,29,19
Dundalk Racing Results | 2nd November 2022 14:30,N/A,14:30,Standard,1m,Scarlet Angel (USA),J. Kearney,7,G. M. Lyons,13th,1 1/4 l,3,10-0b1,70,True,29,19
Dundalk Racing Results | 2nd November 2022 14:30,N/A,14:30,Standard,1m,Patrick Street,J. Coen,5,Patrick Martin,12th,1 3/4 l,3,9-11t,67,True,29,19
Dundalk Racing Results | 2nd November 2022 14:30,N/A,14:30,Standard,1m,Sandyman,R. Whearty,7,James McAuley,11th,3/4 l,6,9-11p1,65,True,29,19
