track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Charming Lady (IRE),R. Whearty,7,T. G. McCourt,7th,1 3/4 l,3,9-0,77,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Son Of Sampers (IRE),J. A. Powell,5,M. Halford & T. Collins,6th,Short Head,3,8-13,76,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Dontspoilasale (IRE),W. M. Lordan,0,Miss Natalia Lupini,5th,1 1/2 l,3,9-11,88,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Daamberdiplomat (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,3 1/2 l,3,9-11,88,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Blanc De Noir (IRE),N. M. Crosse,0,Mrs J. Harrington,3rd,1/2 l,3,8-11b,74,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Aussie Girl (IRE),S. D. Bowen,7,J. A. Stack,2nd,1 1/2 l,3,9-3h,80,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Sioux Spirit (IRE),William James Lee,0,K. J. Condon,1st,N/A,3,9-1v,78,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Cash Or Crypto (IRE),Declan McDonogh,0,David Marnane,RR,N/A,3,9-2t1,79,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,All Things Nice (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,10th,3/4 l,3,9-11p1,88,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Apricot Twist (IRE),C. T. Keane,0,G. M. Lyons,9th,2 1/2 l,3,10-0tb1,91,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Not Just Yet (IRE),Adam Caffrey,5,Noel Meade,8th,7 1/2 l,3,8-12,75,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Charming Lady (IRE),R. Whearty,7,T. G. McCourt,7th,1 3/4 l,3,9-0,77,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Son Of Sampers (IRE),J. A. Powell,5,M. Halford & T. Collins,6th,Short Head,3,8-13,76,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Dontspoilasale (IRE),W. M. Lordan,0,Miss Natalia Lupini,5th,1 1/2 l,3,9-11,88,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Daamberdiplomat (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,3 1/2 l,3,9-11,88,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Blanc De Noir (IRE),N. M. Crosse,0,Mrs J. Harrington,3rd,1/2 l,3,8-11b,74,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Aussie Girl (IRE),S. D. Bowen,7,J. A. Stack,2nd,1 1/2 l,3,9-3h,80,True,65,14
Naas Racing Results | 28th June 2023 18:30,N/A,18:30,Good (Good To Firm In Places),5f 205y,Sioux Spirit (IRE),William James Lee,0,K. J. Condon,1st,N/A,3,9-1v,78,True,65,14
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Maxux (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,9th,2 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Dame Kiri (USA),G. M. Ryan,0,Aidan O'Brien,8th,1 3/4 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Shamwari (USA),Declan McDonogh,0,Joseph Patrick O'Brien,7th,3/4 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Perfect Portrait,D. B. McMonagle,0,Joseph Patrick O'Brien,6th,1/2 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Small Oasis,Ben Martin Coen,0,Mrs J. Harrington,5th,Head,3,9-2b1,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Lambada (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,1 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Snowcapped (IRE),C. T. Keane,0,Mrs J. Harrington,3rd,1 1/2 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Empress Of Beauty (FR),William James Lee,0,Henry de Bromhead,2nd,Head,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Library (IRE),W. M. Lordan,0,Aidan O'Brien,1st,N/A,3,9-2b,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Maxux (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,9th,2 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Dame Kiri (USA),G. M. Ryan,0,Aidan O'Brien,8th,1 3/4 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Shamwari (USA),Declan McDonogh,0,Joseph Patrick O'Brien,7th,3/4 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Perfect Portrait,D. B. McMonagle,0,Joseph Patrick O'Brien,6th,1/2 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Small Oasis,Ben Martin Coen,0,Mrs J. Harrington,5th,Head,3,9-2b1,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Lambada (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,1 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Snowcapped (IRE),C. T. Keane,0,Mrs J. Harrington,3rd,1 1/2 l,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Empress Of Beauty (FR),William James Lee,0,Henry de Bromhead,2nd,Head,3,9-2,-,True,65,15
Naas Racing Results | 28th June 2023 19:00,N/A,19:00,Good (Good To Firm In Places),1m 2f,Library (IRE),W. M. Lordan,0,Aidan O'Brien,1st,N/A,3,9-2b,-,True,65,15
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Ard Mhacha (IRE),C. J. MacRedmond,0,Adrian McGuinness,13th,2 1/2 l,3,8-9h1,71,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Mass Gathering (IRE),D. E. Sheehy,0,J. G. Murray,12th,3/4 l,5,8-7tp,59,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Touching Clouds (USA),O. Enright,7,D. K. Weld,11th,1/2 l,4,9-9b,75,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Eighty Eight (IRE),J. Coen,2,Ross O'Sullivan,10th,Neck,4,9-11,77,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Winemaker (FR),D. N. Curran,0,Diego Dias,9th,2 l,3,9-3,79,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Monzoon,S. McCullagh,0,Ross O'Sullivan,8th,Neck,6,9-3b1,69,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Pinball Wizard (IRE),S. D. Bowen,4,John J. Nallen,7th,Short Head,5,9-1,67,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Walhaan (IRE),C. Stone-Walsh,7,Ciaran Murphy,6th,Short Head,7,10-2,82,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Akmaam (FR),E. A. Murphy,7,J. F. Levins,5th,3/4 l,5,9-3,69,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Big Baby Bull (IRE),K. S. McHugh,7,Denis Hogan,4th,1/2 l,7,10-3tb,83,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Facethepuckout (IRE),Siobhan Rutledge,0,M. D. O'Callaghan,3rd,1 3/4 l,7,9-10,76,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Hastily,M. W. Hassett,7,Tom McGuinness,2nd,1/2 l,4,8-7,59,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Hasten Slowly (IRE),J. A. Powell,0,Noel Meade,1st,N/A,3,8-9,71,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Ard Mhacha (IRE),C. J. MacRedmond,0,Adrian McGuinness,13th,2 1/2 l,3,8-9h1,71,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Mass Gathering (IRE),D. E. Sheehy,0,J. G. Murray,12th,3/4 l,5,8-7tp,59,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Touching Clouds (USA),O. Enright,7,D. K. Weld,11th,1/2 l,4,9-9b,75,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Eighty Eight (IRE),J. Coen,2,Ross O'Sullivan,10th,Neck,4,9-11,77,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Winemaker (FR),D. N. Curran,0,Diego Dias,9th,2 l,3,9-3,79,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Monzoon,S. McCullagh,0,Ross O'Sullivan,8th,Neck,6,9-3b1,69,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Pinball Wizard (IRE),S. D. Bowen,4,John J. Nallen,7th,Short Head,5,9-1,67,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Walhaan (IRE),C. Stone-Walsh,7,Ciaran Murphy,6th,Short Head,7,10-2,82,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Akmaam (FR),E. A. Murphy,7,J. F. Levins,5th,3/4 l,5,9-3,69,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Big Baby Bull (IRE),K. S. McHugh,7,Denis Hogan,4th,1/2 l,7,10-3tb,83,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Facethepuckout (IRE),Siobhan Rutledge,0,M. D. O'Callaghan,3rd,1 3/4 l,7,9-10,76,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Hastily,M. W. Hassett,7,Tom McGuinness,2nd,1/2 l,4,8-7,59,True,65,16
Naas Racing Results | 28th June 2023 19:30,N/A,19:30,Good (Good To Firm In Places),1m,Hasten Slowly (IRE),J. A. Powell,0,Noel Meade,1st,N/A,3,8-9,71,True,65,16
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Queen of the Moon (IRE),N. M. Crosse,0,Luke Comer,11th,2 1/4 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Flaming O'hara (IRE),L. F. Roche,0,D. K. Weld,10th,Head,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Santa Fe (IRE),N. G. McCullagh,0,Charles O'Brien,9th,7 1/2 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Jeaniemacaroney (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,8th,4 3/4 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Lady Kai (IRE),Ben Martin Coen,0,Ross O'Sullivan,7th,1 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Es Vedra (IRE),William James Lee,0,W. McCreery,6th,4 1/2 l,3,9-3v,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Muhaarar's Girl (IRE),D. W. O'Connor,0,K. J. Condon,5th,Head,3,9-3t,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Lady Meis (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1/2 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Water Nymph (IRE),W. M. Lordan,0,Aidan O'Brien,3rd,1 l,3,9-3p,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Hotaugustnight (IRE),J. M. Sheridan,0,J. A. Stack,2nd,11 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Eternal Silence (USA),C. D. Hayes,0,Mrs J. Harrington,1st,N/A,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Queen of the Moon (IRE),N. M. Crosse,0,Luke Comer,11th,2 1/4 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Flaming O'hara (IRE),L. F. Roche,0,D. K. Weld,10th,Head,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Santa Fe (IRE),N. G. McCullagh,0,Charles O'Brien,9th,7 1/2 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Jeaniemacaroney (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,8th,4 3/4 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Lady Kai (IRE),Ben Martin Coen,0,Ross O'Sullivan,7th,1 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Es Vedra (IRE),William James Lee,0,W. McCreery,6th,4 1/2 l,3,9-3v,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Muhaarar's Girl (IRE),D. W. O'Connor,0,K. J. Condon,5th,Head,3,9-3t,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Lady Meis (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1/2 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Water Nymph (IRE),W. M. Lordan,0,Aidan O'Brien,3rd,1 l,3,9-3p,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Hotaugustnight (IRE),J. M. Sheridan,0,J. A. Stack,2nd,11 l,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:00,N/A,20:00,Good (Good To Firm In Places),1m,Eternal Silence (USA),C. D. Hayes,0,Mrs J. Harrington,1st,N/A,3,9-3,-,True,65,17
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Latinised,L. F. Roche,0,Ross O'Sullivan,10th,7 1/2 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Capernoity (IRE),D. W. O'Connor,0,J. F. Levins,9th,5 1/2 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Chiketto (IRE),M. W. Hassett,10,Joseph Patrick O'Brien,8th,1/2 l,3,9-8t1,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Eagles Reign (IRE),M. P. Sheehy,0,Ross O'Sullivan,7th,5 l,3,9-8b1,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Caulaincourt (IRE),C. T. Keane,0,G. M. Lyons,6th,3/4 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Parish Centre (IRE),R. P. Cleary,0,J. S. Bolger,5th,1/2 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Go Sioux Me (IRE),Seamie Heffernan,0,James A. Nash,4th,Neck,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Woodcock Flight (IRE),Declan McDonogh,0,Kevin Prendergast,3rd,1 1/2 l,3,9-8v1,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 1/2 l,3,9-8p,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Shayzann (IRE),Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Latinised,L. F. Roche,0,Ross O'Sullivan,10th,7 1/2 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Capernoity (IRE),D. W. O'Connor,0,J. F. Levins,9th,5 1/2 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Chiketto (IRE),M. W. Hassett,10,Joseph Patrick O'Brien,8th,1/2 l,3,9-8t1,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Eagles Reign (IRE),M. P. Sheehy,0,Ross O'Sullivan,7th,5 l,3,9-8b1,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Caulaincourt (IRE),C. T. Keane,0,G. M. Lyons,6th,3/4 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Parish Centre (IRE),R. P. Cleary,0,J. S. Bolger,5th,1/2 l,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Go Sioux Me (IRE),Seamie Heffernan,0,James A. Nash,4th,Neck,3,9-8,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Woodcock Flight (IRE),Declan McDonogh,0,Kevin Prendergast,3rd,1 1/2 l,3,9-8v1,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 1/2 l,3,9-8p,-,True,65,18
Naas Racing Results | 28th June 2023 20:30,N/A,20:30,Good (Good To Firm In Places)  (Turf),1m,Shayzann (IRE),Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,3,9-8,-,True,65,18
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Our Queen Bee (IRE),N. M. Crosse,0,Philip Michael Byrne,18th,22 l,2,9-2,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Liberty Looming (IRE),R. P. Cleary,0,J. S. Bolger,17th,2 3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Ciantov (IRE),William James Lee,0,Andrew McNamara,16th,1 3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Count Von Browne (IRE),Oisin McSweeney,5,Kieran Patrick Cotter,15th,5 1/2 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Gloucester (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,14th,Short Head,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Poppadom (IRE),Andrew Joseph Slattery,0,A. Slattery,13th,1/2 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Hasshoffman,D. B. McMonagle,0,Joseph Patrick O'Brien,12th,1 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Martinelli (IRE),Declan McDonogh,0,Kieran Patrick Cotter,11th,Neck,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Bennu (IRE),Seamie Heffernan,0,W. P. Browne,10th,3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,The Bear Trap (IRE),S. McCullagh,3,Mrs J. Harrington,9th,Neck,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Little Miss Peppi (IRE),D. W. O'Connor,0,John McConnell,8th,1 3/4 l,2,9-2,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Going Remote (IRE),R. P. Whelan,0,Mrs J. Harrington,7th,3 3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Bright Stripes (IRE),Ben Martin Coen,0,Andrew Oliver,6th,Head,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,House Of Aviz (USA),W. M. Lordan,0,Aidan O'Brien,5th,3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Kortez Bay (IRE),R. C. Colgan,0,Ms Sheila Lavery,4th,1 1/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,My Mate Alfie (IRE),G. F. Carroll,0,G. M. Lyons,3rd,3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Chandigah (IRE),C. D. Hayes,0,Darren Bunyan,2nd,1 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Mountain Bear (IRE),Ryan Moore,0,Aidan O'Brien,1st,N/A,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Our Queen Bee (IRE),N. M. Crosse,0,Philip Michael Byrne,18th,22 l,2,9-2,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Liberty Looming (IRE),R. P. Cleary,0,J. S. Bolger,17th,2 3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Ciantov (IRE),William James Lee,0,Andrew McNamara,16th,1 3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Count Von Browne (IRE),Oisin McSweeney,5,Kieran Patrick Cotter,15th,5 1/2 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Gloucester (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,14th,Short Head,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Poppadom (IRE),Andrew Joseph Slattery,0,A. Slattery,13th,1/2 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Hasshoffman,D. B. McMonagle,0,Joseph Patrick O'Brien,12th,1 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Martinelli (IRE),Declan McDonogh,0,Kieran Patrick Cotter,11th,Neck,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Bennu (IRE),Seamie Heffernan,0,W. P. Browne,10th,3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,The Bear Trap (IRE),S. McCullagh,3,Mrs J. Harrington,9th,Neck,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Little Miss Peppi (IRE),D. W. O'Connor,0,John McConnell,8th,1 3/4 l,2,9-2,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Going Remote (IRE),R. P. Whelan,0,Mrs J. Harrington,7th,3 3/4 l,2,9-7,-,True,65,19
Curragh Racing Results | 30th June 2023 17:00,N/A,17:00,Good (Good To Yielding In Places),6f,Bright Stripes (IRE),Ben Martin Coen,0,Andrew Oliver,6th,Head,2,9-7,-,True,65,19
