track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Rochester Mike (IRE),D P McDonogh,0,Maurice Ahern,11th,1 1/2 l,5,9-13tb,57,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Pink Socks (IRE),Nicola Burns,7,T Doyle,10th,1/2 l,6,10-1,59,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Gatsby Cap (IRE),R Coakley,0,J C McConnell,9th,Neck,9,8-13tp,43,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Metamorpheus (IRE),S Foley,0,R O'Brien,8th,1 1/4 l,6,9-11,55,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Morning Approach (IRE),N M Crosse,0,W McCreery,7th,Nose,7,10-2v,60,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Ranko Express (IRE),S Coen,7,A Slattery,6th,1 l,5,9-13,57,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Limestone Red (IRE),R P Whelan,0,T Collins,5th,Neck,5,9-10b1,54,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Obama Army,Adam Caffrey,0,A McGuinness,4th,2 3/4 l,5,9-10t,54,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Escape Act (IRE),J Kearney,3,R O'Brien,3rd,3/4 l,4,10-0,58,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Thegooseiscooked (IRE),C T Keane,0,G Keane,2nd,Head,8,9-0,44,True,3,27
Tipperary Racing Results | 2nd July 2025 20:20,2025-07-02,20:20,Good To Firm (Good In Places),1m 1f,Chou Chou (IRE),K J Leonard,0,E O'Connell,1st,N/A,4,8-12,42,True,3,27
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Quinn's Charm (IRE),W Joyce,3,M Mulvany,9th,3 1/2 l,2,9-3t1,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Cuban Princess,M W Hassett,3,J P O'Brien,8th,1 l,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Kuma Queen (IRE),L F Roche,0,P Stafford,7th,4 3/4 l,2,8-9,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Full of Notions (IRE),D P McDonogh,0,J P O'Brien,6th,4 1/4 l,2,9-1,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Soller (IRE),A J Slattery,0,J Halley,5th,1/2 l,2,8-9,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Maker's Mark (IRE),J J G Ryan,3,T G McCourt,4th,1 1/2 l,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Lucia Molly (IRE),Adam Caffrey,0,A McGuinness,3rd,3 1/4 l,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Elly Bay (IRE),B M Coen,0,J P Murtagh,2nd,5 l,2,8-11,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Red Autumn (IRE),C D Hayes,0,D K Weld,1st,N/A,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Quinn's Charm (IRE),W Joyce,3,M Mulvany,9th,3 1/2 l,2,9-3t1,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Cuban Princess,M W Hassett,3,J P O'Brien,8th,1 l,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Kuma Queen (IRE),L F Roche,0,P Stafford,7th,4 3/4 l,2,8-9,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Full of Notions (IRE),D P McDonogh,0,J P O'Brien,6th,4 1/4 l,2,9-1,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Soller (IRE),A J Slattery,0,J Halley,5th,1/2 l,2,8-9,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Maker's Mark (IRE),J J G Ryan,3,T G McCourt,4th,1 1/2 l,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Lucia Molly (IRE),Adam Caffrey,0,A McGuinness,3rd,3 1/4 l,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Elly Bay (IRE),B M Coen,0,J P Murtagh,2nd,5 l,2,8-11,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 16:47,2025-07-03,16:47,Good (Good To Yielding In Places),7f 211y,Red Autumn (IRE),C D Hayes,0,D K Weld,1st,N/A,2,8-13,-,True,3,28
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Kodi's Angel (IRE),W Joyce,3,M Mulvany,PU,N/A,3,9-11t1,57,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,The Dark Baron (IRE),B M Coen,0,J J Murphy,14th,4 1/2 l,3,9-8b1,54,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Bungle Lichious (IRE),L T McAteer,0,P W Flynn,13th,2 l,3,9-7tp1,53,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Stiorra (IRE),S Coen,7,A Slattery,12th,1 3/4 l,3,10-0t,60,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Endless Dawn,Adam Caffrey,0,A McGuinness,11th,1/2 l,3,9-2tp,48,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Micasso (IRE),R P Cleary,0,D Kinsella,10th,1 l,3,9-5t,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Sovereign Banter (IRE),J A Heffernan,0,E J O'Grady,9th,1/2 l,3,9-5p,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Western Dreamer (IRE),R C Colgan,0,C Timmons,8th,1/2 l,3,9-4b1,50,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Merchants Arch (IRE),D W O'Connor,0,R O'Sullivan,7th,3 1/4 l,3,9-12p,58,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Undefeatable (IRE),G F Carroll,0,K Smith,6th,3/4 l,3,9-5,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,James The Second (IRE),T Casey,10,M Mulvany,5th,1 1/2 l,3,9-5,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Academe (IRE),S Foley,0,Mrs J Harrington,4th,Short Head,3,9-7v1,53,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Shahada Ace,A J Slattery,0,A Slattery,3rd,3 1/4 l,3,9-6,52,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Eric Lock,C D Hayes,0,N Meade,2nd,1/2 l,3,9-9p,55,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Oiche Rua (IRE),R P Whelan,0,A McGuinness,1st,N/A,3,9-8,54,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Kodi's Angel (IRE),W Joyce,3,M Mulvany,PU,N/A,3,9-11t1,57,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,The Dark Baron (IRE),B M Coen,0,J J Murphy,14th,4 1/2 l,3,9-8b1,54,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Bungle Lichious (IRE),L T McAteer,0,P W Flynn,13th,2 l,3,9-7tp1,53,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Stiorra (IRE),S Coen,7,A Slattery,12th,1 3/4 l,3,10-0t,60,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Endless Dawn,Adam Caffrey,0,A McGuinness,11th,1/2 l,3,9-2tp,48,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Micasso (IRE),R P Cleary,0,D Kinsella,10th,1 l,3,9-5t,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Sovereign Banter (IRE),J A Heffernan,0,E J O'Grady,9th,1/2 l,3,9-5p,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Western Dreamer (IRE),R C Colgan,0,C Timmons,8th,1/2 l,3,9-4b1,50,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Merchants Arch (IRE),D W O'Connor,0,R O'Sullivan,7th,3 1/4 l,3,9-12p,58,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Undefeatable (IRE),G F Carroll,0,K Smith,6th,3/4 l,3,9-5,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,James The Second (IRE),T Casey,10,M Mulvany,5th,1 1/2 l,3,9-5,51,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Academe (IRE),S Foley,0,Mrs J Harrington,4th,Short Head,3,9-7v1,53,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Shahada Ace,A J Slattery,0,A Slattery,3rd,3 1/4 l,3,9-6,52,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Eric Lock,C D Hayes,0,N Meade,2nd,1/2 l,3,9-9p,55,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:22,2025-07-03,17:22,Good (Good To Yielding In Places),7f 211y,Oiche Rua (IRE),R P Whelan,0,A McGuinness,1st,N/A,3,9-8,54,True,3,29
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Carrickfinn,T Casey,10,Shane Gallagher,15th,6 1/2 l,6,9-1tb,45,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Man Is King (IRE),J M Sheridan,0,Thomas Dowling,14th,3 1/2 l,6,9-5tp,49,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Barrys Rock (IRE),J A Heffernan,0,A Mullins,13th,2 3/4 l,10,8-12v,42,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Hastily,J Cleary,5,Tom McGuinness,12th,1/2 l,6,9-3,47,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Zero Fighter (IRE),W Joyce,3,E D Delany,11th,1 1/2 l,5,9-1v1,45,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Vangelis (IRE),B M Coen,0,Ciaran Murphy,10th,8 l,4,10-1b1,59,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Eagles Whistle (IRE),C D Hayes,0,P J F Murphy,9th,3 l,5,8-12t,42,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Takeachancejimmy (IRE),R C Colgan,0,N Slevin,8th,Neck,11,9-13,57,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Navorrosse (IRE),R M Mulligan,7,G A Kingston,7th,3/4 l,8,8-11,41,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Akeela,G F Carroll,0,Ian Donoghue,6th,Neck,5,9-3t,47,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Carvalhal (IRE),Nicola Burns,7,R P Burns,5th,Head,4,9-13b,57,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Saxon Kingdom (IRE),G M Ryan,0,Thomas Dowling,4th,1/2 l,4,9-6tp,50,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Roman Harry (IRE),J J G Ryan,3,C O'Connell,3rd,1/2 l,5,10-0,58,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Cleopatra's Needle (IRE),Adam Caffrey,0,H Rogers,2nd,1 1/2 l,7,9-6tv,50,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Exceeding (IRE),A J Slattery,0,A Slattery,1st,N/A,4,8-10t,40,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Carrickfinn,T Casey,10,Shane Gallagher,15th,6 1/2 l,6,9-1tb,45,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Man Is King (IRE),J M Sheridan,0,Thomas Dowling,14th,3 1/2 l,6,9-5tp,49,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Barrys Rock (IRE),J A Heffernan,0,A Mullins,13th,2 3/4 l,10,8-12v,42,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Hastily,J Cleary,5,Tom McGuinness,12th,1/2 l,6,9-3,47,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Zero Fighter (IRE),W Joyce,3,E D Delany,11th,1 1/2 l,5,9-1v1,45,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Vangelis (IRE),B M Coen,0,Ciaran Murphy,10th,8 l,4,10-1b1,59,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Eagles Whistle (IRE),C D Hayes,0,P J F Murphy,9th,3 l,5,8-12t,42,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Takeachancejimmy (IRE),R C Colgan,0,N Slevin,8th,Neck,11,9-13,57,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Navorrosse (IRE),R M Mulligan,7,G A Kingston,7th,3/4 l,8,8-11,41,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Akeela,G F Carroll,0,Ian Donoghue,6th,Neck,5,9-3t,47,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Carvalhal (IRE),Nicola Burns,7,R P Burns,5th,Head,4,9-13b,57,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Saxon Kingdom (IRE),G M Ryan,0,Thomas Dowling,4th,1/2 l,4,9-6tp,50,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Roman Harry (IRE),J J G Ryan,3,C O'Connell,3rd,1/2 l,5,10-0,58,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Cleopatra's Needle (IRE),Adam Caffrey,0,H Rogers,2nd,1 1/2 l,7,9-6tv,50,True,3,30
Bellewstown Racing Results | 3rd July 2025 17:57,2025-07-03,17:57,Good (Good To Yielding In Places),7f 211y,Exceeding (IRE),A J Slattery,0,A Slattery,1st,N/A,4,8-10t,40,True,3,30
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,La Masia (IRE),L F Roche,0,K Smith,8th,5 1/2 l,2,8-8,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Call Margot (IRE),G M Ryan,0,D Dias,7th,2 1/2 l,2,9-2ht1,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Believe In Glory (IRE),M W Hassett,3,K J Condon,6th,3/4 l,2,8-8,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Bullet Bourbon (IRE),R P Cleary,0,T G McCourt,5th,1/2 l,2,8-12,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Andosky (IRE),W Joyce,3,M Mulvany,4th,1 1/2 l,2,8-8t1,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Plushy (IRE),S Foley,0,G P Cromwell,3rd,2 3/4 l,2,8-10h1,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Star Of Sapphire (IRE),C D Hayes,0,N Meade,2nd,1/2 l,2,8-8,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Parkside Lad (IRE),G F Carroll,0,W Durkan,1st,N/A,2,8-13,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,La Masia (IRE),L F Roche,0,K Smith,8th,5 1/2 l,2,8-8,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Call Margot (IRE),G M Ryan,0,D Dias,7th,2 1/2 l,2,9-2ht1,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Believe In Glory (IRE),M W Hassett,3,K J Condon,6th,3/4 l,2,8-8,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Bullet Bourbon (IRE),R P Cleary,0,T G McCourt,5th,1/2 l,2,8-12,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Andosky (IRE),W Joyce,3,M Mulvany,4th,1 1/2 l,2,8-8t1,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Plushy (IRE),S Foley,0,G P Cromwell,3rd,2 3/4 l,2,8-10h1,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Star Of Sapphire (IRE),C D Hayes,0,N Meade,2nd,1/2 l,2,8-8,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 18:32,2025-07-03,18:32,Good (Good To Yielding In Places),5f 3y,Parkside Lad (IRE),G F Carroll,0,W Durkan,1st,N/A,2,8-13,-,True,3,31
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Reinforce (IRE),R P Whelan,0,Miss K Brown,8th,Neck,5,9-8,71,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Plastic Paddy,J Cleary,5,Tom McGuinness,7th,3 3/4 l,7,9-12p,75,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Only Spoofing (IRE),L T McAteer,0,Kevin Coleman,6th,Neck,11,9-4,67,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Mickey The Steel,W Joyce,3,Joseph Murray,5th,1 1/4 l,7,9-10tp,73,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Emerald Harmony (IRE),B M Coen,0,J P Murtagh,4th,1/2 l,4,10-0p,77,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Smoke Them Out (IRE),J J G Ryan,3,T G McCourt,3rd,1 3/4 l,3,9-6,74,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Billie Be Quick (IRE),K G Kennedy,5,Mrs J Harrington,2nd,1 1/2 l,3,9-8p,76,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Aurora Nova (IRE),Nicola Burns,7,A McNamara,1st,N/A,6,9-6,69,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Reinforce (IRE),R P Whelan,0,Miss K Brown,8th,Neck,5,9-8,71,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Plastic Paddy,J Cleary,5,Tom McGuinness,7th,3 3/4 l,7,9-12p,75,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Only Spoofing (IRE),L T McAteer,0,Kevin Coleman,6th,Neck,11,9-4,67,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Mickey The Steel,W Joyce,3,Joseph Murray,5th,1 1/4 l,7,9-10tp,73,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Emerald Harmony (IRE),B M Coen,0,J P Murtagh,4th,1/2 l,4,10-0p,77,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Smoke Them Out (IRE),J J G Ryan,3,T G McCourt,3rd,1 3/4 l,3,9-6,74,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Billie Be Quick (IRE),K G Kennedy,5,Mrs J Harrington,2nd,1 1/2 l,3,9-8p,76,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:07,2025-07-03,19:07,Good (Good To Yielding In Places),5f 3y,Aurora Nova (IRE),Nicola Burns,7,A McNamara,1st,N/A,6,9-6,69,True,3,32
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Ally Cay (IRE),R M Mulligan,0,Paul Mulligan,10th,4 1/2 l,9,8-12p,42,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Futurum Regem (IRE),S Coen,0,H P Finegan,9th,Neck,9,9-3b,47,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Randall Poets Lass (IRE),Nicola Burns,0,S Fahey,8th,1 3/4 l,5,9-6,50,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Whispering Hopes (IRE),J Pietropaolo,2,G Elliott,7th,Neck,5,9-11,55,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Lariat,D S O'Sullivan,0,L P Cusack,6th,1 3/4 l,9,8-13p,43,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Make Good (IRE),C Geerdharry,2,Joseph Murray,5th,1/2 l,10,10-2tp,60,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Highland Bells (IRE),T Casey,4,M Mulvany,4th,1/2 l,4,8-10,40,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Trubshaw,Gabriella Hill,4,H De Bromhead,3rd,Neck,3,9-0,57,True,3,33
Bellewstown Racing Results | 3rd July 2025 19:42,2025-07-03,19:42,Good (Good To Yielding In Places),1m 6f 109y,Maxwell Smart (IRE),Sadhbh Tormey,4,T G McCourt,2nd,1/2 l,4,9-0,44,True,3,33
