track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,15:40,Good To Yielding,2m 40y,Brookie (IRE),L. A. McKenna,5,A. J. Martin,4th,3 3/4 l,6,11-5t,114,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Feu Du Bresil (FR),Jack Foley,0,W. P. Mullins,3rd,1 1/4 l,8,11-11,120,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,By Your Side,D. J. Gilligan,7,Gordon Elliott,2nd,Nose,4,10-11,114,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Broomfield Bijou (IRE),L. P. Dempsey,0,J. P. Dempsey,1st,N/A,5,11-9,118,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Gentleman Joe,Rachael Blackmore,0,Henry de Bromhead,UR,N/A,5,11-7t,116,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Gordons Aura (IRE),Sean Flanagan,0,Gordon Elliott,UR,N/A,4,11-1,118,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Wild Shot,B. W. Harvey,5,John McConnell,UR,N/A,9,11-11t,120,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Francois (FR),Mr B. Dunleavy,7,Mary E Doyle,C,N/A,8,11-11tp,120,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Listentillitellyea (IRE),D. J. O'Keeffe,0,T. Gibney,C,N/A,7,11-3,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Figaroc (FR),B. Hayes,0,W. P. Mullins,C,N/A,8,11-13,122,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,It'sallabouteve (IRE),A. M. McCurtin,0,Brendan Maurice Walsh,19th,9 1/2 l,7,11-1,110,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Vischio (IRE),Richard Deegan,0,R. Donohoe,18th,7 l,6,11-3,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Charcor (IRE),J. J. Slevin,0,Martin Brassil,17th,3/4 l,9,11-1t,110,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Fascinating Shadow (IRE),J. S. McGarvey,0,John Joseph Hanlon,16th,2 1/4 l,5,11-7,116,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Garrybello (FR),P. Byrnes,5,Thomas Cooper,15th,3 1/4 l,5,12-0ht,123,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Clever Currency (IRE),D. E. Mullins,0,Paul W. Flynn,14th,Neck,6,11-5t,114,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Walnut Beach (IRE),G. B. Noonan,5,Patrick J. Flynn,13th,4 1/2 l,6,11-13,122,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Clonshire River (IRE),R. A. Doyle,0,Eddie & Patrick Harty,12th,1 l,6,11-7t1,116,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Snapius (IRE),Gavin Peter Brouder,5,James A. Nash,11th,3/4 l,4,10-9,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,The Dasher Conway (IRE),Keith Donoghue,0,Mrs Gillian Callaghan,10th,Neck,8,11-6,115,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Clarens (IRE),D. King,5,J. P. Flavin,9th,1/2 l,6,11-8,117,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Aslukwoodhavit,M. P. O'Connor,5,Henry de Bromhead,8th,3 l,7,12-0,123,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Too Bright (IRE),Denis O'Regan,0,Noel Meade,7th,2 3/4 l,5,11-4,113,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Ifiwerearichman (IRE),Mr R. James,7,Paul Nolan,6th,1 1/4 l,5,11-12h,121,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Itwasfate,C. Brassil,5,Henry de Bromhead,5th,1 1/4 l,6,11-3,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Brookie (IRE),L. A. McKenna,5,A. J. Martin,4th,3 3/4 l,6,11-5t,114,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Feu Du Bresil (FR),Jack Foley,0,W. P. Mullins,3rd,1 1/4 l,8,11-11,120,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,By Your Side,D. J. Gilligan,7,Gordon Elliott,2nd,Nose,4,10-11,114,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Broomfield Bijou (IRE),L. P. Dempsey,0,J. P. Dempsey,1st,N/A,5,11-9,118,True,51,29
N/A,N/A,16:15,Good To Yielding,2m,Sil Ver Klass (FR),Peter Carberry,0,A. J. Martin,UR,N/A,9,10-1t,125,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Fighting Fit,L. P. Dempsey,0,J. P. Dempsey,PU,N/A,8,10-1tp1,125,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Coeur Sublime (IRE),B. W. Harvey,5,Henry de Bromhead,PU,N/A,8,11-12t,150,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Brandy Harbour,D. Moloney,7,Mrs Grainne O'Connor,F,N/A,9,10-5h,129,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,The Greek (IRE),Corey McGivern,7,Gordon Elliott,10th,4 1/4 l,7,10-5tb,129,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Call Me Lyreen (IRE),Donagh Meyler,0,Gordon Elliott,9th,2 l,7,11-2p,140,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Bold Emperor (IRE),D. J. O'Keeffe,0,T. Gibney,8th,1 1/2 l,10,10-0,124,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Grange Walk (IRE),Liam Quinlan,5,John Patrick Ryan,7th,14 l,8,11-6b,144,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Whiskeywealth (IRE),M. P. O'Connor,5,Terence O'Brien,6th,1 1/2 l,7,10-3,127,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Espion Du Chenet (FR),Phillip Enright,0,Louise G. Lyons,5th,1 1/4 l,9,10-3tp,127,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Hollow Games (IRE),D. J. Gilligan,7,Gordon Elliott,4th,4 1/2 l,7,11-4t,142,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,The Folkes Tiara (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,4 l,7,10-0t,124,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Douglas Talking (IRE),Stephen Mulqueen,0,Lucinda Russell,2nd,2 3/4 l,7,10-11t,135,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Dinoblue (FR),M. P. Walsh,0,W. P. Mullins,1st,N/A,6,11-9,147,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Sil Ver Klass (FR),Peter Carberry,0,A. J. Martin,UR,N/A,9,10-1t,125,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Fighting Fit,L. P. Dempsey,0,J. P. Dempsey,PU,N/A,8,10-1tp1,125,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Coeur Sublime (IRE),B. W. Harvey,5,Henry de Bromhead,PU,N/A,8,11-12t,150,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Brandy Harbour,D. Moloney,7,Mrs Grainne O'Connor,F,N/A,9,10-5h,129,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,The Greek (IRE),Corey McGivern,7,Gordon Elliott,10th,4 1/4 l,7,10-5tb,129,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Call Me Lyreen (IRE),Donagh Meyler,0,Gordon Elliott,9th,2 l,7,11-2p,140,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Bold Emperor (IRE),D. J. O'Keeffe,0,T. Gibney,8th,1 1/2 l,10,10-0,124,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Grange Walk (IRE),Liam Quinlan,5,John Patrick Ryan,7th,14 l,8,11-6b,144,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Whiskeywealth (IRE),M. P. O'Connor,5,Terence O'Brien,6th,1 1/2 l,7,10-3,127,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Espion Du Chenet (FR),Phillip Enright,0,Louise G. Lyons,5th,1 1/4 l,9,10-3tp,127,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Hollow Games (IRE),D. J. Gilligan,7,Gordon Elliott,4th,4 1/2 l,7,11-4t,142,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,The Folkes Tiara (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,4 l,7,10-0t,124,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Douglas Talking (IRE),Stephen Mulqueen,0,Lucinda Russell,2nd,2 3/4 l,7,10-11t,135,True,51,30
N/A,N/A,16:15,Good To Yielding,2m,Dinoblue (FR),M. P. Walsh,0,W. P. Mullins,1st,N/A,6,11-9,147,True,51,30
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Mortal (IRE),J. S. McGarvey,0,Gordon Elliott,PU,N/A,11,11-7tp,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,The Red Menace (IRE),Mr A. Murphy,7,Ciaran Murphy,F,N/A,9,11-7,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,An Droichead Eile (IRE),J. J. Slevin,0,Peter Maher,10th,4 1/4 l,9,11-7p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Space Cadet (IRE),Mr J. C. Barry,3,Gearoid O'Loughlin,9th,20 l,13,11-7p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Alpha Male (FR),Mr T. Power Roche,7,Peter Maher,8th,4 1/4 l,12,11-12p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Western Sea (IRE),Mr L. P. Shanahan,7,Ross O'Sullivan,7th,3 1/2 l,10,11-7,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Clonguile Way (IRE),Mr A. Harvey,7,John McConnell,6th,8 l,10,11-12,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Midnight Maestro (USA),Mr D. O'Connor,0,Enda Bolger,5th,9 1/2 l,11,11-12,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Blast Of Koeman (IRE),Phillip Enright,0,Peter Maher,4th,7 1/2 l,12,11-7tp,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Michael's Pick (IRE),E. Walsh,5,Ciaran Murphy,3rd,6 1/2 l,9,11-12tp1,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Stealthy Tom (IRE),Mr H. C. Swan,5,Enda Bolger,2nd,Neck,8,12-3p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Vital Island (IRE),Mr B. O. Walsh,7,R. P. O'Keeffe,1st,N/A,11,11-12t,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Mortal (IRE),J. S. McGarvey,0,Gordon Elliott,PU,N/A,11,11-7tp,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,The Red Menace (IRE),Mr A. Murphy,7,Ciaran Murphy,F,N/A,9,11-7,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,An Droichead Eile (IRE),J. J. Slevin,0,Peter Maher,10th,4 1/4 l,9,11-7p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Space Cadet (IRE),Mr J. C. Barry,3,Gearoid O'Loughlin,9th,20 l,13,11-7p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Alpha Male (FR),Mr T. Power Roche,7,Peter Maher,8th,4 1/4 l,12,11-12p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Western Sea (IRE),Mr L. P. Shanahan,7,Ross O'Sullivan,7th,3 1/2 l,10,11-7,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Clonguile Way (IRE),Mr A. Harvey,7,John McConnell,6th,8 l,10,11-12,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Midnight Maestro (USA),Mr D. O'Connor,0,Enda Bolger,5th,9 1/2 l,11,11-12,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Blast Of Koeman (IRE),Phillip Enright,0,Peter Maher,4th,7 1/2 l,12,11-7tp,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Michael's Pick (IRE),E. Walsh,5,Ciaran Murphy,3rd,6 1/2 l,9,11-12tp1,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Stealthy Tom (IRE),Mr H. C. Swan,5,Enda Bolger,2nd,Neck,8,12-3p,-,True,51,31
N/A,N/A,16:50,Good (Good To Yielding In Places),4m 2f,Vital Island (IRE),Mr B. O. Walsh,7,R. P. O'Keeffe,1st,N/A,11,11-12t,-,True,51,31
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Monkfish (IRE),D. E. Mullins,0,W. P. Mullins,9th,3/4 l,9,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Whatdeawant (IRE),S. F. O'Keeffe,0,W. P. Mullins,8th,31 l,7,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Meet And Greet (IRE),Phillip Enright,0,Oliver McKiernan,7th,Short Head,7,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Summerville Boy (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,6 l,11,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Ashdale Bob (IRE),Keith Donoghue,0,Mrs J. Harrington,5th,3/4 l,8,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Teahupoo (FR),D. J. O'Keeffe,0,Gordon Elliott,4th,2 1/4 l,6,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Sire Du Berlais (FR),M. P. Walsh,0,Gordon Elliott,3rd,Neck,11,11-10tb,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Asterion Forlonge (FR),Mr P. W. Mullins,0,W. P. Mullins,2nd,1/2 l,9,11-10t,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Klassical Dream (FR),P. Townend,0,W. P. Mullins,1st,N/A,9,11-10h,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Monkfish (IRE),D. E. Mullins,0,W. P. Mullins,9th,3/4 l,9,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Whatdeawant (IRE),S. F. O'Keeffe,0,W. P. Mullins,8th,31 l,7,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Meet And Greet (IRE),Phillip Enright,0,Oliver McKiernan,7th,Short Head,7,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Summerville Boy (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,6 l,11,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Ashdale Bob (IRE),Keith Donoghue,0,Mrs J. Harrington,5th,3/4 l,8,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Teahupoo (FR),D. J. O'Keeffe,0,Gordon Elliott,4th,2 1/4 l,6,11-10,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Sire Du Berlais (FR),M. P. Walsh,0,Gordon Elliott,3rd,Neck,11,11-10tb,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Asterion Forlonge (FR),Mr P. W. Mullins,0,W. P. Mullins,2nd,1/2 l,9,11-10t,-,True,51,32
N/A,N/A,17:25,Good To Yielding,2m 7f 130y,Klassical Dream (FR),P. Townend,0,W. P. Mullins,1st,N/A,9,11-10h,-,True,51,32
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Haxo (FR),Jack Foley,0,W. P. Mullins,PU,N/A,6,10-9t1,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Sweet Will (IRE),C. P. McNamara,0,Gavin Patrick Cromwell,PU,N/A,6,10-9,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Master Mcshee,I. J. Power,0,P. Corkery,PU,N/A,9,11-11t,141,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Walking On Glass (IRE),P. T. Smithers,7,Padraig Roche,PU,N/A,8,10-13p,129,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Seabank Bistro (IRE),P. Townend,0,W. P. Mullins,PU,N/A,6,11-1,131,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Max Flamingo (IRE),C. D. Maxwell,0,Francis Casey,20th,36 l,8,10-11p,127,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Rebel Ivy (IRE),Sean Flanagan,0,J. D. Motherway,19th,1 l,8,11-1,131,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Lunar Power (IRE),Denis O'Regan,0,Noel Meade,18th,1 1/2 l,5,11-0,130,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,A Great View (IRE),M. P. Walsh,0,Denis W. Cullen,17th,Neck,12,10-5b,121,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Ballyshannon Rose (IRE),Cian Cullinan,7,P. G. Fahey,16th,1/2 l,10,11-0,130,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Ailie Rose (IRE),Patrick O'Hanlon,5,Stuart Crawford,15th,Short Head,7,10-10,126,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Legacy Thor (IRE),J. J. Slevin,0,Stuart Crawford,14th,3/4 l,9,10-3t,119,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Dartan,Donagh Meyler,0,Matthew J. Smith,13th,4 1/2 l,6,10-7t,123,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Au Fleuron (FR),D. J. Gilligan,7,Gordon Elliott,12th,4 3/4 l,6,10-12b,128,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Gatsby Grey (FR),Phillip Enright,0,Oliver McKiernan,11th,Neck,7,11-9t,139,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Verdant Place (IRE),S. D. Torrens,0,Patrick T. Foley,10th,1 3/4 l,5,10-4,120,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Walking On Air (IRE),Daryl Jacob,0,Nicky Henderson,9th,1 l,6,11-6,136,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Parmenion,D. E. Mullins,0,W. P. Mullins,8th,3 1/4 l,5,11-6t,136,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Toss Again (IRE),D. J. O'Keeffe,0,Henry de Bromhead,7th,4 3/4 l,6,10-9t,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Beacon Edge (IRE),L. A. McKenna,5,Noel Meade,6th,Head,9,11-12,142,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Lord Snootie (IRE),Jack Tudor,0,Christian Williams,5th,Neck,6,10-4t1,120,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Grozni (FR),P. Byrnes,5,Charles Byrnes,4th,3 1/4 l,7,10-9,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Sir Argus,B. Hayes,0,W. P. Mullins,3rd,1 1/4 l,6,10-12,128,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Lets Go Champ (IRE),Rachael Blackmore,0,Henry de Bromhead,2nd,4 1/2 l,8,10-9,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Kilbeg King (IRE),Aidan Coleman,0,Anthony Honeyball,1st,N/A,8,10-10,126,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Haxo (FR),Jack Foley,0,W. P. Mullins,PU,N/A,6,10-9t1,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Sweet Will (IRE),C. P. McNamara,0,Gavin Patrick Cromwell,PU,N/A,6,10-9,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Master Mcshee,I. J. Power,0,P. Corkery,PU,N/A,9,11-11t,141,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Walking On Glass (IRE),P. T. Smithers,7,Padraig Roche,PU,N/A,8,10-13p,129,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Seabank Bistro (IRE),P. Townend,0,W. P. Mullins,PU,N/A,6,11-1,131,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Max Flamingo (IRE),C. D. Maxwell,0,Francis Casey,20th,36 l,8,10-11p,127,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Rebel Ivy (IRE),Sean Flanagan,0,J. D. Motherway,19th,1 l,8,11-1,131,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Lunar Power (IRE),Denis O'Regan,0,Noel Meade,18th,1 1/2 l,5,11-0,130,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,A Great View (IRE),M. P. Walsh,0,Denis W. Cullen,17th,Neck,12,10-5b,121,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Ballyshannon Rose (IRE),Cian Cullinan,7,P. G. Fahey,16th,1/2 l,10,11-0,130,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Ailie Rose (IRE),Patrick O'Hanlon,5,Stuart Crawford,15th,Short Head,7,10-10,126,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Legacy Thor (IRE),J. J. Slevin,0,Stuart Crawford,14th,3/4 l,9,10-3t,119,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Dartan,Donagh Meyler,0,Matthew J. Smith,13th,4 1/2 l,6,10-7t,123,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Au Fleuron (FR),D. J. Gilligan,7,Gordon Elliott,12th,4 3/4 l,6,10-12b,128,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Gatsby Grey (FR),Phillip Enright,0,Oliver McKiernan,11th,Neck,7,11-9t,139,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Verdant Place (IRE),S. D. Torrens,0,Patrick T. Foley,10th,1 3/4 l,5,10-4,120,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Walking On Air (IRE),Daryl Jacob,0,Nicky Henderson,9th,1 l,6,11-6,136,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Parmenion,D. E. Mullins,0,W. P. Mullins,8th,3 1/4 l,5,11-6t,136,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Toss Again (IRE),D. J. O'Keeffe,0,Henry de Bromhead,7th,4 3/4 l,6,10-9t,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Beacon Edge (IRE),L. A. McKenna,5,Noel Meade,6th,Head,9,11-12,142,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Lord Snootie (IRE),Jack Tudor,0,Christian Williams,5th,Neck,6,10-4t1,120,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Grozni (FR),P. Byrnes,5,Charles Byrnes,4th,3 1/4 l,7,10-9,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Sir Argus,B. Hayes,0,W. P. Mullins,3rd,1 1/4 l,6,10-12,128,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Lets Go Champ (IRE),Rachael Blackmore,0,Henry de Bromhead,2nd,4 1/2 l,8,10-9,125,True,51,33
N/A,N/A,18:00,Good To Yielding,2m 7f 130y,Kilbeg King (IRE),Aidan Coleman,0,Anthony Honeyball,1st,N/A,8,10-10,126,True,51,33
N/A,N/A,18:35,Good To Yielding,2m,Saint Roi (FR),M. P. Walsh,0,W. P. Mullins,4th,4 l,8,11-12t,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,Indiana Jones (FR),D. J. O'Keeffe,0,M. F. Morris,3rd,5 l,7,11-12tp,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,Dysart Dynamo (IRE),D. E. Mullins,0,W. P. Mullins,2nd,11 l,7,11-12t,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,El Fabiolo (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-12,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,Saint Roi (FR),M. P. Walsh,0,W. P. Mullins,4th,4 l,8,11-12t,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,Indiana Jones (FR),D. J. O'Keeffe,0,M. F. Morris,3rd,5 l,7,11-12tp,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,Dysart Dynamo (IRE),D. E. Mullins,0,W. P. Mullins,2nd,11 l,7,11-12t,-,True,51,34
N/A,N/A,18:35,Good To Yielding,2m,El Fabiolo (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-12,-,True,51,34
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Optional Mix (IRE),Phillip Enright,0,Eoin Doyle,UR,N/A,7,11-5t1,123,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Pont Aval (FR),P. Townend,0,W. P. Mullins,PU,N/A,10,11-3t1,121,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Western Zara (IRE),Richard Deegan,0,Paul Nolan,PU,N/A,7,11-9,127,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Kalli's Quest (IRE),J. P. Shinnick,7,Terence O'Brien,PU,N/A,10,10-8p,112,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Broomfield Hall (IRE),D. J. Gilligan,7,J. P. Dempsey,F,N/A,8,11-12t,130,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Bonnie Kellie (IRE),Mr A. P. Ryan,7,S. Curling,F,N/A,6,10-4t1,108,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Queen Jane (IRE),Rachael Blackmore,0,Henry de Bromhead,F,N/A,7,11-10t,128,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Secret She Keeps (IRE),M. P. Walsh,0,Henry de Bromhead,5th,4 1/2 l,6,11-2,120,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Shes Some Doll (IRE),D. J. O'Keeffe,0,T. Gibney,4th,5 l,8,10-0t,104,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Lilith (IRE),Rex Dingle,0,Anthony Honeyball,3rd,4 1/4 l,8,10-13tb,117,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Influential Lady (IRE),Kieran Callaghan,7,James M. Barcoe,2nd,15 l,9,10-5,109,True,51,35
