combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
118,"(0, 144, 147, 60)",unionville|trusty scout|hardstyle|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.08040498024053491,11.758333333333333,-3.384805097546767,11.615194902453235,105.50082769130499,-0.03208320893415826,NO_L15
119,"(0, 144, 147, 4)",unionville|trusty scout|hardstyle|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.0802783137905349,10.758333333333333,-5.143252982046921,9.85674701795308,71.95306652694715,-0.07148066413709721,NO_L15
120,"(0, 144, 1, 2)",unionville|trusty scout|conquest of power|lion city,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.08109585196553491,40.75,112.8764388684579,127.87643886845791,5687.980209995233,0.01984473129321111,L15_CANDIDATE
121,"(0, 144, 1, 152)",unionville|trusty scout|conquest of power|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.08091727464053491,17.125,10.409648422585718,25.409648422585718,473.82513144746133,0.021969388560682455,L15_CANDIDATE
122,"(0, 144, 1, 60)",unionville|trusty scout|conquest of power|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|0|0|0,0.07993999839053491,17.875,12.895386339097954,27.895386339097957,605.0863682791949,0.021311645766820268,L15_CANDIDATE
123,"(0, 144, 1, 4)",unionville|trusty scout|conquest of power|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.07981333194053492,16.875,8.867622093464268,23.86762209346427,414.1230009379164,0.02141301515100743,L15_CANDIDATE
124,"(0, 144, 2, 152)",unionville|trusty scout|lion city|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.08041668136553493,35.875,53.97736452647467,68.97736452647467,1741.9927184668968,0.030985987458075823,L15_CANDIDATE
125,"(0, 144, 2, 60)",unionville|trusty scout|lion city|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|0|0|0,0.07943940511553492,36.625,60.56379784499992,75.56379784499993,2224.127345122855,0.027230364294475475,L15_CANDIDATE
126,"(0, 144, 2, 4)",unionville|trusty scout|lion city|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.07931273866553493,35.625,49.891473763534016,64.89147376353401,1522.6830932969635,0.032765500571433646,L15_CANDIDATE
127,"(0, 144, 152, 60)",unionville|trusty scout|master dandy|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.07926082779053491,13.0,-0.310375110160982,14.689624889839019,184.96180296937987,-0.00167804976583389,NO_L15
128,"(0, 144, 152, 4)",unionville|trusty scout|master dandy|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.07913416134053491,12.0,-2.497371657536811,12.50262834246319,126.40790999733767,-0.019756450823286368,NO_L15
129,"(0, 144, 60, 4)",unionville|trusty scout|canty bay|smasher,kempton (aw)|wolverhampton (aw)|lingfield|kempton (aw),2|0|0|0,0.07815688509053492,12.75,-1.2264726774985406,13.77352732250146,161.60359611668406,-0.007589389759699282,NO_L15
130,"(0, 146, 147, 1)",unionville|eutropia|hardstyle|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|8|0|0,0.08143213989053491,12.008333333333333,-4.423725944301457,10.576274055698544,76.8056384563375,-0.05759636965736907,NO_L15
131,"(0, 146, 147, 2)",unionville|eutropia|hardstyle|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|8|0|0,0.08093154661553492,30.758333333333333,14.67353023757804,29.673530237578042,283.69513312862546,0.051722883208310665,L15_CANDIDATE
132,"(0, 146, 147, 152)",unionville|eutropia|hardstyle|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|8|0|0,0.08075296929053491,7.133333333333333,-9.714311502036297,5.285688497963704,22.95614188876044,-0.42316829844968523,NO_L15
133,"(0, 146, 147, 60)",unionville|eutropia|hardstyle|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|8|0|0,0.07977569304053492,7.883333333333333,-9.122687790097332,5.87731220990267,29.593514197740213,-0.30826645761434945,NO_L15
134,"(0, 146, 147, 4)",unionville|eutropia|hardstyle|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|8|0|0,0.07964902659053491,6.883333333333333,-10.08132498913091,4.918675010869093,19.947825312801516,-0.5053846637939635,NO_L15
135,"(0, 146, 1, 2)",unionville|eutropia|conquest of power|lion city,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|8|0|0,0.08046656476553492,36.875,54.25840769423707,69.25840769423706,1625.3377939395127,0.03338284995067081,L15_CANDIDATE
