track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,country
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Daytona (IRE),J Cleary,5,A P O'Brien,1st,,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Ethereal Star (IRE),C D Hayes,0,M Hassett,11th,5 1/2 l,3,8-12,54,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Boyne Valley (IRE),W Joyce,3,M Mulvany,10th,2 1/2 l,3,9-10,66,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Givehertilxmas (IRE),J A Heffernan,0,G Keane,9th,1/2 l,3,9-6,62,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Kilgharrahs Love (IRE),R P Cleary,0,T Cleary,8th,3/4 l,3,8-7,48,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Lovely (IRE),C Geerdharry,7,D Dias,7th,Nose,3,10-2,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Bamako (IRE),B M Coen,0,A Oliver,6th,3 l,3,9-0v,56,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Withoutfurtherado (IRE),M W Hassett,5,A L T Moore,5th,1/2 l,3,9-6,62,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Asdana (IRE),W J Lee,0,W McCreery,4th,Head,3,9-13v,69,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Night Magic (IRE),S Foley,0,Mrs J Harrington,3rd,3 l,3,9-10,66,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Washington Street (IRE),G F Carroll,0,G M Lyons,2nd,1 1/2 l,3,10-2,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Highbury See See (IRE),A J Slattery,0,A Slattery,1st,,3,9-9,65,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Ethereal Star (IRE),C D Hayes,0,M Hassett,11th,5 1/2 l,3,8-12,54,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Boyne Valley (IRE),W Joyce,3,M Mulvany,10th,2 1/2 l,3,9-10,66,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Givehertilxmas (IRE),J A Heffernan,0,G Keane,9th,1/2 l,3,9-6,62,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Kilgharrahs Love (IRE),R P Cleary,0,T Cleary,8th,3/4 l,3,8-7,48,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Lovely (IRE),C Geerdharry,7,D Dias,7th,Nose,3,10-2,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Bamako (IRE),B M Coen,0,A Oliver,6th,3 l,3,9-0v,56,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Withoutfurtherado (IRE),M W Hassett,5,A L T Moore,5th,1/2 l,3,9-6,62,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Asdana (IRE),W J Lee,0,W McCreery,4th,Head,3,9-13v,69,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Night Magic (IRE),S Foley,0,Mrs J Harrington,3rd,3 l,3,9-10,66,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Washington Street (IRE),G F Carroll,0,G M Lyons,2nd,1 1/2 l,3,10-2,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 14:30,,14:30,Soft,7f,Highbury See See (IRE),A J Slattery,0,A Slattery,1st,,3,9-9,65,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Tai Tam Bay (IRE),C D Hayes,0,E & P Harty,9th,6 1/2 l,4,9-6,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Gypsy Queen (IRE),W J Lee,0,W McCreery,8th,3/4 l,3,9-11,87,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Marakesh,S Foley,0,H De Bromhead,7th,Neck,5,10-0,80,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Neo Smart (IRE),D P McDonogh,0,J S Bolger,6th,2 1/4 l,4,9-6t,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Empress Artemis (IRE),G F Carroll,0,G M Lyons,5th,2 1/2 l,3,9-1,77,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Ribchestina (IRE),J A Powell,3,M O'Callaghan,4th,Neck,4,9-11,77,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Honeysuckle Rose,D McMonagle,0,J P O'Brien,3rd,2 1/2 l,3,9-4,80,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Four Blondes (IRE),D W O'Connor,0,R O'Sullivan,2nd,Neck,4,10-0h1,80,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Declaree (IRE),B M Coen,0,J P Murtagh,1st,,4,9-7tp,73,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Tai Tam Bay (IRE),C D Hayes,0,E & P Harty,9th,6 1/2 l,4,9-6,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Gypsy Queen (IRE),W J Lee,0,W McCreery,8th,3/4 l,3,9-11,87,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Marakesh,S Foley,0,H De Bromhead,7th,Neck,5,10-0,80,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Neo Smart (IRE),D P McDonogh,0,J S Bolger,6th,2 1/4 l,4,9-6t,72,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Empress Artemis (IRE),G F Carroll,0,G M Lyons,5th,2 1/2 l,3,9-1,77,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Ribchestina (IRE),J A Powell,3,M O'Callaghan,4th,Neck,4,9-11,77,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Honeysuckle Rose,D McMonagle,0,J P O'Brien,3rd,2 1/2 l,3,9-4,80,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Four Blondes (IRE),D W O'Connor,0,R O'Sullivan,2nd,Neck,4,10-0h1,80,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:05,,15:05,Soft,7f,Declaree (IRE),B M Coen,0,J P Murtagh,1st,,4,9-7tp,73,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Suityourselfboss (IRE),S Coen,7,M J Browne,15th,1 l,6,9-5p,49,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Madam Alkaterina (IRE),R M Mulligan,7,K Dempsey,14th,2 1/4 l,4,9-4,48,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Pare Of Brown Eyes (IRE),L T McAteer,0,J M Barrett,13th,Short Head,4,9-1p,45,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Dazzling Spirit (IRE),W Joyce,3,C Collins,12th,1/2 l,7,8-10,40,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Run The Jewels (IRE),B M Coen,0,Daniel McLoughlin,11th,7 l,8,9-12,56,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Golden Goose (IRE),J A Heffernan,0,Miss T L Cogan,10th,1/2 l,5,10-2,60,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Saith Seren,G M Ryan,0,A Lee,9th,3/4 l,4,9-8h1,52,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Miss Abby Jools (IRE),R P Whelan,0,T Doyle,8th,1/2 l,6,10-1,59,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,May Night,K G Kennedy,5,S M Duffy,7th,2 l,7,9-10p,54,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Pegasus Of Harry,K J Leonard,0,E O'Connell,6th,1 l,4,9-6t,50,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Roderick,S Foley,0,P Sweeney,5th,Head,9,9-1tb,45,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,So Messi (IRE),R Whearty,3,T G McCourt,4th,1/2 l,5,8-11t,41,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Carvalhal (IRE),Nicola Burns,7,R P Burns,3rd,3/4 l,4,9-12b1,56,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Poppadom (IRE),J S Dalton,10,A Slattery,2nd,Neck,4,9-1,45,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Sneddy Eddie (IRE),P McGettigan,7,N C Kelly,1st,,5,9-6,50,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Suityourselfboss (IRE),S Coen,7,M J Browne,15th,1 l,6,9-5p,49,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Madam Alkaterina (IRE),R M Mulligan,7,K Dempsey,14th,2 1/4 l,4,9-4,48,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Pare Of Brown Eyes (IRE),L T McAteer,0,J M Barrett,13th,Short Head,4,9-1p,45,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Dazzling Spirit (IRE),W Joyce,3,C Collins,12th,1/2 l,7,8-10,40,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Run The Jewels (IRE),B M Coen,0,Daniel McLoughlin,11th,7 l,8,9-12,56,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Golden Goose (IRE),J A Heffernan,0,Miss T L Cogan,10th,1/2 l,5,10-2,60,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Saith Seren,G M Ryan,0,A Lee,9th,3/4 l,4,9-8h1,52,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Miss Abby Jools (IRE),R P Whelan,0,T Doyle,8th,1/2 l,6,10-1,59,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,May Night,K G Kennedy,5,S M Duffy,7th,2 l,7,9-10p,54,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Pegasus Of Harry,K J Leonard,0,E O'Connell,6th,1 l,4,9-6t,50,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Roderick,S Foley,0,P Sweeney,5th,Head,9,9-1tb,45,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,So Messi (IRE),R Whearty,3,T G McCourt,4th,1/2 l,5,8-11t,41,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Carvalhal (IRE),Nicola Burns,7,R P Burns,3rd,3/4 l,4,9-12b1,56,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Poppadom (IRE),J S Dalton,10,A Slattery,2nd,Neck,4,9-1,45,True,Ireland
Gowran Park Racing Results | 15th June 2025 15:35,,15:35,Soft,1m,Sneddy Eddie (IRE),P McGettigan,7,N C Kelly,1st,,5,9-6,50,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,School Of Athens (IRE),P McGettigan,7,J P Murtagh,6th,7 l,3,9-4p1,70,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Truth Be Told (IRE),J Kearney,0,D K Weld,5th,4 1/4 l,3,9-12p,78,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Sunriseontheboyne (IRE),W Joyce,0,M Mulvany,4th,2 1/2 l,3,9-13,79,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Woodshaw Whisper (IRE),J J G Ryan,0,G M Lyons,3rd,1 3/4 l,3,10-2,82,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Onemoredance (IRE),J A Powell,0,J P Murtagh,2nd,3/4 l,3,8-11p1,63,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Starford (IRE),M W Hassett,0,J P O'Brien,1st,,3,9-1,67,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,School Of Athens (IRE),P McGettigan,7,J P Murtagh,6th,7 l,3,9-4p1,70,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Truth Be Told (IRE),J Kearney,0,D K Weld,5th,4 1/4 l,3,9-12p,78,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Sunriseontheboyne (IRE),W Joyce,0,M Mulvany,4th,2 1/2 l,3,9-13,79,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Woodshaw Whisper (IRE),J J G Ryan,0,G M Lyons,3rd,1 3/4 l,3,10-2,82,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Onemoredance (IRE),J A Powell,0,J P Murtagh,2nd,3/4 l,3,8-11p1,63,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:10,,16:10,Soft,1m 1f 100y,Starford (IRE),M W Hassett,0,J P O'Brien,1st,,3,9-1,67,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Imnoaprilfool (IRE),W Joyce,3,M Mulvany,8th,3 1/4 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Parga Diamond (IRE),D P McDonogh,0,Miss H McLoughlin,7th,2 1/4 l,6,10-1ht,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Green Rose (IRE),L F Roche,0,D K Weld,6th,2 1/2 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Ocean Diamond (IRE),J A Heffernan,0,Derek McCormack,5th,13 l,4,10-1,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Etawa (IRE),C D Hayes,0,D K Weld,4th,2 1/2 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Angelight (IRE),D McMonagle,0,J P O'Brien,3rd,5 l,3,9-3t,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Walk The Highline (IRE),B M Coen,0,J P Murtagh,2nd,3 1/4 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Offshore Bay (IRE),G F Carroll,0,H De Bromhead,1st,,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Imnoaprilfool (IRE),W Joyce,3,M Mulvany,8th,3 1/4 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Parga Diamond (IRE),D P McDonogh,0,Miss H McLoughlin,7th,2 1/4 l,6,10-1ht,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Green Rose (IRE),L F Roche,0,D K Weld,6th,2 1/2 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Ocean Diamond (IRE),J A Heffernan,0,Derek McCormack,5th,13 l,4,10-1,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Etawa (IRE),C D Hayes,0,D K Weld,4th,2 1/2 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Angelight (IRE),D McMonagle,0,J P O'Brien,3rd,5 l,3,9-3t,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Walk The Highline (IRE),B M Coen,0,J P Murtagh,2nd,3 1/4 l,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 16:40,,16:40,Soft,1m 1f 100y,Offshore Bay (IRE),G F Carroll,0,H De Bromhead,1st,,3,9-3,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Fleur De Chine,S Foley,0,Mrs J Harrington,4th,28 l,4,9-8p,97,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Viking Invasion (IRE),D McMonagle,0,J P O'Brien,3rd,2 1/4 l,3,9-6b,91,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Cristal Clere (IRE),J A Heffernan,0,J Nallen,2nd,1 l,7,9-13,101,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Eastwatch (IRE),A J Slattery,0,A Slattery,1st,,3,9-6,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Fleur De Chine,S Foley,0,Mrs J Harrington,4th,28 l,4,9-8p,97,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Viking Invasion (IRE),D McMonagle,0,J P O'Brien,3rd,2 1/4 l,3,9-6b,91,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Cristal Clere (IRE),J A Heffernan,0,J Nallen,2nd,1 l,7,9-13,101,True,Ireland
Gowran Park Racing Results | 15th June 2025 17:10,,17:10,Soft,1m 1f 100y,Eastwatch (IRE),A J Slattery,0,A Slattery,1st,,3,9-6,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Niamhie (IRE),Niall Moore,2,P Cluskey,11th,45 l,5,10-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Hickeys Hill (IRE),D P Maxwell,2,A McNamara,10th,21 l,6,11-4t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Tinker Hill (IRE),Caragh Monaghan,4,L Lennon,9th,Head,4,10-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Maroto (IRE),G B Noonan,0,A McNamara,8th,19 l,8,11-4t,105,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Never Present (IRE),D A Kidd,4,J C McConnell,7th,5 1/2 l,7,11-4,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Sugar Cookie (FR),Anna McGuinness,4,W P Mullins,6th,5 1/2 l,6,10-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Imperial Miss (IRE),G Brouder,0,T Gibney,5th,1/2 l,4,10-5,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Mavetherave (IRE),J Smith,2,S R B Crawford,4th,5 1/2 l,5,11-4,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Keep Kool Coko (FR),T Ryan,2,A Slattery,3rd,1/2 l,5,11-4,112,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Full Confession (IRE),K Callaghan,2,W P Mullins,2nd,2 3/4 l,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Cinammon Roll (FR),C P Millar,2,G Elliott,1st,,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Niamhie (IRE),Niall Moore,2,P Cluskey,11th,45 l,5,10-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Hickeys Hill (IRE),D P Maxwell,2,A McNamara,10th,21 l,6,11-4t,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Tinker Hill (IRE),Caragh Monaghan,4,L Lennon,9th,Head,4,10-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Maroto (IRE),G B Noonan,0,A McNamara,8th,19 l,8,11-4t,105,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Never Present (IRE),D A Kidd,4,J C McConnell,7th,5 1/2 l,7,11-4,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Sugar Cookie (FR),Anna McGuinness,4,W P Mullins,6th,5 1/2 l,6,10-11,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Imperial Miss (IRE),G Brouder,0,T Gibney,5th,1/2 l,4,10-5,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Mavetherave (IRE),J Smith,2,S R B Crawford,4th,5 1/2 l,5,11-4,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Keep Kool Coko (FR),T Ryan,2,A Slattery,3rd,1/2 l,5,11-4,112,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Full Confession (IRE),K Callaghan,2,W P Mullins,2nd,2 3/4 l,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:05,,14:05,Yielding To Soft,2m 5f 180y,Cinammon Roll (FR),C P Millar,2,G Elliott,1st,,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Jessie's Dreamgirl (IRE),B W Harvey,0,J C McConnell,PU,,6,11-5h,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,On The Cards (FR),D A Kidd,7,J C McConnell,14th,40 l,5,11-12,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Vangelis (IRE),E Walsh,0,Ciaran Murphy,13th,26 l,4,11-7,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Forty Kay,C Owens,7,W P Mullins,12th,3 3/4 l,5,11-5,-,True,Ireland
Downpatrick Racing Results | 15th June 2025 14:40,,14:40,Yielding To Soft,2m 2f 185y,Silk Degrees (IRE),J Smith,5,S R B Crawford,11th,2 1/2 l,4,11-7t,-,True,Ireland
