track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Intinso,98,Tom Eaves,Craig Lidster,9- 9,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Bubbles Wonky,93,Thomas Greatrex,Mark Pattinson,9- 8,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,My Fermoy,95,Rob Hornby,Denis Coakley,9- 7,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Robbo,93,Robert Havlin,Thomas Faulkner,9- 4,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Hitched,95,Luke Morris,David Simcock,9- 4,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Urban Road,94,Jason Hart,Alan Brown,9- 3,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Phone Tag,95,Jack Mitchell,Kevin Frost,9- 3,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Tonal,94,Ryan Kavanagh,Ian Williams,9- 0,6,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Annexation,92,Jack Doughty,Tony Carroll,8 -13,10,0
Naas,9 Jan 2026,2m,Yielding,Akako,-,Conor Stone-Walsh,Gavin Cromwell,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Anodandawink,82,E Walsh,Ciaran Murphy,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Barley Lane,125,Kieren Buckley,Eddie & Patrick Harty,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Blow Wind Blow,96,Mark Walsh,E Bolger,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Daws Cross,67,Conor Lamon,Adrian Sexton,11 -12,7,7
Naas,9 Jan 2026,2m,Yielding,Eye On The Ball,55,Simon Torrens,J A Nash,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Good Option,93,Keith Donoghue,Gavin Cromwell,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Healys Pub,-,Phillip Enright,Oliver McKiernan,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Jetstream Jeff,-,Mr A O Harrington,Peter McCreery,11 -12,5,7
Naas,9 Jan 2026,2m,Yielding,Max Meridius,64,NON-RUNNER,Thomas Mullins,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Mr Devlin,61,Jordan Gainford,Conor David Maxwell,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Newbrook Diamond,115,Jack Kennedy,Gordon Elliott,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Orlando Spirit,-,Sean O'Keeffe,Paul Power,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Takenasred,116,Sam Ewing,S R B Crawford,11 -12,8,0
Naas,9 Jan 2026,2m,Yielding,Thankyouforthedays,81,Donagh Meyler,J P Dempsey,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,The Dancen Kid,73,Shane Fitzgerald,Ross O'Sullivan,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Thiscouldbetheone,-,J J Slevin,Martin Brassil,11 -12,5,0
Naas,9 Jan 2026,2m,Yielding,Time Is A Thief,-,NON-RUNNER,Henry De Bromhead,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Can't Catch Molly,88,Patrick M O'Brien,Patrick Downey,11- 5,6,5
Naas,9 Jan 2026,2m,Yielding,Future Prospect,-,Paul Townend,W P Mullins,11- 5,6,0
Naas,9 Jan 2026,2m,Yielding,Leonards Choice,-,Benjamin P Kennedy,Francis J Flood,11- 5,5,7
Naas,9 Jan 2026,2m,Yielding,Rathbawn Soldier,66,Alex Harvey,Patrick T Foley,11- 5,5,0
Naas,9 Jan 2026,2m,Yielding,Shadys Lady,-,Michael Kenneally,Declan Queally,11- 5,8,7
Naas,9 Jan 2026,2m,Yielding,Takemebacktodakota,20,Harry Sexton,Adrian Sexton,11- 5,6,7
Naas,9 Jan 2026,2m,Yielding,The Besty Woman,112,Mike O'Connor,Henry De Bromhead,11- 5,5,0
Naas,9 Jan 2026,2m,Yielding,Major Wells,-,Sean Flanagan,Gerard Edmund O'Leary,11 -12,10,0
Naas,9 Jan 2026,2m,Yielding,Lyreen Og,95,,A J Martin,11 -12,6,0
Naas,9 Jan 2026,2m,Yielding,Ballyedward,99,,S R B Crawford,11 -12,6,0
