track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Correspondence,82,Gina Mangan,Tony Carroll,9- 2,4,0
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Atomic Mass,84,Tom Kiely-Marshall,Michael & David Easterby,8- 6,4,5
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Man On A Mission,83,Tyler Heard,P Charalambous & J Clutterbuck,8- 5,7,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Enthused,76,Jonny Peate,James Owen,9- 9,9,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Age Of Time,74,Nicola Currie,Ian Williams,9- 9,5,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Seraphic,75,Callum Hutchinson,David Killahena & Graeme McPherson,9- 8,6,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Three On Thursday,72,Gina Mangan,Tony Carroll,9- 7,4,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,2:42,Twilight Guest,71,Harry Vigors,George Margarson,9- 4,6,7
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Knight Of Magic,60,Rhys Clutterbuck,James Owen,9 -13,7,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Al Shabab,64,J F Egan,David Evans,9- 9,5,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Come To Pass,47,Gina Mangan,Tony Carroll,9- 9,7,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Marinakis,60,Ryan Kavanagh,Ian Williams,9- 9,6,5
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Prince Hector,57,Tom Kiely-Marshall,Jessica Bedi,9- 9,8,5
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Sun Festival,53,Zacharia Clarke,Joseph Parr,9- 9,8,7
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Sunset In Paris,60,Jonny Peate,J R Jenkins,9- 9,8,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Mary Rose,49,Tyler Heard,Stephanie Cassidy,9- 8,4,0
Chelmsford (AW),11 Jan 2026Polytrack,1m2f,Standard,3:12,Spaceage Love Song,54,Joe Bradnam,Michael Bell,9- 8,4,7
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Diamondonthehill,91,Charlie Bell,Dr Richard Newland & Jamie Insole,9 -11,8,7
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Commander Of Life,91,Dougie Costello,Jessica Macey,9- 9,5,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Rochelle,87,J F Egan,George Margarson,9- 9,5,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Benacre,93,Oliver Stammers,Charlie Johnston,9- 8,6,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,North View,92,Gina Mangan,Stuart Williams,9- 7,5,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Gaiety Musical,91,Ryan Kavanagh,David Evans,9- 7,5,5
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Tolstoy,89,Ben Robinson,Brian Ellison,9- 6,7,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Revolutionise,90,Harry Vigors,Stuart Williams,9- 5,10,7
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Monsieur Kodi,90,Ethan Tindall,Richard Fahey,9- 3,7,7
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Cherry Cobbler,92,Callum Hutchinson,Stuart Williams,9- 3,4,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Kit Gabriel,90,Tyler Heard,Simon Pearce,9- 2,7,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,3:42,Chola Empire,90,Joey Haynes,David Simcock,9- 0,7,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Last Outlaw,66,Taylor Fisher,Michael Keady,9- 9,5,3
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Global Warning,65,Jonny Peate,John Butler,9- 8,10,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Blueandtangerine,64,Lewis Chalkley,Michael & David Easterby,9- 8,4,7
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Kondratiev Wave,67,Gina Mangan,Tony Carroll,9- 8,9,0
Chelmsford (AW),11 Jan 2026Polytrack,7f,Standard,4:12,Diligent Henry,66,Dougie Costello,Jessica Macey,9- 7,5,0
