track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Fairyhouse,10 Jan 2026,3m,Yielding,1:05,Found A Diamond,134,Shane Markey,Ross O'Sullivan,10 -10,6,7,True,0.012868526
Fairyhouse,10 Jan 2026,3m,Yielding,1:05,Dippedinmoonlight,124,Danny Mullins,Emmet Mullins,10- 9,6,0,True,0.01247598
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Path d'Oroux,156,Kieren Buckley,Gavin Cromwell,11- 2,9,0,True,0.011995896
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Karoline Banbou,139,Mark Walsh,W P Mullins,11- 5,6,0,True,0.011797628
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Dorie Miller,90,Mr J H Williamson,Noel Meade,12- 0,5,5,True,0.011455717
Fairyhouse,10 Jan 2026,3m,Yielding,1:05,Your Honor,133,Danny Gilligan,J A Nash,10- 6,7,0,True,0.011156026
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Martymill,107,Mr D McGill,Anthony McCann,12- 0,5,7,True,0.011133231
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,The Other Mozzie,158,Conor Stone-Walsh,Gavin Cromwell,11- 2,7,0,True,0.0109299645
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Proactif,103,Mark Walsh,W P Mullins,11- 5,4,0,True,0.009989827
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Quinta Do Lago,119,Jack Kennedy,Mrs John Harrington,11- 5,4,0,True,0.009972134
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,In My Teens,120,Simon Torrens,Gavin Cromwell,10- 7,4,0,True,0.009972134
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,The King Of Prs,157,Eoin Staples,Gavin Cromwell,10- 8,8,5,True,0.009949956
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Far Eclipse,93,Kieren Buckley,Gavin Cromwell,11- 0,4,0,True,0.009395972
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Combs,122,Kevin Healy,Gordon Elliott,11- 0,4,7,True,0.009036645
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Whitegate,-,Khalid Al Balushi,A bin Harmash,9- 6,4,6,True,0.06851517
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Wraithy,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 0,4,0,True,0.059829984
