track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Man Is King,66,Jimmy Dalton,Thomas Dowling,8 -10,7,7,True,0.030938651
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Trishuli River,82,Patrick McGettigan,Shane Crawley,9- 8,6,2,True,0.03085108
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Giselles Defence,81,Sean Davis,Sean Davis,9- 5,6,0,True,0.030658083
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Incredible Army,41,Killian Leonard,Jack Foley,9- 8,3,0,True,0.030619405
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Jazz Dreamers,62,Yudish Geerdharry,Seamus Fahey,8 -10,8,7,True,0.030466432
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Blanc De Blanc,-,Donagh O'Connor,Robson De Aguiar,9- 3,3,0,True,0.030002872
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Voice Of Reason,81,Hugh Horgan,William Delahunty,9 -11,6,0,True,0.02987556
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Battle Borne,61,Paddy Harnett,Patrick J McKenna,9 -12,4,5,True,0.029655604
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Musical Act,80,Patrick McGettigan,Ciaran Murphy,10- 3,5,7,True,0.029443828
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Arrietty,90,Scott McCullagh,Joseph Patrick O'Brien,9- 3,3,0,True,0.02883277
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Bella Colombia,64,Donagh O'Connor,W McCreery,10- 2,5,0,True,0.028738178
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Methgal,59,Conor Cusack,P J F Murphy,9 -12,4,7,True,0.028672164
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Gold Dublooms,61,Killian Leonard,Eamonn O'Connell,8 -13,4,0,True,0.028657697
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Lady In Gold,-,Shay Wallace,Joseph Patrick O'Brien,9- 3,3,7,True,0.02852648
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Beat The Devil,63,Donagh O'Connor,Patrick Magee,9- 6,4,0,True,0.027972974
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Brosna Green,61,Jessica O'Gorman,Patrick J McKenna,9- 8,4,7,True,0.027861537
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Surf On Jamie,62,,Paul Mulligan,9- 6,4,0,True,0.027815718
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Equilux,56,Shay Wallace,Joseph Patrick O'Brien,9- 8,3,7,True,0.027503442
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Dontspoilasale,89,Adam Grant,Denis Gerard Hogan,9 -11,6,7,True,0.027322408
Dundalk (AW),9 Jan 2026Polytrack,1m2½f,Standard,Killyclogher Rose,83,Nathan Crosse,A Oliver,9- 4,4,0,True,0.02726222
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Venetian,83,Reese Holohan,Denis Gerard Hogan,9- 8,6,10,True,0.027040428
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Goldinthesea,82,Scott McCullagh,Joseph Patrick O'Brien,9- 8,3,0,True,0.026859663
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Sand Art,63,,Kevin Thomas Coleman,9- 8,3,0,True,0.026566854
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Zezuru,65,,Ciaran Murphy,9- 8,3,0,True,0.026372323
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,No Bother Aoife,60,,Gavin Cromwell,9- 3,3,0,True,0.026116563
Dundalk (AW),9 Jan 2026Polytrack,1m2½f,Standard,Qamari,80,Adam Grant,John C McConnell,9- 6,5,7,True,0.026094958
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Oiche Rua,83,Scott McCullagh,Adrian McGuinness,9- 7,4,0,True,0.02589119
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Queen Earthlight,66,,D K Weld,9- 3,3,0,True,0.025326973
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,My Vonnie,70,Rory Mulligan,M M Rice,9- 7,5,7,True,0.02525683
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Outlaw Man,74,Leigh Roche,M D O'Callaghan,9- 8,3,0,True,0.024720132
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Lovewhatyoudo,-,Sean Davis,Sean Davis,9- 8,3,0,True,0.024218386
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Picadilly Reserve,-,Gary Halpin,Joseph Patrick O'Brien,9- 8,3,0,True,0.024218386
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Edge Of Darkness,81,Darragh O'Sullivan,Daniel John Howard,9- 0,6,4,True,0.023833537
Dundalk (AW),9 Jan 2026Polytrack,1m4f,Standard,Riyami,83,Mel Sheridan,Denis Gerard Hogan,9- 7,7,7,True,0.023800356
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Merciless,-,Rory Cleary,Josh Halley,9- 3,3,0,True,0.023436101
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Buddy Batt,84,Hugh Horgan,Tracey Collins,9 -11,5,0,True,0.02324899
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Mount Eden,-,Paddy Harnett,Donnacha Aidan O'Brien,9- 8,3,5,True,0.02307598
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Rough Diamond,82,Jimmy Dalton,John G Carr,8 -10,9,7,True,0.022307273
Dundalk (AW),9 Jan 2026Polytrack,7f,Standard,Gobi Star,83,Shay Wallace,James M Barcoe,8 -10,8,7,True,0.022064066
Dundalk (AW),9 Jan 2026Polytrack,5f,Standard,Prairie Girl,85,Patrick McGettigan,Daniel James Murphy,9- 3,4,2,True,0.021872202
