track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability,actual_position,Race_id,inferred_position
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Reliable Prince,-,Charlie O'Dwyer,E Bolger,11 -12,6,5,True,0.019961761,,Fairyhouse_2026-01-10_2:15,2
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Jinxs Link,-,James Smith,M M Rice,11 -12,10,5,True,0.018569749,,Fairyhouse_2026-01-10_2:15,3
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Port Joulain,132,Paul Townend,W P Mullins,11 -12,7,0,True,0.01614538,,Fairyhouse_2026-01-10_2:15,4
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Park Of Kings,130,Conor Stone-Walsh,Paul Nolan,11 -12,8,0,True,0.01536237,,Fairyhouse_2026-01-10_2:15,5
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Dr Eggman,130,Danny Mullins,W P Mullins,11 -12,8,0,True,0.013075664,,Fairyhouse_2026-01-10_2:15,6
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Koori Star,116,Danny Gilligan,Peter Fahey,11 -12,8,0,True,0.012878749,,Fairyhouse_2026-01-10_2:15,7
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Karoline Banbou,139,Mark Walsh,W P Mullins,11- 5,6,0,True,0.011797628,,Fairyhouse_2026-01-10_2:15,8
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Jacovec Cavern,122,Richard Condon,Paul Hennessy,12- 0,7,5,True,0.13666423,,Fairyhouse_2026-01-10_2:49,1
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Nelson County,118,Danny Gilligan,Ross O'Sullivan,11- 9,6,0,True,0.032002073,,Fairyhouse_2026-01-10_2:49,2
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Attaboyarchie,121,Miss E J Sweeney,Karl Thornton,10 -13,9,7,True,0.031839345,,Fairyhouse_2026-01-10_2:49,3
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Choccabloc,128,Brian Hayes,Andrew McNamara,12- 0,8,0,True,0.02623749,,Fairyhouse_2026-01-10_2:49,4
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Miss Pronunciation,119,Mark Walsh,Padraig Roche,11 -13,9,0,True,0.021711214,,Fairyhouse_2026-01-10_2:49,5
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Me Wee Bonnie Lass,127,Keith Donoghue,Gavin Cromwell,11 -10,7,0,True,0.021684522,,Fairyhouse_2026-01-10_2:49,6
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Castle Field Boy,124,Eoin Staples,Patrick T Foley,11 -12,10,5,True,0.017877517,,Fairyhouse_2026-01-10_2:49,7
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Beggars Rock,124,Kevin Sexton,Gordon Elliott,11- 9,7,0,True,0.016768288,,Fairyhouse_2026-01-10_2:49,8
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Silver Salute,-,Mr J Dunne,Ian Patrick Donoghue,12- 0,7,7,True,0.03303738,,Fairyhouse_2026-01-10_3:24,1
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Doctor Elvis,-,Mr J M Halford,Gordon Elliott,12- 0,7,7,True,0.031535402,,Fairyhouse_2026-01-10_3:24,2
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Clonsast,-,Miss Georgie Benson,Peter John Flood,12- 0,6,7,True,0.031257097,,Fairyhouse_2026-01-10_3:24,3
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Detroit Maverick,-,Mr H C Swan,Gordon Elliott,12- 0,6,0,True,0.030886535,,Fairyhouse_2026-01-10_3:24,4
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Pinndar,-,Mr Derek O'Connor,Thomas Cooper,12- 0,5,0,True,0.023571858,,Fairyhouse_2026-01-10_3:24,5
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Lake Isle,-,Mr J P O'Rourke,C A Murphy,11- 7,5,7,True,0.021911364,,Fairyhouse_2026-01-10_3:24,6
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,The Wager,110,Mr P W Mullins,W P Mullins,12- 0,5,0,True,0.017685382,,Fairyhouse_2026-01-10_3:24,7
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Moments Away,95,Mr A P Ryan,David Harry Kelly,12- 0,5,5,True,0.017653756,,Fairyhouse_2026-01-10_3:24,8
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Layenda,-,Mr P A Murphy,C A Murphy,11- 7,5,7,True,0.016767824,,Fairyhouse_2026-01-10_3:24,9
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Orinoco Walk,81,Brian Barry,Riceal Dunne,11- 7,8,7,True,0.014036149,,Fairyhouse_2026-01-10_3:24,10
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Dorie Miller,90,Mr J H Williamson,Noel Meade,12- 0,5,5,True,0.011455717,,Fairyhouse_2026-01-10_3:24,11
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Martymill,107,Mr D McGill,Anthony McCann,12- 0,5,7,True,0.011133231,,Fairyhouse_2026-01-10_3:24,12
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Olzhakhan,-,Mikey Sheehy,Doug Watson,9 -10,8,0,True,0.040911008,7,Jebel Ali_2026-01-10_10:00,1
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Onight,-,Ray Dawson,Marwan Al Baidhaei,8 -13,6,0,True,0.038352095,10,Jebel Ali_2026-01-10_10:00,2
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Houb Al Wattan,-,Victor Salgado,Rashed Bouresly,8- 5,6,0,True,0.038352095,11,Jebel Ali_2026-01-10_10:00,3
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Inner City,-,Tadhg O'Shea,Musabbeh Al Mheiri,9- 0,5,0,True,0.03156562,4,Jebel Ali_2026-01-10_10:00,4
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Don Vaccaro,-,Hamed Al Busaidi,Antonio Cintra & Julio Olascoaga,9 -10,4,6,True,0.030164551,6,Jebel Ali_2026-01-10_10:00,5
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Munyah,-,Richard Mullen,Musabbeh Al Mheiri,9- 6,4,0,True,0.029915025,9,Jebel Ali_2026-01-10_10:00,6
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Jolly Roger,-,Daniel Tudhope,Simon & Ed Crisford,9- 5,4,0,True,0.029915025,2,Jebel Ali_2026-01-10_10:00,7
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,African Candy,-,Silvestre De Sousa,Musabbeh Al Mheiri,9- 4,4,0,True,0.029915025,3,Jebel Ali_2026-01-10_10:00,8
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Nam Phrik,-,Francisco Goncalves,Antonio Cintra & Julio Olascoaga,9- 3,4,0,True,0.029915025,1,Jebel Ali_2026-01-10_10:00,9
Jebel Ali,10 Jan 2026 Dirt,7f,,10:00,Amjaad,-,Pat Dobbs,Doug Watson,9- 2,4,0,True,0.029915025,8,Jebel Ali_2026-01-10_10:00,10
