URL,horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Lady Margret,28/1,25/1,20/1,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Spinning Dancer,16/1,20/1,,,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Jubilee Time,33/1,40/1,33/1,,,stable
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Appetiser,16/1,14/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Alasrae,7/4,6/4,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Fuseboard,80/1,66/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Lucky Sevens,11/2,5/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Arishka's Dream,15/8,3/1,11/4,5/2,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Adalida,5/1,11/2,5/1,,,stable
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Exhibition Match,50/1,33/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910653,Coul Britannia,14/1,12/1,11/1,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Brave Empire,11/2,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Zoulu Warrior,5/2,9/4,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Wodao,20/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Lucky Man,16/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Phoenix Of Dreams,14/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Addarella,9/1,8/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Brian The Snail,11/1,16/1,25/1,,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Early Release,11/1,10/1,11/1,14/1,18/1,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Water Of Leith,9/2,3/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910656,Amerjeet,7/1,5/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Ash Wednesday,15/2,8/1,9/1,11/1,12/1,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,He's A Gentleman,5/1,11/2,5/1,11/2,7/1,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Lodge,4/1,7/2,10/3,5/2,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Star Of Mali,3/1,10/3,4/1,11/2,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Arantes Nascimento,13/2,11/2,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Chifa,7/2,3/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Beauty Choice,28/1,30/1,33/1,20/1,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Vince Lombardi,14/1,12/1,10/1,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910655,Anthropologist,33/1,40/1,33/1,20/1,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Hardstyle,8/15,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Ganthorpe,20/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Maynora,12/1,14/1,16/1,,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Resalah,33/1,28/1,33/1,,,stable
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Electrocution,28/1,33/1,40/1,50/1,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Backfire,18/1,16/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Sorted,25/1,22/1,20/1,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Fallacious Promise,12/1,10/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Miss Ayala,10/1,8/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910659,Blue Mountains,10/1,9/1,6/1,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Master Dandy,11/2,6/1,13/2,15/2,8/1,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Mister McGregor,8/1,12/1,14/1,16/1,33/1,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Colors Of Freedom,9/4,2/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Sultan Of Oj,9/4,2/1,15/8,7/4,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Blue Dandy,-,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,She Went Whoosh,33/1,25/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Daley T,17/2,8/1,15/2,7/1,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Rogue Endeavour,11/1,10/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910658,Second Collection,12/1,8/1,,,,shortening
