horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Albus,-,40/1,33/1,40/1,33/1,shortening
Gerrymandering,-,100/1,125/1,100/1,125/1,drifting
Powerful,7/1,13/2,6/1,13/2,6/1,shortening
Theflyingbee,12/1,14/1,12/1,16/1,14/1,drifting
Littlefoot,-,25/1,33/1,28/1,33/1,drifting
Ontheropes,100/1,110/1,90/1,80/1,66/1,shortening
Beyond Your Dreams,40/1,50/1,33/1,28/1,25/1,shortening
San Hilario,10/3,16/5,10/3,16/5,10/3,stable
Plunkett Street,12/1,14/1,16/1,18/1,20/1,drifting
Garnacho,4/1,9/2,6/1,13/2,7/1,drifting
Jupiter Du Gite,11/1,12/1,14/1,12/1,14/1,drifting
Olympy De Cerisy,40/1,50/1,40/1,33/1,35/1,shortening
Happy Dreams,9/1,17/2,8/1,15/2,7/1,shortening
Magic Day,33/1,28/1,33/1,40/1,50/1,drifting
Moylussa,20/1,22/1,20/1,25/1,20/1,stable
Moon Mission,22/1,25/1,22/1,25/1,28/1,drifting
Kimy,20/1,12/1,14/1,12/1,11/1,shortening
Minority Interest,6/1,7/1,17/2,9/1,17/2,drifting
Gogo Yubari,-,,,,,no_data
Sir Rodneyredblood,-,,,,,no_data
Master Dandy,-,,,,,no_data
What What What,-,,,,,no_data
Forest Gunner,-,,,,,no_data
Inconspicuous,-,,,,,no_data
Second Collection,-,40/1,50/1,66/1,50/1,drifting
Lady Wingalong,20/1,6/1,13/2,6/1,11/2,shortening
Middleton View,50/1,4/1,9/2,7/2,4/1,shortening
Em Four,100/1,5/1,11/2,13/2,4/1,shortening
Ziggy's Condor,7/2,6/1,13/2,7/1,13/2,drifting
Bill Plumb,16/1,18/1,80/1,22/1,18/1,drifting
Ziggy's Queen,22/1,40/1,50/1,20/1,18/1,shortening
Waistcoat,11/2,6/1,8/1,6/1,11/2,stable
Correspondence,100/1,33/1,28/1,30/1,33/1,shortening
Atomic Mass,14/1,16/1,100/1,16/1,20/1,drifting
Man On A Mission,150/1,250/1,300/1,200/1,150/1,stable
Enthused,13/2,11/4,5/2,11/4,5/2,shortening
Age Of Time,10/1,11/1,50/1,12/1,11/1,drifting
Seraphic,5/1,11/2,5/1,11/2,5/1,stable
Three On Thursday,50/1,14/1,11/1,9/4,5/2,shortening
Twilight Guest,100/1,50/1,9/1,15/2,8/1,shortening
Knight Of Magic,33/1,5/1,11/8,11/10,11/8,shortening
Al Shabab,16/1,20/1,11/1,12/1,10/1,shortening
Come To Pass,22/1,25/1,28/1,33/1,28/1,drifting
Marinakis,7/2,4/1,7/2,5/1,4/1,drifting
Prince Hector,6/1,15/2,8/1,9/1,10/1,drifting
Sun Festival,100/1,66/1,33/1,40/1,33/1,shortening
Sunset In Paris,50/1,20/1,18/1,16/1,14/1,shortening
Mary Rose,80/1,50/1,40/1,50/1,40/1,shortening
Spaceage Love Song,16/1,18/1,16/1,14/1,16/1,stable
Diamondonthehill,4/1,11/1,11/2,5/1,11/2,drifting
Commander Of Life,9/1,10/1,11/1,10/1,11/1,drifting
Rochelle,100/1,80/1,50/1,33/1,28/1,shortening
Benacre,12/1,15/2,7/1,15/2,7/1,shortening
North View,6/1,11/2,5/1,9/2,4/1,shortening
Gaiety Musical,33/1,12/1,14/1,12/1,11/1,shortening
Tolstoy,20/1,16/1,14/1,9/1,5/1,shortening
Revolutionise,100/1,11/1,14/1,9/1,17/2,shortening
Monsieur Kodi,33/1,22/1,12/1,10/1,11/1,shortening
Cherry Cobbler,66/1,20/1,13/2,9/1,13/2,shortening
Kit Gabriel,66/1,80/1,33/1,40/1,33/1,shortening
Chola Empire,-,22/1,18/1,16/1,14/1,shortening
Last Outlaw,20/1,11/1,10/1,11/1,8/1,shortening
Global Warning,10/1,12/1,11/1,10/1,11/1,drifting
Blueandtangerine,100/1,66/1,50/1,66/1,50/1,shortening
Kondratiev Wave,16/1,2/1,15/8,9/4,5/2,shortening
Diligent Henry,10/1,11/1,12/1,11/1,10/1,stable
Strobelight,40/1,13/2,7/1,15/2,7/1,shortening
Secret Road,3/1,7/2,4/1,7/2,3/1,stable
Campani,18/1,20/1,28/1,20/1,25/1,drifting
Up The Monk,12/1,11/1,12/1,11/1,10/1,shortening
Tootsie,40/1,50/1,40/1,50/1,66/1,drifting
Fidget Lady,40/1,80/1,66/1,50/1,40/1,stable
Rainwater,13/2,7/1,8/1,15/2,8/1,drifting
Al Waqidi,10/3,4/1,15/2,4/1,7/2,stable
Simply Blue,66/1,12/1,66/1,9/1,12/1,shortening
Galaxy Wonder,9/2,5/2,9/2,3/1,9/4,shortening
Miners Gamble,66/1,12/1,66/1,28/1,11/1,shortening
Fulford Cross,22/1,33/1,22/1,25/1,22/1,stable
Tam Lin,100/1,10/1,100/1,22/1,10/1,shortening
Brinton,14/1,50/1,11/1,20/1,50/1,drifting
Kessaar Power,-,16/1,18/1,16/1,18/1,drifting
Legendary Luke,5/2,9/4,11/5,15/8,9/5,shortening
The Cistercian,66/1,9/4,7/4,13/8,7/4,shortening
Contacto,15/2,22/1,11/1,22/1,15/2,stable
For Old Times Sake,100/1,350/1,400/1,125/1,66/1,shortening
Herbygoesbananas,80/1,450/1,80/1,450/1,80/1,stable
Le Flying Ferret,400/1,500/1,300/1,350/1,300/1,shortening
Manigod,12/1,14/1,25/1,28/1,18/1,drifting
Monansunu,200/1,300/1,400/1,300/1,250/1,drifting
Mr Finch,20/1,100/1,20/1,100/1,20/1,stable
Pacman,500/1,400/1,300/1,400/1,300/1,shortening
Roi Lion,100/1,125/1,100/1,125/1,150/1,drifting
Western George,80/1,100/1,150/1,100/1,400/1,drifting
Roe And Co,7/2,4/1,15/4,4/1,7/2,stable
The Scorpion King,10/1,12/1,20/1,12/1,16/1,drifting
Record High,8/1,6/1,9/2,4/1,9/2,shortening
Animal,14/1,12/1,14/1,12/1,14/1,stable
Cooleenymore,10/1,11/1,10/1,11/1,12/1,drifting
Innisfree Lass,9/2,4/1,9/2,5/1,11/2,drifting
Inedit De Mee,6/1,11/2,5/1,11/2,5/1,shortening
To Be Sure,28/1,33/1,66/1,33/1,30/1,drifting
Only Gossip,9/1,10/1,9/1,10/1,11/1,drifting
The Brickey Ranger,14/1,18/1,25/1,28/1,33/1,drifting
Queen's Theatre,-,11/4,3/1,11/4,5/2,shortening
Aj's Diamond,25/1,20/1,25/1,20/1,12/1,shortening
Bunny Bee,50/1,66/1,250/1,350/1,100/1,drifting
Cast's Georgie,100/1,66/1,40/1,100/1,40/1,shortening
Ephyra,100/1,400/1,125/1,400/1,450/1,drifting
Geordies Betty,100/1,150/1,400/1,150/1,450/1,drifting
Limerick Lass,1/7,1/6,2/13,1/7,2/13,stable
Mistress Fox,150/1,200/1,150/1,200/1,150/1,stable
Svelte Silhouette,100/1,66/1,100/1,66/1,33/1,shortening
Wassailing Along,100/1,20/1,18/1,14/1,18/1,shortening
Park Princess,7/4,5/2,8/13,4/6,8/13,shortening
Blue Marvel,450/1,100/1,20/1,14/1,12/1,shortening
Cushendall,100/1,400/1,100/1,33/1,20/1,shortening
Don't Cheddar Tear,-,150/1,200/1,250/1,200/1,drifting
Holetown,100/1,33/1,16/1,14/1,16/1,shortening
Khutulun Khan,66/1,22/1,25/1,22/1,25/1,shortening
Onefournine,4/1,7/2,15/4,7/2,4/1,stable
Shalfa,125/1,150/1,200/1,150/1,125/1,stable
Yasmina,80/1,100/1,80/1,150/1,80/1,stable
Flame Dancer,250/1,300/1,250/1,300/1,250/1,stable
Woodythewoodpecker,16/1,20/1,22/1,25/1,22/1,drifting
Bobalot,9/1,10/1,9/1,10/1,9/1,stable
Fox Cottage,12/1,400/1,12/1,16/1,12/1,stable
Mr Griffiths,10/3,7/2,4/1,9/2,5/1,drifting
Jour d'Orage,16/1,25/1,22/1,25/1,22/1,drifting
Happy Returns,9/2,11/2,5/1,9/2,5/1,drifting
Jewel Eyed Judy,11/1,12/1,11/1,12/1,50/1,drifting
Wot You Wearing,10/3,11/1,10/3,300/1,10/3,stable
Smith,-,28/1,33/1,40/1,33/1,drifting
I Love You Sivola,22/1,25/1,22/1,28/1,22/1,stable
William Philo,14/1,16/1,14/1,16/1,40/1,drifting
Hilltown,28/1,33/1,30/1,28/1,33/1,drifting
Alright Dai,7/4,2/1,7/4,15/8,2/1,drifting
Sanitiser,-,11/2,5/1,9/2,4/1,shortening
Summer In Milan,3/1,7/2,10/3,3/1,8/1,drifting
Roxhill,100/1,450/1,100/1,450/1,100/1,stable
Angel's Dream,66/1,9/1,17/2,8/1,15/2,shortening
Everyonesacritic,9/1,13/2,6/1,13/2,6/1,shortening
Hatos,6/1,13/2,6/1,11/2,6/1,stable
I Play County,17/2,100/1,17/2,28/1,11/1,drifting
Cast's Tasha,8/1,66/1,8/1,40/1,16/1,drifting
Kajikia,18/1,66/1,18/1,40/1,25/1,drifting
Activist,4/1,66/1,4/1,5/1,14/1,drifting
Northanger Abbey,-,10/1,9/1,10/1,11/1,drifting
Comanche Magic,400/1,9/1,10/1,9/1,10/1,shortening
Kool Kid,6/1,100/1,6/1,13/2,7/1,drifting
Calshot Spit,450/1,28/1,40/1,28/1,40/1,shortening
Hillsin,80/1,100/1,80/1,200/1,80/1,stable
Lexie's Moon,28/1,16/1,18/1,20/1,16/1,shortening
Bridge,11/2,100/1,6/1,12/1,9/1,drifting
Miss Maxfort,16/1,66/1,16/1,28/1,18/1,drifting
Motazzen,18/1,100/1,18/1,22/1,18/1,stable
Westlain,14/1,66/1,16/1,20/1,22/1,drifting
Bradman,14/1,16/1,14/1,16/1,14/1,stable
Snowthorn,,,,,,no_data
I P O Bros,,,,,,no_data
King Alloy,,,,,,no_data
Inno Century,,,,,,no_data
Majestic Delight,,,,,,no_data
My Flying Angel,,,,,,no_data
Shotgun,,,,,,no_data
Team Happy,,,,,,no_data
You'remyeverything,,,,,,no_data
The Way We Win,,,,,,no_data
Euro Rocks,,,,,,no_data
Super Elite,,,,,,no_data
General Smart,,,,,,no_data
Happy Boys,,,,,,no_data
Majestic Valour,,,,,,no_data
Holmes A Court,,,,,,no_data
Quick Money,,,,,,no_data
Honorary,,,,,,no_data
Lucky Ranger,,,,,,no_data
Sea Diamond,,,,,,no_data
Warriors Dream,,,,,,no_data
Happy Alliance,,,,,,no_data
Money Tycoon,,,,,,no_data
Yeux De Lifeline,,,,,,no_data
Autumn Vibes,,,,,,no_data
Dash,,,,,,no_data
Circuit Happy,,,,,,no_data
Tycoon Express,,,,,,no_data
Ever Luck,,,,,,no_data
Chill Partners,,,,,,no_data
Elite Golf,,,,,,no_data
Majestic Life,,,,,,no_data
Aquaman,,,,,,no_data
Conrad The Great,,,,,,no_data
Happy Shooter,,,,,,no_data
Ka Ying Warrior,,,,,,no_data
Lucky McQueen,,,,,,no_data
Cirrus Speed,,,,,,no_data
Groovy Feeling,,,,,,no_data
Power Summit,,,,,,no_data
Young Legacy,,,,,,no_data
Ruby Sailing,,,,,,no_data
Endeared,,,,,,no_data
Super Love,,,,,,no_data
Bright Day,,,,,,no_data
Flying Knight,,,,,,no_data
The Heir I,,,,,,no_data
Rezeki,,,,,,no_data
Rainbow Warrior,,,,,,no_data
Red Brick Warrior,,,,,,no_data
Flying Boom,,,,,,no_data
Incredible Moment,,,,,,no_data
Circuit Fiery,,,,,,no_data
Frantanck,,,,,,no_data
Lucky Man,,,,,,no_data
Young Horizon,,,,,,no_data
Kingly Demeanor,,,,,,no_data
Kyrus Treasure,,,,,,no_data
Star Satyr,,,,,,no_data
Oldtown,,,,,,no_data
Amazing Award,,,,,,no_data
Strathpeffer,,,,,,no_data
Robot Star,,,,,,no_data
Crossborderdude,,,,,,no_data
Precision Hope,,,,,,no_data
Shinyu Kokoroe,,,,,,no_data
Brownneedsfurther,,,,,,no_data
Brave Win,,,,,,no_data
Manaphy,,,,,,no_data
Fortune Kingo,,,,,,no_data
Apolar Fighter,,,,,,no_data
Young Fighter,,,,,,no_data
Smart Fat Cat,,,,,,no_data
Audacious Pursuit,,,,,,no_data
Young Bravo,,,,,,no_data
Luck Is Back,,,,,,no_data
Charity Together,,,,,,no_data
China Win,,,,,,no_data
Packing Hurricane,,,,,,no_data
Pearl Of Pang's,,,,,,no_data
Super Goldendragon,,,,,,no_data
Yiu Cheung Victory,,,,,,no_data
Volcanic Spark,,,,,,no_data
Floof,,,,,,no_data
Joyful Prosperity,,,,,,no_data
Our Lucky Glory,,,,,,no_data
Kasa Papa,,,,,,no_data
Dilbagh,,,,,,no_data
Good Good,,,,,,no_data
Celestial Hero,,,,,,no_data
Matters Most,,,,,,no_data
Pakistan Legacy,,,,,,no_data
Aurora Patch,,,,,,no_data
Alpha Strike,,,,,,no_data
Szeryng,,,,,,no_data
Young Emperor,,,,,,no_data
Prestige Always,,,,,,no_data
Chill Buddy,,,,,,no_data
Matzden,,,,,,no_data
Win Ease,,,,,,no_data
Armour War Eagle,,,,,,no_data
Let's Have Fun,,,,,,no_data
Glittering Legend,,,,,,no_data
Beauty Eternal,,,,,,no_data
Healthy Happy,,,,,,no_data
Invincible Shield,,,,,,no_data
Dancing Code,,,,,,no_data
Drombeg Banner,,,,,,no_data
Sky Trust,,,,,,no_data
Markwin,,,,,,no_data
Little Paradise,,,,,,no_data
Public Attention,,,,,,no_data
Young Champion,,,,,,no_data
Mid Winter Wind,,,,,,no_data
Beauty Crescent,,,,,,no_data
Infinite Resolve,,,,,,no_data
Mr Ascendency,,,,,,no_data
The Boom Box,,,,,,no_data
Joy Of Spring,,,,,,no_data
Stunning Peach,,,,,,no_data
Prestige Good,,,,,,no_data
Excellence Value,,,,,,no_data
Liveandletlive,,,,,,no_data
Mondial,,,,,,no_data
Mister Dapper,,,,,,no_data
Romantic Thor,,,,,,no_data
Fortune Boy,,,,,,no_data
The Auspicious,,,,,,no_data
Enthralled,,,,,,no_data
Packing Fighter,,,,,,no_data
Master Trillion,,,,,,no_data
Money Catcher,,,,,,no_data
Fallon,,,,,,no_data
Emblazon,,,,,,no_data
Invincible Ibis,,,,,,no_data
Beauty Bolt,,,,,,no_data
Daryl Flash,,,,,,no_data
Natural Numbers,,,,,,no_data
Class,,,,,,no_data
Uranus Star,,,,,,no_data
Hott Shott,,,,,,no_data
Legend Winner,,,,,,no_data
California Waves,,,,,,no_data
The Red Hare,,,,,,no_data
Fit For Beauty,,,,,,no_data
Win Beauty Viva,,,,,,no_data
Gratifide,,,,,,no_data
Supreme Mastermind,,,,,,no_data
Shamz,,,,,,no_data
Aerodynamics,,,,,,no_data
Circuit Grand Slam,,,,,,no_data
Helene Supafeeling,,,,,,no_data
Akashvani,,,,,,no_data
Master Of All,,,,,,no_data
Cheaha,,,,,,no_data
Stormy Grove,,,,,,no_data
Without Compare,,,,,,no_data
Golden Empire,,,,,,no_data
Tin Fook,,,,,,no_data
Ivy League,,,,,,no_data
King Of Selection,,,,,,no_data
Mighty Steed,,,,,,no_data
Lucky Sam Gor,,,,,,no_data
Blazing Wukong,,,,,,no_data
So You Will,,,,,,no_data
Tourbillon Prince,,,,,,no_data
