horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Rogue Rebellion,6/1,13/2,6/1,11/2,6/1,stable
A Lott Of Kane,7/2,9/2,7/2,10/3,7/2,stable
Dawn Melody,450/1,150/1,125/1,100/1,125/1,shortening
Colors Of Freedom,2/1,6/1,7/2,7/1,7/2,drifting
Commendation,17/2,300/1,16/1,66/1,25/1,drifting
Forest Gunner,9/4,5/2,9/4,5/2,9/4,stable
Global Effort,14/1,20/1,14/1,16/1,14/1,stable
Nad Alshiba Snow,10/3,22/1,10/3,25/1,10/3,stable
Rogue Endeavour,40/1,50/1,40/1,50/1,40/1,stable
Sultan Of Oj,-,8/1,15/2,7/1,13/2,shortening
Ada Rose,100/1,70/1,80/1,90/1,100/1,stable
Chamas,11/4,5/2,9/4,11/5,85/40,shortening
Lady Dora Mae,8/1,5/2,8/1,5/2,2/1,shortening
Loma Express,9/1,10/1,9/1,10/1,9/1,stable
Lotus,25/1,8/1,25/1,8/1,5/1,shortening
Stole My Heart,66/1,80/1,100/1,80/1,90/1,drifting
Ventana,28/1,8/1,28/1,8/1,7/1,shortening
Giles Glory,22/1,6/1,Evs,11/10,6/5,shortening
Chilliconcarneigh,11/1,11/2,9/2,10/3,7/2,shortening
Urban Law,150/1,40/1,33/1,20/1,18/1,shortening
Hove Ranger,25/1,10/1,12/1,11/1,10/1,shortening
Lady Birgma,100/1,90/1,80/1,100/1,80/1,shortening
Karakula Dancer,5/1,11/2,5/1,11/2,5/1,stable
Ezera,20/1,25/1,20/1,22/1,20/1,stable
Will He Shine,66/1,200/1,125/1,66/1,100/1,drifting
Athenian Spirit,4/1,7/2,4/1,7/2,10/3,shortening
Hardstyle,5/4,11/8,5/4,11/8,6/4,drifting
Flying Macs,15/2,8/1,15/2,8/1,15/2,stable
Akrivos,11/2,5/1,11/2,6/1,13/2,drifting
Shes Got The Blues,20/1,18/1,16/1,18/1,16/1,shortening
Lapidarist,12/1,11/1,12/1,11/1,12/1,stable
Chinchin,16/1,14/1,16/1,14/1,16/1,stable
Out In The Cold,66/1,50/1,66/1,50/1,66/1,stable
Hint Of Humour,-,7/2,10/3,7/2,10/3,stable
Gogo Yubari,13/8,7/4,13/8,7/4,13/8,stable
Faustus,9/1,17/2,8/1,7/1,15/2,shortening
Beaumadier,9/2,4/1,7/2,4/1,7/2,shortening
Woodhay Whisper,10/3,7/2,4/1,9/2,11/2,drifting
Mick's Spirit,9/2,5/1,9/2,5/1,9/2,stable
Alafdhal,20/1,18/1,20/1,18/1,20/1,stable
Pride Of Nepal,13/2,7/1,15/2,8/1,17/2,drifting
Graffiti,22/1,20/1,18/1,20/1,18/1,shortening
Krissy,9/4,2/1,15/8,7/4,13/8,shortening
