horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Stone Rulya,250/1,400/1,300/1,500/1,400/1,drifting
Wolfpack,66/1,80/1,100/1,80/1,70/1,drifting
Concert Party,150/1,200/1,300/1,200/1,125/1,shortening
Simple Things,33/1,40/1,33/1,28/1,25/1,shortening
Black Soul,33/1,40/1,50/1,40/1,35/1,drifting
Zuzukel,-,2/1,15/8,2/1,9/4,drifting
Trebizond,12/1,14/1,16/1,18/1,16/1,drifting
Mo Ghille Mar,22/1,20/1,22/1,20/1,18/1,shortening
Be Fierce,10/1,11/1,10/1,11/1,12/1,drifting
Hereditary Rule,-,50/1,66/1,,,drifting
Metamorpheus,28/1,40/1,35/1,33/1,30/1,drifting
Walk On Annilog,4/1,9/2,4/1,9/2,4/1,stable
Eco Pete,-,22/1,25/1,28/1,33/1,drifting
Couldntmakeitup,4/1,9/2,4/1,9/2,4/1,stable
Jumble Light,5/1,11/2,5/1,11/2,5/1,stable
Where Are You Now,15/8,2/1,9/4,5/2,11/4,drifting
Kilt,-,12/1,14/1,12/1,10/1,shortening
Bambino Fever,-,2/13,1/6,2/13,1/7,stable
Carrigmoorna Beech,22/1,25/1,28/1,25/1,22/1,stable
Doing It In Style,9/1,10/1,9/1,8/1,15/2,shortening
Forceonmyown,6/1,13/2,7/1,13/2,7/1,drifting
Ill Raise A Glass,12/1,11/1,12/1,11/1,10/1,shortening
Kaleo Ametsa,-,150/1,125/1,100/1,125/1,shortening
Lizzymac,300/1,500/1,300/1,400/1,300/1,stable
Nothing Da Now,250/1,400/1,300/1,250/1,300/1,drifting
Poetisa,4/7,8/13,4/6,8/13,4/6,drifting
Susie Lenglen,9/2,4/1,9/2,4/1,9/2,stable
Thecouncillorswife,250/1,300/1,200/1,300/1,400/1,drifting
Wings Of Africa,300/1,500/1,150/1,200/1,150/1,shortening
Paul Collins,18/1,20/1,18/1,20/1,18/1,stable
Mojoe,14/1,20/1,22/1,20/1,22/1,drifting
The Guinness Boys,50/1,66/1,50/1,66/1,50/1,stable
Miss Mini Bee,10/1,11/1,10/1,11/1,10/1,stable
Paradise Lost,18/1,20/1,22/1,20/1,22/1,drifting
Sarandon,8/1,17/2,9/1,10/1,9/1,drifting
Danny The Champ,40/1,50/1,40/1,50/1,40/1,stable
Hey Babbs,-,18/1,16/1,18/1,16/1,shortening
Kasper Hauser,14/1,16/1,14/1,16/1,14/1,stable
Kazbek,11/1,12/1,16/1,12/1,14/1,drifting
Kinturk Nelson,10/3,7/2,4/1,7/2,4/1,drifting
Patsy's Pride,66/1,50/1,66/1,70/1,50/1,shortening
Sean Mc,13/8,7/4,13/8,7/4,15/8,drifting
Dahoma,80/1,100/1,125/1,100/1,80/1,stable
Loi Des Jeux,16/1,18/1,20/1,22/1,25/1,drifting
Vallon Du Plessis,100/1,125/1,100/1,110/1,90/1,shortening
Sunrise Strider,14/1,16/1,14/1,12/1,14/1,stable
Albus,66/1,80/1,66/1,80/1,66/1,stable
Bergamasquo,-,13/2,6/1,5/1,9/2,shortening
Double Power,18/1,20/1,18/1,20/1,18/1,stable
Gerrymandering,250/1,500/1,300/1,400/1,300/1,drifting
Jesse James Howard,250/1,300/1,500/1,150/1,300/1,drifting
Lord Tobin,11/2,5/1,9/2,4/1,9/2,shortening
Lyreen Og,9/1,10/1,11/1,10/1,11/1,drifting
Michael's Jet,200/1,250/1,400/1,250/1,500/1,drifting
Poet's Gale,-,80/1,90/1,100/1,,drifting
Potters Pal,200/1,250/1,300/1,250/1,200/1,stable
Royal Soldier,150/1,250/1,200/1,150/1,200/1,drifting
Shabby Hill,5/1,11/2,5/1,11/2,5/1,stable
Sticktothescript,8/1,11/1,17/2,11/1,10/1,drifting
Wise Man,150/1,200/1,250/1,150/1,125/1,shortening
Kimi De Mai,8/11,5/6,4/5,5/6,9/10,drifting
Peppers Corner,200/1,250/1,200/1,250/1,300/1,drifting
Folly Master,7/2,4/1,7/2,4/1,15/4,drifting
Money Heist,25/1,28/1,25/1,28/1,25/1,stable
The Man's Room,25/1,28/1,25/1,22/1,25/1,stable
Rockstown Girl,-,80/1,66/1,,,shortening
Cathryns Ruby,33/1,40/1,50/1,40/1,50/1,drifting
Cornmarket,40/1,50/1,40/1,50/1,40/1,stable
Rocky's Howya,14/1,16/1,18/1,20/1,18/1,drifting
Westernersunrise,9/2,5/1,9/2,5/1,9/2,stable
Siege Ofjadotville,14/1,12/1,14/1,12/1,14/1,stable
Empire Walk,-,5/1,11/2,6/1,13/2,drifting
Accustomed,-,14/1,16/1,18/1,16/1,drifting
Pictures Of Home,28/1,33/1,35/1,33/1,28/1,stable
Fighting Falcon,20/1,22/1,25/1,22/1,25/1,drifting
Difficult Decision,18/1,20/1,18/1,20/1,18/1,stable
Lough Nigara,5/1,11/2,6/1,13/2,6/1,drifting
Dalmatic,12/1,14/1,12/1,14/1,12/1,stable
Nettuno Italia,3/1,10/3,3/1,16/5,10/3,drifting
Sock It To Me,11/1,12/1,11/1,12/1,11/1,stable
B Da Powders,-,50/1,40/1,50/1,40/1,shortening
Mahler Appeal,80/1,100/1,80/1,100/1,80/1,stable
Aint Over Yet,200/1,250/1,200/1,150/1,125/1,shortening
Ballinaboola Hanna,200/1,300/1,200/1,300/1,400/1,drifting
Ealu,-,13/2,5/1,9/2,4/1,shortening
Easily Distracted,16/1,18/1,16/1,18/1,16/1,stable
Fancy Fox,12/1,11/1,12/1,11/1,10/1,shortening
Fastnet Crystal,2/1,9/4,5/2,11/4,5/2,drifting
How's Hannah,9/4,11/4,9/4,5/2,11/4,drifting
Jenina,200/1,300/1,250/1,300/1,250/1,drifting
Lake Isle,66/1,80/1,70/1,66/1,50/1,shortening
Nells Princess,-,40/1,50/1,40/1,33/1,shortening
Simply Natural,7/1,15/2,7/1,15/2,7/1,stable
Smart Answer,150/1,200/1,150/1,125/1,150/1,stable
Speisialta,15/2,8/1,15/2,8/1,17/2,drifting
Think It Through,9/1,10/1,9/1,10/1,9/1,stable
Tountinna,17/2,9/1,8/1,9/1,10/1,drifting
Born At Midnight,100/1,28/1,20/1,14/1,20/1,shortening
Ithaka,11/1,12/1,11/1,12/1,11/1,stable
Heva Rose,14/1,16/1,18/1,16/1,18/1,drifting
Innisfree Lass,-,,,,,no_data
Mary's Fortune,16/1,33/1,22/1,20/1,16/1,stable
Just In A Bit,7/2,5/1,25/1,5/1,7/2,stable
Illogical Logic,5/1,10/1,5/1,11/1,5/1,stable
Lightonthewing,8/1,11/1,14/1,9/1,8/1,stable
Tongaknoxie,7/1,450/1,20/1,7/1,15/2,drifting
Tuscan Rose,5/1,9/2,5/1,9/2,4/1,shortening
Lynsey Larue,40/1,50/1,40/1,50/1,40/1,stable
Martalmix'jac,10/1,11/1,22/1,14/1,18/1,drifting
Looping d'Arc,6/4,13/8,6/4,13/8,7/4,drifting
Race To Base,4/1,3/1,10/3,3/1,16/5,shortening
Ahanaglogh,300/1,450/1,300/1,500/1,300/1,stable
Boston Savr,250/1,400/1,250/1,300/1,400/1,drifting
Glancing Jack,28/1,20/1,22/1,25/1,22/1,shortening
Guardami Ancora,400/1,40/1,50/1,40/1,33/1,shortening
Loaded And Locked,2/1,85/40,2/1,85/40,2/1,stable
Lootenay,400/1,450/1,400/1,450/1,400/1,stable
Triple Haych,300/1,450/1,300/1,450/1,300/1,stable
Western Cross,66/1,450/1,66/1,80/1,100/1,drifting
Ciao Bellisima,300/1,400/1,450/1,300/1,400/1,drifting
Glancing Back,450/1,200/1,150/1,200/1,150/1,shortening
Lady Magic,400/1,50/1,66/1,50/1,66/1,shortening
Donegal,33/1,450/1,33/1,16/1,14/1,shortening
Vol Royale,11/8,6/4,7/5,11/8,6/4,drifting
Aguellid,5/4,11/10,6/4,11/8,6/5,stable
Cooler Than Me,100/1,66/1,80/1,66/1,80/1,shortening
Cote d'Ange,450/1,150/1,200/1,100/1,200/1,shortening
Could Be You,450/1,300/1,450/1,300/1,200/1,shortening
Harbour Light,100/1,25/1,22/1,25/1,28/1,shortening
Kenobi,150/1,200/1,250/1,110/1,100/1,shortening
Lord Virginia,100/1,66/1,80/1,66/1,80/1,shortening
Lovis De Sceaux,300/1,400/1,300/1,400/1,300/1,stable
Lyric,10/1,11/1,12/1,11/1,12/1,drifting
Peter's Last Deal,66/1,9/1,10/1,9/1,10/1,shortening
Raging Al,100/1,125/1,400/1,250/1,125/1,drifting
Daring To Dream,80/1,125/1,200/1,100/1,200/1,drifting
Both Of Us,-,33/1,,,,no_data
Noahsgreatrainbow,5/1,11/2,5/1,9/2,5/1,stable
Soldierofthestorm,6/1,13/2,6/1,13/2,6/1,stable
Rodney,3/1,10/3,7/2,10/3,7/2,drifting
The Winslow Boy,12/1,11/1,10/1,11/1,10/1,shortening
Gold For Alec,9/1,10/1,9/1,10/1,12/1,drifting
Pepe Le Moko,13/2,7/1,13/2,7/1,13/2,stable
Zestful Hope,22/1,25/1,22/1,20/1,25/1,drifting
Ede'iffs Rock,12/1,14/1,16/1,18/1,16/1,drifting
Just Forty,40/1,33/1,40/1,33/1,40/1,stable
The Magus,17/2,8/1,17/2,8/1,17/2,stable
I Ain't Your Mate,12/1,11/1,10/1,9/1,8/1,shortening
Briery Butterfly,-,6/1,13/2,6/1,13/2,drifting
Mr Griffiths,-,10/3,7/2,4/1,9/2,drifting
Vengeance,-,,,,,no_data
Bredon Hill Dart,12/1,14/1,400/1,14/1,12/1,stable
Happy Returns,-,9/1,10/1,9/1,15/2,shortening
Shorten Sassy,16/1,350/1,22/1,16/1,400/1,drifting
Bollin Thou,1/2,4/7,8/15,4/7,8/15,stable
Jewel Eyed Judy,-,18/1,22/1,25/1,22/1,drifting
Getaway Sam,25/1,14/1,16/1,14/1,12/1,shortening
Harksman,16/1,20/1,18/1,20/1,18/1,drifting
Smart Bucks,12/1,400/1,12/1,18/1,12/1,stable
Dontworrywegotthis,450/1,250/1,350/1,250/1,400/1,shortening
Sweet Honey B,100/1,450/1,125/1,100/1,125/1,drifting
Gower Spirit,20/1,28/1,20/1,28/1,20/1,stable
Ballerina Boxer,125/1,200/1,125/1,150/1,125/1,stable
Feet On The Ground,66/1,10/1,9/1,10/1,9/1,shortening
Noble Grace,100/1,450/1,66/1,33/1,100/1,stable
Jessie Jump Jet,25/1,28/1,66/1,28/1,30/1,drifting
Fay Ce Que Voudras,100/1,250/1,100/1,250/1,10/1,shortening
Make Sunshine,66/1,80/1,90/1,80/1,70/1,drifting
Jamaicaine,11/8,6/4,13/8,7/4,15/8,drifting
Harthill,66/1,200/1,66/1,100/1,66/1,stable
Time Was,100/1,8/1,17/2,8/1,17/2,shortening
Formel Park,100/1,80/1,50/1,100/1,50/1,shortening
Lady Fortune,66/1,25/1,20/1,14/1,12/1,shortening
Prairie Queen,-,12/1,14/1,16/1,20/1,drifting
Arizona Moon,20/1,450/1,20/1,22/1,20/1,stable
Cool Customer,5/1,40/1,5/1,16/5,10/3,shortening
Loch Ness Pineau,9/4,11/4,7/2,15/4,7/2,drifting
Roi Du Roume,400/1,200/1,400/1,10/1,400/1,stable
That'll Be Oxo,11/2,6/1,13/2,7/1,15/2,drifting
Britway Belle,12/1,14/1,100/1,20/1,14/1,drifting
Don't Call Me Sue,100/1,150/1,125/1,150/1,125/1,drifting
Faith's Song,22/1,150/1,22/1,28/1,22/1,stable
Mysti Meadow,-,18/1,20/1,18/1,20/1,drifting
Pigeon Forge,4/1,9/2,5/1,9/2,66/1,drifting
Simply A Dancer,450/1,300/1,250/1,450/1,300/1,shortening
Michaela's Boy,7/2,4/1,9/2,4/1,9/2,drifting
Master Of My Fate,33/1,8/1,6/1,11/2,6/1,shortening
Almaty Star,5/2,9/4,5/2,9/4,85/40,shortening
Diomed Spirit,4/1,15/4,7/2,4/1,9/2,drifting
Coronado King,350/1,100/1,350/1,28/1,25/1,shortening
Toolatetonegotiate,9/1,6/1,9/1,16/1,28/1,drifting
Bint Havana Gold,100/1,125/1,200/1,125/1,350/1,drifting
Nunc Est Bibendum,4/11,2/5,4/9,1/3,3/10,stable
Young Endless,12/1,16/1,12/1,16/1,12/1,stable
Prince Quattro,16/1,25/1,16/1,25/1,16/1,stable
A Tickatickatiming,100/1,150/1,100/1,40/1,100/1,stable
Charging Bull,12/1,14/1,16/1,12/1,14/1,drifting
Tenbob Tommy,-,,,,,no_data
Alasrae,9/4,2/1,9/4,2/1,9/4,stable
Comprador,-,,,,,no_data
Pedros Dream,-,100/1,125/1,150/1,250/1,drifting
Tactical Blitz,9/1,10/1,9/1,10/1,9/1,stable
No Drama Mama,125/1,150/1,125/1,150/1,200/1,drifting
Call Glory,-,2/1,9/4,2/1,9/4,drifting
Autumn Angel,-,13/2,7/1,15/2,7/1,drifting
Beauzon,6/4,13/8,7/4,3/1,10/3,drifting
Lynwood Lad,80/1,33/1,17/2,5/1,11/2,shortening
Midnight Call,12/1,2/1,7/4,9/5,7/4,shortening
Miss Moonshine,40/1,33/1,28/1,25/1,28/1,shortening
Sarabi,22/1,28/1,25/1,28/1,25/1,drifting
World Of Darcy,450/1,100/1,9/1,10/1,9/1,shortening
Jackson Street,3/1,11/4,3/1,11/4,5/2,shortening
Roman Emperor,-,9/4,7/2,4/1,9/2,drifting
Mighty Ruler,14/1,20/1,14/1,20/1,14/1,stable
Mount Mogan,4/1,7/2,4/1,9/2,5/1,drifting
Chloe's Courage,80/1,7/1,6/1,13/2,6/1,shortening
Supernova Steps,10/3,5/2,9/4,5/2,9/4,shortening
Capallcliste,28/1,80/1,28/1,33/1,40/1,drifting
Mishy's Star,50/1,66/1,50/1,66/1,50/1,stable
Arlecchino's Rex,-,,,,,no_data
Celtic John,3/1,10/3,7/2,10/3,7/2,drifting
Duke Orsino,100/1,125/1,100/1,125/1,150/1,drifting
Huntly Lodge,11/1,12/1,11/1,12/1,11/1,stable
Monks Mead,6/1,11/2,5/1,11/2,5/1,shortening
Mr Trick,35/1,40/1,33/1,35/1,40/1,drifting
Princess Pw,22/1,25/1,28/1,25/1,28/1,drifting
Rainbow Sign,25/1,28/1,25/1,28/1,25/1,stable
Royal Jet,9/4,11/5,5/2,85/40,2/1,shortening
Taskheer,7/1,13/2,7/1,13/2,7/1,stable
Unknown Journey,25/1,28/1,25/1,28/1,25/1,stable
Valadero,30/1,28/1,25/1,28/1,25/1,shortening
Renesmee,66/1,25/1,50/1,28/1,33/1,shortening
Foreseen,6/4,6/5,9/4,5/4,11/8,stable
Kingkeer,100/1,18/1,16/1,14/1,25/1,shortening
H Key Lails,7/2,15/4,11/2,15/4,4/1,drifting
Repertoire,6/1,11/2,6/1,11/2,6/1,stable
Way To Dubai,66/1,4/1,9/2,4/1,7/1,shortening
Comedian Leader,400/1,200/1,150/1,200/1,150/1,shortening
Dandy Khan,-,5/1,4/1,,,shortening
Altramuz,,,,,,no_data
Realize Brave,,,,,,no_data
Thunderstruck,,,,,,no_data
Dear Diamond,,,,,,no_data
Flame Star,,,,,,no_data
Route Thirteen,,,,,,no_data
Kakuuchi,,,,,,no_data
Tommy Barows,,,,,,no_data
Ijzer Bloem,,,,,,no_data
Funny Bunny,,,,,,no_data
Valsecito,,,,,,no_data
Fornax,,,,,,no_data
Monopolio,,,,,,no_data
Predateur,,,,,,no_data
Cool Daytona,,,,,,no_data
Sound Move,,,,,,no_data
