track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,URL,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,edge,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification,action
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,imperial decision,73,Georgia Dobie,Keiran Burke,9- 4,4,0,True,0,0.026978366,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,25/1,22/1,14/1,,,shortening,23.0,15.0,,,26.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03991153516553492,26.0,0.0014499967039964534,0.037699914303907844,25.903376659755267,0.007407338179702616,0.0015079965721563138,0.0015079965721563138,0.15079965721563138,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,john galt,72,Daniel Muscutt,Jamie Osborne,9- 4,4,0,True,0,0.026884457,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,25/1,28/1,33/1,30/1,25/1,stable,29.0,34.0,31.0,26.0,26.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03982701706553492,26.0,0.0013654786039964534,0.03550244370390776,25.85079822538484,0.006982665991383357,0.0014200977481563105,0.0014200977481563105,0.14200977481563104,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,hopjes,70,Tyrese Cameron,Harriet Dickin,9- 1,6,7,True,0,0.026867181,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,20/1,,,,,no_data,,,,,21.0,0.1,0.1563100576553491,0.7270560190703218,,,0.039811468665534915,21.0,-0.007807578953512702,-0.16395915802376682,16.857893392048567,-0.03993319214998652,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:08,space bear,77,Luke Morris,Marco Botti,9- 5,3,0,True,0,0.025962656,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,13/2,6/1,11/2,5/1,,shortening,7.0,6.5,6.0,,7.5,0.1,0.1563100576553491,0.7270560190703218,,,0.038997396165534916,7.5,-0.09433593716779842,-0.7075195287584881,2.108058708253682,-0.4873007511828966,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,dayman,69,Hollie Doyle,Dominic Ffrench Davis,8 -11,7,0,True,0,0.025664251,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,16/1,18/1,16/1,12/1,,shortening,19.0,17.0,13.0,,17.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03872883166553491,17.0,-0.020094697746229795,-0.34160986168590657,10.759154777110338,-0.10414569486408663,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,distorted truth,-,Pierre-Louis Jamin,K R Burke,9- 2,3,0,True,0,0.025331058,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,3/1,11/4,,,,shortening,3.75,,,,4.0,0.1,0.1563100576553491,0.7270560190703218,,,0.038428957965534916,4.0,-0.21157104203446508,-0.8462841681378603,0.591234770483489,-1.1006170413399683,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,echo valley,-,Callum Hutchinson,Tom Symonds,9- 2,3,0,True,0,0.025331058,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,22/1,20/1,22/1,25/1,,drifting,21.0,23.0,26.0,,23.0,0.1,0.1563100576553491,0.7270560190703218,,,0.038428957965534916,23.0,-0.005049302904030301,-0.11613396679269694,19.547699599110356,-0.026267057956626427,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,al amirah,67,Sean D Bowen,Ismail Mohammed,9- 2,3,0,True,0,0.024816934,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,66/1,50/1,,,,shortening,51.0,,,,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03796624636553492,67.0,0.023040873231206557,1.5437385064908393,163.959874345482,0.12056047455050714,0.023389977371073324,0.023389977371073324,2.3389977371073325,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,king david,80,Luke Morris,Gay Kelleway,9- 5,5,0,True,0,0.024164924,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,7/2,10/3,,,,stable,4.333333333333334,,,,4.5,0.1,0.1563100576553491,0.7270560190703218,,,0.03737943736553491,4.5,-0.18484278485668731,-0.8317925318550929,0.728639854312362,-0.9744477468132647,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,magna,64,Oisin Murphy,Tony Carroll,9- 9,4,0,True,0,0.023957921,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,13/8,,,,,no_data,,,,,2.625,0.1,0.1563100576553491,0.7270560190703218,,,0.037193134665534915,2.625,-0.343759246286846,-0.9023680215029708,0.24675194032945713,-1.8165753134117217,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:08,uniter,82,Oisin Murphy,Andrew Balding,9- 3,3,0,True,0,0.023302248,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,6/1,15/2,8/1,10/1,9/1,drifting,8.5,9.0,11.0,10.0,7.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03660302896553491,7.0,-0.10625411389160794,-0.7437787972412556,1.727899114568073,-0.5658282190000977,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,party bear,84,Pierre-Louis Jamin,K R Burke,9- 7,4,0,True,0,0.023185551,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,5/1,,,,,no_data,,,,,6.0,0.1,0.1563100576553491,0.7270560190703218,,,0.036498001665534914,6.0,-0.13016866500113175,-0.7810119900067904,1.2659723114384707,-0.6941376442898315,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,super hit,75,Oisin Murphy,Darryll Holland,9- 8,5,0,True,0,0.022825582,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,7/4,,,,,no_data,,,,,2.75,0.1,0.1563100576553491,0.7270560190703218,,,0.036174029565534914,2.75,-0.32746233407082875,-0.900521418694779,0.2636701104508583,-1.7537334932072615,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,purple sky,76,Charles Bishop,Joe Ponting,9- 5,5,0,True,0,0.02272231,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,20/1,,,,,no_data,,,,,21.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03608108476553491,21.0,-0.011537962853512704,-0.24229721992376685,15.337644878665644,-0.06186842954290671,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,riot,86,Saffie Osborne,Charlie Wallis,9- 9,9,0,True,0,0.022639042,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,25/1,28/1,25/1,,,stable,29.0,26.0,,,26.0,0.1,0.1563100576553491,0.7270560190703218,,,0.036006143565534915,26.0,-0.0024553948960035488,-0.06384026729609227,23.463758005165353,-0.01317940825688291,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:38,shallow,92,Saffie Osborne,Richard Spencer,9- 9,5,0,True,0,0.02128408,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,5/2,11/4,,,,drifting,3.75,,,,3.5,0.1,0.1563100576553491,0.7270560190703218,,,0.034786677765534915,3.5,-0.2509276079487508,-0.8782466278206278,0.41131291899075406,-1.3693999751361055,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,apache green,73,Kieran O'Neill,S Woods,9- 9,4,0,True,0,0.0211467,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,4/1,,,,,no_data,,,,,5.0,0.1,0.1563100576553491,0.7270560190703218,,,0.034663035765534915,5.0,-0.1653369642344651,-0.8266848211723254,0.836537742926304,-0.9038517296843599,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,token gesture,77,Hollie Doyle,Mark Usher,9- 7,4,0,True,0,0.021032657,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,12/1,14/1,,,,drifting,15.0,,,,13.0,0.1,0.1563100576553491,0.7270560190703218,,,0.03456039706553492,13.0,-0.04236267985754201,-0.550714838148046,5.638849947415065,-0.23191642570157994,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,kev,77,Alec Voikhansky,Tom Ward,9- 7,4,0,True,0,0.020790633,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,28/1,33/1,,,,drifting,34.0,,,,29.0,0.1,0.1563100576553491,0.7270560190703218,,,0.034342575465534916,29.0,-0.00014018315515473834,-0.004065311499487412,27.890220062756253,-0.0007697821884515652,0.0,0.0,0.0,NO_BET,PASS
